"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",8.52078125,"Up",475587000,-172869000,302718000,-96617000,-52686000,-43931000,206101000,-25601000,-20413000,-4467000,180500000,-20944000,159556000,-8034000,151522000,151678000,133535000,133535000,-1423791007.83384,-1423791007.83384,-348146568.657295,-348146568.657295,12019097.7060977,10950677.186261,10172933.3940537,-1748967801.59877,1538373679.8997,1651467343.09162,-113093663.19192,783672342.163305,630248000,-259334689.763496,2344567100.60948,595599299.010712,627993926.770303,229858528.078931,-119036033.178949,517171431.870321,235798398.912417,235798398.912417,915461818.090892,769190996.595743,870513295.278013,398802445.955031,471710849.322982,1639704291.87376,2555166109.96465,520087697.61501,-2367318369.13199,-356789510.650845,-2204020182.16783,244453371.213891,-1959566810.95394,595599299.010712,115334445.958997,53266566.7526988,-76278860.5484976,-320190118.941601,-288099794.437118,118042109.108015,120823033.484261,-10189606.9947943,69539815.6852114,100449667.649934,21981725.3980428,78467942.251891,131232702.859289,-36044058.0935678,-36044058.0935678,-10533693.2953773,-46577751.388945,136566890.366903,0,-169196895.210325,0.63651,0.43336,0.28078,-3.42137537490711,-1.68701829449935,-11.9213946868275,-10.1574919348211,4.7066930555627,0.567526052590751,1.21021,1.21021,4.3102,-21.1486009768611,-1.47566765223271,0.0928146911704832,-1.86969716752959,-0.643484327413666,-0.277915099441726,1381.75331290034,-268.813288319362
"2","2011_Q2",12.1509523809524,"Up",61335000,-82825000,-21490000.0000001,-87727000,-43692000,-44035000,-109217000,-17320000,-16520000,356000,-126537000,-29079000,-155616000,7085000,-148531000,-148567000,-148485000,-148485000,-384971335.944612,-384971335.944612,-61869522.8857649,-61869522.8857649,38007699.2353659,39539892.3954203,39280644.4646846,-369293267.19959,1423637893.2999,1571099781.03054,-147461887.73064,994790114.054435,630248000,-42489229.9211653,2433772700.20316,2064479433.00357,301992642.256768,123044509.359644,-25144344.392983,204092477.290107,178126799.637473,178126799.637473,517191606.030297,893006665.531914,443687431.759338,282921815.318344,160765616.440994,1336694097.29125,1853885703.32155,731423899.205003,-832394456.377331,-91216836.883615,-192187394.055942,402781123.737964,210593729.682021,2064479433.00357,-148567000,44035000,18810000,31034000,-70042000,-23324000,-21081000,-1650000,3263000,-19366000,149000,-19515000,-18255000,-109378000,-109378000,1055000,-108323000,-65182000,0,-64557000,-0.35037,-1.78066,-2.42089,-0.978811791635705,-0.48454609816645,0.43477,-2.6975639782737,2.36231768518757,0.424245350863584,-1.3347,-1.3347,0.551330000000001,-2.07362365895371,-0.58029,0.01483,-0.534759055843197,-0.161571442471222,-0.01111,382.929690966779,-60.7230194397874
"3","2011_Q3",10.99734375,"Down",338673000,-147770000,190903000,-115556000,-74062000,-41494000,75347000,-17856000,-16262000,-503000,57491000,-1018000,56473000,-3396000,53077000,53011000,34963000,34963000,142124000,142124000,48253000,48253000,37968000,45692000,45692000,274037000,1349678000,1531789000,-182111000,1069276000,630248000,37189000,2430867000,2704904000,150294000,57097000,10288000,82909000,123738000,123738000,305931000,939120000,271069000,229531000,41538000,1210189000,1516120000,818004000,-92537000,469000,725936000,462848000,1188784000,2704904000,53011000,41494000,18040000,15810000,127881000,-36764000,-35998000,-1628000,-4323000,-21756000,232000.000000002,-21988000,-28702000,63181000,63181000,205000,63386000,116841000,971019000,99283000,0.56368,0.22248,0.10324,0.02941,0.01293,2.83966,0.89575,1.27535,0.35898,0.31788,0.30808,3.07918,6.60014,0.90267,0.0148,0.01505,0.04084,0.04656,7.09421,11.00104
"4","2011_Q4",11.7052380952381,"Up",475605000,-165011000,310594000,-90263000,-48431000,-41832000,220331000,-16922000,-16496000,340000,203409000,-2597000,200812000,10376000,211188000,211177000,192870000,192870000,304763000,304763000,50706000,50706000,26380000,40869000,40869000,422718000,1308112000,1525081000,-216969000,1062365000,630248000,35056000,2381318000,2804036000,111891000,25785000,10270000,75836000,84599000,84599000,228169000,939600000,256574000,216331000,40243000,1196174000,1424343000,831340000,97052000,-11860000,916532000,463161000,1379693000,2804036000,211177000,41832000,12108000,-73756000,190836000,-9489000,-9351000,-3243000,-220000,5910000,5910000,0,-15547000,165938000,165938000,-3299000,162639000,262163000,971279000,168542000,0.65305,0.46326,0.40553,0.13979,0.06878,0.87386,1.85265,1.03236,0.34639,1.76317,1.71477,4.34787,8.37873,1.54077,0.02965,0.07521,0.06464,0.01681,2.54237000000003,3.02507
"5","2012_Q1",14.951935483871,"Up",137561000,-79554000,58007000,-90512000,-48874000,-41638000,-32505000,-16303000,-15939000,-266000,-48808000,-48982000,-97790000,-6e+06,-103790000,-102476000,-102008000,-102008000,231427000,231427000,18461000,18461000,20973000,38668000,38668000,309529000,1291837000,1544351000,-252514000,1036335000,630248000,13539000,2338649000,2648178000,114169000,23823000,1071000,89275000,72284000,72284000,221749000,921940000,296914000,220734000,76180000,1218854000,1440603000,833478000,-20088000,-49912000,763478000,444097000,1207575000,2648178000,-102476000,41638000,71067000,17132000,26262000,-21912000,-22098000,-3270000,-23732000,-15086000,3409000,-18495000,-77101000,-72937000,-72937000,-399000,-73336000,9132999.99999994,957236000,10353000,0.42168,-0.2363,-0.74155,-0.08447,-0.03852,-0.10149,1.39585,1.19297,0.36147,-0.92756,-0.98665,1.25085,6.94235,0.0941400000000001,0.02973,-0.04011,0.00421,-0.03206,79.47104,-22.32915
"6","2012_Q2",16.04,"Up",66358000,-84299000,-17941000,-87724000,-46229000,-41495000,-105665000,-10902000,-11363000,781000,-116567000,-2197000,-118764000,3756000,-115008000,-115043000,-115109000,-115109000,69384000,69384000,20003000,20003000,36227000,50551000,50551000,176165000,1292471000,1581145000,-288674000,1046421000,630248000,27994000,2348328000,2524493000,96121000,44980000,5700000,45441000,98760000,98760000,233160000,918209000,296005000,220441000,75564000,1214214000,1447374000,875930000,-199159000,-43815000,632956000,444163000,1077119000,2524493000,-115043000,41495000,19267000,12005000,-42773000,-36229000,-50708000,-32578000,-1042000,-36084000,8373000,-44457000,-71111000,-164592000,-164592000,2549000,-162043000,-64170000,956488000,-92150000,-0.27037,-1.59235,-1.73467,-0.10687,-0.0456,0.80055,0.75555,1.34375,0.37888,-1.05425,-1.05425,0.60775,5.79704,-0.84397,0.29837,-0.03543,-0.03956,-0.28302,-13.82428,-8.39544
"7","2012_Q3",19.265873015873,"Up",374912000,-158077000,216835000,-111613000,-75698000,-35915000,105222000,-11946000,-11452000,-244000,93276000,-1260000,92016000,-1194000,90822000,90805000,72265000,72265000,127810000,127810000,63234000,63234000,37668000,51134000,51134000,279846000,1284134000,1603495000,-319361000,1041957000,630248000,27552000,2334766000,2614612000,130621000,57137000,1375000,72109000,142060000,142060000,283005000,945418000,294929000,220214000,74715000,1240347000,1523352000,876216000,-197123000,-48050000,631043000,460217000,1091260000,2614612000,90805000,35915000,18470000,31283000,175974000,-29414000,-28574000,-31867000,-1044000,-52246000,1698000,-53944000,-87220000,60180000,60180000,-1754000,58426000,141137000,955742000,144200000,0.57836,0.28066,0.19275,0.06622,0.02764,1.99543,0.98884,1.39596,0.36554,0.67162,0.67162,3.48438,5.86482,1.34017,0.29617,0.04446,0.06157,0.44097,5.86616,7.86843
"8","2012_Q4",20.7617741935484,"Up",485143000,-167220000,317923000,-89427000,-54115000,-35312000,228496000,-13903000,-11419000,-832000,214593000,61190000,275783000,-11014000,264769000,271978000,253025000,253025000,281444000,281444000,133240000,133240000,26610000,40589000,40589000,481883000,1265544000,1615758000,-350214000,1037678000,630248000,27226000,2307566000,2789449000,94110000,26771000,2343000,64996000,96900000,96900000,204428000,941584000,293381000,222242000,71139000,1234965000,1439393000,909513000,22914000,-43122000,889305000,460751000,1350056000,2789449000,271978000,35312000,-47016000,-62101000,197539000,-14100000,-14368000,-32227000,-1040000,20330000,20330000,0,-31378000,151793000,151793000,1841000,153634000,263808000,955002000,198621000,0.65532,0.47099,0.52155,0.18742,0.09071,0.78499,2.35723,1.06617,0.34236,2.36529,2.22761,4.53515,8.31328,1.85672,0.30126,0.10978,0.07644,0.12737,2.55321,2.94779
"9","2013_Q1",23.1021666666667,"Up",143919000,-82252000,61667000,-85156000,-49833000,-35323000,-23489000,-14828000,-12390000,-2438000,-38317000,894000,-37423000,192606000,155183000,155299000,155754000,155754000,629208000,629208000,29523000,29523000,22280000,82463000,37490000,763474000,1254629000,1635190000,-380561000,1034074000,630248000,27261000,2292917000,3056391000,87551000,23580000,2359000,61612000,88072000,88072000,181863000,1398966000,148955000,72557000,76398000,1547921000,1729784000,906058000,27775000,-49101000,884732000,441875000,1326607000,3056391000,155299000,35323000,19449000,-169021000,40892000,-18689000,65993000,-51614000,449896000,-123055000,10528000,-133583000,241387000,348272000,348272000,-508000.000000001,347764000,11834000,1405206000,-368482000,0.42848,-0.16321,1.08223,0.11741,0.05096,-2.36579,4.19807,1.30392,0.45976,1.45594,1.37381,1.34531,8.27022,-3.44447,0.48247,0.07198,-0.12791,0.33138,65.5736,-33.03666
"10","2013_Q2",26.5771875,"Up",87521000,-92144000,-4623000,-74844000,-39698000,-35146000,-79467000,-17975000,-18397000,422000,-97442000,-1069999.99999999,-98512000,36399000,-62113000,-62113000,-62527000,-62527000,137312000,137312000,41772000,41772000,36792000,146400000,46673000,362276000,1258372000,1669883000,-411511000,1029243000,630248000,26026000,2291919000,2654195000,104363000,43305000,12871000,48187000,126282000,126282000,236892000,1397694000,157333000,82127000,75206000,1555027000,1791919000,831599000,-383311000,-28301000,419987000,442289000,862276000,2654195000,-62113000,35146000,9405000,-19045000,-36939000,-36546000,-36380000,-45189000,-1573000,-372803000,2487000,-375290000,-419824000,-493143000,-493143000,1247000,-491896000,-44321000,1403941000,-136311000,-0.0528199999999999,-0.90798,-0.71442,-0.07251,-0.02356,2.18003,1.52929,2.07813,0.52895,-0.61344,-0.61344,0.85866,4.12043,-1.33733,0.44334,-0.00715,-0.05624,-0.72271,-28.57853,-15.93906
