"","YQ","p","d","revenue","sales_services_revenue","financing_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",15.7968253968254,"Down",491400000,325856000,165544000,-80530000,410870000,-228689000,-24678000,-192292000,182181000,311798000,214000,-3114000,3328000,271143000,17531000,493979000,-1786000,492193000,-32549000,459644000,459644000,-387475000,72169000,72169000,-55748273838.4962,-2252978742.06968,-53495295096.4265,60388024.823217,60388024.823217,-55687885813.673,-22203528450.2272,1123053785.14536,991254672.60709,-24444832910.282,-437697809146.715,-493385694960.388,707075071.701909,-74545777.0083263,781620848.710235,-2877875519.06157,-1745289383.88139,-1132586135.18018,-2170800447.58559,-371178198022.384,-15783015875.9411,-15783015875.9411,-386961213898.325,-389132014345.91,4509328463.36704,-23437022800.8947,-20327293905.5551,-83926386708.9224,-104253680614.477,-493385694960.388,459644000,11719000,-26298000,-32626000,412439000,-16067000,-23227000,-45000,-39339000,-62290000,-260206000,-322496000,50604000,50604000,50604000,193900000,0,177756000,0.83612,0.37074,0.14686,0.876840160991646,0.303544444911611,2.46305,-35.8250182624354,-29.2185030835329,-7.32031163382233,0.48837,0.48837,3.32529,-119.029987616408,1.20287,0.419383332312545,1.34757754148908,-3129.01059003317,-3506.45896342427
"2","2014_Q3",14.92453125,"Down",572152000,287206000,284946000,-89832000,482320000,-256524000,-25291000,-220118000,225796000,65032000,-1798000,-4524000,2726000,33891000,2238000,290828000,-3489000,287339000,-35037000,252302000,252302000,-180634000,71668000,71668000,-20210090919.2481,980905128.965162,-21190996048.2133,31233512.4116085,31233512.4116085,-20178857406.8365,-8516329725.11362,506930392.572681,792369836.303545,-9910159955.141,-177281537573.357,-197460394980.194,366995035.850954,-7781888.50416317,374776924.355118,-579809759.530784,-645877191.940695,66067432.409911,-212814723.792797,-150036559011.192,-6303656437.97057,-6303656437.97057,-156340215449.162,-156553030172.955,3337386731.68352,-9435461400.44737,-7524434452.77753,-33382930354.4612,-40907364807.2387,-197460394980.194,252302000,11115000,461580000,-200124000,524873000,-11713000,-20776000,1598000,-30891000,-274053000.000001,-254424000,-528477000,-34495000,-34495000,-34495000,236911000,0,60110999.9999999,0.84299,0.39464,0.12526,0.372895080495823,0.129037222455805,0.838739999999963,-12.4408691312177,-10.9397865417664,-2.75362081691116,0.46878,0.46878,3.74248,-43.5163538082042,0.393190000000001,0.178246666156273,0.558518770744539,-1284.52369501658,-1439.05417671213
"3","2014_Q4",14.15015625,"Down",221135000,278368000,-57233000,-90402000,130733000,-70837000,-23652000,-36035000,59896000,-89524000,-5146000,-7389000,2243000,-98836000,10013000,-29628000,-8760000,-38388000,-29376000,-67764000,-67764000,69974000,2210000,2210000,-1492057973.0827,2291422042.98839,-3783480016.07109,14885837.4705362,14885837.4705362,-1477172135.61217,-876203575.037875,175399464.190894,669142278.767848,-1794013318.38033,-36424916857.7858,-37902088993.398,178674678.616985,28562037.1652789,150112641.451706,685550746.823072,-43404730.6468983,728955477.46997,864225425.402401,-30679567670.3973,-1186628812.65686,-1186628812.65686,-31866196483.0541,-31001971057.6517,2623767243.89451,-1914219466.81579,-713577150.925845,-6186540784.8204,-6900117935.74624,-37902088993.398,-67764000,11150000,-1651926000,483116000,-1225424000,-7169000,3897000,126000,46854000,1868950000,-373043000,1495907000,317337000,317337000,317337000,71046000,0,576369000,0.59119,0.27086,0.00999,0.104055026831941,0.0358557408186018,260.80045,-0.236816377072569,-1.00387218058881,-0.290556938970388,0.01394,0.01394,1.39468,-3.49300793606806,3.63511,0.0493755553854242,0.147142923581513,-285.450791672195,-319.165435570711
"4","2015_Q1",14.7950819672131,"Up",275396000,274598000,798000.00000003,-77285000,198111000,-111649000,-191568000,45935000,86462000,50948000,-5271000,-7366000,2095000,29609000,30810000,137410000,-1387000,136023000,-50283000,85740000,85740000,-63558000,22182000,22182000,5173010000,2293004000,2880006000,7964000,7964000,5180974000,2333161000,49243000,606717000,1617162000,17991814000,23172788000,103524000,44246000,59278000,1199619000,199614000,1000005000,1303143000,15151065000,775119000,775119000,15926184000,17229327000,2254283000,932860000,1786482000,4156979000,5943461000,23172788000,85740000,11085000,-25718000,-155912000,-84805000,2.9e+07,6526000,1282000,36808000,66511000,-225834000,-159323000,-207320000,-207320000,-207320000,97547000,15151065000,20918000,0.71937,0.31396,0.08055,0.00373,0.00096,0.94301999999999,3.97575,2.89887,0.65383,0.13677,0.13677,1.69806,11.01522,0.128979999999999,0.00101,0.00096,102.28972,115.40393
"5","2015_Q2",14.2849206349206,"Down",303024000,234432000,68592000,-87633000,215391000,-127403000,-22771000,-93654000,87988000,544000,-6715000,-7440000,725000,3446000,4874000,88532000,-1520000,87012000,-5514000,81498000,81498000,-50571000,30927000,30927000,4552298000,1600083000,2952215000,7087000,7087000,4559385000,2728075000,49243000,590239000,2036921000,19088416000,23647801000,102953000,49030000,53923000,1243808000,220665000,1023143000,1346761000,15713628000,788639000,788639000,16502267000,17849028000,2114747000,911934000,1656947000,4141826000,5798773000,23647801000,81498000,10978000,-55707000,65234000,102003000,-2803000,-29132000,-9918000,-41853000,-144394000,-191563000,-335957000,-275807000,-275807000,-275807000,98966000,15713628000,166911000,0.71081,0.29037,0.10206,0.00533,0.00131,5.39693,3.38544,3.07807,0.66449,0.18634,0.18634,1.82579,9.9835,1.00568,0.00139,0.00748,112.77944,126.85059
"6","2015_Q3",13.1865625,"Down",351727000,246034000,105693000,-88870000,262857000,-146519000,-21556000,-113770000,116338000,42493000,-6625000,-7485000,860000,30224000,1775000,158831000,-1665000,157166000,-9092000,148074000,148074000,-91646000,56428000,56428000,1893350000,919515000,973835000,8523000,8523000,1901873000,2045537000,88852000,610429000,1301467000,2999827000,4901700000,146248000,50811000,95437000,1133520000,175358000,958162000,1279768000,1862760000,160212000,160212000,2022972000,3302740000,2084942000,-3054000,739755000,859205000,1598960000,4901700000,148074000,11193000,-17096000.0000001,66354000,208525000,-26427000,-40862000,10553000,-56736000,-133739000,-107781000,-241520000,-89731000,-89731000,-89731000,127531000,1862760000,176550000,0.74733,0.33076,0.16043,0.03529,0.01151,3.12877,1.48611,2.06556,0.38002,0.33113,0.33113,2.06398,4.34099,1.03602,0.01558,0.04874,-0.23986,-0.26294
"7","2015_Q4",11.53671875,"Down",193268000,247839000,-54571000,-93514000,99754000,-71251000,-21645000,-38430000,28503000,77264000,-6711000,-7529000,818000,81861000,93000,105767000,-2617000,103150000,-6591000,96559000,96559000,-55508000,41051000,41051000,1963351000,865732000,1097619000,8891000,8891000,1972242000,1901858000,88852000,652432000,1124355000,2845808000,4818050000,194819000,59349000,135470000,1150168000,201179000,948989000,1344987000,1856750000,96890000.0000001,96890000.0000001,1953640000,3298627000,2050681000,-5947000,716110000,803313000,1519423000,4818050000,96559000,11176000,150430000,-2933000,255232000,-801000,-27572000,1547000,-51826000,-102206000,-101557000,-203763000,-357000,-357000,-357000,39679000,1856750000,42536000,0.51614,0.14748,0.2124,0.02702,0.00852,1.03617,1.46637,2.17097,0.38537,0.2329,0.2329,1.09651,4.06286,0.24133,0.01182,0.01225,-2.68657999999999,-3.73998999999999
"8","2016_Q1",10.3431147540984,"Down",193651000,216075000,-22424000,-84507000,109144000,-92793000,-189089000,62949000,16351000,16161000,-6788000,-7617000,829000,25242000,931000,32512000,-2612000,29900000,-5536000,24364000,24364000,-18273000,6091000,6091000,1824047000,669298000,1154749000,10517000,10517000,1834564000,1814678000,88852000,646207000,1050999000,2725244000,4559808000,146848000,92012000,54836000,1068085000,177875000,890210000,1214933000,1826525000,129369000,129369000,1955894000,3170827000,2005509000,-7620000,649505000,739476000,1388981000,4559808000,24364000,11127000,231919000,-250497000,16913000,-1172000,-75240000,-1109000,-52521000,-104505000,-82333000,-186838000,-222446000,-222446000,-222446000,27478000,1826525000,-218655000,0.56361,0.08444,0.03145,0.00439,0.00134,-35.89805,1.51001,2.28284,0.40057,0.03375,0.03375,1.07316,3.59939,-1.21173,0.00182,-0.06537,0.09018,0.15155
"9","2016_Q2",11.50125,"Up",120826000,241794000,-120968000,-97234000,23592000,-35028000,-58631000,23603000,-11436000,-66508000,-7288000,-7873000,585000,-55150000,-253000,-77944000,-1764000,-79708000,5147000,-74561000,-74561000,41733000,-32828000,-32828000,1709175000,575616000,1133559000,12276000,12276000,1721451000,1675523000,88852000,650175000,908364000,2639316000,4360767000,148792000,98661000,50131000,1027294000,175536000,851758000,1176086000,1880630000,117057000,117057000,1997687000,3173773000,1957692000,-5078000,549360000,637634000,1186994000,4360767000,-74561000,4631000,203088000,-8964000,124194000,-2309000,-32202000,2109000,-56999000,-70070000,-65044000,-135114000,-67919000,-67919000,-67919000,-6805000,1880630000,-23225000,0.19526,-0.09465,-0.2717,-0.02766,-0.00753,0.70748,1.46371,2.67379,0.43126,-0.17972,-0.17972,0.66146,3.00747,-0.12715,-0.01031,-0.00729,-25.19544,-14.99257
"10","2016_Q3",12.509375,"Up",660447000,331962000,328485000,-100188000,560259000,-231346000,-70088000,-161258000,328913000,126942000,-8504000,-9800000,1296000,89708000,778000,455855000,-2064000,453791000,-37988000,415803000,415803000,-241711000,174092000,174092000,2211803000,887251000,1324552000,10260000,10260000,2222063000,1980377000,88852000,622209000,1242944000,2940168000,5162231000,207213000,116814000,90399000,1166200000,158461000,1007739000,1373413000,2177320000,96787000,96787000,2274107000,3647520000,1928962000,-6975000,685310000,829401000,1514711000,5162231000,415803000,4862000,-239576000,-3105000.00000003,177984000,-1394000,-42234000,-1679000,-64906000,258889000,-57374000,201515000,314593000,314593000,314593000,333775000,2177320000,367264000,0.8483,0.49802,0.2636,0.11493,0.03372,2.1096,1.61791,2.40806,0.42178,0.94772,0.94772,3.59533,3.73068,1.9993,0.04595,0.09693,-0.10331,-0.10484
