"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",12.3722222222222,"Down",-7757000,-1938000,-5819000,-7189000,-33000,51000,-7222000,-7222000,-7222000,-7222000,-7222000,-7741000,53964000,53964000,443000,443000,54407000,708000,112000,112000,820000,55227000,3527000,3070000,457000,6303000,231000,8000,2697000,9e+06,111043000,-64816000,46227000,46227000,55227000,-7222000,101000,594000,1493000,-5034000,51522000,51522000,51106000,46022000,46022000,46022000,-7088000,4108000,-0.16746,-0.14017,8.63192,0.19469,0.07438,-0.80343,-0.80343,4.79782,-0.15309,7.03386,6.93504
"2","2014_Q3",11.87921875,"Down",-8806000,-2052000,-6754000,-8045000,-76000,2999.99999999988,-8121000,-8121000,-8121000,-8121000,-8121000,-8121000,45031000,45031000,1002000,1002000,46033000,682000,109000,109000,791000,46824000,3742000,2602000,1140000,6027000,119000,7000,2174000,8201000,111560000,-72937000,38623000,38623000,46824000,-8121000,108000,511000,-947000,-8449000,15000.0000000075,15000.0000000075,-401999.999999993,-8933000,-8933000,-8933000,-7937000,3697000,-0.21026,-0.17344,7.6378,0.21233,0.07896,-0.50582,-0.50582,2.40567,-0.19136,5.20776,5.13785
"3","2014_Q4",11.21359375,"Down",-11141000,-2269000,-8872000,-10602000,-72000,2000,-10674000,-10674000,-10674000,-10674000,-10674000,-10674000,35943000,35943000,348000,348000,36291000,585000,105000,105000,690000,36981000,4244000,2588000,1656000,6507000,51000,6000,1696000,8203000,112389000,-83611000,28778000,28778000,36981000,-10674000,102000,818000,1068000,-8686000,19000,19000,-397000,-9088000,-9088000,-9088000,-10500000,3287000,-0.37091,-0.28863,5.57722,0.28504,0.08888,-0.66306,-0.66306,1.78768,-0.33236,3.1101,3.08017
"4","2015_Q1",10.924262295082,"Down",-7470000,-2212000,-5258000,-7095000,-1044000,-905000,-8139000,-8139000,-8139000,-8139000,-8139000,-8139000,54059000,54059000,342000,342000,54401000,486000,113000,113000,599000,5.5e+07,4445000,2458000,1987000,5202000,3223000,3223000,12972000,18174000,128576000,-91750000,36826000,36826000,5.5e+07,-8139000,99000,1127000,-225000,-7138000,18755000,18755000,25254000,18116000,18116000,18116000,-6996000,1e+07,-0.22101,-0.14798,10.45771,0.49351,0.18182,-0.48481,-0.48481,2.19359,-0.16262,6.29774,6.20987
"5","2015_Q2",7.05730158730159,"Down",-7841000,-2603000,-5238000,-7597000,1073000,1308000,-6524000,-6524000,-6524000,-6524000,-6524000,-6524000,45549000,45549000,589000,495000,46138000,422000,18000,18000,440000,46578000,3370000,2043000,1327000,4642000,1980000,1980000,10970000,15612000,129240000,-98274000,30966000,30966000,46578000,-6524000,96000,-638000,-1412000,-8478000,0,0,0,-8510000,-8510000,-8510000,-7501000,1e+07,-0.21068,-0.14007,9.93925,0.50417,0.21469,-0.36303,-0.36303,1.72311,-0.15191,4.73923,4.67935
"6","2015_Q3",3.081875,"Down",-8516000,-2247000,-6269000,-8402000,1496000,1826000,-6906000,-6906000,-6906000,-6906000,-6906000,-6906000,53494000,53494000,938000,938000,54432000,580000,110000,110000,690000,55122000,2498000,1880000,618000,5472000,260000,260000,12431000,17903000,142399000,-105180000,37219000,37219000,55122000,-6906000,96000,-1193000,-1026000,-9029000,12228000,12228000,17228000,7944999.99999999,7944999.99999999,7944999.99999999,-8306000,14694000,-0.18555,-0.12529,9.94737,0.48102,0.26657,-0.36182,-0.36182,1.94997,-0.13237,4.67132,4.61795
"7","2015_Q4",2.83875,"Down",-9426000,-2681000,-6745000,-9359000,-334000,73000,-9693000,-9693000,-9693000,-9693000,-9693000,-9693000,46362000,46362000,653000,653000,47015000,480000,108000,108000,588000,47603000,3425000,2279000,1146000,7607000,308000,308000,11331000,18938000,143538000,-114873000,28665000,28665000,47603000,-9693000,1e+05,607000,1345000,-7641000,509000,509000,509000,-7132000,-7132000,-7132000,-9259000,14734000,-0.33815,-0.20362,6.18049,0.66067,0.30952,-0.50106,-0.50106,1.48178,-0.22177,3.41592,3.37942
"8","2016_Q1",0.690983606557377,"Down",-10403000,-2319000,-8084000,-9838000,-491000,-68000,-10329000,-10329000,-10329000,-10329000,-10329000,-10329000,36079000,36079000,232000,232000,36311000,407000,107000,107000,514000,36825000,3040000,1246000,1794000,7580000,538000,538000,10301000,17881000,144146000,-125202000,18944000,18944000,36825000,-10329000,74000,757000,117000,-9381000,-23999.9999999981,-23999.9999999981,-901000,-10283000,-10283000,-10283000,-9764000,13897000,-0.54524,-0.28049,4.79037,0.94389,0.37738,-0.52782,-0.52782,0.96806,-0.30945,2.27181,2.25473
"9","2016_Q2",1.26515625,"Up",-6779000,-2147000,-4632000,-6550000,-109000,138000,-6659000,-7574000,-7574000,-7574000,-7574000,-7574000,13419000,13419000,387000,387000,13806000,353000,174000,174000,527000,14333000,2079000,1588000,491000,2282000,81000,81000,81000,2363000,144746000,-132776000,11970000,11970000,14333000,-7574000,54000,718000,-1748000,-8550000,14000,14000,-14110000,-22660000,-22660000,-22660000,-6496000,0,-0.63275,-0.52843,6.04996,0.19741,0,-0.38566,-0.38566,0.6095,-0.6285,2.06573,2.0487
"10","2016_Q3",3.72296875,"Up",-6769000,-3471000,-3298000,-6492000,1000,1000,-6491000,-6491000,-6491000,-6491000,-6491000,-6491000,8484000,8484000,350000,350000,8834000,314000,119000.000000001,119000,432999.999999999,9267000,3008000,1855000,1153000,3008000,85999.9999999991,86000,85999.9999999981,3094000,145440000,-139267000,6173000,6173000,9267000,-6491000,39000,634000,809000,-5009000,73999.9999999999,73999.9999999999,74000,-4935000,-4935000,-4935000,-6453000,0,-1.05151,-0.70044,2.93684,0.50121,-2.77555756156289e-17,-0.32661,-0.32661,0.31061,-1.03707,1.31474,1.30684
"11","2016_Q4",2.20253968253968,"Down",-9120000,-6366000,-2754000,19530000,-43000,-43000,19487000,19487000,19487000,19487000,19487000,19487000,30716000,30716000,1096000,952000,31812000,894000,46872000,360000,47766000,79578000,4253000,1761000,2492000,6265000,31868000,22094000,31868000,38133000,161225000,-119780000,41445000,41445000,79578000,19487000,18000,2194000,-2000,21697000,116000,116000,116000,22232000,22232000,22232000,19548000,0,0.47019,0.24488,5.07773,0.92009,0,0.95082,0.90963,2.0222,0.26581,-1.57131,-1.57276
"12","2017_Q1",2.08322580645161,"Down",-5547000,-2752000,-2795000,-4722000,-819000,-819000,-5541000,-3526000,-3531000,-3531000,-3531000,-3531000,25342000,25342000,585000,585000,25927000,796000,77374000,10000,78170000,104097000,3441000,1667000,1774000,3980000,61440000,45105000,61440000,65420000,161988000,-123311000,38677000,38677000,104097000,-3531000,67000,-520000,-1616000,-5600000,1e+05,1e+05,1e+05,-5458000,-5458000,-5458000,-4654999.99999999,0,-0.0912899999999998,-0.03392,6.51432,1.69144,3.46944695195361e-18,-0.14517,-0.13583,1.59008,-0.03527,5.44404,5.36679
"13","2017_Q2",1.66746031746032,"Down",-5087000,-2213000,-2874000,-4662000,101000,101000,-4561000,-6061000,-6061000,-6061000,-6061000,-6061000,20268000,20268000,712000,712000,20980000,714000,77374000,10000,78088000,99068000,3111000,1214000,1897000,3226000,62937000,46602000,62937000,66163000,162268000,-129363000,32905000,32905000,99068000,-6061000,82000,1665000,-881000,-5195000,45000,45000,45000,-5074000,-5074000,-5074000,-4580000,0,-0.1842,-0.06118,6.50341,2.01073,0,-0.24628,-0.24628,1.33706,-0.06324,4.42533,4.34749
"14","2017_Q3",1.39777777777778,"Down",-5150000,-2241000,-2909000,-5150000,34000.0000000001,34000,-5116000,-7316000,-7316000,-7316000,-7316000,-7316000,15751000,15751000,707000,707000,16458000,632000,77958000,87000,78590000,95048000,3737000,1245000,2492000,3855000,65283000,48948000,65283000,69138000,162589000,-136679000,25910000,25910000,95048000,-7316000,92000,2517000,197000,-4510000,-1.16415321826935e-10,-1.16415321826935e-10,1.16415321826935e-10,-4517000,-4517000,-4517000,-5058000,7.27595761418343e-12,-0.28236,-0.07697,4.26926,2.66839,2.16840434497101e-19,-0.29637,-0.29637,1.04963,-0.08023,3.11408,3.05845
"15","2017_Q4",0.93047619047619,"Down",-5250000,-1631000,-3619000,-5250000,45000,45000,-5205000,-9105000,-9105000,-9105000,-9105000,-9105000,11338000,11338000,770000,770000,12108000,585000,59575000,111000,60160000,72268000,4281000,1366000,2915000,4404000,50798000,38270000,50798000,55202000,162850000,-145784000,17066000,17066000,72268000,-9105000,47000,4138000,485000,-4435000,7000,7000,7000,-4413000,-4413000,-4413000,-5203000,0,-0.53352,-0.12599,2.74932,3.23462,0,-0.36876,-0.36876,0.69118,-0.13417,2.17913,2.15962
"16","2018_Q1",0.95983606557377,"Up",-5093000,-1985000,-3108000,-5093000,46000,46000,-5047000,-6547000,-6547000,-6547000,-6547000,-6547000,14680000,14680000,301000,301000,14981000,522000,59594000,130000,60116000,75097000,4720000,907000,3813000,4720000,52343000,39815000,52343000,57063000,170365000,-152331000,18034000,18034000,75097000,-6547000,64000,2048000,810000,-3625000,6953000,6953000,6953000,3342000,3342000,3342000,-5029000,0,-0.36304,-0.08718,3.17394,3.16419,1.35525271560688e-20,-0.21512,-0.21512,0.59256,-0.09303,2.91907,2.88239
"17","2018_Q2",2.20296875,"Up",-5207000,-1952000,-3255000,-5207000,44000,44000,-5163000,-3963000,-3963000,-3963000,-3963000,-3963000,19688000,19688000,638000,638000,20326000,473000,59493000,29000,59966000,80292000,5246000,1393000,3853000,5246000,51188000,38660000,51188000,56434000,180152000,-156294000,23858000,23858000,80292000,-3963000,49000,-804000,335000,-4383000,9386000,9386000,9386000,5008000,5008000,5008000,-5158000,0,-0.16611,-0.04936,3.87457,2.36541,0,-0.11109,-0.11109,0.66878,-0.05281,3.81698,3.78106
"18","2018_Q3",1.94825396825397,"Down",-5130000,-2351000,-2779000,-5130000,72000,72000,-5058000,-8958000,-8958000,-8958000,-8958000,-8958000,62961000,62961000,806000,806000,63767000,421000,59525000,61000,59946000,123713000,4533000,1310000,3223000,4533000,55116000,42588000,55116000,59649000,229316000,-165252000,64064000,64064000,123713000,-8958000,52000,4185000,-875000,-5596000,48879000,48879000,48879000,43283000,43283000,43283000,-5078000,0,-0.13983,-0.07241,14.06728,0.93108,0,-0.15877,-0.15877,1.13546,-0.07516,12.39878,12.2731
"19","2018_Q4",1.5947619047619,"Down",-7197000,-3825000,-3372000,-7197000,382000,382000,-6815000,-14015000,-14015000,-14015000,-14015000,-14015000,57856000,57856000,1529000,1529000,59385000,365000,59545000,81000,59910000,119295000,6561000,1391000,5170000,6561000,62339000,49811000,62339000,68900000,229662000,-179267000,50395000,50395000,119295000,-14015000,55000,7449000,1308000,-5203000,98000,98000,98000,-5105000,-5105000,-5105000,-7142000,0,-0.2781,-0.11748,9.05121,1.3672,0,-0.18194,-0.18194,0.65423,-0.12432,8.10081,8.03891
"20","2019_Q1",0.863114754098361,"Down",-8166000,-3495000,-4671000,-8166000,309000,309000,-7857000,-6757000,-6757000,-6757000,-6757000,-6757000,50422000,50422000,1334000,1334000,51756000,321000,59484000,20000,59805000,111561000,6113000,1367000,4746000,6113000,61241000,48713000,61241000,67354000,230231000,-186024000,44207000,44207000,111561000,-6757000,52000,-752000,-190000,-7647000,220000,220000,220000,-7433999.99999999,-7433999.99999999,-7433999.99999999,-8114000,3.5527136788005e-15,-0.15285,-0.06057,8.46655,1.5236,0,-0.08666,-0.08666,0.56697,-0.06408,6.2142,6.17463
"21","2019_Q2",1.49698412698413,"Up",-7741000,-3055000,-4686000,-7741000,261000,261000,-7480000,-6480000,-6480000,-6480000,-6480000,-6480000,42437000,42437000,3014000,3014000,45451000,272000,59716000,252000,59988000,105439000,6917000,1683000,5234000,7053000,60326000,47798000,60326000,67379000,230564000,-192504000,38060000,38060000,105439000,-6480000,49000,-674000,-887000,-7992000,7000,7000,7000,-7985000,-7985000,-7985000,-7692000,0,-0.17026,-0.06146,6.44421,1.77034,0,-0.08366,-0.08366,0.49136,-0.06586,5.51703,5.48211
"22","2019_Q3",1.16984375,"Down",-10561000,-2617000,-7944000,-10561000,226000,226000,-10335000,-54335000,-54335000,-54335000,-54335000,-54335000,64931000,64931000,2598000,2598000,67529000,376000,59707000,243000,60083000,127612000,7806000,2176000,5630000,7948000,104295000,91767000,104295000,112243000,262208000,-246839000,15369000,15369000,127612000,-54335000,58000,44356000,1170000,-8751000,31288000,31288000,31288000,22494000,22494000,22494000,-10503000,2.22044604925031e-16,-3.53536,-0.42578,8.49635,7.30321,6.61744490042422e-24,-0.67283,-0.67283,0.19031,-0.45406,6.18214,6.14819
"23","2019_Q4",1.14890625,"Down",-9851000,-3238000,-6613000,-9851000,319000,319000,-9532000,-13132000,-13132000,-13132000,-13132000,-13132000,57865000,57865000,1547000,1547000,59412000,294000,59692000,228000,59986000,119398000,8933000,2583000,6350000,9092000,107839000,95311000,107839000,116931000,262438000,-259971000,2467000,2467000,119398000,-13132000,57000,3829000,2273000,-6973000,1000,1000,1000,-7066000,-7066000,-7066000,-9794000,0,-5.32306,-0.10999,6.53454,47.39805,0,-0.12937,-0.12937,0.0243,-0.11905,5.90821,5.87402
