"","YQ","p","d","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2014_Q2",24.518253968254,"Up",-36548000,-6224000,-23514000,-4240000,-4476000,-27754000,-27754000,-27754000,-27754000,-27585000,-27585000,247275510.180738,155963856.645022,79740427.1903546,79521031.5800592,244907264.761881,9782854.03213262,-125924979.983408,50966832.0544653,295874096.816346,123856879.395167,123850573.487461,545006148.137531,316284389.13151,150805104.760858,-158648207.503874,-8321264.43706068,-20410292.315164,295874096.816346,-27754000,-27754000,5079000,-9598000,-31387000,-1438000,31064000,1811000,1811000,1811000,0,-7.91652071347734,7.9661281186155,-1.36089513117301,-7.18592809607179,2.12847396891289,-2.10942,-2.10942,5.36654927069042,483.287608979009,-34.4326376330796
"2","2014_Q3",25.801875,"Up",-41716000,-7921000,-13901000,-4389000,-4550000,-18290000,-18290000,-18290000,-18290000,-18109000,-18109000,212450255.090369,105422428.322511,38186713.5951773,38026515.7900296,216967632.380941,10964927.0160663,-59493989.9917042,36074416.0272327,253042048.408173,68199939.6975836,68196786.7437305,301201574.068765,296775194.565755,382750052.380429,-420802103.751937,-38340632.2185303,-43733146.157582,253042048.408173,-18290000,-18290000,6275000,-22173000,-32833000,-1545000,40586000,10854000,10854000,10854000,0,-3.45857035673867,3.53467905930775,0.389327434413493,-5.0852590480359,1.15023198445644,-1.37244,-1.37244,-0.20480036465479,204.962134489505,-12.2757038165398
"3","2014_Q4",35.17390625,"Up",-51727000,-8095000,-23725000,-4313000,-4578000,-28038000,-28038000,-28038000,-28038000,-27901000,-27901000,167811085.030123,63274142.7741704,14770571.1983924,14649838.5966765,175320877.460314,11643309.0053554,-19422996.6639014,28562138.6757442,203883016.136058,42484646.5658612,42483595.5812435,166755858.022922,276213731.521918,505390350.793476,-575963367.917312,-70730544.0728434,-72330715.3858607,203883016.136058,-28038000,-28038000,5412000,83153000,61097000,-1731000,-40565000,22572000,22572000,22572000,0,-0.967936785579556,1.03359301976925,1.11918247813783,-3.56344968267863,0.756610661485482,-2.09292,-2.09292,-4.44961678821826,56.2354514965015,-1.75216460551326
"4","2015_Q1",41.0960655737705,"Up",-39021000,-8277000,-5116000,-4361000,-4512000,-9477000,-9477000,-9477000,-9477000,-9696000,-9696000,124028000,35688000,4724000,4623000,132065000,11939000,609000,26441000,158506000,37236000,37236000,111111000,260577000,553104000,-655170000,-102140000,-102071000,158506000,-9477000,-9477000,5800000,-28420000,-31685000,-1321000,-37096000,-64635000,-64635000,-64635000,120002000,0.09499,-0.06117,1.18859,-2.5529,0.75708,-0.71197,-0.71197,-7.50009,-0.15983,0.78694
"5","2015_Q2",45.9498412698413,"Up",-44868000,-9189000,-30026000,-4406000,-4519000,-34432000,-34432000,-34432000,-34432000,-34759000,-34759000,91771000,28833000,3279000,3178000,99298000,11973000,6923000,27722000,127020000,42979000,42979000,103709000,255842000,560269000,-689460000,-129218000,-128822000,127020000,-34432000,-34432000,5307000,-7008000,-35079000,-1204000,23959000,-6855000,-6855000,-6855000,122080000,0.26982,-0.27365,0.95747,-1.98601,0.96111,-2.55233,-2.55233,-9.48841,-1.4911,-1.00943
"6","2015_Q3",39.411875,"Down",-55121000,-12315000,-18564000,-4338000,-4449000,-22902000,-22902000,-22902000,-22902000,-22779000,-22779000,67655000,33664000,5467000,5366000,74884000,11886000,6916000,30159000,105043000,46626000,46626000,108612000,248107000,568862000,-712193000,-143337000,-143064000,105043000,-22902000,-22902000,7068000,-9781999.99999999,-24578000,-2901000,25899000,4831000,4831000,4831000,124175000,0.15922,-0.21685,0.68946,-1.73424,1.18213,-1.62668,-1.62668,-10.23589,9.07168,-3.0446
"7","2015_Q4",33.97453125,"Down",-54719000,-16956000,-38279000,-4107000,-4463000,-42386000,-42386000,-42386000,-42386000,-42594000,-42594000,62350000,56350000,6520000,6419000,70921000,11799000,6909000,31763000,102684000,38702000,38702000,95262000,243349000,613261000,-754407000,-141146000,-140665000,102684000,-42386000,-42386000,5783000,-8016000,-42391000,-4022000,23914000,22686000,22686000,22686000,126261000,0.3028,-0.41481,0.74448,-1.72999,1.22961,-2.97992,-2.97992,-9.87472,-5.73888,-1.66961
"8","2016_Q1",25.205737704918,"Down",9627000,14412000,-58212000,-4902000,-5239000,-63114000,-63114000,-51899000,-48067000,-47825000,-47825000,185606000,185606000,5588000,5487000,201394000,11571000,611000,33486000,234880000,52082000,52082000,103746000,418569000,618304000,-802232000,-183928000,-183689000,234880000,-51899000,-48067000,3224000,41965000,-3308000,-3775000,1338000,129256000,129256000,129256000,257655000,0.26036,-0.20361,1.94122,-2.27868,1.09696,-3.24199,-3.24199,-12.46823,-0.3647,-1.2377
"9","2016_Q2",26.30421875,"Up",-34454000,-6452000,-34454000,-3261000,-3218000,-37715000,-37715000,-37715000,-38658000,-38473000,-38473000,132390000,48237000,4571000,4470000,160681000,11427000,610999.999999999,32251000,192932000,50449000,50449000,97363000,410075000,623522000,-840705000,-217197000,-217143000,192932000,-37715000,-38658000,4700000,-896000,-53523000,-1229000,-85491000,-137369000,-137369000,-137369000,259843000,0.17718,-0.19941,1.65033,-1.8885,1.34681,-2.60803,-2.60803,-14.72349,-0.40257,-3.69922
"10","2016_Q3",20.04234375,"Down",-35833000,-8138000,-35833000,-15800000,-15736000,-51633000,-51633000,-51633000,-50958000,-50750000,-50750000,82667000,21491000,4720000,4619000,119033000,11372000,701000,30986000,150019000,44796000,44796000,90888000,351577000,690050000,-891455000,-201404000,-201558000,150019000,-51633000,-50958000,19676000,-6363000,-50903000,-821000,22179000,-26746000,-26746000,-26746000,215544000,0.25179,-0.33829,1.30967,-1.7443,1.43678,-3.16496,-3.16496,-12.56032,-0.85826,-3.70823
