"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q2",11.9719047619048,"Up",41344000,-28725000,-23261000,-1154000,-4310000,12619000,648000,195000,13267000,197000,13464000,-4574000,8890000,8890000,-10000,8880000,8880000,1744146375.51831,1662670864.37917,81475511.1391374,-351313283.674343,-351313283.674343,-20819352.23454,1372666699.61378,3273813.86711672,148881128.441426,2033306.27125248,8641430.30695548,32197071.2030092,1404863770.81679,378676256.363154,681118077.401356,102406778.884046,102406778.884046,481083035.2472,482065566.780518,308921912.424831,39669725.893505,540896491.610472,86421835.8993632,975909965.828172,-53111761.7919023,922798204.036269,1404863770.81679,8890000,8190000,-13938000,3142000,-406000,381000,-25000,430967020.656128,-2761000,150000,-2911000,303000,-2458000,659000,659000,-916000,-257000,0,0.30522,0.21478,0.482005672720793,0.359033027148,-68.8273430430846,1.56091768749416,0,0.20845,0.20681,0.97052,22.7370881527405,-10.0795297928338,0.0314567640780645,-32.1236656380057,-127.944193313101
"2","2010_Q3",10.40328125,"Down",44232000,-30668000,-24724000,-1113000,-4831000,13564000,-859999.999999999,366000,12704000,2678000,15382000,-3781000,11601000,11601000,2000,11603000,11603000,869797687.759154,798741932.189586,71055755.5695687,-138173141.837172,-138173141.837172,-9464976.11727,722898849.806889,9296906.93355836,86846064.2207128,2011653.13562624,5607215.15347774,35670535.6015046,758569385.408394,192714628.181577,327758038.700678,54128389.4420231,54128389.4420231,246843017.6236,248516783.390259,344862456.212416,-24534637.0532475,180407745.805236,36063917.9496816,536799482.914086,-26746880.8959512,510052602.018135,758569385.408394,11601000,1889000,-4372000,9118000,-363000,11931000,11568000,-8523000,-228000,108000,-336000,2031000,-6720000,13966000,13966000,-1181000,12785000,0,0.30666,0.26232,0.236892836360397,0.176006513574,-29.6230915215423,0.859218843747081,0,0.27154,0.26894,1.03515,12.5513990763702,0.19946,0.0917633820390322,0.73455,-67.9686066565506
"3","2010_Q4",13.6328125,"Up",46372000,-32156000,-25965000,-1126000,-5065000,14216000,2365000,710000,16581000,1880000,18461000,-5298000,13163000,13163000,0,13163000,13163000,391258229.253051,326562977.396529,64695251.8565229,-18654380.6123905,-18654380.6123905,-2930592.03909,370057283.268963,12341635.6445195,50856354.7402376,1989884.37854208,4232738.38449258,41271511.8671682,411328795.136131,82402876.0605257,123103346.233559,25808129.8140077,25808129.8140077,108211005.874533,110286261.130086,366701818.737472,-63208212.3510825,-3713418.06492129,10875639.3165605,310655827.638029,-9613293.63198372,301042534.006045,411328795.136131,13163000,840000,833000,14836000,-945000,9083000,7977000,-89608000,-37000,90000,-127000,8000,-89637000,-66824000,-66824000,2113000,-64711000,0,0.30656,0.28386,0.105180945453466,0.080168837858,-6.08026717384743,0.420476281249027,0,0.30786,0.30458,1.08457,7.28298635879008,2.0958,0.0953344606796774,6.80757,-32.3119622188502
"4","2011_Q1",14.9888709677419,"Up",51790000,-38444000,-28881000,-1138000,-8425000,13346000,3173000,182000,16519000,1668000,18187000,-5436000,12751000,12751000,0,12751000,12751000,197124000,136191000,60933000,32821000,32821000,0,229945000,13242000,34399000,1968000,4039000,47641000,277586000,29350000,29350000,12662000,12662000,42012000,44221000,378535000,-82588000,-65553000,2971000,233365000,0,233365000,277586000,12751000,-1315000,15508000,26944000,-1140000,13730000,12751000,-4269000,66000,78000,-12000.0000000002,1000,-4202000,35493000,35493000,-121000,35372000,0,0.25769,0.24621,0.05464,0.04594,5.47332,0.18949,0,0.2981,0.29238,1.21078,5.45577,0.0998,0.07225,0.3348,-14.77027
"5","2011_Q2",15.9501587301587,"Up",54755000,-35499000,-28559000,-1186000,-5754000,19256000,995000,184000,20251000,-363000,19888000,-6986000,12902000,12902000,73000,12975000,12975000,175991000,117683000,58308000,41831000,41831000,543000,218365000,12832000,30961000,1946000,4547000,53420000,271785000,15165000,8694000,9906000,9906000,25071000,27168000,384457000,-88911000,-59197000,4464000,240813000,3804000,244617000,271785000,12902000,10055000,-33593000,-10636000,-735000,-3090000,-3825000,24820544.6916957,-6154000,169000,-6323000,1441000,-4713000,-19174000,-19174000,666000,-18508000,0,0.35168,0.23696,0.05304,0.04774,8.70986,0.11106,0,0.30139,0.29636,1.27186,5.59367,-0.579019554519815,0.05259,-2.42201035973657,-9.13954
"6","2011_Q3",19.32484375,"Up",61459000,-38149000,-30704000,-1295000,-6150000,23310000,1173000,355000,24483000,-282000,24201000,-8442000,15759000,15759000,-80000,15679000,15679000,198876000,140671000,58205000,39258000,39258000,301072.858485556,238134000,12063000,33468000,1924000,5278000,55677000,293811000,20569000,20569000,11967000,11967000,32536000,34495000,389213000,-89042000,-50145000,5911000,255937000,3379000,259316000,293811000,15759000,3585000,15098000,34442000,-5e+05,990000,489999.999999996,-12956000,-13000,118000,-131000.000000002,9000,-12960000,21972000,21972000,1016000,22988000,0,0.37928,0.25511,0.06046,0.05336,7.31909,0.13302,0,0.36277,0.35764,1.422,5.92173,0.29977,0.1096,0.826330000000001,-8.53179
"7","2011_Q4",15.0150793650794,"Down",61616000,-38722000,-31238000,-1279000,-6205000,22894000,-4486000,260000,18408000,-844000,17564000,-8022000,9542000,9542000,64000,9606000,9606000,154375000,95212000,59163000,50680000,50680000,2422743.06333444,205055000,11769000,35407000,1902000,5753000,53053000,258108000,27171000,27171000,14061000,14061000,41232000,43049000,396898000,-89218000,-92483000,-574000,214623000,436000,215059000,258108000,9542000,9363000,1075000,19980000,-984000,-9981000,-10965000,-49680000,-82000,94000,-176000,-3702000,-53464000,-44449000,-44449000,-1010000,-45459000,0,0.37156,0.1559,0.04467,0.03722,4.9732,0.20017,0,0.22217,0.21766,1.42508,4.96387,1.14902,0.27336,5.17177,-6.74303
"8","2012_Q1",18.0577419354839,"Up",59416000,-36128000,-29074000,-1296000,-5758000,23288000,1760000,269000,25048000,160000,25208000,-9134000,16074000,16074000,-27000,16047000,16047000,162825000,127824000,35001000,39590000,39590000,10443000,212858000,11200000,36871000,1879000,5825000,73375000,286233000,28285000,28285000,22640000,22640000,50925000,50925000,403035000,-89235000,-83063000,-225000,230512000,4796000,235308000,286233000,16074000,3304000,9280999.99999999,28659000,-708000,3173000,11265000,-6482000.00000001,68000.0000000005,85000,-16999.9999999995,1000,-6413000,33511000,33511000,-899000,32612000,0,0.39195,0.27008,0.0682,0.05606,4.17983,0.21642,0,0.37101,0.3635,1.37372,5.32951,0.14987,0.09574,0.40394,-6.9918
"9","2012_Q2",18.9338095238095,"Up",63730000,-37838000,-30205000,-1396000,-6237000,25892000,609000,621000,26501000,1912000,28413000,-10155000,18258000,18258000,-204000,18054000,18054000,125067000,90605000,34462000,53584000,53584000,20554000,199205000,10893000,31799000,1857000,5987000,118945000,318150000,15944000,8069000,30993000,30993000,46937000,46937000,411216000,-97533000,-73101000,2154000,242736000,28477000,271213000,318150000,18258000,8910000,-83435000,-56267000,-1054000,1245000,155000,-4907198.7784305,-8161000,137000,-8298000,26245000,18084000,-38028000,-38028000,809000,-37219000,0,0.40628,0.28329,0.06657,0.05675,4.24409,0.17306,0,0.41407,0.40675,1.46166,5.56721,0.109336845170397,0.06657,-0.488006861525156,-4.83033
"10","2012_Q3",19.3122222222222,"Up",67432000,-40823000,-32850000,-1438000,-6535000,26609000,561000,669000,27170000,-3098000,24072000,-9045000,15027000,15027000,1052000,16079000,16079000,154939000,120273000,34666000,47012000,47012000,14330000,216281000,9970000,32648000,1835000,5768000,119504000,335785000,19343000,19343000,29594000,29594000,48937000,48937000,416287000,-97624000,-65089000,350000,253924000,32924000,286848000,335785000,15027000,7121000,17646000,39794000,-505000,1918000,1406000,-15747000,26999.9999999981,118000,-90999.9999999991,5515000,-10205000,30995000,30995000,-1327000,29668000,0,0.3946,0.23845,0.05605,0.04788,4.41958,0.1706,0,0.36703,0.3622,1.53926,5.79629,0.35945,0.11095,0.979349999999998,-5.8228
