"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",3.283125,"Down",2195812,-536185,-1422944.62388935,-1936164.97002849,-1810110.61268938,-971868.64277267,-2319601,-524483,-516266,-8217,-2844084,-1937493,-2166493,-2166493,-2166493,-3410485,6087551.37852409,6087551.37852407,2452327.3446658,2452327.3446658,1783279.86456228,-4401006.45596053,805348.599796255,14820801.6651271,2388226.42514709,-8160791.36576402,310953.075708478,-5772564.94061693,9048236.72451014,5412814.02878359,5412814.02878359,25880654.4216375,6604520.53410477,43802526.741371,78815381.3896662,104696035.811304,152932881.922635,-251407800.8132,-95647799.0867935,-95647799.0867935,9048236.72451014,-2166493,254772,-432015,970790,-1372946,-48268,-48268,1959000,1959000,7477765,6056551,6056551,6056551,-2064829,0,-1.59358611256632,-1.05638,-1.55318,-0.569530696526442,-1.35734810495753,-46.5970759576085,-0.724608661499023,6.28222442883134,-0.79221,-0.79221,0.51006,-22.9386997530662,-2.12138540000855,-41.6174400935157,-38.8726679455036
"2","2011_Q1",3.07209677419355,"Down",808633,-842751,-34118,-1414282,-1262228,-360556,-1448400,-300348,-298728,-1620,-1748748,-2780352,-2780352,-2780352,-2780352,-3102721,1799048,1799048,407350,407350,1902789,1158067,74437,5267254,500742,637771,637771,1138513,6405767,967896,967896,9386863,6048378,18081854,24130232,33517095,9947036,-38183364,-27111328,-27111328,6405767,-2780352,87478,1103910,882097,-706867,-14749,-14749,-13744.9999999998,-13744.9999999998,2313336,1591720,1591720,1591720,-1360922,13128890,-0.04219,-1.79117,-3.837,0.11444,-0.48436,0.56113,-1.23628,2.04954,-0.72072,-0.72014,0.18783,-6.55892,-0.75687,-8.32512,-7.82232
"3","2011_Q2",2.79714285714286,"Down",1121561,-338777,782784,-1684732,-1579141,-105591,-901948,-210699,-202799,-7900,-1112647,-2291274,-2291274,-2291274,-2291274,-2667053,3582392.79049197,3582392.79049198,-220005.948221932,-220005.948221932,1851098.76771886,2629177.40198684,-114728.783265418,5160369.52829097,-120166.641715696,3360416.12192134,818884.062145761,3240249.48020564,8400619.00849662,-149178.842927865,-149178.842927865,2040071.77612084,5583182.33294761,4686468.68620968,1985865.9534446,4025937.72956544,-19883185.6408783,23981490.1877332,4374681.27893117,4374681.27893117,8400619.00849662,-2291274,85805,1217205,-168716,-1156980,-17981,-17981,-631287.842244515,-631287.842244515,-37346,-1212307,-1212307,-1212307,-816143,0,0.69794,-0.80419,-2.37798,0.142256065508814,-0.161038131680822,17.4374819858695,-0.827962946166992,0.252252690389553,-0.61952,-0.61902,0.26052,0.973416584355391,-0.214514033330482,4.94949586450522,4.60826431516786
"4","2011_Q3",2.3065625,"Down",1225495,-424303,801192,-2252414,-2151297,-101117,-1451222,-436094,-433451,-2643,-1887316,-1677790,-1677790,-1677790,-1677790,-2000529,7840329,7840329,19111,19111,1735264.86771886,1733498,650.000000000116,9592938,2358.00000000023,2565271,895033.362145761,2567629,12160567,611571,611571,611571.000000002,5184091.63294762,0,-7.45058059692383e-09,611570.999999993,13343595,-1794599.00000003,11548996,11548996,12160567,-1677790,84064,-176669,464839,-1305556,-7569,-7569.00000000023,1149,1149,2956149,1643024,1643024,1643024,-1367158,0,0.65377,-1.18419,-1.63243,-0.17322,-0.16451,15.68573,0.05295,4.44089209850063e-16,-0.4647,-0.46432,0.28467,2.68268,-0.17322,5.73476,5.40257
"5","2011_Q4",2.73365079365079,"Up",1140768,-1130332,10436,-2636869,-2407160,-229709,-2626433,-317730,-318110,380,-2944163,-3113170,-3113170,-3113170,-3113170,-3443003,10525537,10525537,538109,538109,1662343,344841,159846,13070830,293681,1076947,906960,1370628,14441458,1657113,1657113,1657113,4826264,0,4826264,6483377,54252030,-46293949,7958081,7958081,14441458,-3113170,81315,262069,341471,-2428315,-27762,7173876,1002500,1002500,3550211,8295772,8295772,8295772,-2545118,4826264,0.00914999999999988,-2.30234,-3.01814,-0.43264,-0.23841,7.88771,0.81469,0.3342,-0.79976,-0.79912,0.26499,1.84856,-0.26931,2.2393,2.16997
"6","2012_Q1",2.96822580645161,"Up",1361646,-533132,828514,-2817638,-2556700,-260938,-1989124,-125149,-140297,15148,-2114273,-2136986,-2136986,-2136986,-2136986,-2136986,8190781,8190781,797654,797654,1760540,133500,133500,10882475,247824,1364743,899480,1612567,12495042,1585100,1585100,2019834,4403737,156424.318125022,4403737,6423571,54502406,-48430935,6071471,6071471,12495042,-2136986,89491,202465,-343409,-2188439,-36154,-36154,22831,22831,-110163,-2334756,-2334756,-2334756,-1899633,4838471,0.60847,-1.46082,-1.56941,-0.35197,-0.17103,5.38781,1.05799,0.38723,-0.49639,-0.49599,0.31629,1.41032,-0.19588,1.76471,1.68532
"7","2012_Q2",3.27984126984127,"Up",1653430,-439158,1214272,-3155347,-2859216,-296131,-1941075,-133299,-125125,-8174,-2074374,-2109325,-2109325,-2109325,-2109325,-2109325,5641947,5641947,893983,893983,2126336,142257,142257,8804523,221446,1451123,911297,1672569,10477092,1506373,1506373,2424853,3932229,-2.3283064365387e-10,3932229,6357082,54660270,-50540260,4120010,4120010,10477092,-2109325,85110,192811,-646885,-2478289,-70549,-70549,63,63,4,-2548834,-2548834,-2548834,-1855965,4850709,0.7344,-1.17397,-1.27573,-0.51197,-0.20133,3.63095,1.54298,0.46298,-0.19021,-0.19021,0.1491,0.37153,-0.23513,0.42632,0.40763
"8","2012_Q3",2.85650793650794,"Down",2012513,-501917,1510596,-3097399,-2730036,-367363,-1586803,-119367,-125218,5851,-1706170,-1766153,-1029719,-1029719,-1029719,-1029719,4638793,4638793,862228,862228,2467787,240678,240678,8209486,176995,1451174,884935,1628169,9837655,1704033,1704033,3106259,3460751,0,3460751,6567010,54840624,-51569979,3270645,3270645,9837655,-1029719,80430,206184,-242883,-985988,-9617,-9617,9152,9152,-7549,-1003154,-1003154,-1003154,-1506373,4862977,0.7506,-0.78847,-0.51166,-0.31484,-0.10467,2.64289,2.00786,0.49432,-0.09286,-0.09286,0.18148,0.29493,-0.1266,-0.14882,-0.14128
"9","2012_Q4",2.71354838709677,"Down",1980849,-542235,1438614,-3481602,-3091207,-390395,-2042988,-133808,-145426,11618,-2176796,-2236809,-2236809,-2236809,-2236809,-2236809,4445099,4445099,925544,925544,2722670,89835,89835,8183148,139362,1371261,736772,1510623,9693771,1863494,1863494,3749466,4739305,3.63797880709171e-12,4739305,8488771,55011788,-53806788,1205000,1205000,9693771,-2236809,225353,184653,2914,-1823889,-39557,-39557,21526,21526,1669752,-193694,-193694,-193694,-1817635,6625277,0.72626,-1.03137,-1.12922,-1.85627,-0.23075,2.18248,7.04462,0.68346,-0.20171,-0.20171,0.17863,0.10866,-0.28566,-1.19946,-1.06715
"10","2013_Q1",3.67333333333333,"Up",2044912,-478567,1566345,-3797415,-3424093,-373322,-2231070,-980896,-995573,14677,-3211966,-4043863,-4042105,-4042105,-4042105,-4042105,13907401,13907401,1050089,1050089,3151109,187256,187256,18295855,108534,1826174,573731,1934708,20230563,1479752,1479752,1479752,21580252,-4230.93486011053,21580252,23060004,55019452,-57848893,-2829441,-2829441,20230563,-4042105,-76064,1659733,-915256,-3373692,-7561,-7561,-15088.9999999999,-15088.9999999999,12843555,9462302,9462302,9462302,-2307134,21580252,0.76597,-1.09103,-1.97666,1.42859,-0.1998,12.36414,-8.15002,1.06672,-0.3645,-0.3645,0.1844,-0.25515,-0.21557,-3.32571,-3.43909
