"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",15.94,"Down",102897545,-75252872,27644673,-10918206,-10918206,16726467,-1530358,-1787161,256803,15196109,15189604,-5472062,9717542,9717542,9717542,9717542,191896335.930103,191896335.930103,46176548.2240218,46176548.2240218,58848568.0221174,18769014.26894,-6013382.71956015,20737810.2350814,315690466.445182,113095994.929093,127393245.900511,96512101.1617918,240489240.829604,556179707.274787,24317577.8977316,13331418.9455507,8387069.84164284,28303232.292208,28303232.292208,31008704.9196757,245230747.870045,35919005.3231407,36159183.9127439,281149753.193185,312158458.112861,36244759.7670723,211217865.066236,-2698371.03856789,244021249.161926,244021249.161926,556179707.274787,9717542,5893135,1336754,567611,17515042,-5479415,-5479415,-3124513,-1.2e+07,-14144517,-2108890,-2108890,-74535,-2183425,22619602,0,23179860,0.26866,0.16255,0.09444,0.0329825489658153,0.0143800188333541,2.38536,7.03607019300107,1.27379439540807,0.401722090865628,0.38991,0.3856,4.12867,9.80059023567998,0.93007,0.12537,0.0220942584606585,0.0538890957794362,0.32153,1.85781297884472,3.03904692613633
"2","2011_Q1",17.2511290322581,"Up",100686247,-73304384,27381863,-11222128,-11222128,16159735,-1885424,-2484151,598727,14274311,14298752,-5073897,9224855,9224855,9224855,9224855,138389837,138389837,61945377,61945377,59552392,24131529,1248270,15880092,284019135,125361635,157144071,113463436,282505706,566524841,31591796,21713896,7038999,26594434,26594434,58186230,2.25e+08,27320738,27320738,252320738,310506968,36750182,218889963,920063,256017873,256017873,566524841,9224855,6002302,-2274734,3604409,16556832,-5384264,-5384264,-3124839,1.25e+08,120641773,131814341,131814341,-77477,131736864,22162037,2.25e+08,25456079,0.27195,0.1605,0.09162,0.03603,0.01628,2.75951,4.88121,1.21283,0.39716,0.37014,0.36605,4.03994,10.27248,1.0214,0.12538,0.02429,0.05008,0.33874,3.90804,5.35963
"3","2011_Q2",18.1552380952381,"Up",114332931,-83264145,31068786,-13049354,-13049354,18019432,-2823110,-3470539,647429,15196322,14965313,-5500112,9465201,9465201,9465201,9465201,132013595.773299,132013595.773299,65936065.925326,65936065.925326,62148846.3259609,25002500.6603533,3690281.90652005,13863062.5049729,285101008.684939,127880201.356969,162236612.033163,116769301.029403,290116813.390132,575217822.075071,33194950.5340895,24981987.8514831,6116972.30278572,26787160.819264,26787160.819264,70757574.9434414,214684988.876652,25529650.1422864,25449590.6124187,240214639.018938,310972213.96238,37580458.4943092,225386736.727921,1650900.92952263,264245608.112691,264245608.112691,575217822.075071,9465201,5800067,2091533,-7686967,9669834,-4557578,-4557578,-3135902,121690403.621159,-3096296,2015960,2015960,-5526,2010434,23819499,0,17075066,0.27174,0.1576,0.08279,0.0360466503447282,0.016554160388882,1.80398,4.08030410233298,1.17706103486398,0.392018469711457,0.37978,0.37558,4.5875,10.5688682547733,0.68512,0.12583,0.0245502471797805,0.0484303014068546,0.33131,4.00969234038509,5.29159852462122
"4","2011_Q3",19.38609375,"Up",114661270,-84281092,30380178,-11740423,-11740423,18639755,-3078710,-3463639,384929,15561045,15621176,-6015155,9606021,9606021,9606021,9606021,149099907,149099907,64521060,64521060,64724611,23764990,3371514,13702321,302110568,125999479,155136069,113406239,281135548,583246116,32088777,25154000,5688609,27808823,27808823,74183314,210714286,27542048,27542048,238256334,312439648,38524404,231686446,835553,270806468,270806468,583246116,9606021,5497427,1232425,967333.999999998,17303207,-5717025,-5717025,-3138837,54042062.83325,-2913716,8672466,8672466,27170,8699636,24137182,2.25e+08,25402646,0.26496,0.16256,0.08378,0.03547,0.01647,2.64445,4.07249,1.15374,0.38577,0.38272,0.37935,4.56833,10.78946,1.01209,0.12506,0.02435,0.04854,0.32676,3.14453,4.07195
"5","2011_Q4",18.148253968254,"Down",116492703,-85685729,30806974,-11320064,-11320064,19486910,-3326409,-3518978,192569,16160501,16167602,-6146684,10020918,10020918,10020918,10020918,160098553,160098553,65454139,65454139,64661493,22805071,2397618,14048240,313019256,127090526,153555929,112902427,280646455,593665711,31157347,24292558,6348495,29432825,29432825,74875886,210714286,30170642,30170642,240884928,315760814,39187297,238561936,329942,277904897,277904897,593665711,10020918,5572431,3397978,867252,19858579,-5795959,-5795959,-3145428,8.94069671630859e-08,-3210680,10851940,10851940,146706,10998646,25059341,2.25e+08,26277318,0.26445,0.16728,0.08602,0.03606,0.01688,2.62225,4.18051,1.13622,0.379,0.39823,0.39492,4.62944,11.04399,1.04427,0.125,0.0247,0.04929,0.31389,2.58991,3.33052
"6","2012_Q1",21.1738709677419,"Up",123625506,-91294550,32330956,-12755045,-12755045,19575911,-2686691,-3485993,799302,16889220,16886814,-5243158,11643656,11643656,11643656,11643656,143302666,143302666,74647303,74647303,60281130,24504800,2811858,14038161,302735899,135826703,168211963,121383863,304038666,606774565,33388284,24401194,7988594,30304579,30304579,77978577,210714286,30472937,30472937,241187223,319165800,39419131,247059938,1303974,287608765,287608765,606774565,11643656,5724762,-442266,307056,17233208,-3412334,-30775168,-3145654,0,-3145654,-16687614,-16687614,-108273,-16795887,25300673,2.25e+08,27438553,0.26152,0.15835,0.09418,0.04048,0.01919,2.35652,3.8823,1.10972,0.37081,0.46269,0.45788,4.91255,11.42882,1.09034,0.125,0.02723,0.05052,0.27016,3.22906,4.17336
"7","2012_Q2",22.225873015873,"Up",127142864,-89277551,37865313,-15356217,-15356217,22509096,-3388475,-3340166,-48309,19120621,25089702,-9103762,15985940,15985940,15985940,15985940,139317814,139317814,80053625,80053625,63326378,27267625,4888161,15015326,309965442,131585146,165696020,120431145,297281166,607246608,38203780,25910523,5185736,26182089,26182089,78671583,196428571,31812214,31812214,228240785,306912368,41113737,259889619,-669116,300334240,300334240,607246608,15985940,5814927,-2383624,-3192765,16224478,-3479904,-3479904,-3156259,-14285714,-16837470,-4092896,-4092896,108044,-3984852,28324023,210714285,30755116,0.29782,0.17704,0.12573,0.05323,0.02633,1.92389,3.93999,1.0219,0.347,0.63326,0.62804,5.03657,11.89728,1.21832,0.12503,0.03526,0.05665,0.19744,2.5207,3.17189
"8","2012_Q3",28.0984126984127,"Up",153385291,-110073078,43312213,-15768242,-15768242,27543971,-2933376,-3227906,294530,24610595,24593202,-8720265,15872937,15872937,15872937,15872937,68716426,68716426,91966192,91966192,78436608,22605302,5783941,9323629,261724528,137967157,247091772,153412564,385058929,646783457,35556823,27936086,6511325,44307068,44307068,94149605,196428571,40402513,31864845,236831084,330980689,41896203,272599929,1306636,315802768,315802768,646783457,15872937,7348203,901239,-10181195,13941184,-585102,-77629395,-3162627,-3850152,-6826604,-70514815,-70514815,-86573,-70601388,34892174,210714285,32846142,0.28238,0.17957,0.10348,0.05026,0.02454,2.06932,2.77988,1.04806,0.32579,0.62746,0.62226,6.06333,12.48369,1.29841,0.12502,0.03358,0.05794,0.19925,4.06962,5.15532
"9","2012_Q4",31.6964516129032,"Up",149674616,-104671793,45002823,-17894549,-17894549,27108274,-2780487,-3234340,453853,24327787,24170722,-8807042,15363680,15363680,15363680,15363680,49505820,49505820,94398244,94398244,84141962,24085605,4780366,12256456,252131631,152005729,270327172,166607181,422332901,674464532,39866316,30576637,8912650,55340795,55340795,109492825,196428571,41174496,32426015,237603067,347095892,42672656,284412072,283912,327368640,327368640,674464532,15363680,7909447,1734964,11412904,36420995,-6904988,-52492875,-3551537,3.72529029846191e-09,-3143194,-19215074,-19215074,4468,-19210606,35017721,210714285,48332679,0.30067,0.18111,0.10265,0.04693,0.02278,3.14591,2.30272,1.06026,0.31242,0.60576,0.59899,5.90143,12.90761,1.90568,0.14003,0.03265,0.08344,0.23116,4.60363,5.94684
"10","2013_Q1",38.058,"Up",140391229,-102398578,37992651,-17169992,-17169992,20822659,-2815662,-3270588,454926,18006997,20515374,-7281931,13233443,13233443,13233443,13233443,55597751,55597751,97857193,97857193,82330926,26646069,6152476,12878068,262431939,154476220,277296655,171886270,431772875,694204814,40504040,28921539,11013779,64109454,64109454,118899208,196428571,44942561,36403283,241371132,360270340,43030879,294092945,-3189350,333934474,333934474,694204814,13233443,8290423,-1281579,5909056,26151343,-2114006,-16539826,-3552577,-134,-3552731.99999999,6058785,6058785,33061,6091846,29113082,210714285,40190063,0.27062,0.14832,0.09426,0.03963,0.01906,3.03701,2.20718,1.07887,0.30353,0.52147,0.51631,5.53223,13.15896,1.58372,0.13999,0.02847,0.06817,0.26845,5.32807,7.44941
