"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",1.47777777777778,"Down",2858000,-662000,2196000,-3515000,-2424000,-596000,-1828000,-1074000,-1319000,-1023000,-679000,-2342000,-2342000,-68000,-2410000,2614000,2614000,2614000,-73955791.1327257,-73955791.1327257,2214745.04234811,2214745.04234811,916766.697516834,-70824279.3928607,28171.838560735,6770188.61923814,4592776.71892235,6798360.45598517,-64025918.9368756,36565317.0424453,30721831.7407282,5843485.3017171,-186519839.421549,-186520532.339436,-149954522.379104,-130206185.764515,-280160704.712905,1e+05,266176302.558307,-44181370.0652155,-4466852.71593997,216134785.77603,216134785.77603,-64025918.9368756,2614000,347000,-4010000,698000,-351000,-57000,-57000,-57000,-605000,1859000,903000,903000,139000,1042000,-972000,0,-263000,0.76837,-0.46151,0.91463,-28.3145886467143,1.2324150168475,-0.10061,0.882266711871077,240.466892585519,1.53046338733074,0.31359,0.34702,0.34286,25.5405090624787,-0.03155,-116.602615713844,-95.8479110196562,-4.40708191374645,-48.6149819108756
"2","2010_Q3",1.82421875,"Up",2078000,-1085000,993000,-2653000,-1574000,-453000,-1121000,-1060000,-1660000,-528000,-360000,-2188000,-2188000,-65000,-2253000,-2253000,-2253000,-2253000,-29665395.5663628,-29665395.5663628,2813872.52117405,2813872.52117405,544383.348758417,-26307139.6964304,262585.919280367,8399594.30961907,5600888.35946117,8662180.22799258,-17644959.4684378,18922658.5212227,15548915.8703641,3373742.65085855,-77613919.7107747,-77614266.1697181,-58691261.189552,-51129092.8822576,-109820352.356453,1e+05,170844151.279154,-75860185.0326078,-2161926.35796998,92175392.8880148,92175392.8880148,-17644959.4684378,-2253000,220000,-10000,2036000,-7000,-64000,-64000,-64000,-421000,0,-428000,-428000,-122000,-550000,-1440000,2.3283064365387e-10,597000,0.47786,-0.79885,-1.08422,-12.5337443233571,0.32241250842375,-0.26498,0.867963355935538,102.388401292759,0.813051693665371,-0.27028,-0.29909,0.24929,10.8735495312393,0.07162,-48.919542856922,-40.1993755098281,-9.20827595687322,-26.2147709554378
"3","2010_Q4",1.6953125,"Down",2047000,-1259000,788000,-2862000,-1915000,-598000,-1317000,-929000,-2074000,-345000,-358000,-2419000,-8447000,-45000,-8492000,-8492000,-8492000,-8492000,-6995798.52212095,-6995798.52212095,2921624.17372468,2921624.17372468,356794.449586139,-3717379.89881012,370528.639760123,9468531.43653969,6272962.78648706,9839060.07599753,6121680.1771874,9274886.17374088,7219638.6234547,2055247.55028618,-19985306.5702582,-19985422.0565727,-10710420.3965173,-9987697.6274192,-20698117.4521509,1e+05,119325383.759718,-91449395.0108692,-859975.452656661,26819797.6293383,26819797.6293383,6121680.1771874,-8492000,-29000,6877000,883000,-761000,61000,61000,61000,60000,0,-701000,-701000,2000,-699000,-2103000,0,-1114000,0.38495,-1.01319,-4.14851,-3.89519144111904,-0.0397758305254166,0.13118,0.725554451978513,30.2343504309198,0.442733897888457,-1.01874,-1.12734,0.24557,3.15327317707978,-0.13364,-13.2738042856407,-10.9672151699427,-11.8272886522911,-14.1976969851459
"4","2011_Q1",1.64193548387097,"Down",2203000,-204000,1999000,-2392000,-1927000,-495000,-1432000,-465000,-393000,50000.0000000001,-364000,-343000,-1207000,-46000,-1253000,-1253000,-1253000,-1253000,845000,845000,2699000,2699000,296000,3840000,388000,9975000,6609000,10363000,14203000,5367000,3807000,1560000,1534000,1534000,6901000,4684000,11585000,1e+05,99616000,-96736000,-291000,2618000,2618000,14203000,-1253000,1e+05,1744000,-1381000,-790000,-28000,-28000,-28000,-28000,1.16415321826935e-10,-818000,-818000,-21000,-839000,-293000,4461000,-1656000,0.9074,-0.17839,-0.568769999999999,-0.47861,-0.08822,1.32163,0.55644,4.42513,0.31409,-0.15032,-0.16634,0.26428,0.30207,-0.19866,-0.1716,-0.22679,-12.3413,-9.20102
"5","2011_Q2",2.31587301587302,"Up",1893000,-550000,1343000,-1814000,-1150000,-235000,-915000,-664000,-471000,-319000,-367000,-790000,-740000,-31000,-771000,-771000,-771000,-771000,649000,649000,2307000,2307000,304000,3260000,351000,9917000,6609000,10268000,13528000,4944000,3384000,1560000,2112000,2112000,7056000,4352000,11408000,1e+05,99712000,-97507000,-185000,2120000,2120000,13528000,-771000,129000,374000,-1000,-269000,-34000,-34000,-34000,-34000,3011506.89318195,-303000,-303000,106000,-197000,-342000,4352000,-346000,0.70946,-0.24881,-0.40729,-0.36368,-0.05699,0.44877,0.46202,5.38113,0.3217,-0.09249,-0.09249,0.22709,0.24233,-0.04151,-0.11913,-0.05346,-10.82749,-7.862
"6","2011_Q3",3.23625,"Up",1938000,-716000,1222000,-1907000,-1422000,-221000,-1201000,-485000,-685000,-409000,-378000,-1094000,-931000,62000,-869000,-869000,-869000,-869000,572000,572000,2002000,2002000,350000,2924000,298000,9860000,6609000,10158000,13082000,5358000,3737000,1621000,1942000,1942000,7300000,4562000,11862000,1e+05,99802000,-98438000,-244000,1220000,1220000,13082000,-931000,80000,290000,513000,-48000,30000,30000,30000,30000,6707419.12489521,-18000.0000000005,-18000.0000000005,-58000,-75999.9999999995,-605000,4562000,-124000,0.63055,-0.35346,-0.4484,-0.7123,-0.06643,0.14269,0.40055,9.72295,0.34872,-0.10402,-0.10402,0.23198,0.13406,-0.01484,-0.15029,-0.02145,-6.59504,-5.82482
"7","2011_Q4",3.11428571428571,"Down",1957000,-791000,1166000,-7281000,-6852000,-204000,-6648000,-429000,-6115000,-1764000,-1693000,-7879000,-6845000,-95000,-6940000,-6940000,-6940000,-6940000,7406000,7406000,1945000,1945000,376000,9727000,265000,9802000,6609000,10067000,19794000,4354000,2939000,1415000,16192000,16192000,20546000,16780000,37326000,1e+05,87882000,-105316000,-198000,-17532000,-17532000,19794000,-6878000,123000,6543000,42000,-170000,-6000,-6000,-6000,-6000,6989000,6813000,6813000,21000,6834000,-5992000,5735000,-5861000,0.59581,-3.12468,-3.54624,0.39585,-0.35061,0.84452,0.47343,-2.12902,0.28973,-0.8267,-0.8267,0.23312,-2.10035,-0.69817,9.22872,7.79388,0.278870000000001,0.27326
"8","2012_Q1",3.82274193548387,"Up",1442000,-816000,626000,-5038000,-4462000,-213000,-4249000,-576000,-4412000,-10099000,-10059000,-14511000,-22081000,-46000,-22127000,-22127000,-22127000,-22127000,8799000,8799000,1190000,1190000,120000,10109000,230000,4457000,3640000,4687000,14796000,4788000,3051000,1737000,780000,780000,5568000,3529000,9097000,1e+05,133307000,-127443000,-194000,5699000,5699000,14796000,-22127000,97000,14840000,5848000,-1342000,-7000,-7000,-7000,-7000.00000000012,2711000,1362000,1362000,31000,1393000,-4315000,3077000,1572000,0.43412,-3.05964,-15.34466,-3.88261,-1.49547,-0.07104,1.81555,1.59624,0.20796,-1.53115,-1.53115,0.09978,0.38744,0.10878,-2.39781,0.17035,1.32607,1.29692
"9","2012_Q2",4.49174603174603,"Up",1290000,-672000,618000,-2870000,-2504000,-103000,-2401000,-366000,-2252000,-466000,-459000,-2718000,-2739000,-14000,-2753000,-2753000,-2753000,-2753000,8240000,8240000,1019000,1019000,136000,9395000,201000,4399000,3640000,4600000,13995000,4451000,3032000,1419000,2787000,2787000,7238000,1378000,8616000,1e+05,135709000,-130196000,-163000,5379000,5379000,13995000,-2753000,87000,1389000,-313000,-1590000,-9515.24751748482,-9515.24751748482,-9515.24751748482,-2496512.03079181,1e+06,-590000,-590000,31000,-559000,-2165000,1378000,2027278.43365272,0.47907,-1.74574,-2.13411,-0.51181,-0.19671,-0.00908184622543252,1.29801,1.60178,0.09846,-0.16289,-0.16289,0.07633,0.31235,0.240933339188722,-0.40743,-2.44176624564835,3.16952,3.04707
"10","2012_Q3",3.9984126984127,"Down",913000,-376000,537000,-3770000,-3405000,-215000,-3190000,-365000,-3233000,-520999.999999999,-494999.999999999,-3754000,-3755000,-20000,-3775000,-3775000,-3775000,-3775000,3137000,3137000,2068000,2068000,344000,5549000,317000,9688000,4537000,10005000,15554000,5803000,4054000,1749000,3626000,3626000,9429000,2322000,11751000,1e+05,137942000,-133971000,-197000,3803000,3803000,15554000,-3775000,110000,1918000,43000.0000000009,-1704000,-8000.00000000001,-8000.00000000001,-8000.00000000001,-3365000,0,-5069000,-5069000,-34000,-5103000,-3123000,1564000,-3068000,0.58817,-3.54107,-4.13472,-0.99264,-0.2427,0.81272,0.5885,3.08993,0.10055,-0.21634,-0.21634,0.05232,0.21222,-0.17583,-0.61633,-0.500900000000001,0.50368,0.48655
