"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",47.16875,"Up",175000,-10715000,-2845000,-7870000,-10540000,48000,-2000,-10492000,-10359000,-10223000,-10223000,-10223000,-10223000,38228953.0803573,5148486.05408958,7247775.38653053,435763.774193747,6812011.61233678,32953967.4334671,9994677.62758048,32848307.1146412,33142005.19656,-294342.52296257,42827596.9957861,75781564.4292533,15021845.8558495,2028808.24761177,12993037.6082377,-12517188.7809889,335373.996708381,2576618.71924901,366119.750673827,18707175.1484172,9629958.05426122,19073294.899091,21649913.61834,8.78142456568959e-12,353375922.875832,-2450000,-297523400.36658,729128.301660903,54131650.8109132,54131650.8109132,75781564.4292533,-10223000,358000,524000,1024000,-8317000,-712000,-3246000,-3958000,19064000,19064000,19044000,6769000,6769000,6769000,-10182000,0,-60.22857,-58.41714,-0.0217023397150427,-0.00784035482117704,6.79081396664293,0.38762621070486,0.00579967364512567,-1.95155,-1.95155,0.03341,10.5870415203553,-0.00337761425544651,11.9896242137602,10.5713042986634
"2","2011_Q1",48.75,"Up",51000,-7083000,-2277000,-4806000,-7032000,533000,-3000,-6499000,-6599000,-6285000,-6285000,-6285000,-6285000,31676000,8061000,1607000,1342000,265000,33337000,8206000,33301000,33141000,160000,41507000,74844000,9845000,3572000,6273000,341000,341000,10266000,320000,3636000,3636000,3956000,14222000,0,372592000,-2450000,-310292000,772000,60622000,60622000,74844000,-6285000,381000,373000,-277000,-5808000,-132000,-3172000,-3304000,978000,978000,958000,-8154000,-8154000,-8154000,-6651000,4e+05,-137.88235,-123.23529,-0.10368,-0.08397,3.24732,0.2346,0.00534,-1.19979,-1.19979,0.00973999999999999,11.57262,-0.0972,4.70245,4.44767
"3","2011_Q2",46.4015873015873,"Down",834000,-7921000,-2850000,-5071000,-7430000,44000,-2000,-7386000,-7453000,-7453000,-7453000,-7453000,-7453000,26344598.9732142,10853921.3153035,1577074.87115649,1919162.07526875,-342087.20411226,31369177.5221776,7593190.79080651,33374647.6284529,33140664.93448,234197.50765419,40972967.6680713,72342145.1902489,7070384.71471684,3635313.91746274,3435070.79725409,4217979.59366298,350458.667763873,11362710.426917,299626.749775391,-245391.71613906,1738680.64857959,54235.0336363297,11416945.4605533,-2.92714152189653e-12,380605109.041389,-2450000,-318072199.877807,842290.566113032,60925199.7296956,60925199.7296956,72342145.1902489,-7453000,389000,566000,-2543000,-9041000,-41000,8026000,7985000,1373000,1373000,1353000,297000,297000,297000,-7041000,0,-8.90887,-8.93645,-0.112732553428319,-0.0943682150596077,2.46293617778569,0.185195429765047,0.00516427545162478,-1.42276,-1.42276,0.15921,11.2759461598816,-0.110177461914851,2.87219442874659,2.85618106711221
"4","2011_Q3",33.625,"Down",3001000,-7691000,-3338000,-4353000,-5921000,36000,-2000,-5885000,-4581000,-4993000,-4993000,-4993000,-4993000,22321000,13092000,4263000,2243000,2020000,28416000,7629000,33301000,33141000,160000,40930000,69346000,6071000,2961000,3110000,2864000,364000,8995000,3e+05,2208000,2208000,2508000,11503000,0,382121000,-2450000,-322738000,910000,57843000,57843000,69346000,-4993000,399000,-605000,-3199000,-8398000,-137000,6267000,6130000,7022000,7022000,7002000,4734000,4734000,4734000,-5522000,360000,-1.97301,-1.66377999999998,-0.08632,-0.072,3.15909,0.19887,0.00519,-0.89154,-0.89154,0.53585,10.32828,-0.08265,3.977,3.709
"5","2011_Q4",29.1047619047619,"Down",5008000,-6788000,-2738000,-4050000,-3969000,20000,-2000,-3949000,-3213000,-3213000,-3213000,-3213000,-3213000,19604000,14318000,6632000,2392000,4240000,26253000,7531000,33301000,33141000,160000,40832000,67085000,6326000,2395000,3931000,375000,375000,6741000,3e+05,5447000,2947000,5747000,12488000,0,382085000,-2450000,-325951000,913000,54597000,54597000,67085000,-3213000,409000,-134000,-383000,-3321000,-236000,3860000,3624000,943000,943000,923000,1226000,1226000,1226000,-3560000,340000,-0.79253,-0.64157,-0.05885,-0.04789,3.89453,0.22873,0.00507,-0.55826,-0.55826,0.87015,9.4863,-0.05321,5.41124,4.85362
"6","2012_Q1",27.2903225806452,"Down",5845000,-6864000,-1974000,-4890000,-4259000,53000,-3000,-4206000,-3705000,-3705000,-3705000,-3705000,-3705000,18309000,14104000,5835000,2441000,3394000,26109000,6857000,33610000,33141000,469000,40467000,66576000,7173000,2645000,4528000,386000,386000,7579000,3e+05,4848000,2348000,5148000,12727000,3.23117426778526e-27,385123000,-2450000,-329656000,832000,53849000,53849000,66576000,-3705000,416000,82000,338000,-2869000,-196000,1e+06,804000,1821000,1821000,1851000,-214000,-214000,-214000,-3843000,320000,-0.728659999999999,-0.63388,-0.0688,-0.05565,3.44491,0.23635,0.00481,-0.64259,-0.64259,1.01374,9.33946,-0.06278,4.68098,4.22376
"7","2012_Q2",25.5873015873016,"Down",4642000,-8323000,-2985000,-5338000,-7467000,30000,-3000,-7437000,-7336000,-7336000,-7336000,-7336000,-7336000,20720000,13873000,3997000,2411000,1586000,26442000,7949000,34246000,33141000,1105000,42195000,68637000,7437000,2959000,4478000,397000,397000,7841000,4e+05,6072000,3572000,6472000,14313000,0,392790000,-2450000,-336992000,976000,54324000,54324000,68637000,-7336000,404000,822000,1890000,-4220000,-772000,-2498000,-3270000,7927000,7927000,7259000,-231000,-231000,-231000,-7063000,407000,-1.60857,-1.58035,-0.13504,-0.10688,3.37227,0.26347,0.00593,-1.21701,-1.21701,0.77009,9.01209,-0.12065,2.87597,2.72037
"8","2012_Q3",40.0952380952381,"Up",7103000,-7841000,-2552000,-5289000,-5855000,36000,-3000,-5819000,-5920000,-5920000,-5920000,-5920000,-5920000,26536000,15334000,6944000,2452000,4492000,34978000,7753000,34246000,33141000,1105000,41999000,76977000,9013000,3380000,5633000,409000,409000,9422000,4e+05,6076000,3576000,6476000,15898000,-5.16987882845642e-26,405501000,-2450000,-342912000,940000,61079000,61079000,76977000,-5920000,406000,586000,-1198000,-6126000,-137000,-4391000,-4528000,12122000,12122000,12115000,1461000,1461000,1461000,-5449000,4e+05,-0.8243,-0.83345,-0.09692,-0.07691,3.71238,0.26029,0.0052,-0.93284,-0.93284,1.11925,9.6245,-0.08763,4.79648,4.46388
"9","2012_Q4",39.1074193548387,"Down",5765000,-8776000,-2133000,-6643000,-6848000,33000,-6000,-6815000,-7216000,-7216000,-7216000,-7216000,-7216000,28410000,10738000,5605000,2807000,2798000,36484000,9815000,34247000,33141000,1106000,44062000,80546000,8234000,2203000,6031000,1993000,1190000,10441000,1045000,7684000,5184000,8729000,19170000,0,412918000,-2450000,-350128000,1036000,61376000,61376000,80546000,-7216000,406000,233000,1946000,-4631000,-975000,-6374000,-7349000,6925000,6925000,7384000,-4596000,-4596000,-4596000,-6442000,1259000,-1.18786,-1.25169,-0.11757,-0.08959,3.4943,0.31234,0.01563,-1.07496,-1.07496,0.85881,9.14313,-0.10262,4.21468,3.96481
"10","2013_Q1",39.005,"Down",4566000,-12109000,-2472000,-9637000,-9495000,79000,-20000,-9416000,-8035000,-8035000,-8035000,-8035000,-8035000,44111000,17399000,5286000,2559000,2727000,50408000,11456000,34248000,33141000,1107000,51937000,102345000,10503000,3228000,7275000,957000,699000,11675000,990000,9440000,6940000,10430000,22105000,-8.27180612553028e-25,440423000,-2450000,-358163000,430000,80240000,80240000,102345000,-8035000,450000,-902000,5235000,-3252000,-2133000,-14982000,-17115000,27082000,27082000,27028000,6661000,6661000,6661000,-9045000,1205000,-2.0795,-1.75975,-0.10014,-0.07851,4.3176,0.27549,0.01177,-1.10701,-1.10701,0.62907,11.05493,-0.08841,4.74362,4.5188
"11","2013_Q2",43.325,"Up",3833000,-12126000,-2870000,-9256000,-10005000,26000,-22000,-9979000,-9979000,-9996000,-9996000,-9996000,-9996000,44279000,9023000,4841000,2167000,2674000,51722000,11617000,34248000,33141000,1107000,46982000,98704000,8015000,2173000,5842000,789000,711000,9253000,1512000,10371000,7871000,11883000,21136000,0,447708000,-2450000,-368159000,469000,77568000,77568000,98704000,-9996000,449000,1569000,-2605000,-10583000,-1491000,-3483000,-4974000,6426000,6426000,7181000,-8376000,-8376000,-8376000,-9556000,1961000,-2.61023,-2.60788,-0.12887,-0.10127,5.58975,0.27248,0.01987,-1.34673,-1.34673,0.51641,10.45053,-0.11119,4.42842,4.22969
