"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",1.98109375,"Down",180394000,-144865000,35529000,-47569000,-47569000,-12040000,-6910000,-6910000,-18950000,-20200000,525000,-19675000,-20470000,-20470000,-20470000,-32918276.2225037,-32918276.2225037,44533826.4458635,44533826.4458635,50945746.6265153,7656132.1108906,7656132.1108906,70217428.9607658,59551004.2843692,112816176.773884,111192997.733182,-928909.270462831,172367181.058253,242584610.019019,94594406.3966254,56451667.6107791,38142738.7858463,14171051.0034763,108765457.464213,-62041956.5069594,-1927213.08870662,-4667940.65392656,-63969169.595666,44796287.8685467,357675096.859334,-154466243.671764,197788322.150472,197788322.150472,242584610.019019,-20470000,3852000,1794000,13058000,-1766000,-1394000,-1394000,-13000,0,0,0,-13000,-3173000,-3173000,-3173000,-8188000,0,2951000,0.19695,-0.06674,-0.11347,-0.0178061581031789,-0.0502533362666518,-0.14416,0.0734862522200439,-0.922350906958188,0.11994100077882,-0.22329,-0.22329,1.96773,1.98842677207421,0.03219,-0.0637200911077877,-0.0469306402376012,-12.3856956187026,3.70264712130245
"2","2011_Q1",2.35935483870968,"Up",147093000,-119032000,28061000,-45632000,-45632000,-17571000,-6906000,-6906000,-24477000,-24615000,117000,-24498000,-24613000,-24613000,-24613000,103234000,103234000,59691000,59691000,63810000,8614000,8614000,235349000,57068000,120387000,111193000,6994000,177455000,412804000,71150000,44866000,26284000,5301000,76451000,163801000,13047000,7995000,176848000,253299000,356143000,-194481000,159505000,159505000,412804000,-24613000,3765000,1893000,1361000,-17594000,-523000,-523000,-12000,0,0,0,-62000,-18179000,-18179000,-18179000,-13806000,169102000,-13085000,0.19077,-0.11946,-0.16733,-0.15431,-0.05962,0.53163,3.07843,1.58803,0.40964,-0.26848,-0.26848,1.60449,1.73988,-0.14273,-0.07204,-0.0383,-4.77097,-3.74868
"3","2011_Q2",2.47047619047619,"Up",162829000,-131396000,31433000,-46723000,-46723000,-15290000,-5875000,-5875000,-21165000,-21165000,17000,-21148000,-21249000,-21249000,-21249000,110862175.407501,110862175.407501,71909224.5180455,71909224.5180455,68651334.4578282,10161122.6297031,10161122.6297031,261583857.013078,54323165.2385436,121545774.408705,111193000.755606,9234386.42348761,175868939.647249,437452796.660327,73110947.8677915,49248110.796407,23862837.0713846,3656899.66550789,76767847.5119291,205647818.835653,16621321.0295689,13446646.8846422,222269139.865222,299036987.377151,356592051.046889,-217646335.442745,138415809.283176,138415809.283176,437452796.660327,-21249000,3685000,1176000,-8942000,-25330000,-275000,-275000,-12000,-2000,51088.3088430171,-2000,-14000,-25619000,-25619000,-25619000,-11605000,0,-20839000,0.19304,-0.0939,-0.1305,-0.16554544729894,-0.0525922212444494,0.9807,3.37370208259332,2.2651253023194,0.470386333073727,-0.23178,-0.23178,1.77614,1.5463644093086,-0.22731,-0.0642324696307374,-0.0281497865874663,-17.9450806270991,-11.0443640404342
"4","2011_Q3",1.92375,"Down",206393000,-163590000,42803000,-48943000,-48943000,-6140000,-5665000,-5665000,-11805000,-13709000,-1666000,-15375000,-15484000,-15484000,-15484000,63103000,63103000,80357000,80357000,69470000,12499000,12499000,225429000,51677000,119687000,111193000,8494000,171364000,396793000,86321000,59754000,26567000,5300000,91621000,163777000,14488000,14488000,178265000,269886000,358121000,-231214000,126907000,126907000,396793000,-15484000,3520000,2664000,-4134000,-13434000,-1065000,-1065000,-13000,0,121104.715954267,-1.81898940354586e-12,-13000,-14512000,-14512000,-14512000,-2620000,169077000,-6153000,0.20739,-0.02975,-0.07502,-0.12201,-0.03902,0.39738,2.46045,2.12664,0.42611,-0.1689,-0.1689,2.25133,1.3843,-0.06712,-0.04987,-0.01982,-40.44809,-17.25961
"5","2011_Q4",1.58936507936508,"Down",217194000,-172755000,44439000,-50200000,-50200000,-5761000,-5319000,-5319000,-11080000,-11195000,-268000,-11463000,-11564000,-11564000,-11564000,52917000,52917000,81883000,81883000,71033000,16293000,16293000,222126000,49528000,119382000,111193000,8189000,168910000,391036000,91454000,62361000,29093000,5302000,96756000,163764000,13508000,13508000,177272000,274028000,359786000,-242778000,117008000,117008000,391036000,-11564000,3364000,2215000,-3189000,-9174000,-1001000,-1001000,-11000,0,175376.968644008,0,-11000,-10186000,-10186000,-10186000,-2397000,169066000,-6319000,0.20461,-0.02652,-0.05324,-0.09883,-0.02957,0.54644,2.29573,2.34196,0.43235,-0.12179,-0.12179,2.28746,1.23231,-0.06655,-0.0386,-0.02109,-48.45599,-20.16126
"6","2012_Q1",3.07177419354839,"Up",192677000,-153407000,39270000,-47093000,-47093000,-7823000,-8080000,-8080000,-15903000,-16345000,-3e+05,-16645000,-16698000,-16698000,-16698000,146833000,146833000,76429000,76429000,77085000,21590000,21590000,321937000,48224000,123633000,111193000,10783000,171857000,493794000,76077000,48618000,27459000,54000,76131000,297455000,18984000,13445000,316439000,392570000,360700000,-259476000,101224000,101224000,493794000,-16698000,3472000,2732000,-7976000,-18470000,-2102000,-16267000,129938000,0,179232.8142225,0,128653000,93916000,93916000,93916000,-4351000,297509000,-14129000,0.20381,-0.0406,-0.08666,-0.16496,-0.03382,0.84615,4.22872,3.87823,0.6025,-0.17586,-0.17586,2.02925,1.06608,-0.1488,-0.03997,-0.03382,-34.6302,-19.26064
"7","2012_Q2",3.9747619047619,"Up",219389000,-174270000,45119000,-50833000,-50833000,-5714000,-13105000,-13105000,-18819000,-18947000,-174000,-19121000,-19188000,-19188000,-19188000,129629000,129629000,93736000,93736000,82075000,22097000,22097000,327537000,47240000,120542000,111193000,9349000,167782000,495319000,95739000,65449000,30290000,56000,95795000,297769000,19314000,19314000,317083000,412878000,361105000,-278664000,82441000,82441000,495319000,-19188000,2850000,4597000,-3164000,-14905000,-1715000,-1601000,-13000,-398000,98000,-496000,-698000,-17204000,-17204000,-17204000,-2864000,297825000,-7569000,0.20566,-0.02605,-0.08746,-0.23275,-0.03874,0.39447,3.41915,5.00816,0.60128,-0.20209,-0.20209,2.31057,0.86826,-0.07972,-0.04802,-0.01894,-58.72765,-29.43577
"8","2012_Q3",4.48365079365079,"Up",271919000,-218255000,53664000,-54960000,-54960000,-1296000,-10461000,-10461000,-11757000,-11833000,-144000,-11977000,-12055000,-12055000,-12055000,105090000,105090000,113635000,113635000,91035000,21807000,21807000,331567000,47107000,120423000,111193000,9230000,167530000,499097000,109508000,79528000,29980000,57000,109565000,298094000,20130000,20130000,318224000,427789000,362027000,-290719000,71308000,71308000,499097000,-12055000,2491000,2202000,-15510000,-22872000,-2215000,-1654000,-13000,5.82076609134674e-11,0,-5.82076609134674e-11,-12999.9999999851,-24539000,-24539000,-24539000,1195000,298151000,-16386000,0.19735,-0.00477,-0.04433,-0.16906,-0.02415,1.35927,3.02621,5.99917,0.59738,-0.12621,-0.12621,2.8469,0.74657,-0.17156,-0.03094,-0.04206,161.55732,-148.96682
"9","2012_Q4",5.14854838709677,"Up",291780000,-234067000,57713000,-58650000,-58650000,-937000,-10618000,-10618000,-11555000,-12247000,-33000,-12280000,-13565000,-13565000,-13565000,90675000,90675000,123080000,123080000,90168000,25434000,25434000,329357000,49471000,119944000,111193000,8751000,169415000,498772000,120519000,84173000,36346000,59000,120578000,298433000,20901000,20901000,319334000,439912000,363144000,-304284000,58860000,58860000,498772000,-13565000,2912000,2595000,-3011000,-11069000,-5007000,-3432000,-13000,170000,170000,0,86000,-14415000,-14415000,-14415000,1975000,298492000,-6010000,0.1978,-0.00321,-0.04649,-0.23046,-0.0272,0.44305,2.73149,7.47387,0.59845,-0.14202,-0.14202,3.05484,0.61624,-0.06292,-0.03586,-0.01589,105.2238,-221.78975
"10","2013_Q1",5.987,"Up",287588000,-229518000,58070000,-57820000,-57820000,250000,-10955000,-10955000,-10705000,-10815000,-226000,-11041000,-12048000,-12048000,-12048000,131432000,131432000,117405000,117405000,108999000,22036000,22036000,379872000,44084000,126885000,111193000,14484000,170969000,550841000,117175000,79397000,37778000,60000,117235000,360895000,24615000,18622000,385510000,502745000,364428000,-316332000,48096000,48096000,550841000,-12048000,2867000,3678000,-12501000,-18004000,-1231000,-2346000,62060000,328000,328000,0,61107000,40757000,40757000,40757000,3117000,360955000,-10389000,0.20192,0.00087,-0.04189,-0.2505,-0.02187,0.8623,3.24026,10.45295,0.65528,-0.12621,-0.12621,3.01256,0.50382,-0.10883,-0.02778,-0.02396,73.63587,918.092
