"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","raw_materials","finished_goods","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",26.5571428571429,"Down",6.496e+09,-2.372e+09,-2.372e+09,4.124e+09,-1.409e+09,-1.389e+09,-2e+07,2.715e+09,-2.23e+08,-2.23e+08,2.492e+09,2.492e+09,-7.38e+08,1.754e+09,1.754e+09,-5.1e+07,1.703e+09,1.703e+09,8.5e+08,8.5e+08,3.186e+09,3.186e+09,8.279e+09,5.396e+09,2.883e+09,7.63e+08,4.83e+08,1.3078e+10,6.53e+09,1.2261e+10,-5.731e+09,1.4565e+10,9.974e+09,3.877e+09,7.14e+08,2.1095e+10,3.4173e+10,8.071e+09,9.56e+08,4.237e+09,1.087e+09,1.791e+09,1.201e+09,1.05e+09,1.51e+08,9.58e+09,1.4809e+10,3.419e+09,1.101e+09,1.701e+09,6.17e+08,1.8228e+10,2.7808e+10,1.24e+09,1.24e+09,-1.1788e+10,1.5977e+10,-5.53e+08,4.876e+09,1.489e+09,6.365e+09,3.4173e+10,1.754e+09,2.23e+08,-4e+06,2.5e+07,1e+06,-2.8e+07,1.218e+09,1.7e+07,-1.206e+09,1.974e+09,-1.5e+08,-1.5e+08,4.6e+07,-1.04e+08,-1.098e+09,4.24e+08,-7.06e+08,1.13e+09,-2842369644.76764,1.13e+09,-1.92e+08,-2.512e+09,-6.42e+08,-6.42e+08,-4.8e+07,-6.9e+08,2.938e+09,1.601e+10,3.527e+09,0.63485,0.41795,0.26216,0.26756,0.04983,2.07105,1.36514,4.36889,0.4685,0.90875,0.90682,3.46638,2.60192,1.88207,0.58591,24.4281024091829,0.10859,0.13674,0.64474,5.15997,5.58379
"2","2010_Q3",29.448125,"Up",7.061e+09,-2.55e+09,-2.55e+09,4.511e+09,-1.605e+09,-1.582e+09,-2.3e+07,2.906e+09,-2.23e+08,-2.23e+08,2.683e+09,2.683e+09,-6.41e+08,2.042e+09,2.042e+09,-6e+07,1.982e+09,1.982e+09,1.584e+09,1.584e+09,3.232e+09,3.232e+09,7.502e+09,5.1e+09,2.402e+09,6.06e+08,3.1e+08,1.2924e+10,6.162e+09,1.1697e+10,-5.535e+09,1.4238e+10,9.79e+09,3.779e+09,6.69e+08,2.04e+10,3.3324e+10,8.88e+09,8.71e+08,4.955e+09,1.073e+09,1.981e+09,9.35e+08,8.57e+08,7.8e+07,9.989e+09,1.4296e+10,3.489e+09,1.046e+09,1.953e+09,4.9e+08,1.7785e+10,2.7774e+10,1.267e+09,1.267e+09,-1.2789e+10,1.6888e+10,-1.301e+09,4.065e+09,1.485e+09,5.55e+09,3.3324e+10,2.042e+09,2.24e+08,-6e+06,-1999999.99999999,1.205e+09,-2.42e+08,1.46e+08,1.03e+08,1.198e+09,3.465e+09,-1.69e+08,-1.69e+08,2.3e+07,-1.47e+08,-1.085e+09,-2.52e+08,-1.84e+08,-67999999.9999998,-6.8e+07,0,-6.3e+07,-2.492e+09,8.26e+08,8.26e+08,-92000000.0000001,7.34e+08,3.13e+09,1.5231e+10,4.807e+09,0.63886,0.41156,0.2807,0.35712,0.05948,2.42533,1.29382,5.00432,0.45706,1.07367,1.07251,3.82503,2.20206,2.60401,0.58776,14.4283212848976,0.12637,0.19806,0.54743,4.36006,4.69615
"3","2010_Q4",33.433125,"Up",6.614e+09,-2.29e+09,-2.29e+09,4.324e+09,-1.468e+09,-1.446e+09,-2.2e+07,2.856e+09,-2.14e+08,-2.14e+08,2.642e+09,2.622e+09,-7.3e+08,1.892e+09,1.892e+09,-7e+07,1.822e+09,1.822e+09,3.507e+09,3.507e+09,3.022e+09,3.022e+09,8.248e+09,5.77e+09,2.478e+09,7.05e+08,4.23e+08,1.5482e+10,6.587e+09,1.2766e+10,-6.179e+09,1.481e+10,1.0195e+10,3.868e+09,7.47e+08,2.1397e+10,3.6879e+10,9.722e+09,1.064e+09,5.521e+09,1.173e+09,1.964e+09,3.852e+09,2.416e+09,1.436e+09,1.3713e+10,1.3595e+10,3.449e+09,1.06e+09,1.892e+09,4.97e+08,1.7044e+10,3.0757e+10,1.236e+09,1.236e+09,-1.3723e+10,1.7539e+10,-5.2e+08,4.532e+09,1.59e+09,6.122e+09,3.6879e+10,1.892e+09,2.3e+08,-2.1e+07,-2.6e+07,3.16e+08,4.3e+08,-7.8e+07,-3.8e+07,2e+06,2.417e+09,-1.64e+08,-1.64e+08,1e+07,-1.95e+08,-1.071e+09,1.544e+09,1.544e+09,0,0,0,-2e+07,-5.03e+08,1.719e+09,1.719e+09,2.04e+08,1.923e+09,3.086e+09,1.7447e+10,3.968e+09,0.65376,0.43181,0.27548,0.29762,0.0494,2.17783,1.129,5.02401,0.47309,0.99726,0.99563,3.62014,2.48057,2.17187,0.58621,9.03562048183659,0.10708,0.14687,0.58782,4.51717,4.88095
"4","2011_Q1",34.9306451612903,"Up",7.037e+09,-2.501e+09,-2.501e+09,4.536e+09,-1.766e+09,-1.743e+09,-2.3e+07,2.77e+09,-2.16e+08,-2.16e+08,2.554e+09,2.527e+09,-7.17e+08,1.81e+09,1.81e+09,-5.8e+07,1.752e+09,1.752e+09,1.703e+09,1.703e+09,3.009e+09,3.009e+09,8.317e+09,5.34e+09,2.977e+09,7.27e+08,3.56e+08,1.3756e+10,6.499e+09,1.2759e+10,-6.26e+09,1.4795e+10,1.0161e+10,3.873e+09,7.61e+08,2.1294e+10,3.505e+10,9.534e+09,8.35e+08,5.485e+09,1.162e+09,2.052e+09,3.132e+09,1.747e+09,1.385e+09,1.2804e+10,1.337e+10,3.755e+09,1.261e+09,2.027e+09,4.67e+08,1.7125e+10,2.9929e+10,1.225e+09,1.225e+09,-1.4712e+10,1.8133e+10,-1.14e+09,3.506e+09,1.615e+09,5.121e+09,3.505e+10,1.81e+09,2.55e+08,1.04e+08,1.04e+08,-5.88e+08,-36999999.9999998,-2.15e+08,-1.54e+08,-1.82e+08,1.581e+09,-2.3e+08,-2.3e+08,7e+06,-2.64e+08,-1.169e+09,-7.78e+08,-1.75e+08,-6.03e+08,-6.03e+08,0,-1.7e+07,-3.071e+09,-1.754e+09,-1.754e+09,-5e+07,-1.804e+09,3.025e+09,1.6502e+10,2.924e+09,0.64459,0.39363,0.24897,0.34212,0.04999,1.66895,1.07435,5.84437,0.47081,0.96849,0.96689,3.88999,1.93809,1.61636,0.64621,7,0.1151,0.11522,0.66724,4.89223,5.3426
"5","2011_Q2",39.5992063492063,"Up",6.791e+09,-2.295e+09,-2.295e+09,4.496e+09,-1.473e+09,-1.449e+09,-2.4e+07,3.023e+09,-2.13e+08,-2.13e+08,2.81e+09,2.794e+09,-8.07e+08,1.987e+09,1.987e+09,-6.8e+07,1.919e+09,1.919e+09,1.322e+09,1.322e+09,2.991e+09,2.991e+09,8.271e+09,5.503e+09,2.768e+09,8.09e+08,4.83e+08,1.3393e+10,6.678e+09,1.3383e+10,-6.705e+09,1.5483e+10,1.0537e+10,3.977e+09,9.69e+08,2.2161e+10,3.5554e+10,9.195e+09,9.64e+08,5.217e+09,1.152e+09,1.862e+09,4.967e+09,1.73e+09,3.237e+09,1.4343e+10,1.1885e+10,3.814e+09,1.261e+09,2.051e+09,5.02e+08,1.5699e+10,3.0042e+10,1.134e+09,1.134e+09,-1.5899e+10,1.8903e+10,-1.46e+08,3.992e+09,1.52e+09,5.512e+09,3.5554e+10,1.987e+09,2.39e+08,3e+07,1.9e+07,1.39e+08,1.38e+08,4.78e+08,1.16e+08,-5.93e+08,2.395e+09,-1.59e+08,-1.59e+08,4e+06,-1.75e+08,-1.159e+09,-5.5e+07,-3.2e+07,-2.3e+07,-2.3e+07,0,-1.92e+08,-2.659e+09,-4.39e+08,-4.39e+08,5.8e+07,-3.81e+08,3.262e+09,1.6852e+10,4.049e+09,0.66205,0.44515,0.28258,0.34815,0.05397,2.10995,0.93377,5.45029,0.47398,1.07027,1.06968,3.78751,2.22644,2.25823,0.6464,7.0714598393878,0.11758,0.15467,0.60396,4.76088,5.13728
"6","2011_Q3",40.09296875,"Up",8.273e+09,-2.844e+09,-2.844e+09,5.429e+09,-1.716e+09,-1.692e+09,-2.4e+07,3.713e+09,-2.08e+08,-2.08e+08,3.505e+09,3.504e+09,-1.019e+09,2.485e+09,2.485e+09,-7.6e+07,2.409e+09,2.409e+09,2.178e+09,2.178e+09,3.443e+09,3.443e+09,7.904e+09,5.596e+09,2.308e+09,8.08e+08,4.45e+08,1.4333e+10,6.793e+09,1.3912e+10,-7.119e+09,1.5668e+10,1.0652e+10,4.02e+09,9.96e+08,2.2461e+10,3.6794e+10,1.0709e+10,1.027e+09,6.492e+09,1.137e+09,2.053e+09,3.884e+09,5.7e+08,3.314e+09,1.4763e+10,1.3037e+10,3.814e+09,1.255e+09,2.067e+09,4.92e+08,1.6851e+10,3.1614e+10,1.159e+09,1.159e+09,-1.7406e+10,2.0178e+10,-2.62e+08,3.669e+09,1.511e+09,5.18e+09,3.6794e+10,2.485e+09,2.49e+08,-6.8e+07,-4.9e+07,1.454e+09,-3.88e+08,5.18e+08,7e+07,1.254e+09,4.12e+09,-1.86e+08,-1.86e+08,-1.8e+07,-2.46e+08,-1.149e+09,-1.96e+08,-1.174e+09,9.78e+08,-1.2e+07,9.9e+08,-1e+08,-3.039e+09,8.35e+08,8.35e+08,2.1e+07,8.56e+08,3.962e+09,1.6921e+10,6.249e+09,0.65623,0.44881,0.29119,0.46506,0.06547,2.59402,0.97087,6.10309,0.45988,1.36025,1.36102,4.67137,2.07171,3.52851,0.64879,8,0.1373,0.24113,0.47696,3.7211,3.97064
"7","2011_Q4",42.7795238095238,"Up",8.362e+09,-2.847e+09,-2.847e+09,5.515e+09,-1.795e+09,-1.77e+09,-2.5e+07,3.72e+09,-1.92e+08,-1.92e+08,3.528e+09,3.485e+09,-1.024e+09,2.461e+09,2.461e+09,-8.4e+07,2.377e+09,2.377e+09,3.391e+09,3.391e+09,3.242e+09,3.242e+09,7.453e+09,5.075e+09,2.378e+09,1.004e+09,6.31e+08,1.509e+10,6.411e+09,1.3213e+10,-6.802e+09,1.4719e+10,1.0087e+10,3.774e+09,8.58e+08,2.113e+10,3.622e+10,1.0991e+10,1.121e+09,6.362e+09,1.351e+09,2.157e+09,4.889e+09,2.563e+09,2.326e+09,1.605e+10,1.287e+10,3.646e+09,1.184e+09,1.983e+09,4.79e+08,1.6516e+10,3.2566e+10,1.2e+09,1.2e+09,-1.8853e+10,2.1208e+10,-1.425e+09,2.13e+09,1.524e+09,3.654e+09,3.622e+10,2.461e+09,2.55e+08,-3.5e+07,-2.9e+07,3.72e+08,5.9e+07,-2.6e+07,-7e+06,3.46e+08,3.053e+09,-2.23e+08,-2.23e+08,-2e+07,-2.61e+08,-1.133e+09,1.203e+09,1.694e+09,-4.91e+08,-1.429e+09,9.38e+08,1.9e+07,-1.356e+09,1.436e+09,1.436e+09,-2.23e+08,1.213e+09,3.975e+09,1.7759e+10,5.148e+09,0.65953,0.44487,0.28426,0.65052,0.06563,2.16576,0.94019,8.91242,0.49031,1.35906,1.35906,4.78102,1.21784,2.9434,0.6478,8,0.14007,0.20544,0.47665,3.61459,3.86237
"8","2012_Q1",48.7298387096774,"Up",7.671e+09,-2.692e+09,-2.692e+09,4.979e+09,-1.984e+09,-1.959e+09,-2.5e+07,2.995e+09,-1.87e+08,-1.87e+08,2.808e+09,2.759e+09,-8.03e+08,1.946e+09,1.946e+09,-6e+07,1.886e+09,1.886e+09,2.55e+09,2.55e+09,3.201e+09,3.201e+09,8.12e+09,4.648e+09,3.472e+09,9.88e+08,5.91e+08,1.4859e+10,6.25e+09,1.2913e+10,-6.663e+09,1.4379e+10,9.928e+09,3.697e+09,7.54e+08,2.0629e+10,3.5488e+10,1.0901e+10,1.031e+09,6.243e+09,1.341e+09,2.286e+09,3.717e+09,1.511e+09,2.206e+09,1.4794e+10,1.4828e+10,4.103e+09,1.665e+09,1.976e+09,4.62e+08,1.8931e+10,3.3725e+10,1.235e+09,1.235e+09,-1.99e+10,2.1757e+10,-2.863e+09,2.29e+08,1.534e+09,1.763e+09,3.5488e+10,1.946e+09,2.5e+08,9.9e+07,7.4e+07,-1.334e+09,-59999999.9999999,-1.006e+09,2e+07,-2.88e+08,9.61e+08,-3.29e+08,-3.29e+08,1.5e+07,-3.5e+08,-1.347e+09,1.106e+09,-1.456e+09,2.562e+09,-1.98e+08,2.76e+09,-3.8e+07,-1.284e+09,-6.73e+08,-6.73e+08,-1.68e+08,-8.41e+08,3.245e+09,1.8545e+10,2.385e+09,0.64907,0.39043,0.24586,1.06977,0.05314,1.26458,1.00439,19.12933,0.52257,1.08954,1.08703,4.43154,0.13229,1.37782,0.77816,6,0.13244,0.0977,0.71421,4.92912,5.34057
"9","2012_Q2",52.4877777777778,"Up",7.448e+09,-2.442e+09,-2.442e+09,5.006e+09,-1.595e+09,-1.571e+09,-2.4e+07,3.411e+09,-2.13e+08,-2.13e+08,3.198e+09,3.19e+09,-9.58e+08,2.232e+09,2.232e+09,-7.1e+07,2.161e+09,2.161e+09,3.576e+09,3.576e+09,3.472e+09,3.472e+09,7.311e+09,4.569e+09,2.742e+09,9.79e+08,6.14e+08,1.5338e+10,6.445e+09,1.3467e+10,-7.022e+09,1.4616e+10,1.0087e+10,3.753e+09,7.76e+08,2.1061e+10,3.6399e+10,9.647e+09,1.044e+09,5.254e+09,1.329e+09,2.02e+09,5.495e+09,4.085e+09,1.41e+09,1.5283e+10,1.5346e+10,4.155e+09,1.678e+09,2.007e+09,4.7e+08,1.9501e+10,3.4784e+10,1.175e+09,1.175e+09,-2.1288e+10,2.2592e+10,-2.367e+09,1.12e+08,1.503e+09,1.615e+09,3.6399e+10,2.232e+09,2.27e+08,4.6e+07,5.1e+07,-6.07e+08,-1.51e+08,1.036e+09,2.3e+07,-1.515e+09,1.898e+09,-2.27e+08,-2.27e+08,3e+06,-2.24e+08,-1.338e+09,2.117e+09,2.833e+09,-7.16e+08,-2.409e+09,1.693e+09,-1.35e+08,-7.83e+08,8.91e+08,8.91e+08,1.35e+08,1.026e+09,3.638e+09,2.0841e+10,3.762e+09,0.67213,0.45798,0.29015,1.33808,0.05937,1.74086,1.0036,21.53808,0.57257,1.25713,1.25713,4.33275,0.06515,2.18848,0.77836,7,0.13149,0.14137,0.61916,4.74574,5.06157
"10","2012_Q3",55.3828571428571,"Up",8.12e+09,-2.666e+09,-2.666e+09,5.454e+09,-1.842e+09,-1.817e+09,-2.5e+07,3.612e+09,-2.09e+08,-2.09e+08,3.403e+09,3.395e+09,-9.88e+08,2.407e+09,2.407e+09,-9e+07,2.317e+09,2.317e+09,3.846e+09,3.846e+09,3.553e+09,3.553e+09,7.312e+09,4.685e+09,2.627e+09,8.5e+08,4.35e+08,1.5561e+10,6.161e+09,1.2954e+10,-6.793e+09,1.4076e+10,9.737e+09,3.614e+09,7.25e+08,2.0237e+10,3.5798e+10,1.0724e+10,1.019e+09,6.312e+09,1.314e+09,2.079e+09,5.978e+09,2.694e+09,3.284e+09,1.683e+10,1.4824e+10,3.998e+09,1.601e+09,1.964e+09,4.33e+08,1.8822e+10,3.5652e+10,1.233e+09,1.233e+09,-2.2822e+10,2.3599e+10,-3.376e+09,-1.366e+09,1.512e+09,1.46e+08,3.5798e+10,2.407e+09,2.22e+08,-8.4e+07,-8.5e+07,9.35e+08,-2.62e+08,-4.59e+08,5.7e+07,1.599e+09,3.48e+09,-2.49e+08,-2.49e+08,-3.9e+07,-2.88e+08,-1.325e+09,3.32e+08,-9.03e+08,1.235e+09,-5.31e+08,1.766e+09,-8e+07,-2.705e+09,4.87e+08,4.87e+08,-2.17e+08,2.7e+08,3.834e+09,2.0802e+10,5.508e+09,0.67167,0.44483,0.28534,15.86986,0.06472,2.37721,0.9246,244.19178,0.58109,1.36214,1.36214,4.77366,-0.80306,3.2381,0.77895,5,0.146,0.2208,0.57186,4.42254,4.69435
