"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",14.7253125,"Up",120853000,-49578000,71275000,-54692000,-54692000,16583000,314000,-147000,461000,16897000,16897000,-5488000,11409000,11409000,-2961000,8448000,8448000,43878020.6099634,-43717663.530378,232674616.276583,232674616.276583,64028120.9750625,-12977082.7789747,-10395841.9181253,327603675.082635,4323652.91988382,89805153.171566,78217409.7221242,8193736.39663883,-602608.70854604,94128806.0914498,421732481.174084,173811243.576683,78928493.460145,27160559.8369521,66444479.2069541,187170496.246604,4839815.79613051,7302480.72965618,194472976.97626,46622878.3820025,-34148440.0145537,213287659.96793,-45702092.8923715,180060005.443007,47199498.7548173,227259504.197825,421732481.174084,11409000,2125000,-947000,-1054000,11533000,-821000,-23359000,-24180000,-1979000,232000,-1432000,-3179000,-15826000,-15826000,5826000,-1e+07,18708000,0,22321000,0.58977,0.13722,0.0699,0.125954364410176,0.0800873238799844,2.64216,1.79125483461956,0.726540338660423,0.0408453061286427,0.27751,0.27639,3.96994,5.9062451953688,0.73323,0.06501,0.12547310722788,-0.133691126668309,0.23426,2.62398374599138,5.57853729985326
"2","2011_Q1",14.7143548387097,"Down",112420000,-47230000,65190000,-52844000,-52844000,12346000,489000,186000,303000,12835000,12835000,-4502000,8333000,8333000,-2094000,6239000,6239000,86939000,37548000,97593000,97593000,109840000,8323000,8323000,302695000,11207000,124203000,111402000,7230000,1917000,135410000,438105000,115241000,52694000,7905000,52663000,126331000,6789000,11828000,138159000,48917000,-34151000,205453000,14757000,234976000,64970000,299946000,438105000,8333000,2398000,1460000,-5643000,6548000,-23072000,8101000,-14971000,-1979000,-4079000,3843000,-2215000,-10638000,-10638000,-484000.000000002,-11122000,14744000,16129000,-9469000,0.57988,0.10982,0.0555,0.0208,0.01424,-1.51771,2.39605,0.46061,0.03682,0.20492,0.20386,3.69239,7.71769,-0.31101,0.065,0.02545,-0.02933,0.3172,-4.80263,-5.73546
"3","2011_Q2",16.4512698412698,"Up",133363000,-46772000,86591000,-61049000,-61049000,25542000,296000,-123000,419000,25838000,25838000,-8498000,17340000,17340000,-4581000,12759000,12759000,81739243.1300122,55279887.8434594,76408961.2411389,76408961.2411389,148779543.008312,12650444.2596582,12141030.6393751,319578191.639122,14241282.3600387,135447115.609478,122155030.092625,7027087.86778706,2522452.90284868,149688397.969517,469266589.608639,114596335.474439,53584668.8466183,1143313.38768263,57539590.2643486,124561751.251132,7281144.73462316,11588673.0901146,136150424.341247,50047457.2059992,-34151853.3284821,209001530.01069,35263530.9641238,260160664.852331,72955500.4150609,333116165.267392,469266589.608639,17340000,2980000,830000,-22982000,-1832000,-3573000,9511000,5938000,-1979000,-2100000,1128000,-2951000,1155000,1155000,2276000,3431000,28522000,0,10465000,0.64929,0.19152,0.09567,-0.00416312147005878,-0.00159910795999481,0.82021,2.49396922179348,0.409225720446526,0.0300882312904524,0.41868,0.4165,4.37629,8.53935910154373,0.34341,0.06494,0.00216729759070666,-0.021087124443897,0.15511,-5.59117874866379,-7.32666493328442
"4","2011_Q3",14.8396875,"Down",121063000,-47078000,73985000,-63139000,-63139000,10846000,-568000,-1000,-567000,10278000,10278000,-3850000,6428000,6428000,-1435000,4993000,4993000,52876000,38774000,118237000,118237000,176311000,8115000,8115000,355539000,14903000,132385000,119163000,7224000,2076000,147288000,502827000,144250000,70505000,1685000,69617000,153416000,6920000,8903000,162319000,50447000,-34151000,218414000,31091000,265801000,74707000,340508000,502827000,6428000,3241000,724000,-30879000,-20486000,-5006000,29635000,24629000,-2439000,-1771000,-2527000,-6737000,-2594000,-2594000,389000,-2205000,14087000,11149000,-17948000,0.61113,0.08959,0.04124,0.01466,0.00993000000000002,-3.59463,2.31748,0.4767,0.02217,0.16367,0.16267,3.9685,8.71307,-0.58834,0.07995,0.02073,-0.05005,0.48848,-2.96209,-3.84722
"5","2011_Q4",13.9436507936508,"Down",171706000,-64323000,107383000,-85838000,-85838000,21545000,793000,-446000,1239000,22338000,22338000,-9054000,13284000,13284000,-2851000,10433000,10433000,29937000,23185000,167630000,167630000,182300000,4336000,4336000,384203000,14485000,123377000,110760000,7421000,1505000,137862000,522065000,175522000,94112000,3658000,75309000,183100000,6315000,6315000,189415000,50597000,-34151000,226450000,16742000,259638000,73012000,332650000,522065000,13284000,3403000,-359000,-43084000,-26756000,-2497000,6731000,4234000,-2443000,10711000,344000,8612000,-13910000,-13910000,-1679000,-15589000,24948000,7578000,-11579000,0.62539,0.12548,0.06076,0.03136,0.01998,-1.10984,2.09832,0.56941,0.01452,0.34163,0.33986,5.62252,8.50185,-0.37915,0.08,0.03716,-0.03341,0.23416,-0.89622,-1.03778
"6","2012_Q1",13.5045161290323,"Down",189088000,-73573000,115515000,-105672000,-105672000,9843000,-67000,-522000,455000,9776000,8939000,-3042000,5897000,5897000,-1779000,4118000,4118000,35856000,35856000,175223000,175223000,164077000,8920000,7516000,384076000,14525000,117433000,105750000,7270000,1650000,131958000,516034000,181136000,112726000,2099000,63868000,185616000,6068000,6068000,191684000,50914000,-34151000,228164000,7747000,252674000,71676000,324350000,516034000,5897000,3449000,2149000,13858000,25353000,-3475000,5411000,1936000,-2443000,-11283000,1005000,-12721000,14568000,14568000,-1897000,12671000,13292000,4480000,26717000,0.61091,0.05206,0.02178,0.0127,0.00798,6.48786,2.0692,0.59098,0.00868,0.13484,0.1342,6.19167,8.27378,0.87485,0.08,0.01959,0.07978,0.59325,-2.36052,-3.18765
"7","2012_Q2",13.2585714285714,"Down",165368000,-58690000,106678000,-74924000,-74924000,31754000,-86000,162000,-248000,31668000,31668000,-11414000,20254000,20254000,-4757000,15497000,15497000,27410000,27410000,164030000,164030000,183932000,7872000,7816000,383244000,17002000,121931000,109585000,7338000,2161000,138933000,522177000,160499000,96936000,4255000,56864000,163647000,6169000,6169000,169816000,51295000,-34151000,241259000,14938000,273341000,79020000,352361000,522177000,20254000,3691000,296000,-25326000,-1085000,-6294000,247000,-6047000,-2443000,25000,145000,-2273000,-9405000,-9405000,959000,-8446000,35445000,3148000,15239000,0.64509,0.19202,0.09371,0.04398,0.02968,0.98335,2.34189,0.48194,0.00603,0.50725,0.50502,5.41285,8.94704,0.49881,0.07996,0.0496,0.04213,0.15764,-0.6845,-0.76406
"8","2012_Q3",14.2152380952381,"Up",145555000,-57699000,87856000,-75228000,-75228000,12628000,-1062000,-132000,-930000,11566000,11566000,-4085000,7481000,7481000,-1473000,6008000,6008000,23130000,23130000,139327000,139327000,175753000,9101000,7134000,347311000,16102000,114848000,101969000,8162000,2024000,130950000,478261000,131379000,74931000,6355000,47648000,132907000,5653000,5653000,138560000,52215000,-34151000,244860000,1782000,264706000,74995000,339701000,478261000,7481000,3764000,-808000,1929000,12366000,-2011000,64000,-1947000,-2446000,-10157000,-233000,-12836000,-2417000,-2417000,-1863000,-4280000,16392000,1528000,20395000,0.60359,0.08676,0.04128,0.01769,0.01256,3.39464,2.61319,0.40789,0.00319,0.19658,0.19578,4.76246,8.661,0.66731,0.08003,0.02437,0.0588,0.40712,-1.31784,-1.71064
"9","2012_Q4",15.7001612903226,"Up",166264000,-65146000,101118000,-79038000,-79038000,22080000,-1744000,-338000,-1406000,20336000,20336000,-7159000,13177000,13177000,-3159000,10018000,10018000,25851000,25851000,167207000,167207000,161058000,8779000,8102000,362895000,15911000,117740000,103162000,9641000,2176000,133651000,496546000,132005000,69644000,8670000,51245000,132005000,5605000,5605000,137610000,52439000,-34151000,252471000,7854000,278613000,80323000,358936000,496546000,13177000,3953000,-1719000,-4252000,11159000,-2018000,105000,-1913000,-2447000,-4560000,39000,-6968000,2278000,2278000,443000,2721000,26033000,0,26922000,0.60818,0.1328,0.06025,0.02791,0.02018,2.68736,2.7491,0.38338,0,0.32772,0.32614,5.43897,9.11423,0.8807,0.08005,0.03419,0.07385,0.24426,-0.99301,-1.17079
"10","2013_Q1",18.9093333333333,"Up",176930000,-65396000,111534000,-96609000,-96609000,14925000,-757000,-213000,-544000,14168000,211195000,-75217000,135978000,135978000,-36365000,99613000,99613000,307335000,307335000,149340000,149340000,142614000,10399000,8431000,609688000,12289000,137943000,113041000,13132000,11770000,150232000,759920000,256140000,73113000,84030000,96544000,256140000,3799000,3799000,259939000,54710000,-35404000,349672000,12498000,381476000,118505000,499981000,759920000,135978000,4146000,-201121000,99198000,38201000,-18868000,-416000,-19284000,-2444000,261263000,1517000,260246000,279163000,279163000,2321000,281484000,19071000,1.16415321826935e-10,174618000,0.63038,0.08436,0.56301,0.19923,0.13108,1.75296,2.38029,0.5199,-4.33680868994202e-19,3.25362,3.23716,5.77899,12.45999,5.70347,0.07983,0.20258,0.34662,0.02453,-16.11531,-20.59196
