"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",15.5266666666667,"Up",354896000,-260417000,94479000,-68158000,-45484000,-22674000,26321000,-6482000,-6928000,446000,19839000,-2702000,17137000,-7089000,10048000,10430000,10430000,10430000,109391461.026365,113142611.507089,260955123.870101,260955123.870101,42705770.9608402,73526823.9947521,39168303.9063482,37312095.1396874,486579179.852058,586947490.899481,182712889.66043,113126864.658333,57324391.1690347,12261633.8330624,774742061.289184,1261321241.14124,289231500.999927,123357852.142646,165873648.857281,43889628.9886777,35794552.7660124,8095076.22266527,348053245.282343,63741799.1219469,253210730.51982,253210730.51982,316952529.641766,665005774.92411,478164934.14214,112627363.202296,5876275.74308684,596315466.217132,596315466.217132,1261321241.14124,10430000,22674000,1137000,-42448000,-8207000,-16310000,-80585372.2534505,-16310000,89000,-3253000,-3083000,-27600000,-27600000,658000,-26942000,48995000,0,-2674000,0.26622,0.07417,0.02939,0.115300758215997,0.047029078286021,-0.25638,1.14354431146887,1.20377244368019,0.112811194867847,0.19866,0.19776,6.75967,11.3397925652259,-0.05093,0.0603107162869181,0.258445895033035,-0.739190572950712,-1.34459988274675
"2","2010_Q3",15.98484375,"Up",471639000,-324280000,147359000,-72834000,-50729000,-22105000,74525000,-4938000,-7646000,2708000,69587000,-2602000,66985000,-11468000,55517000,57929000,57929000,57929000,296631000,295300000,337636000,337636000,40962000,76251000,18708000,38795000,751480000,599220000,188213000,113737000,56997000,17479000,792748000,1544228000,266316000,145672000,120644000,49398000,28090000,21308000,320850000,304148000,239066000,239066000,543214000,864064000,482640000,182244000,17461000,680164000,680164000,1544228000,57929000,22105000,-4477000,29967000,105524000,-3202999.99999999,-13751000,-14318000,-767000.000000004,234000.000000001,-296000,90910000,90910000,-2214000,88696000,96630000,309284000,134862000,0.31244,0.15801,0.12282,0.08517,0.03751,2.32806,2.34215,1.27038,0.20028,1.10169,1.0961,8.96959,12.9353,2.56479,0.04715,0.10978,0.13094,0.16978
"3","2010_Q4",18.563125,"Up",487651000,-335273000,152378000,-76511000,-53619000,-22892000,75867000,-7867000,-7198000,-669000,6.8e+07,-4789000,63211000,-24384000,38827000,38827000,38827000,38827000,283737000,280916000,344320000,344320000,42690000,73630000,20523000,33229000,744377000,627324000,189237000,114500000,58557000,16180000,821991000,1566368000,260497000,145120000,115377000,48579000,28654000,19925000,314202000,274771000,239642000,239642000,514413000,828615000,485892000,221071000,33056000,737753000,737753000,1566368000,38827000,22892000,1413000,-6519000,56613000,-39900000,-95000,-41481000,-30914000,-841000,-31523000,-16391000,-16391000,2007000,-14384000,98759000,279897000,76724000,0.31247,0.15558,0.07962,0.05263,0.02479,1.97605,2.3691,1.12316,0.17869,0.73733,0.73308,9.26054,14.01001,1.457,0.03088,0.06102,-0.0388800000000001,-0.0506100000000001
"4","2011_Q1",22.6164516129032,"Up",417058000,-290770000,126288000,-80782000,-55980000,-24802000,45506000,-5854000,-6164000,310000,39652000,-2508000,37144000,-13815000,23329000,23329000,23329000,23329000,305384000,302210000,332678000,332678000,44546000,69929000,28939000,26008000,752537000,655394000,189107000,114400000,60252000,14455000,849938000,1602475000,253067000,136978000,116089000,45263000,30745000,14518000,306284000,270846000,244518000,244518000,515364000,821648000,488912000,244400000,49982000,780827000,780827000,1602475000,23329000,24802000,5681000,16366000,70178000,-41631000,-8e+05,-53578000,-1084999.99999999,3445000,2672000,19272000,19272000,2022000,21294000,70308000,278800000,58858000,0.30281,0.10911,0.05594,0.02988,0.01456,2.52295,2.45699,1.05228,0.17398,0.4423,0.43875,7.90706,14.80381,1.1159,0.01789,0.04513,-0.37811,-0.58419
"5","2011_Q2",24.7566666666667,"Up",434962000,-312577000,122385000,-80254000,-54794000,-25460000,42131000,-3579000,-6478000,2899000,38552000,-2389000,36163000,-13433000,22730000,22730000,22730000,22730000,535906000,531763000,347532000,347532000,43817000,70621000,30007000,23250000,997876000,683284000,194105000,113650000,61786000,18669000,882768000,1880644000,231845000,135998000,95847000,43261000,28500000,14761000,282320000,531632000,244822000,244822000,776454000,1058774000,492528000,267130000,66463000,821870000,821870000,1880644000,22730000,25460000,3293000,-36627000,14856000,-33036000,-2152000.00000001,-35188000,260259000,-11712000,248586000,228254000,228254000,1299000,229553000,67591000,538846000,11361000,0.28137,0.09686,0.05226,0.02766,0.01209,0.49982,3.53456,1.28825,0.28652,0.43051,0.42759,8.23823,15.56631,0.21518,0.01416,0.00708000000000001,0.0435,0.06978
"6","2011_Q3",45.50890625,"Up",447235000,-307754000,139481000,-85190000,-58254000,-26936000,54291000,-7774000,-10642000,2868000,46517000,-2407000,44110000,-14954000,29156000,29156000,29156000,29156000,377704000,377576000,352809000,352809000,47270000,88589000,32828000,36877000,866372000,848276000,245121000,127068000,88511000,29542000,1098708000,1965080000,274822000,156106000,118716000,44088000,28462000,15626000,325430000,534103000,248179000,248179000,782282000,1107712000,495767000,296286000,69589000,857368000,857368000,1965080000,29156000,26936000,-2248000,6928999.99999999,60773000,-28211000,-203770000,-231981000,-768999.999999911,16980000,16954999.9999999,-154253000,-154253000,66000,-154187000,81227000,540623000,74899000,0.31187,0.12139,0.06519,0.03401,0.01484,2.56891,2.66224,1.29199,0.27512,0.55074,0.54636,8.44796,16.19509,1.41479,0.01771,0.0455,2.00572,3.00085
"7","2011_Q4",57.1712698412698,"Up",556053000,-386518000,169535000,-100308000,-65704000,-34604000,69227000,-10763000,-10927000,164000,58464000,-2435000,56029000,-18896000,37133000,37133000,37133000,37133000,257252000,257159000,414079000,414079000,53614000,101325000,37278000,47559000,826270000,880719000,299157000,140970000,134696000,23491000,1184115000,2010385000,340472000,201561000,138911000,44526000,28627000,15899000,393568000,532121000,244490000,244490000,776611000,1170179000,499616000,333419000,11445000,840206000,840206000,2010385000,37133000,34604000,-424000,4394000,75707000,-48403000,-131038000,-178441000,-1564000,-16427000,-17685000,-120419000,-120419000,2000,-120417000,103831000,540691000,78718000,0.30489,0.1245,0.06678,0.0442,0.01847,2.11989,2.09943,1.39273,0.26895,0.70029,0.69574,10.48662,15.84547,1.48455,0.02285,0.04843,2.72981,4.09434
"8","2012_Q1",65.9708064516129,"Up",545886000,-373142000,172744000,-111048000,-75385000,-35663000,61696000,-10871000,-11342000,471000,50825000,-2449000,48376000,-10143000,38233000,38233000,38233000,38233000,260834000,260723000,449553000,449553000,56242000,125239000,73349000,35288000,891868000,903947000,285743000,139644000,122392000,23707000,1193935000,2085803000,326076000,178084000,147992000,47356000,32297000,15059000,381742000,530578000,272496000,272496000,803074000,1184816000,498451000,371652000,30884000,900987000,900987000,2085803000,38233000,35663000,40178000,-85879000,28195000,-34571000,0,-34571000,-996999.999999993,11620000,10884000,4508000,4508000,-944000,3563999.99999997,97359000,538888000,-12948000,0.31645,0.11302,0.07004,0.04243,0.01833,-0.33866,2.33631,1.31502,0.25836,0.72028,0.71595,10.28402,16.97381,-0.24393,0.02233,-0.00756,2.85597,4.50684
"9","2012_Q2",62.02,"Down",572022000,-400315000,171707000,-107590000,-70759000,-36831000,64117000,-11571000,-11272000,-299000,52546000,-2416000,50130000,-18115000,32015000,32015000,32015000,32015000,246524000,241527000,463431000,463431000,57695000,114235000,62118000,35691000,881885000,918684000,288081000,138967000,125723000,23391000,1211010000,2092895000,287052000,172551000,114501000,47810000,29157000,18653000,342227000,529239000,270151000,270151000,799390000,1141617000,501547000,403667000,46064000,951278000,951278000,2092895000,32015000,36831000,2789000,-42082000,29553000,-27661000,-8751000.00000001,-35760000,-928000,-12901000,-13799000,-20006000,-20006000,810000,-19196000,100948000,536604000,49320000,0.30018,0.11209,0.05597,0.03365,0.0153,1.54053,2.5769,1.20009,0.25639,0.60148,0.59855,10.74684,17.87209,0.9266,0.01821,0.02805,2.87356,4.52423
"10","2012_Q3",55.5688888888889,"Down",523118000,-367623000,155495000,-105457000,-66794000,-38663000,50038000,-11043000,-10968000,-74999.9999999999,38995000,-2505000,36490000,-13064000,23426000,23426000,23426000,23426000,306459000,296758000,397453000,397453000,57782000,103814000,49763000,37446000,865508000,955040000,297340000,138622000,135962000,22756000,1256706000,2122214000,303183000,172657000,130526000,51816000,32015000,19801000,361321000,527963000,272030000,272030000,799993000,1161314000,505200000,427093000,28607000,960900000,960900000,2122214000,23426000,38663000,-113000.000000004,84245000,146221000,-52377000,-34288000,-92714000,225000.000000007,3252000,3545000,57052000,57052000,-1821000,55231000,88701000,534285000,133633000,0.29725,0.09565,0.04478,0.02438,0.01104,5.70447,2.3954,1.20857,0.25176,0.43944,0.43782,9.81294,18.0251,2.50676,0.01326,0.07562,2.56847,4.55306
"11","2012_Q4",53.5983870967742,"Down",533806000,-372940000,160866000,-101639000,-60339000,-41300000,59227000,-11687000,-11596000,-91000,47540000,-28873000,18667000,-6308000,12359000,12359000,12359000,12359000,534727000,523614000,399362000,399362000,63934000,111265000,53252000,41396000,1109288000,1003414000,332375000,151810000,157724000,22841000,1340115000,2449403000,311014000,174327000,136687000,48612000,29060000,19552000,365563000,803477000,273608000,273608000,1077085000,1442648000,508716000,439452000,58587000,1006755000,1006755000,2449403000,12359000,41300000,5866000,-2607000,56918000,-48507000,-49436000,-97943000,280027000,-13817000,266343000,225318000,225318000,1538000,226856000,100527000,809414000,55721000,0.30136,0.11095,0.02315,0.01228,0.00505,4.50854,3.03446,1.43297,0.33045,0.23156,0.23074,10.00142,18.86263,1.04399,0.00591,0.02666,2.73247,4.63787
"12","2013_Q1",54.7788333333333,"Up",558962000,-399743000,159219000,-120480000,-75628000,-44852000,38739000,-13788000,-13451000,-337000,24951000,-2508000.00000001,22443000,39431000,61874000,61874000,61874000,61874000,241614000,229836000,546136000,546136000,176478000,131031000,75765000,33960000,1095259000,1533053000,1209774000,590044000,579715000,40015000,2742827000,3838086000,504265000,257911000,246354000,79309000,50973000,28336000,588666000,1402879000,414469000,414469000,1817348000,2406014000,881583000,501326000,49163000,1432072000,1432072000,3838086000,61874000,44852000,32522000,-47575000,91673000,-64773000,-1281446000,-1346219000,600273000,-8071000,961779000,-292767000,-292767000,-1011000,-293778000,83591000,1407971000,-68188000,0.28485,0.06931,0.11069,0.04321,0.01612,-1.10205,1.86058,1.68009,0.36684,1.1123,1.10967,10.04839,25.74419,-1.22581,0.01901,-0.02095,13.95314,30.10808
"13","2013_Q2",55.7284375,"Up",862163000,-636024000,226139000,-188476000,-128470000,-60006000,37663000,-19348000,-19873000,525000,18315000,-2835000,15480000,-4978000,10502000,10502000,10502000,10502000,233009000,222104000,563691000,563691000,144476000,132406000,57828000,49207000,1073582000,1549806000,1175636000,566910000,572406000,36320000,2729796000,3803378000,475988000,263564000,212424000,83737000,62162000,21575000,564045000,1402154000,413711000,413711000,1815865000,2379910000,886338000,511828000,25302000,1423468000,1423468000,3803378000,10502000,60006000,15097000,-46016000,39589000,-72053000,-197000.000000238,-72250000,2e+05,25037000,25634000,-7027000,-7027000,-705000,-7732000,97669000,1406474000,-15422000,0.26229,0.04368,0.01218,0.00738,0.00276,-1.46848,1.90336,1.67191,0.3698,0.17369,0.17321,14.25911,23.54241,-0.25506,0.00324,-0.00475,12.01471,31.15697
"14","2013_Q3",55.80359375,"Up",860528000,-614326000,246202000,-190080000,-122612000,-67468000,56122000,-17930000,-19585000,1655000,38192000,-2879000,35313000,-12411000,22902000,22902000,22902000,22902000,273817000,263478000,549909000,549909000,155538000,125927000,53471000,51532000,1105191000,1554972000,1167598000,555422000,575275000,36901000,2726922000,3832113000,515420000,273058000,242362000,85844000,63374000,22470000,604187000,1402140000,411066000,411066000,1813206000,2417393000,890194000,534730000,-10204000,1414720000,1414720000,3832113000,22902000,67468000,1026000,6627000,98023000,-69388000,197000,-69191000,603000.00000006,13780000,14385000.0000001,43217000,43217000,-1843000,41374000,123590000,1405063000,73240000,0.28611,0.06522,0.02661,0.01619,0.00598,3.19797,1.82922,1.70874,0.36665,0.37823,0.37739,14.21186,23.36449,1.20958,0.00709,0.02267,9.15322,20.15691
"15","2013_Q4",57.65546875,"Up",907535000,-647119000,260416000,-183894000,-114464000,-69430000,76522000,-19476000,-19326000,-150000,57046000,-2914000,54132000,-18771000,35361000,35361000,35361000,35361000,260422000,248635000,603054000,603054000,155301000,122997000,41880000,59219000,1141774000,1615427000,1195299000,567776000,590152000,37371000,2815078000,3956852000,577910000,321097000,256813000,89649000,61912000,27737000,669532000,1401669000,409531000,409531000,1811200000,2480732000,894428000,570091000,11601000,1476120000,1476120000,3956852000,35361000,69430000,160000,37551000,142502000,-66857000,-59458000,-126326000,428000,-30769000,-30341000,-14165000,-14165000,-678000,-14843000,145952000,1403642000,135417000,0.28695,0.08432,0.03896,0.02396,0.00894,3.82956,1.70533,1.68058,0.35474,0.5834,0.58198,14.97286,24.35359,2.23416,0.01075,0.04117,7.83285,14.93976
"16","2014_Q1",54.4896721311475,"Down",879430000,-645164000,234266000,-172476000,-104931000,-67545000,61790000,-19917000,-19592000,-325000,41873000,-2913000,38960000,-12159000,26801000,26801000,26801000,26801000,322508000,310073000,579394000,579394000,152096000,117181000,41962000,42702000,1171179000,1602170000,1180329000,569973000,570960000,39396000,2782499000,3953678000,553291000,316462000,236829000,84925000,55454000,29471000,639545000,1401435000,437059000,437059000,1838494000,2478039000,898772000,596892000,-20025000,1475639000,1475639000,3953678000,26801000,67545000,35303000,6076000,135725000,-73950000,-3806000,-77745000,1303000,2143999.99999999,3448000,61428000,61428000,10000,61438000,129335000,1402764000,73620000,0.26638,0.07026,0.03048,0.01816,0.00678,2.74691,1.83127,1.6793,0.3548,0.44175,0.44055,14.4953,24.32238,1.21345,0.00808,0.02221,8.35239,17.4827
"17","2014_Q2",59.4580952380952,"Up",846667000,-625719000,220948000,-188318000,-118962000,-69356000,32630000,-15376000,-19554000,4178000,17254000,-2724000,14530000,-5570000,8960000,8960000,8960000,8960000,249220000,249007000,566394000,566394000,152443000,146501000,56677000,57355000,1114558000,1588286000,1161111000,557211000,565062000,38838000,2749397000,3863955000,497864000,284768000,213096000,88335000,56469000,31866000,587318000,1400913000,430089000,430089000,1831002000,2418320000,901333000,605852000,-61550000,1445635000,1445635000,3863955000,8960000,69356000,-1273000,-72447000,4596000,-62334000,2197113.06516957,-62334000,278000,-612000,-334000,-58072000,-58072000,-2994000,-61066000,101986000,1402032000,-27225000,0.26096,0.03854,0.01058,0.0062,0.00232,-3.0385,1.89771,1.67284,0.36285,0.14756,0.14722,13.94379,23.80822,-0.44837,0.00273,-0.00831,11.30363,35.32982
"18","2014_Q3",58.80765625,"Down",858480000,-606950000,251530000,-181806000,-115731000,-66075000,69724000,-20037000,-19382000,-655000,49687000,-2609000,47078000,-18406000,28672000,28672000,28672000,28672000,278644000,278644000,575187000,575187000,161792000,134668000,48991000,53438000,1150291000,1611298000,1170854000,553658000,578974000,38222000,2782152000,3932443000,507921000,262553000,245368000,97636000,61593000,36043000,606266000,1395827000,431634000,431634000,1827461000,2433727000,889686000,634524000,-25494000,1498716000,1498716000,3932443000,28672000,66075000,4731000,10870000,110348000,-62810000,-6150000.00000001,-68960000,-16761000,2203000,-14558000,26830000,26830000,2807000,29637000,135799000,1396536000,102265000,0.29299,0.08122,0.0334,0.01913,0.00729,3.56672,1.89734,1.62387,0.35513,0.47259,0.47171,14.14999,24.70275,1.68559,0.00862,0.03074,8.23196,16.0331
"19","2014_Q4",48.7528125,"Down",851465000,-598407000,253058000,-169750000,-99701000,-70049000,83308000,-18881000,-19494000,613000,64427000,-126056000,-61629000,-31708000,-93337000,-93337000,-93337000,-93337000,258021000,258021000,575575000,575575000,170934000,149407000,48540000,68726000,1153937000,1579701000,1027579000,541874000,449577000,36128000,2607280000,3761217000,511955000,251832000,260123000,96651000,63909000,32742000,608870000,1395733000,436063000,436063000,1831796000,2440666000,853950000,541187000,-74586000,1320551000,1320551000,3761217000,-93337000,70049000,132826000,-28443000,81095000,-60316000,0,-59402000,-34164000,-4021000,-38185000,-16492000,-16492000,-4131000,-20623000,153357000,1395997000,96306000,0.2972,0.09784,-0.10962,-0.07068,-0.02482,-1.03181,1.89521,1.84822,0.37116,-1.54621,-1.55274,14.10528,21.8761,1.59539,-0.02961,0.03055,7.42044,13.65986
"20","2015_Q1",51.7829508196721,"Up",845024000,-610720000,234304000,-174130000,-103527000,-70603000,60174000,-18994000,-19238000,244000,41180000,-2636999.99999999,38543000,-11166000,27377000,27377000,27377000,27377000,246879000,246879000,557131000,557131000,168663000,153760000,57435000,59793000,1126433000,1558834000,1004156000,530080000,452669000,21407000,2562990000,3689423000,486878000,267329000,219549000,85057000,62966000,22091000,572471000,1380145000,473936000,473936000,1854081000,2426552000,805618000,568564000,-111311000,1262871000,1262871000,3689423000,27377000,70603000,23014000,-19667000,101327000,-56647000,-10037000,-67598000,-56452000,15584000,-40868000,-7139000.00000001,-7139000.00000001,-4003000,-11142000,130777000,1380681000,65629000,0.27727,0.07121,0.0324,0.02168,0.00742,2.39723,1.96767,1.92146,0.37423,0.4602,0.4602,14.20471,21.22865,1.10321,0.00878,0.02105,8.66974,18.84206
"21","2015_Q2",55.8155555555556,"Up",732499000,-546507000,185992000,-176071000,-107715000,-68356000,9921000,-19029000,-19438000,409000,-9108000,-2619000,-11727000,4638000,-7089000,-7089000,-7089000,-7089000,233739000,233739000,521563000,521563000,143052000,144831000,56263000,52213000,1043185000,1502497000,1000360000,520045000,445412000,34903000,2502857000,3546042000,431944000,244216000,187728000,87801000,62677000,25124000,519861000,1.395e+09,468332000,468332000,1863332000,2383193000,790088000,561475000,-188714000,1162849000,1162849000,3546042000,-7089000,68356000,845000,22665000,84777000,-53360000,0,-53360000,-15777000,-21417000,-37194000,-5777000,-5777000,-7363000,-13140000,78277000,1395116000,42944000,0.25391,0.01354,-0.00968,-0.00610000000000001,-0.002,-6.05784,2.00666,2.04944,0.39343,-0.12041,-0.12041,12.4416,19.75115,0.72941,-0.00234,0.01419,14.83676,117.06249
"22","2015_Q3",49.62890625,"Down",936228000,-652688000,283540000,-188191000,-120418000,-67773000,95349000,-19909000,-19249000,-660000,75440000,-34591000,40849000,-30454000,10395000,10395000,10395000,10395000,173621000,173621000,684875000,684875000,149861000,154960000,60880000,56670000,1163317000,1562254000,1021066000,534621000,452858000,33587000,2583320000,3746637000,606186000,365088000,241098000,90963000,64642000,26321000,697194000,1.395e+09,481007000,481007000,1876007000,2573201000,778049000,571870000,-176483000,1173436000,1173436000,3746637000,10395000,67773000,37210000,-6340000.00000001,109038000,-71227000,-79610000,-150837000,-16897000,-2477999.99999999,-18978000,-60777000,-60777000,659000.000000001,-60118000,163122000,1395045000,116009000,0.30285,0.10184,0.0111,0.00886,0.00277,11.16008,1.66857,2.19288,0.37235,0.17742,0.17682,15.97959,20.02826,1.98005,0.00341,0.03804,7.48779,12.81003
"23","2015_Q4",43.449375,"Down",893366000,-634646000,258720000,-162173000,-93113000,-69060000,96547000,-19156000,-19017000,-139000,77391000,-2577000,74814000,-34586000,40228000,40228000,40228000,40228000,179191000,179191000,600283000,600283000,150255000,142826000,44880000,60658000,1072555000,1531548000,995758000,518995000,447918000,28845000,2527306000,3599861000,540266000,295476000,244790000,84739000,62837000,21902000,625016000,1.395e+09,457124000,457124000,1852124000,2477140000,740647000,612098000,-230024000,1122721000,1122721000,3599861000,40228000,69060000,-21385000,27875000,115778000,-66305000,0,-66305000,-36981000,88000,-36893000,12580000,12580000,-7010000,5570000,165607000,1395011000,161763000,0.2896,0.10807,0.04503,0.03583,0.01117,4.02115,1.71604,2.20637,0.38752,0.68261,0.68148,15.15901,19.0508,2.74486,0.01352,0.05438,7.3416,12.59304
