"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q4",52.000625,"Up",1.9401e+10,-1.3961e+10,5.44e+09,-4.551e+09,-4.551e+09,8.89e+08,2.24e+08,-3.5e+07,1.35e+08,1.24e+08,1.113e+09,1.113e+09,-3.57e+08,0,7.56e+08,7.56e+08,-4.2e+07,7.14e+08,7.14e+08,-43776424442.5629,-43776424442.5629,-2875539400.62529,-2875539400.62529,-857107317.698061,-3051009990.21297,-3051009990.20285,52907112391.4287,5939734023.96786,133536923191.13,-21043168342.6359,-17042547210.5089,25112494934.0342,263514252564.919,316421364956.348,82367910064.8777,-6220764534.88861,31645920761.4266,1022809148.39444,605966673.212671,89319552579.1083,4516986625.517,-2152799734.00111,-3465146432.4123,1312346698.41118,45319955906.8818,134639508485.99,36395770480.6019,-2831799456.94299,167575283901.966,810434119.405079,180864634073.976,378297705.90144,181781856470.361,316421364956.351,7.56e+08,3.38e+08,4.5e+07,1.33e+08,1.272e+09,-4.1e+08,-2.6e+07,1.14e+08,-3.77e+08,-3.01e+08,-5.5e+08,1.02e+08,2.03e+08,-5.46e+08,3.49e+08,3.49e+08,0,3.49e+08,1.227e+09,0,1.307e+09,0.2804,0.04582,0.0368,69.0924642926629,-0.45205144562726,1.83053,-631.576272692959,826.795490349961,-4.96983997945168,0.74741,0.74741,20.3088,182.286225125683,1.36816,0.31508,-0.578567932793354,-0.476425096842444,0.42157,33.4690254970213,47.6188525894664
"2","2015_Q1",62.2381967213115,"Up",1.9057e+10,-1.373e+10,5.327e+09,-4.493e+09,-4.493e+09,8.34e+08,-6.62e+08,-4.3e+07,1.52e+08,-7.71e+08,1.72e+08,1.72e+08,-3.59e+08,-4.65661287307739e-10,-1.87e+08,-1.87e+08,-3.4e+07,-2.21e+08,-2.21e+08,2.646e+09,2.646e+09,3.218e+09,3.218e+09,6.076e+09,3.02e+08,3.02e+08,1.2242e+10,1.2257e+10,5.415e+09,1.18e+09,2.359e+09,1.876e+09,2.5008e+10,3.725e+10,8.016e+09,4.315e+09,3.701e+09,7.74e+08,1.05e+08,8.895e+09,3.716e+09,4.017e+09,1.08e+09,2.937e+09,7.733e+09,1.6628e+10,1.252e+09,-3.197e+09,2.2327e+10,1.36e+08,2.0518e+10,1.04e+08,2.0622e+10,3.725e+10,-1.87e+08,3.15e+08,6.58e+08,5.98e+08,1.384e+09,-1.75e+08,72000000.0000002,-40999999.9999999,-1.86e+08,-3.01e+08,0,-4.06e+08,2.9e+07,-678000000.000004,5.2e+08,5.2e+08,0,520000000.000004,1.149e+09,4.49e+09,1.931e+09,0.27953,0.04376,-0.0116,-0.01072,-0.00593,-8.73756,1.37628,0.80632,0.12054,-0.2312,-0.2312,19.93619,21.46459,2.02009,0.31489,0.00275,0.06629,-1.36199,1.60487,2.21103
"3","2015_Q2",67.6206349206349,"Up",1.9554e+10,-1.4258e+10,5.296e+09,-4.456e+09,-4.456e+09,8.4e+08,3.58e+08,-5.5e+07,2.14e+08,1.99e+08,1.198e+09,1.198e+09,-3.21e+08,0,8.77e+08,8.77e+08,-2.7e+07,8.5e+08,8.5e+08,9.962e+09,9.962e+09,6162263133.54176,6162263133.54176,8978035772.56602,1454003330.07099,1454003330.06762,9.962e+09,15084505325.344,6.8e+07,10653472780.8786,12876765736.8363,6.8e+07,6.8e+07,1.003e+10,2.4e+07,9132004844.96287,2.4e+07,848396950.535185,7.3e+07,96999999.9999962,1.001e+10,6894516578.00037,3180382144.13743,3714134433.86294,1.001e+10,1.0107e+10,0,-3379400181.019,-13999999.9999924,-6.3e+07,-77000000.0000076,85484098.0328533,-7.7e+07,1.003e+10,8.77e+08,3.19e+08,-3.27e+08,1.62e+08,1.031e+09,-3.32e+08,-1.3e+07,2.74e+08,-5.5e+07,-3.22e+08,1.002e+10,-3.88e+08,-6.1e+07,9.249e+09,1.0225e+10,1.0225e+10,-1e+07,1.0215e+10,1.159e+09,1.001e+10,1.31e+09,0.27084,0.04296,0.04347,-11.03896,0.08475,1.54118,102.70103,-131.25974,0.99801,0.89871,0.89871,20.67456,-0.0814099999999982,1.38507,0.34045,0.11799,0.13188,0.37882,0.0414200000000005,0.057139999999996
"4","2015_Q3",71.1975,"Up",2.6573e+10,-1.9691e+10,6.882e+09,-5.606e+09,-5.606e+09,1.276e+09,4.61e+08,-1.44e+08,1.01e+08,5.04e+08,1.737e+09,2.443e+09,-3.91e+08,8e+06,2.06e+09,2.06e+09,-1.8e+07,2.042e+09,2.042e+09,3.005e+09,3.005e+09,7.017e+09,7.017e+09,9.379e+09,1.314e+09,1.314e+09,2.0715e+10,1.5646e+10,3.4996e+10,1.2225e+10,1.7044e+10,5.727e+09,5.0642e+10,7.1357e+10,1.5433e+10,1.0293e+10,5.14e+09,1.061e+09,1.96e+08,1.669e+10,1.6001e+10,7.637e+09,3.689e+09,3.948e+09,2.3638e+10,4.0328e+10,9.85e+09,-3.491e+09,2.4526e+10,-6.8e+07,3.0817e+10,2.12e+08,3.1029e+10,7.1357e+10,2.06e+09,5.07e+08,-9.85e+08,-2.76e+08,1.306e+09,-2.94e+08,-4.54e+09,1.68e+08,-4.653e+09,-3.2e+08,-5.888e+09,8.7e+07,-2.99e+08,-6.42e+09,-9.767e+09,-9.767e+09,-8.9e+07,-9.856e+09,1.783e+09,1.7062e+10,1.604e+09,0.25898,0.04802,0.07684,0.06581,0.02862,0.7855,1.24116,1.29969,0.23911,1.95669,1.95669,25.46282,29.52951,1.53699,0.30663,0.04238,0.02878,0.15671,7.8839,11.01646
"5","2015_Q4",67.18109375,"Down",2.8795e+10,-2.1314e+10,7.481e+09,-6.08e+09,-6.08e+09,1.401e+09,3.1e+08,-1.51e+08,0,4.61e+08,1.711e+09,1.711e+09,-4.08e+08,7e+06,1.31e+09,1.31e+09,-8e+06,1.302e+09,1.302e+09,4.449e+09,4.449e+09,6.899e+09,6.899e+09,8.764e+09,9.17e+08,9.17e+08,2.1029e+10,1.5241e+10,3.4374e+10,1.1229e+10,1.7361e+10,5.784e+09,4.9615e+10,7.0644e+10,1.4781e+10,9.932e+09,4.849e+09,1.192e+09,1.84e+08,1.6157e+10,1.5055e+10,7.5e+09,3.532e+09,3.968e+09,2.2555e+10,3.8712e+10,9.901e+09,-3.654e+09,2.546e+10,-1.41e+08,3.1566e+10,3.66e+08,3.1932e+10,7.0644e+10,1.31e+09,4.38e+08,-7.2e+07,1.46e+08,1.822e+09,-1.93e+08,7.94e+08,2.52e+08,8.24e+08,-3.71e+08,-6.86e+08,-1.3e+08,-2e+07,-1.207e+09,1.439e+09,1.439e+09,5e+06,1.444e+09,1.839e+09,1.6247e+10,2.2e+09,0.2598,0.04865,0.04522,0.0407700000000003,0.01843,1.68971,1.30154,1.21233,0.22998,1.19307,1.18106,26.38596,28.92514,2.01594,0.33996,0.03005,0.03951,0.28495,6.41544,8.42113
"6","2016_Q1",63.455737704918,"Down",2.8522e+10,-2.1428e+10,7.094e+09,-6.258e+09,-6.258e+09,8.36e+08,-7.34e+08,-2.55e+08,-7.45058059692383e-09,-4.79e+08,1.02e+08,-4.1e+07,6.4e+07,9e+06,3.2e+07,3.2e+07,-6e+06,2.6e+07,2.6e+07,3e+09,3e+09,6.849e+09,6.849e+09,8.678e+09,1.13e+09,1.13e+09,1.9657e+10,1.5068e+10,3.2815e+10,1.2351e+10,1.6372e+10,4.092e+09,4.9125e+10,6.8782e+10,1.5313e+10,1.0088e+10,5.225e+09,1.068e+09,1.76e+08,1.6557e+10,1.3315e+10,7.608e+09,3.538e+09,4.07e+09,2.0923e+10,3.748e+10,9.965e+09,-3.977e+09,2.5089e+10,-2.14e+08,3.0863e+10,4.39e+08,3.1302e+10,6.8782e+10,3.2e+07,4.78e+08,5.32e+08,4.63e+08,1.505e+09,-2.48e+08,-2.59e+08,1.15e+08,-392000000.000001,-3.71e+08,-1.859e+09,-2.92e+08,-1.5e+07,-2.537e+09,-1.424e+09,-1.424e+09,-2.5e+07,-1.449e+09,1.314e+09,1.4383e+10,1.465e+09,0.24872,0.02931,0.000910000000000001,0.00083,0.00038,56.34615,1.18723,1.19737,0.20911,0.0238100000000001,0.0240499999999999,26.11666,28.26023,1.34145,0.33971,0.00745,0.02749,14.26923,8.66286,13.61603
"7","2016_Q2",64.40734375,"Up",2.9033e+10,-2.1614e+10,7.419e+09,-5.951e+09,-5.951e+09,1.468e+09,-1.95e+08,-1.38e+08,0,-5.7e+07,1.273e+09,1.273e+09,-1.67e+08,1.1e+07,1.117e+09,1.117e+09,-7e+06,1.11e+09,1.11e+09,2.57e+09,2.57e+09,6.821e+09,6.821e+09,9.884e+09,9.56e+08,9.56e+08,2.0231e+10,1.4878e+10,3.3548e+10,1.204e+10,1.6195e+10,5.313e+09,4.8426e+10,6.8657e+10,1.5529e+10,1.0643e+10,4.886e+09,1.083e+09,2.62e+08,1.6874e+10,1.3194e+10,7.433e+09,3.313e+09,4.12e+09,2.0627e+10,3.7501e+10,1.0009e+10,-4.446e+09,2.5806e+10,-6.58e+08,3.0711e+10,4.45e+08,3.1156e+10,6.8657e+10,1.117e+09,3.82e+08,3.4e+07,-8.01e+08,7.32e+08,-3e+08,-2.9e+07,5.8e+07,-2.71e+08,-3.93e+08,1.1e+07,-4.58e+08,-1.3e+07,-8.53e+08,-3.92e+08,-3.92e+08,-3.8e+07,-4.3e+08,1.85e+09,1.4277e+10,9.16e+08,0.25554,0.05056,0.03823,0.03563,0.01617,0.82523,1.19895,1.20365,0.20795,1.01928,1.01928,26.66024,28.2011,0.84114,0.36088,0.02843,0.01733,0.35405,6.32811,7.9748
"8","2016_Q3",65.37609375,"Up",3.0184e+10,-2.2317e+10,7.867e+09,-6.007e+09,-6.007e+09,1.86e+09,-6.36e+08,-1.4e+08,0,-4.96e+08,1.224e+09,1.224e+09,-3.01e+08,9e+06,9.32e+08,9.32e+08,-2e+06,9.3e+08,9.3e+08,3.586e+09,3.586e+09,6.733e+09,6.733e+09,9.025e+09,1.034e+09,1.034e+09,2.0378e+10,1.4552e+10,3.1455e+10,1.1122e+10,1.5796e+10,4.537e+09,4.6007e+10,6.6385e+10,1.4923e+10,9.873e+09,5.05e+09,1.052e+09,2.97e+08,1.6272e+10,1.2974e+10,7.22e+09,3.107e+09,4.113e+09,2.0194e+10,3.6466e+10,1.0053e+10,-5.026e+09,2.6348e+10,-1.868e+09,2.9507e+10,4.12e+08,2.9919e+10,6.6385e+10,9.32e+08,4.42e+08,6.17e+08,3.62e+08,2.353e+09,-2.72e+08,-14000000.0000001,5000000.00000001,-2.81e+08,-3.94e+08,-3.1e+07,-5.65e+08,-1.6e+07,-1.006e+09,1.066e+09,1.066e+09,-5e+07,1.016e+09,2.302e+09,1.4026e+10,2.693e+09,0.26063,0.06162,0.03081,0.03108,0.01401,2.89570000000001,1.25234,1.21882,0.21128,0.86095,0.86095,27.94297,27.31624,2.49306,0.36475,0.02588,0.05263,0.423660000000001,4.53519,5.6129
"9","2016_Q4",66.6093650793651,"Up",2.9498e+10,-2.2065e+10,7.433e+09,-5.903e+09,-5.903e+09,1.53e+09,-1.16e+08,-1.47e+08,3e+06,2.8e+07,1.414e+09,1.414e+09,-3.22e+08,1.5e+07,1.107e+09,1.107e+09,-4e+06,1.103e+09,1.103e+09,3.291e+09,3.291e+09,6.508e+09,6.508e+09,8.931e+09,9.83e+08,9.83e+08,1.9713e+10,1.4493e+10,3.3127e+10,1.1556e+10,1.6102e+10,5.469e+09,4.762e+10,6.7333e+10,1.5189e+10,1.0337e+10,4.852e+09,3.74e+08,2.48e+08,1.5811e+10,1.3151e+10,7.056e+09,3.058e+09,3.998e+09,2.0207e+10,3.6018e+10,1.0073e+10,-4.975e+09,2.7061e+10,-1.277e+09,3.0882e+10,4.33e+08,3.1315e+10,6.7333e+10,1.107e+09,4.47e+08,-2.1e+07,5.71e+08,2.104e+09,-2.16e+08,-4e+06,-2e+07,-1.409e+09,-3.87e+08,-6.69e+08,4.6e+07,-2.5e+07,-1.035e+09,-3.4e+08,-3.4e+08,4.5e+07,-2.95e+08,1.977e+09,1.3525e+10,2.654e+09,0.25198,0.05187,0.03739,0.03522,0.01638,2.40617,1.24679,1.15018,0.20087,1.02054,1.0136,27.29275,28.57328,2.45559,0.35807,0.02871,0.05114,0.35086,5.17653,6.68889
"10","2017_Q1",67.865,"Up",2.8636e+10,-2.1481e+10,7.155e+09,-6.049e+09,-6.049e+09,1.106e+09,1.27e+08,-1.71e+08,3.4e+07,2.64e+08,1.233e+09,1.233e+09,-2.07e+08,9e+06,1.035e+09,1.035e+09,-5e+06,1.03e+09,1.03e+09,9.807e+09,9.807e+09,6.26e+09,6.26e+09,8.956e+09,8.6e+08,8.6e+08,2.5883e+10,1.4335e+10,2.6296e+10,1.0302e+10,1.5527e+10,4.67e+08,4.6805e+10,7.2688e+10,1.6484e+10,1.1e+10,5.484e+09,3.23e+08,2.06e+08,1.7013e+10,1.8705e+10,6.688e+09,2.644e+09,4.044e+09,2.5393e+10,4.2406e+10,1.0123e+10,-4.934e+09,2.7684e+10,-2.992e+09,2.9881e+10,4.01e+08,3.0282e+10,7.2688e+10,1.035e+09,4.47e+08,-3.74e+08,1.55e+09,2.658e+09,-3.82e+08,-2.365e+09,2.2e+07,-1.556e+09,-3.89e+08,5.918e+09,6e+07,-8.9e+07,5.5e+09,6.602e+09,6.602e+09,-8.6e+07,6.516e+09,1.553e+09,1.9028e+10,2.928e+09,0.24986,0.03862,0.03597,0.03401,0.01417,2.84272,1.52137,1.40037,0.26178,0.95159,0.93044,26.45602,27.60625,2.7051,0.35939,0.02534,0.05229,0.37767,5.93754,8.33725
