"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",24.1880952380952,"Up",4355036000,-3855298000,499738000,-410738000,-410738000,8.9e+07,-12365000,-15282000,2917000,76635000,76635000,-25740000,50895000,50895000,50895000,50895000,987296000,987296000,2864450000,2864450000,1567742000,161923000,161923000,5581411000,306308000,819945000,550039000,269906000,1126253000,6707664000,2739483000,2293149000,446334000,50440000,2789923000,957279000,71822000,71822000,1029101000,3819024000,1346297000,1264966000,278307000,2888640000,2888640000,6707664000,50895000,50895000,15647000,31385000,-91701000,6226000,-10314000,-10314000,-10314000,1241000,-9549000,29559000,1873000,31432000,28109000,28109000,15266000,43375000,104647000,1007719000,28372000,0.11475,0.02044,0.01169,0.01762,0.00759,0.55746,2.00056,1.32208,0.15023,0.33644,0.33344,28.78868,19.09516,0.18755,0.01283,0.00715,0.19516,0.22947
"2","2010_Q3",20.93015625,"Down",4834524000,-4282634000,551890000,-389603000,-389603000,162287000,-16151000,-15315000,-835999.999999999,146136000,151685000,-47834000,103851000,103851000,103851000,103851000,894871000,894871000,3439459000,3439459000,1698349000,135523000,135523000,6168202000,302291000,844754000,573080000,271674000,1147045000,7315247000,3237603000,2735097000,502506000,81033000,3318636000,938756000,77195000,77195000,1015951000,4334587000,1351387000,1368817000,261386000,2980660000,2980660000,7315247000,103851000,103851000,15480000,7247000,-224109000,-97531000,-14151000,-14151000,-14151000,4200000,-6497999.99999999,10109000,894000,11003000,-93026000,-93026000,601000,-92425000,177767000,1019789000,-12659000,0.11416,0.03357,0.02148,0.03484,0.0142,-0.1219,1.85866,1.45424,0.13941,0.68598,0.67901,31.93424,19.68862,-0.0836200000000001,0.02547,-0.0031,0.70271,0.76974
"3","2010_Q4",25.46671875,"Up",4756786000,-4173999000,582787000,-415567000,-415567000,167220000,-13828000,-15328000,1500000,153392000,156594000,-42089000,114505000,114505000,114505000,114505000,754574000,754574000,3323954000,3323954000,1747720000,168450000,168450000,5994698000,302597000,860496000,566187000,294309000,1163093000,7157791000,3055281000,2534605000,520676000,55088000,3110369000,937518000,88898000,88898000,1026416000,4136785000,1353115000,1483322000,185259000,3021006000,3021006000,7157791000,114505000,114505000,14957000,23651000,-216517000,-63404000,-18440000,-18440000,-18440000,893000,-45100000,-26199000,1231000,-24968000,-133472000,-133472000,-6825000,-140297000,182177000,992606000,-10691000,0.12252,0.03515,0.02407,0.0379,0.016,-0.09337,1.92733,1.36934,0.13867,0.75386,0.74734,31.3171,19.8893,-0.07039,0.02791,-0.00261,1.3066,1.42347
"4","2011_Q1",28.6877419354839,"Up",5213826000,-4568024000,645802000,-428709000,-428709000,217093000,-16924000,-15823000,-1101000,200169000,200169000,-59050000,141119000,141119000,141119000,141119000,1092102000,1092102000,3574541000,3574541000,1812766000,150759000,150759000,6630168000,302583000,849631000,566309000,283322000,1152214000,7782382000,3403066000,2862290000,540776000,36549000,3439615000,1243681000,89969000,89969000,1333650000,4773265000,1358006000,1624441000,27362000,3009117000,3009117000,7782382000,141119000,141119000,14559000,19138000,-50522000,124294000,-23983000,-23983000,-23983000,5681000,-51274000,278465000,840000,279305000,352325000,352325000,-14797000,337528000,231652000,1280230000,216197000,0.12386,0.04164,0.02707,0.0469,0.01813,1.53202,1.92759,1.58627,0.1645,0.92866,0.91889,34.31074,19.80216,1.42273,0.03222,0.04937,0.81211,0.86658
"5","2011_Q2",28.2328571428571,"Down",6182388000,-5459243000,723145000,-528683000,-528683000,194462000,-18686000,-22025000,3339000,175776000,204799000,-66625000,138174000,138174000,138174000,138174000,661706000,661706000,4415707000,4415707000,2495497000,268026000,268026000,7840936000,346219000,1115582000,773931000,341651000,1461801000,9302737000,4102227000,3454992000,647235000,498398000,4600625000,1260119000,111795000,111795000,1371914000,5972539000,1365261000,1762615000,203014000,3330198000,3330198000,9302737000,138174000,138174000,20843000,-12171000,-259176000,-112330000,-31938000,-31938000,-31938000,388000,-606365000,261450000,82000,261532000,-457163000,-457163000,26767000,-430396000,215305000,1758517000,-9184000,0.11697,0.03145,0.02235,0.04149,0.01485,-0.06647,1.70432,1.79345,0.18903,0.90902,0.8993,40.67253,21.90862,-0.06042,0.02657,-0.00177,5.09422,5.64023
"6","2011_Q3",23.01765625,"Down",6767495000,-5994301000,773194000,-545592000,-545592000,227602000,-24608000,-24248000,-360000,202994000,202994000,-61960000,141034000,141034000,141034000,141034000,756931000,756931000,4816088000,4816088000,2549591000,245301000,245301000,8367911000,367410000,1168268000,847954000,320314000,1535678000,9903589000,4316749000,3610080000,706669000,777235000,5093984000,1247906000,119499000,119499000,1367405000,6461389000,1378328000,1903649000,160915000,3442200000,3442200000,9903589000,141034000,141034000,18647000,13238000,-252061000,-79142000,-38267000,-38267000,-38267000,1339000,-88984000,259435000,1137000,260572000,92446000,92446000,2779000.00000001,95225000,246249000,2025141000,17881000,0.11425,0.03363,0.02084,0.04097,0.01424,0.12679,1.6427,1.87711,0.20449,0.92702,0.91427,44.4829,22.62566,0.11753,0.02524,0.0032,5.15011,5.57205
"7","2011_Q4",24.6415873015873,"Up",6672404000,-5885789000,786615000,-545878000,-545878000,240737000,-21268000,-23557000,2289000,219469000,213161000,-62130000,151031000,151031000,151031000,151031000,781749000,781749000,4706561000,4706561000,2514163000,213266000,213266000,8215739000,395558000,1228680000,908275000,320405000,1624238000,9839977000,4092582000,3412849000,679733000,632435000,4725017000,1250516000,129970000,129970000,1380486000,6105503000,1381452000,2054680000,299039000,3734474000,3734474000,9839977000,151031000,151031000,19610000,34297000,-16836000,188102000,-35016000,-35016000,-35016000,629000,-88055000,-89675000,2012000,-87663000,12384000,12384000,12434000,24818000,260347000,1882951000,270625000,0.11789,0.03608,0.02264,0.04044,0.01535,1.79185,1.73877,1.6349,0.19136,0.98805,0.97685,43.651,24.431,1.77043,0.02628,0.04709,4.22975,4.57429
"8","2012_Q1",29.0196774193548,"Up",6912126000,-6087275000,824851000,-557673000,-557673000,267178000,-17166000,-22622000,5456000,250012000,250012000,-11182000,238830000,238830000,238830000,238830000,675334000,675334000,4764293000,4764293000,2596470000,191110000,191110000,8227207000,419173000,1259189000,885072000,374117000,1678362000,9905569000,4234649000,3561633000,673016000,243079000,4477728000,1273509000,98262000,98262000,1371771000,5849499000,1386044000,2293510000,377211000,4056070000,4056070000,9905569000,238830000,238830000,22289000,43664000,-23334000,281449000,-43486000,-43486000,-43486000,8265000,-26571000,-371928000,699000,-371229000,-116351000,-116351000,9936000,-106415000,289467000,1516588000,233829000,0.11933,0.03865,0.03455,0.05888,0.02411,0.97906,1.83736,1.44216,0.1531,1.56175,1.54251,45.19945,26.52326,1.52904,0.04211,0.04123,2.90622,3.14866
"9","2012_Q2",27.2422222222222,"Down",6426006000,-5672409000,753597000,-530533000,-530533000,223064000,-27247000,-21871000,-5376000,195817000,195817000,-56787000,139030000,139030000,139030000,139030000,622430000,622430000,4593519000,4593519000,2643838000,207069000,207069000,8066856000,432668000,1283030000,939268000,343762000,1715698000,9782554000,3836002000,3175069000,660933000,756947000,4592949000,1150773000,107815000,107815000,1258588000,5851537000,1395629000,2345130000,190953000,3931017000,3931017000,9782554000,139030000,139030000,22301000,42341000,-407819000,-204147000,-39666000,-39666000,-39666000,443000,-142455000,389025000,588000,307692000,-38910000,-38910000,-13994000,-52904000,245365000,1907720000,-145333000,0.11727,0.03471,0.02164,0.03537,0.01421,-1.04534,1.75636,1.48856,0.19501,0.91305,0.89984,42.20139,25.8161,-0.95444,0.02338,-0.02444,5.23828,5.76198
"10","2012_Q3",26.2371428571429,"Down",6693573000,-5909439000,784134000,-553245000,-553245000,230889000,-21452000,-22194000,742000,209437000,208038000,-61015000,147023000,147023000,147023000,147023000,968520000,968520000,4755630000,4755630000,2513922000,217099000,217099000,8455171000,440445000,1277186000,945220000,331966000,1717631000,10172802000,4222355000,3567762000,654593000,800563000,5022918000,1184688000,110114000,110114000,1294802000,6317720000,1399351000,2361685000,94742000,3855082000,3855082000,10172802000,147023000,147023000,22352000,24690000,255897000,449962000,-31184000,-31184000,-31184000,-329000,-35854000,78500000,188000,-60342000,353766000,353766000,-7676000,346090000,253241000,1985251000,538969000,0.11715,0.03449,0.02196,0.03814,0.01445,3.66588,1.68332,1.6388,0.19515,0.99888,0.98234,45.47635,26.19155,3.66177,0.02471,0.09058,4.01488,4.40355
