"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q2",45.5730158730159,"Up",294172000,-188857000,105315000,-88475000,-70629000,-17846000,16840000,3920000,20760000,20760000,-7143000,13617000,13617000,-635000,12982000,12982000,-950342203.098833,-950342203.097719,432388887.381706,432388887.381706,-12340471.5649586,-12340474.2285876,-530293787.282086,320274960.825992,374447206.490358,50925805.8378877,261541837.110801,41284250.2622195,20695313.27945,694722167.486649,164428380.204563,2438669312.62981,282743234.824164,-17362501.1813892,-256820349.240381,-1962047867.93843,-1962047867.93843,476621444.691376,43675659.9296666,-7101150.38823563,-10246109.9940675,61022920.3119698,43675659.9296666,520297104.621043,473633338.371887,-14583700.6688685,-816654100.130273,-357606099.251481,1737374.83500154,-355868724.416479,164428380.204563,13617000,8262000,10223000,8905000,41007000,-11528000,-22294000,-33822000,-2450000,2771000,2771000,-1e+06,-679000,6506000,6506000,6506000,25102000,0,29622000,0.358,0.05725,0.04413,0.738396169363786,0.394471591717874,2.28177,-1.96341179165166,2.21419082836871,0,0.21221,0.20052,4.80876,-6.83054604116753,0.48422,0.725888783626657,0.0080134527910827,-10.7609307300471,-166.761937639867
"2","2015_Q3",45.74046875,"Up",299306000,-191482000,107824000,-99984000,-80131000,-19853000,7840000,-2546000,5294000,5294000,-1365000,3929000,3929000,-389000,3540000,3540000,-234959101.549417,-234959101.54886,341293443.690853,341293443.690853,11666264.2175207,11666262.8857062,118000606.358957,181394980.412996,224818103.245179,35107902.9189439,142723918.5554,28015625.1311098,18970656.639725,406213083.743325,524213690.102282,1268988156.3149,275836117.412082,3306749.40930541,-96380919.59487,-850295433.969216,-850295433.969216,418692722.345688,25299329.9648333,-2526575.19411782,-4900054.99703377,32725960.1559849,25299329.9648333,443992052.310521,437322669.185943,48447149.6655657,-407502050.065137,78266950.3742596,1954687.41750077,80221637.7917603,524213690.102282,3929000,10939000,1197000,-4126000,11939000,-29628000,6923000,-22705000,197000,3663000,3663000,-1.16415321826935e-10,3860000,-6906000,-6906000,-6906000,18779000,0,-13610000,0.36025,0.02619,0.01183,0.406583084681893,0.219360795858937,-3.84463,0.0798591041741721,1.46482041418435,0,0.05736,0.05423,4.84947,0.806041979416235,-0.22051,0.399904391813328,0.133091726395541,-6.33065036502354,-72.6101138199336
"3","2015_Q4",39.69453125,"Down",332674000,-216176000,116498000,-98667000,-76225000,-22442000,17831000,-6650000,11181000,11181000,-5388000,5793000,5793000,-697000,5096000,5096000,173090632.816861,173090632.817047,286097481.230284,286097481.230284,31917754.7391736,31917754.2952354,491105868.786319,108231326.804332,134927701.081726,23060300.9729813,72418306.1851335,21608541.7103699,17840552.2132417,243159027.914442,734264896.70076,599827385.438301,260835039.137361,13126916.4697685,-2102719.84807625,-220972144.656405,-220972144.656405,378855240.781896,11905776.6549444,145808.268627394,-1534684.99901126,13294653.3853283,11905776.6549444,390761017.43684,423956223.061981,89911716.5551886,-173423683.355046,340443983.458086,3059895.80583359,343503879.26392,734264896.70076,5793000,13235000,5592000,-7120000,17500000,-21515000,-4076000,-25591000,-694000,3575000,3575000,0,2881000,-5210000,-5210000,-5210000,31066000,0,7819000,0.35019,0.0536,0.01532,0.195414361560631,0.107346931952979,1.53434,1.28470970139139,0.998876804728118,0,0.08208,0.07809,5.35861,5.34772732647208,0.12595,0.192574797271109,0.148893908798514,-5.71858678834118,-25.2656512733112
"4","2016_Q1",34.9090163934426,"Down",397017000,-254838000,142179000,-108356000,-81690000,-26666000,33823000,735000,34558000,34558000,4379000,38937000,38937000,-1002000,37935000,37935000,353537000,353537000,261581000,261581000,48296000,48296000,663414000,82482000,95823000,16470000,41973000,20196000,17184000,178305000,841719000,304022000,246382000,15365000,42275000,53818000,53818000,357840000,4856000,1445000,139000,3272000,4856000,362696000,427272000,116076000,-69023000,474325000,4698000,479023000,841719000,38937000,14649000,-4454000,17572000,66704000,-12936000,-6579000,-19515000,-2010000,3759000,3759000,0,1749000,48938000,48938000,48938000,48472000,0,48729000,0.35812,0.08519,0.09555,0.07919,0.04507,1.28454,1.85394,0.75716,0,0.60826,0.58263,6.36588,7.60546,0.78133,0.0784,0.1007,-7.29363,-10.45256
"5","2016_Q2",43.0428125,"Up",401253000,-257093000,144160000,-116372000,-89210000,-27162000,27788000,-1317000,26471000,26471000,-7944000,18527000,18527000,-1396000,17131000,17131000,386110000,386110000,262524000,262524000,60683000,60683000,709317000,85845000,98551000,17024000,42736000,21911000,16880000,184396000,893713000,254407000,241119000,13288000,53012989.9493587,101971000,101971000,356378000,5511000,1900000,410000,3201000,5511000,361889000,441008000,133206000,-48904000,525310000,6514000,531824000,893713000,18527000,13180000,4340000,-17140000,18907000,-13615000,2288000,-11327000,-739000,5476000,5476000,0,4737000,12317000,12317000,12317000,40968000,0,18157000,0.35927,0.06925,0.04269,0.03221,0.01917,1.05989,1.99035,0.68047,0,0.27361,0.2642,6.40877,8.39019,0.29,0.03188,0.03379,-9.42467,-13.89485
"6","2016_Q3",39.5875,"Down",407201000,-261249000,145952000,-128069000,-97835000,-30234000,17883000,-95000,17788000,17788000,-4450000,13338000,13338000,-1139000,12199000,12199000,377407000,377407000,266436000,266436000,67968000,67968000,711811000,97236000,106369000,17170000,46859000,25330000,17010000,203605000,915416000,296584000,240757000,9455000,46372000,61705000,61705000,358289000,5421000,1996000,518000,2907000,5421000,363710000,458324000,145407000,-60329000,543402000,8304000,551706000,915416000,13338000,16345000,-113000,-10296000,19274000,-25563000,-2103000,-27666000,-1650000,10106000,10106000,-171000,8285000,-107000,-107000,-107000,34228000,0,2819000,0.35843,0.04392,0.02996,0.02211,0.01333,0.23108,1.9867,0.65925,0,0.19288,0.18589,6.43829,8.59177,0.0445700000000001,0.0219,0.00506,-11.02627,-21.10423
"7","2016_Q4",38.9860317460317,"Down",423867000,-269642000,154225000,-131357000,-100656000,-30701000,22868000,-570000,22298000,22298000,-7574000,14724000,14724000,-1185000,13539000,13539000,407158000,407158000,268097000,268097000,70033000,70033000,745288000,98353000,110324000,18595000,45690000,28586000,17453000,208677000,953965000,303388000,253938000,7133000,42317000,60916000,60916000,364304000,5947000,2262000,752000,2933000,5947000,370251000,472958000,158945000,-57902000,574001000,9713000,583714000,953965000,14724000,16030000,8301000,4576000,43631000,-15792000,-4492000,-20284000,771000,1600000,1600000,-25000,2346000,25693000,25693000,25693000,38898000,0,35256000,0.36385,0.05395,0.03194,0.02319,0.01419,2.60403,2.04579,0.6343,0,0.21278,0.20571,6.66161,9.02115,0.55409,0.02296,0.05979,-10.46732,-17.80471
"8","2017_Q1",46.7640322580645,"Up",566825000,-366187000,200638000,-148173000,-112621000,-35552000,52465000,1436000,53901000,53901000,-13161000,40740000,40740000,-1337000,39403000,39403000,270317000,270317000,397244000,397244000,75023000,75023000,742584000,108581000,360021000,102944000,209418000,30630000,17029000,468602000,1211186000,436116000,365788000,14454000,55874000,83675000,83675000,519791000,81518000,3221000,686000,77611000,81518000,601309000,490370000,198355000,-88593000,600132000,9745000,609877000,1211186000,40740000,17178000,20339000,-6600000,71657000,-30163000,-223323000,-253486000,72335000,2893000,2893000,-25999.9999999999,75202000,-106627000,-106627000,-106627000,69643000,0,46041000,0.35397,0.09256,0.06952,0.06461,0.03253,1.16846,1.42862,0.98595,0,0.61696,0.59475,8.87522,9.39673,0.7209,0.05699,0.06659,-3.88147,-5.15233
"9","2017_Q2",50.8071428571429,"Up",516667000,-333848000,182819000,-161767000,-122246000,-39521000,21052000,-2333000,18719000,18719000,-4201000,14518000,14518000,-2076000,12442000,12442000,303813000,303813000,340837000,340837000,71166000,71166000,715816000,115415000,406158000,107962000,232138000,46201000,19857000,521573000,1237389000,364433000,295602000,14969000,53862000,161824000,161824000,526257000,39493000,3276000,28900000,7317000,39493000,565750000,516761000,222239000,-79742000,659258000,12381000,671639000,1237389000,14518000,22316000,7474000,-70000,44238000,-23267000,-5370000,-28637000,-2053000,12937000,12937000,119000,11003000,26604000,26604000,26604000,43368000,0,24232000,0.35384,0.04075,0.02408,0.01852,0.01006,1.9476,1.3602,0.84234,0,0.19383,0.18492,8.04913,10.27054,0.37751,0.0175,0.03408,-7.00546,-14.43155
"10","2017_Q3",47.6568253968254,"Down",542021000,-355008000,187013000,-173750000,-130139000,-43611000,13263000,-2094000,11169000,11169000,-3665000,7504000,7504000,-1535000,5969000,5969000,308185000,308185000,370052000,370052000,81656000,81656000,759893000,131346000,406906000,104045000,235337000,48700000,18824000,538252000,1298145000,427773000,351408000,11898000,64467000,90755000,90755000,518528000,36938000,3405000,28088000,5445000,36938000,555466000,543126000,228141000,-42615000,728652000,14027000,742679000,1298145000,7504000,24376000,2751000,25860000,60491000,-30008000,5710000.00000003,-24298000,-75714000,11517000,11517000,145000,-64052000,-27859000,-27859000,-27859000,37639000,0,37156000,0.34503,0.02447,0.01101,0.00804,0.0046,6.22483,1.46548,0.74792,0,0.0917899999999999,0.08761,8.3352,11.20521,0.57138,0.00766,0.04766,-8.18792,-23.23645
