"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","notes_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",50.6033333333333,"Up",45937774,-9893051,36044723,-20540457,-17315682,-11108801,-6206881,-3224775,15504266,-1804304,-2201276,396972,13699962,13699962,-4079361,9620601,9620601,9620601,9620601,70082007.8261223,37585589.1300806,32496418.6960417,11332239.3276816,6367464.80856632,4964774.51911532,-1761888.12283291,855144.618665331,5444143.90749351,79652359.0309684,-22757416.1789734,74627898.4445629,52658133.7375565,-135828167.241183,66485434.0063901,-4548866.65135125,290473.038704316,104528616.003146,184180975.034114,69016712.0707445,18515656.4406175,54809122.7417751,11195063.4002765,80211775.471021,-473941.973030759,2187956.01625927,2153784.29543892,34171.7208203431,1714014.04322851,81925789.5142496,120484621.53756,20164702.3311511,-38293536.0301836,102355787.555904,102255185.519865,184180975.034114,9620601,946873,-289810,1176884,11454548,-1409537,-21630901,-23040438,-3211908,-14797798,-14797798,-371305,-15169103,16451139,0,20297847,0.78464,0.33751,0.20943,-0.0837057264757397,-0.0610088586233124,2.10983,0.85326124787485,0.714718860416829,-0.00176598955184827,0.21809,0.21791,1.04135,2.32121900117276,0.46013,-0.0736081833144395,0.750087204871734,-2.73905320318106,-2.74520281393633
"2","2010_Q3",63.8134375,"Up",52510331,-11411560,41098771,-22284204,-18307739,-11473143,-6834596,-3976465,18814567,-2474012,-2438534,-35478,16340555,16340555,-4666593,11673962,11673962,11673962,11673962,42848340,31568720,11279620,12403569,8996944,3406625,12032490,506921,4919156,67284399,7689100,66112729,67555502,62932379,63236399.0031951,4053741,569382,141357331,208641730,56963830,13779597,43184233,8560306,65524136,161008,9235074,6413934,2821140,9396082,74920218,120419307,38951100,-25648895,133721512,133721512,208641730,11673962,1240480,706277,1016503,14637222,-2509483,-15761137,-18270620,223372,-3410026,-3410026,344447,-3065579,20055047,161008,23228660,0.78268,0.3583,0.22232,0.0873,0.05595,1.98978,1.02686,0.56027,0.00077,0.26459,0.26444,1.19014,3.03078,0.52648,0.08157,0.1623,-2.12851,-2.26884
"3","2010_Q4",63.52546875,"Down",55951378,-11450920,44500458,-25189752,-20965276,-12281672,-8683604,-4224476,19310706,439711,793930,-354219,19750417,19750417,-959454,18790963,18790963,18790963,18790963,51036353,44451900,6584453,15821176,11132566,4688610,18577640,681923,5742932,85435169,19062411,65852573,70382499,64790278,61327431.6677317,4887165,705056,155297483,240732652,63968076,14689150,49278926,9927619,73895695,280228,10397032,6439580,3957452,10677260,84572955,120410487,57742063,-21992853,156159697,156159697,240732652,18790963,1406803,-4792782,492906,15897890,-6648750,3199174,-3449576,108033,12556347,12556347,326833,12883180,20717509,280228,15521119,0.79534,0.34513,0.33584,0.12033,0.07806,0.82599,1.15616,0.54158,0.00116,0.42581,0.4256,1.26788,3.53865,0.35172,0.11263,0.09303,-2.44991,-2.62839
"4","2011_Q1",68.3001612903226,"Up",62316230,-13794314,48521916,-27552892,-23122616,-14019551,-9103065,-4430276,20969024,1105702,1175424,-69721.9999999999,22074726,22074726,-6135233,15939493,15939493,15939493,15939493,62173232,56830466,5342766,18769691,12618173,6151518,20692285,913262,6867767,101635208,20817712,78846281,68383822,4141167,60496314,2975118,771223,168047815,269683023,76906893,17232103,59674790,11487574,88394467,188846,9381440,5167699,4213741,9570286,97964753,120435753,73681556,-22399039,171718270,171718270,269683023,15939493,1327494,335417.000000001,8304389,25906793,-3062723,-11010664,-14073387,-101298,11732108,11732108,646458,12378566,22296518,188846,33673417,0.77864,0.33649,0.25578,0.09282,0.0591,2.11258,1.14979,0.5705,7e-04,0.36118,0.3611,1.41205,3.89105,0.76302,0.08792,0.18574,-2.78,-2.956
"5","2011_Q2",82.0792063492063,"Up",61459668,-14331703,47127965,-27836809,-22679919,-13228942,-9450977,-5156890,19291156,764507,1244818,-500655,20055663,20055663,-5998029,14057634,14057634,14057634,14057634,54147463,50968258,3179205,19080174,13446387,5633787,20996826,843908,7196704,94224463,22672952,101824319,68011440,3978903,60480828,2841633,710076,192508711,286733174,84115434,17945181,62639743,9777052,93892486,166592,9568960,5149708,4419252,9735552,103628038,120470348,84208680,-21573892,183105136,183105136,286733174,14057634,1541143,929989,-1359789,15168977,-2959559,-18246195,-21205754,885,-6035892,-6035892,173684,-5862208,20832299,166592,22510980,0.76681,0.31388,0.22873,0.07677,0.04903,1.60133,1.00354,0.56595,0.00058,0.31854,0.31842,1.39265,4.14909,0.51009,0.0729,0.11673,-2.59121,-2.79822
"6","2011_Q3",67.7971875,"Down",69378160,-16939119,52439041,-30887647,-25368754,-15636415,-9732339,-5518893,21551394,906464,1369081,-702714,22457858,22457858,-7637033,14820825,14820825,14820825,14820825,116634151,44250132,72384019,22894570,14984136,7910434,19692995,1331890,5964157,159221716,31316388,50201025,67786847,3819064,61356716,1939191,671876,149304260,308525976,92692333,20333485,68827511,8061079,100753412,125721,10017673,4726032,5291641,10143394,110896806,120473452,95498168,-18342450,197629170,197629170,308525976,14820825,1764652,504532,1473328,18563337,-10396680,-11655533,-22052213,-3520689,-7009565,-7009565,291439,-6718126,23316046,125721,22029727,0.75584,0.31064,0.21362,0.07499,0.04804,1.4864,1.58031,0.56114,0.00041,0.33578,0.33568,1.57184,4.47752,0.49911,0.08832,0.10603,-4.99692,-5.40607
"7","2011_Q4",74.4693650793651,"Up",81628144,-20060473,61567671,-31603946,-25678927,-16701981,-8976946,-5925019,29963725,5137630,1860732,3284191,35101355,35101355,-8804905,26296450,26296450,26295928,26295928,126661911,59083417,67578494,28673498,15429301,13244197,19155538,1140002,6093323,174490947,31351966,41002762,78497915,6710125,62861760,3495916,5430114,150852643,325343590,94266655,19998140,70737153,9997791,104264446,178543,13046558,8219638,4826920,13225101,117489547,120485048,118262734,-34304372,204443410,207854043,325343590,26296450,1943373,-2194678,2516213,28561358,-3847420,861168,-8454432,-3530868,16576058,16576058,-1742773,14833285,31907098,178543,39380796,0.75425,0.36708,0.32214,0.12651,0.08083,1.4976,1.67354,0.56525,0.00055,0.59571,0.59559,1.84922,4.6315,0.89214,0.13492,0.17813,-3.96411,-4.22122
"8","2012_Q1",90.8233870967742,"Up",86465653,-20724540,65741113,-36775223,-30026238,-19401417,-10624821,-6748985,28965890,1875394,1782465,272183,30841284,30841284,-9219854,21621430,21621430,21605666,21605666,142310297,67381677,74928620,40670776,16815087,23855689,17264482,1269594,6863250,200245555,30877719,43933316,80874846,6494857,62093948,6491646,5794395,155685881,355931436,106670347,20251313,82887672,11633178,118303525,136227,14312668,8670606,5642062,14448895,132752420,120496174,135726188,-37043346,219179016,223179016,355931436,21621430,2018907,2684641,806981,27131959,-2001208,-13168809,-15170017,-3531359,8430583,8430583,-132323,8298260,30984797,136227,39010424,0.76031,0.335,0.24988,0.09681,0.0607,1.80556,1.69264,0.59482,0.00038,0.48946,0.48932,1.9588,4.9653,0.88374,0.10578,0.16417,-4.58851,-4.90833
"9","2012_Q2",79.1584126984127,"Down",83736006,-21096297,62639709,-37708965,-30122891,-17427679,-12695212,-7586074,24930744,1974013,3011243,-1032978,26904757,26904757,-7267719,19637038,19637038,19634610,19634610,158597088,75874938,82722150,40302502,16338071,23964431,18299573,1955533,6394655,217199163,33117055,43084473,83168765,6626787,63935487,6537804,6068687,159370293,376569456,110314315,21727978,83774301,9888797,120203112,101249,14585279,8481593,6103686,14686528,134889640,120507210,150867488,-33694882,237679816,241679816,376569456,19637038,1966624,842280,-3459760,18986182,-3727789,-3075129,-6802918,-3531362,8651902,8651902,-158641,8493261,26897368,101249,26977538,0.74806,0.29773,0.23448,0.08124,0.05214,1.37398,1.80693,0.55813,0.00027,0.4448,0.44475,1.89697,5.38443,0.61115,0.09036,0.10523,-5.89262,-6.35745
"10","2012_Q3",77.6734920634921,"Down",88844059,-23892881,64951178,-33066256,-26932438,-16805361,-10127077,-6133818,31884922,3250000,2508002,749009,35134922,35134922,-9740098,25394824,25394824,25379192,25379192,170611906,87595730,83016176,44581635,16559972,28021663,18350863,1940811,7043968,233544404,35103153,49571882,80332294,7622698,61112402,5965641,5631553,165007329,398551733,121683769,24303699,92568034,10346811,132030580,94093,14586006,8554494,6031512,14680099,146710679,120509610,171253118,-43921674,247841054,251841054,398551733,25394824,2090847,-1105381,13122318,39502608,-5986854,-15461008,-21447862,-4809636,13245110,13245110,-1524318,11720792,33975769,94093,50851331,0.73107,0.35889,0.28566,0.10077,0.06368,2.00366,1.76887,0.58255,0.00024,0.57487,0.57481,2.01241,5.61387,1.15184,0.11328,0.1908,-5.01881,-5.34791
