"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital"
"1","2013_Q3",5.28323529411765,"Up",21995000,-16415000,5580000,-3517000,-3517000,2063000,-257000,-183000,-74000,1806000,1806000,-544000,1262000,1262000,1262000,1262000,9643000,9643000,13844000,2468000,1555000,26777000,11697000,14399000,782000,26096000,52873000,12526000,11740000,21002000,3639000,12116000,33118000,8190000,12955000,-1390000,19755000,19755000,52873000,1262000,362000,-6000,1211000,2829000,-570000,-1668000,-1668000,591000,591000,627000,2425000,16953000,0.25369,0.09379,0.05738,0.06388,0.02387,1.27497,1.67644,0.32064,0.21364,0.213,3.72355,3.34434,0.03128
"2","2013_Q4",6.505625,"Up",22447000,-16549000,5898000,-3606000,-3606000,2292000,-462000,-226000,-236000,1830000,1830000,-822000,1008000,1008000,1008000,1008000,12135000,12135000,13436000,2029000,1170000,30890000,12639000,15025000,968000,27664000,58554000,13508000,12403000,17912000,3586000,11676000,29588000,16091000,13963000,-1088000,28966000,28966000,58554000,1008000,373000,43000,563000,1987000,-1716000,-5781000,2088000,2359000,2359000,2468000,2665000,12494000,0.26275,0.10211,0.04491,0.0348,0.01721,1.72454,1.02147,0.21338,0.1665,0.1656,3.7078,4.78461,0.02238
"3","2014_Q1",7.17196721311475,"Up",21169000,-15958000,5211000,-3931000,-3931000,1280000,-185000,-160000,-25000,1095000,1095000,992000,2087000,2087000,2087000,2087000,9739000,9739000,12643000,3338000,1291000,26145000,12213000,15503000,1129000,27716000,53861000,9442000,8370000,12345000,3519000,10724000,23069000,16171000,16050000,-1429000,30792000,30792000,53861000,2087000,461000,-1221000,-1325000,2000,-222000,-2178000,-2368000,-2588000,-2588000,-2865000,1741000,10108000,0.24616,0.06047,0.09859,0.06778,0.03875,2.11786,0.74919,0.18767,0.29051,0.28743,2.94669,4.28619,0.04698
"4","2014_Q2",6.51571428571429,"Down",20893000,-15973000,4920000,-3925000,-3925000,995000,-138000,-136000,-2000.00000000001,857000,857000,-267000,590000,590000,590000,590000,12371000,12371000,13393000,3623000,1373000,29387000,11796000,15359000,1180000,27155000,56542000,12129000,11639000,15857000,3355000,9879000,25736000,16208000,16640000,-2042000,30806000,30806000,56542000,590000,404000,-390000,-2754000,-2150000,-323000,1940000,1940000,-533000,-533000,-425000,1399000,10252000,0.23549,0.04762,0.02824,0.01915,0.01043,1.85325,0.83542,0.18132,0.08226,0.08139,2.91313,4.29532,0.01328
"5","2014_Q3",5.94435483870968,"Down",21064000,-16875000,4189000,-3616000,-3616000,573000,-130000,-130000,0,443000,443000,-141000,302000,302000,302000,302000,11485000,11485000,14983000,4020000,1375000,30546000,12020000,15294000,1116000,27314000,57860000,13049000,12174000,16456000,3367000,9576000,26032000,16261000,16942000,-1375000,31828000,31828000,57860000,302000,421000,-138000,1305000,1890000,-216000,-1650000,-1650000,24000,24000,58000,994000,9616000,0.19887,0.0272,0.01434,0.00949,0.00522,1.85622,0.8179,0.16619,0.04211,0.04172,2.93698,4.43781,0.00674
"6","2014_Q4",6.3,"Up",26111000,-19403000,6708000,-3900000,-3900000,2808000,-309000,-140000,-169000,2499000,2499000,-717000,1782000,1782000,1782000,1782000,14125000,14125000,14671000,4278000,1264000,33756000,11395000,15157000,1170000,26552000,60308000,14679000,12689000,18878000,3263000,8715000,27593000,16319000,18724000,-2328000,32715000,32715000,60308000,1782000,373000,-559000,-240000,1356000,-164000,-335000,-350000,842000,842000,624000,3181000,9651000,0.2569,0.10754,0.06825,0.05447,0.02955,1.78811,0.84344,0.16003,0.24847,0.24661,3.64069,4.56149,0.03905
"7","2015_Q1",6.72049180327869,"Up",24123000,-21771000,2352000,-3576000,-3576000,-1224000,-918000,-176000,-742000,-2142000,-3544000,602000,-2942000,-2942000,-2942000,-2942000,13101000,13101000,14429000,2145000,1671000,33507000,11195000,28136000,1143000,39331000,72838000,14919000,14396000,24262000,8203000,17742000,42004000,18377000,15782000,-3325000,30834000,30834000,72838000,-2942000,403000,3092000,-1554000,-1001000,-1110000,5868000,5783000,3672000,3672000,3150000,-821000,18882000,0.0975,-0.05074,-0.12196,-0.09541,-0.04039,1.38105,1.36226,0.25923,-0.40725,-0.41873,3.33929,4.26827,-0.0508
"8","2015_Q2",5.85809523809524,"Down",28887000,-23320000,5567000,-5651000,-5651000,-84000,-231000,-154000,-76999.9999999999,-315000.000000001,-315000,90000,-224999.999999999,-225000.000000001,-225000.000000001,-225000.000000001,15491000,15491000,13859000,3071000,1759000,32421000,10566000,27924000,926000,38490000,70911000,18676000,18001000,27251000,8430000,14408000,41659000,18438000,15557000,-4743000,29252000,29252000,70911000,-225000.000000001,784000,-501000.000000001,-553000,-495000,-329000,-2617000,-2617000,-3441000,-3441000,-3832000,7e+05,14553000,0.19272,-0.00291,-0.00778999999999998,-0.00768999999999997,-0.00317,1.18972,1.42414,0.20523,-0.0303799999999999,-0.0303800000000001,3.90049,3.94977,-0.00430999999999999
"9","2015_Q3",4.62140625,"Down",26461000,-21393000,5068000,-5754000,-5754000,-686000,-365000,-179000,-186000,-1051000,-1051000,234000,-817000,-817000,-817000,-817000,14722000,14722000,15582000,3438000,1574000,33742000,10669000,27613000,1024000,38282000,72024000,18673000,17817000,29468000,8480000,13841000,43309000,18495000,14740000,-4520000,28715000,28715000,72024000,-817000,793000,-545000,-189000,-758000,-447000,1325000,1285000,80000,80000,0,107000,16156000,0.19153,-0.02592,-0.03088,-0.02845,-0.01134,1.14504,1.50824,0.22431,-0.11032,-0.11032,3.57291,3.87726,-0.01531
"10","2015_Q4",2.875625,"Down",24924000,-19885000,5039000,-4932000,-4932000,107000,-1443000,-173000,-1270000,-1336000,-4775000,1224000,-3551000,-3551000,-3551000,-3551000,15371000,15371000,15941000,3838000,1291000,35150000,7795000,29632000,1048000,37427000,72577000,20470000,19074000,36431000,8060000,8156000,44587000,22498000,11189000,-5697000,27990000,27990000,72577000,-3551000,777000,523000,433000,-1818000,-2260000,184000,4124000,46000.0000000005,46000.0000000005,0,884000,16057000,0.20217,0.00429000000000001,-0.14247,-0.12687,-0.04893,0.96484,1.59296,0.22124,-0.47543,-0.47543,3.33699,3.74749,-0.06815
