"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","trading_account_profits_losses","investment_income_loss","commissions_fees_earned","net_otti_losses_recognised_in_earnings","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","fed_funds_sold_repos","other_interbank_assets","short_long_term_investments","trading_securities","other_investments","accounts_notes_receivable","net_loans","reserve_for_loan_losses","total_loans","intangible_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","securities_sold_under_repo","trading_account_liabilities","short_term_borrowings","payables_broker_dealers","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization","change_in_working_capital","trading_assets_liabilities","net_change_in_operating_loans","other_operating_assets_liabilities","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","capital_expenditures","net_change_in_investments","decrease_in_investments","increase_in_investments","net_change_in_loans_interbank","net_change_in_customer_loans","net_change_in_interbank_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","net_change_in_interbank_transfers","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",33.9887301587302,"Up",2.5421e+10,1.4561e+10,2.0852e+10,-6.291e+09,1.086e+10,4.116e+09,5.38e+08,3.645e+09,-5.07e+08,3.068e+09,-8.618e+09,1.6803e+10,-1.1518e+10,-1.1518e+10,5.285e+09,5.285e+09,5.285e+09,-1.036e+09,4.249e+09,2.11e+08,2.11e+08,4.46e+09,-3.2e+07,4.428e+09,4.428e+09,2.5678e+10,3.97873e+11,2.34348e+11,1.63525e+11,6.62516e+11,3.45783e+11,3.16733e+11,3.4001e+10,6.73058e+11,-4.8746e+10,7.21804e+11,8.277e+09,2.5662e+10,1.75148e+11,2.002213e+12,8.27914e+11,7.15647e+11,1.12267e+11,5.02394e+11,2.07911e+11,1.42748e+11,9.6694e+10,5.5041e+10,4.39274e+11,7.8852e+10,1.848434e+12,3.12e+08,9.6714e+10,2.87e+08,9.6427e+10,-1.178e+09,7.3432e+10,-1.7859e+10,1.51421e+11,2.358e+09,1.53779e+11,2.002213e+12,4.428e+09,4.428e+09,6.23e+08,-2.636e+10,-7.874e+09,-1.444e+09,-4.716e+09,-1.47e+08,-1.8212e+10,3.59e+08,6.37e+08,-2.78e+08,-1.6638e+10,7.8866e+10,-9.5504e+10,3.0677e+10,2.6788e+10,3.889e+09,1.4398e+10,-1160514865.92458,1.0394e+10,-3.3885e+10,5.363e+10,-9.351e+09,-1.6682e+10,7.331e+09,1.874e+09,-1e+06,-7.989e+09,-1.26e+08,4.153e+09,3.39e+08,3.91e+08,-1.85e+08,2.06e+08,5.908e+09,9.41668e+11,-1.9057e+10,0.2079,0.17419,0.02879,0.00221,-4.30375,12.02007,0.47031,1.55673,1.50954,8.93712,53.12453,-6.69976,0.398927521447888,0.00221,-0.00952,0.461002671035907,155.04232,173.31883
"2","2010_Q3",32.21703125,"Down",2.2071e+10,1.3807e+10,2.0287e+10,-6.48e+09,8.264e+09,2.362e+09,5.23e+08,3.229e+09,-4.54e+08,2.604e+09,-6.665e+09,1.5406e+10,-1.1866e+10,-1.1866e+10,3.54e+09,3.54e+09,3.54e+09,-8.12e+08,2.728e+09,-3e+06,-3e+06,2.725e+09,-2.8e+07,2.697e+09,2.697e+09,2.4709e+10,3.91564e+11,2.30784e+11,1.6078e+11,6.26478e+11,3.09412e+11,3.17066e+11,3.6872e+10,6.45969e+11,-4.6197e+10,6.92166e+11,7.868e+09,2.5201e+10,1.78995e+11,1.937656e+12,8.13951e+11,7.08404e+11,1.05547e+11,4.74639e+11,1.96112e+11,1.31001e+11,9.2752e+10,5.4774e+10,4.13297e+11,7.8439e+10,1.780326e+12,3.12e+08,9.9306e+10,2.92e+08,9.9014e+10,-1.772e+09,7.613e+10,-1.917e+10,1.54806e+11,2.524e+09,1.5733e+11,1.937656e+12,2.697e+09,2.697e+09,6.2e+08,2.4449e+10,2.4824e+10,-2.5e+08,-3.689e+09,3e+06,1.7982e+10,2.77e+08,5.27e+08,-2.5e+08,-9.42e+09,9.5923e+10,-1.05343e+11,3.5023e+10,3.2278e+10,2.745e+09,2.588e+10,-503257432.962289,-3.0402e+10,6.58e+08,-1.1799e+10,-1.9261e+10,-2.5083e+10,5.822e+09,-4e+06,-4e+06,-1.3963e+10,-5.98e+08,-4.4967e+10,-1.105e+09,-1.106e+09,1.37e+08,-9.69e+08,4.16e+09,8.87936e+11,2.9698e+10,0.16039,0.1222,0.01714,0.00139,11.01149,11.31587,0.45825,0.93487,0.90646,7.65053,53.55264,10.29429,0.173013760723944,0.00139,0.01533,0.206876335517954,207.50649,243.84944
"3","2010_Q4",35.6196875,"Up",2.0738e+10,1.3128e+10,1.9311e+10,-6.183e+09,7.61e+09,2.085e+09,9.62e+08,3.248e+09,-2.2e+08,1.535e+09,-5.919e+09,1.4819e+10,-1.152e+10,-1.152e+10,3.299e+09,3.299e+09,3.299e+09,-6.98e+08,2.601e+09,-3.74e+08,-3.74e+08,2.227e+09,-5.9e+07,2.168e+09,2.168e+09,2.6342e+10,3.90128e+11,2.40057e+11,1.50071e+11,6.77348e+11,3.37098e+11,3.4025e+11,3.7138e+10,6.10637e+11,-4.3674e+10,6.54311e+11,7.705e+09,2.5797e+10,1.76776e+11,1.98328e+12,8.50095e+11,7.33573e+11,1.16522e+11,4.726e+11,1.92065e+11,1.42005e+11,8.7013e+10,5.1517e+10,3.8733e+11,7.8198e+10,1.818097e+12,3.12e+08,1.0119e+11,2.92e+08,1.00898e+11,-1.54e+09,7.826e+10,-1.5309e+10,1.62913e+11,2.27e+09,1.65183e+11,1.98328e+12,2.168e+09,2.168e+09,1.36e+08,-3.2118e+10,-1.6682e+10,-1.637e+09,-4.526e+09,-4e+06,-1.3273e+10,2.15e+08,4.92e+08,-2.77e+08,-2.517e+10,1.08351e+11,-1.33521e+11,1.5328e+10,4.619e+09,1.0709e+10,-9.627e+09,-147419144.320763,-1.4096e+10,-3.894e+09,-4.047e+09,-6.155e+09,-1.5074e+10,8.919e+09,1.875e+09,0,3.6144e+10,-6.2e+07,2.3861e+10,9.61e+08,9.61e+08,6.72e+08,1.633e+09,3.435e+09,8.5993e+11,-2.777e+10,0.15908,0.10454,0.01312,0.00109,-12.80904,11.00656,0.43359,0.75074,0.72805,7.18125,56.30618,-9.61632,0.0506979202413146,0.00109,-0.014,0.0654487785059846,242.67482,252.67899
"4","2011_Q1",38.6885483870968,"Up",1.8371e+10,1.269e+10,1.8832e+10,-6.142e+09,5.681e+09,-1.046e+09,3.88e+08,3.536e+09,-2.3e+08,3.033e+09,-4.84e+09,1.3531e+10,-1.2471e+10,-1.2471e+10,1.06e+09,1.06e+09,1.06e+09,3.13e+08,1.373e+09,9.8e+07,9.8e+07,1.471e+09,-1.62e+08,1.309e+09,1.309e+09,2.7972e+10,4.09154e+11,2.46717e+11,1.62437e+11,6.35436e+11,3.17272e+11,3.18164e+11,3.1213e+10,6.08139e+11,-4.0655e+10,6.48794e+11,7.504e+09,2.6152e+10,1.68332e+11,1.913902e+12,8.44968e+11,7.11634e+11,1.33334e+11,4.49151e+11,1.89558e+11,1.29054e+11,7.879e+10,5.1749e+10,3.81183e+11,7.2811e+10,1.748113e+12,3.12e+08,1.01316e+11,2.9e+07,1.01287e+11,-1.442e+09,7.9559e+10,-1.6277e+10,1.63468e+11,2.321e+09,1.65789e+11,1.913902e+12,1.309e+09,1.309e+09,1.285e+09,2.1384e+10,6874999999.99999,5.814e+09,-9.34e+09,-6.7e+07,3.8607e+10,-5.95e+08,9.63e+08,-1.558e+09,1.8684e+10,9.0362e+10,-7.1678e+10,-3.0098e+10,6.963e+09,-3.7061e+10,-1.2009e+10,-9e+06,-2.0041e+10,-1.0068e+10,-2.507e+09,-7.466e+09,-1.9071e+10,1.1605e+10,-1000000.00000024,-1e+06,-5126999999.99999,-19999999.9999999,-2.5198e+10,1.4e+09,1.563e+09,6.7e+07,1.63e+09,2.345e+09,8.30334e+11,2.2821e+10,0.0577,0.07125,0.0079,0.00068,17.43392,10.5442,0.43384,0.45243,0.43856,6.34956,56.39156,7.88762000000001,0.00311,0.00069,0.01192,0.00688,342.15864,756.94528
"5","2011_Q2",34.4536507936508,"Down",1.9726e+10,1.2102e+10,1.8155e+10,-6.053e+09,7.624e+09,3.167e+09,5.8e+08,3.368e+09,-1.707e+09,2.216e+09,-3.184e+09,1.6542e+10,-1.2326e+10,-1.2326e+10,4.216e+09,4.216e+09,4.216e+09,-1.185e+09,3.031e+09,4e+07,4e+07,3.071e+09,-7.2e+07,2.999e+09,2.999e+09,2.7842e+10,4.24723e+11,2.6112e+11,1.63603e+11,6.50367e+11,3.2311e+11,3.27257e+11,4.0901e+10,6.00568e+11,-3.6568e+10,6.37136e+11,7.28e+09,2.6339e+10,1.67123e+11,1.947815e+12,8.65863e+11,7.22173e+11,1.4369e+11,4.63187e+11,1.87825e+11,1.46346e+11,7.8622e+10,5.0394e+10,3.76541e+11,6.8792e+10,1.774422e+12,3.12e+08,1.03033e+11,2.93e+08,1.0274e+11,-8.78e+08,8.2554e+10,-1.3984e+10,1.71037e+11,2.356e+09,1.73393e+11,1.947815e+12,2.999e+09,2.999e+09,6.71e+08,-3.844e+09,2.1454e+10,-6.29e+08,-1.0266e+10,-3.6e+07,2.772e+09,-2.66e+08,4.22e+08,-6.88e+08,-2.3008e+10,8.2546e+10,-1.05554e+11,6.282e+09,7.448e+09,-1.166e+09,-1.6992e+10,-4000000.00000001,-8.8e+09,-1.068e+09,-1.733e+09,-5.999e+09,-1.4189e+10,8.19e+09,1.875e+09,-2542951.64024708,2.0908e+10,-2.2e+08,1.3759e+10,-4.61e+08,-4.61e+08,3.31e+08,-1.3e+08,4.887e+09,8.39728e+11,1.962e+09,0.21373,0.15203,0.0173,0.00154,0.65422,10.23353,0.43111,1.03257,1.0008,6.79176,58.7815,0.67553,0.00138,0.00154,0.00101,0.00133,166.13178,192.57258
"6","2011_Q3",26.5740625,"Down",2.0622e+10,1.2148e+10,1.8586e+10,-6.438e+09,8.474e+09,2.616e+09,5.83e+08,3.557e+09,-1.71e+08,1.889e+09,-3.387e+09,1.7235e+10,-1.2936e+10,-1.2936e+10,4.299e+09,4.299e+09,4.299e+09,-9.67e+08,3.332e+09,7.1e+07,7.1e+07,3.403e+09,-6.2e+07,3.341e+09,3.341e+09,2.7766e+10,4.40157e+11,2.83976e+11,1.56181e+11,6.31923e+11,3.22349e+11,3.09574e+11,4.0695e+10,6.13138e+11,-3.4362e+10,6.475e+11,7.136e+09,2.6621e+10,1.6919e+11,1.956626e+12,8.6631e+11,7.17781e+11,1.48529e+11,4.86284e+11,2.03843e+11,1.52307e+11,7.2889e+10,5.7245e+10,3.52458e+11,7.2929e+10,1.777981e+12,3.12e+08,1.03504e+11,2.93e+08,1.03211e+11,-1.087e+09,8.5857e+10,-1.2222e+10,1.76364e+11,2.281e+09,1.78645e+11,1.956626e+12,3.341e+09,3.341e+09,7.2e+08,-1.9439e+10,-3.278e+09,-1.926e+09,8.621e+09,1.3e+07,-1.2212e+10,-5.19e+08,3.23e+08,-8.42e+08,2.2645e+10,8.8184e+10,-6.5539e+10,3121000000.00001,-4.301e+09,7.422e+09,2.5247e+10,-3.8e+07,-1.6764e+10,-5.733e+09,1.6018e+10,-2.7049e+10,-4.0115e+10,1.3066e+10,-2.38418579101562e-07,-2611473.53665106,447000000.000008,-3e+06,-1.6358e+10,-3.323e+09,-6.54e+08,5.78e+08,-76000000.0000002,5.019e+09,8.38742e+11,-1.3972e+10,0.20847,0.16201,0.0187,0.00171,-4.18198,9.95259,0.42867,1.14866,1.11478,7.09001,60.52809,-4.80369,0.01306,0.00173,-0.00714,0.01137,161.58119,188.64294
"7","2011_Q4",22.7926984126984,"Down",2.0831e+10,1.2114e+10,1.8145e+10,-6.031e+09,8.717e+09,2.103e+09,7.65e+08,3.043e+09,-1.46e+08,2.952e+09,-3.351e+09,1.748e+10,-1.246e+10,-1.246e+10,5.02e+09,5.02e+09,5.02e+09,-1.278e+09,3.742e+09,1e+06,1e+06,3.743e+09,2.8e+07,3.771e+09,3.771e+09,2.895e+10,4.49983e+11,2.90645e+11,1.59338e+11,6.07294e+11,3.20637e+11,2.86657e+11,3.7992e+10,6.05187e+11,-3.2052e+10,6.37239e+11,6.8e+09,2.5496e+10,1.7429e+11,1.935992e+12,8.51281e+11,6.89588e+11,1.61693e+11,4.94374e+11,2.23612e+11,1.48851e+11,6.5818e+10,5.6093e+10,3.33824e+11,7.7171e+10,1.75665e+12,3.12e+08,1.05591e+11,2.94e+08,1.05297e+11,-1.089e+09,8.9602e+10,-1.7044e+10,1.77372e+11,1.97e+09,1.79342e+11,1.935992e+12,3.771e+09,3.771e+09,7.44e+08,-1.457e+09,-1.744e+09,2.149e+09,4.807e+09,-1.5e+07,6.206e+09,-5.99e+08,3.18e+08,-9.17e+08,1.7515e+10,1.00833e+11,-8.3318e+10,-5.275e+09,-5.95e+08,-4.68e+09,1.1641e+10,-2.7e+07,-4.045e+09,-7.071e+09,1.9769e+10,-1.6743e+10,-2.0712e+10,3.969e+09,1.874e+09,-1e+06,-1.5029e+10,-5e+06,-1.7232e+10,6.15e+08,6.15e+08,5.69e+08,1.184e+09,5.764e+09,8.28198e+11,4.986e+09,0.24099,0.18103,0.02103,0.00195,1.3222,9.79497,0.42779,1.29552,1.25759,7.15645,60.82864,1.71293,0.00928,0.00196,0.00258,0.00716,138.66204,159.21275
"8","2012_Q1",26.9206451612903,"Up",1.6152e+10,1.1285e+10,1.6972e+10,-5.687e+09,4.867e+09,-6.52e+08,6.9e+07,2.697e+09,-2.3e+08,2.983e+09,-2.437e+09,1.3715e+10,-1.2528e+10,-1.2528e+10,1.187e+09,1.187e+09,1.187e+09,-1.45e+08,1.042e+09,-4.4e+07,-4.4e+07,9.98e+08,-4.2e+07,9.56e+08,9.56e+08,2.8701e+10,4.31633e+11,2.75849e+11,1.55784e+11,5.85147e+11,2.91734e+11,2.93413e+11,2.7777e+10,6.17127e+11,-3.0115e+10,6.47242e+11,6.6e+09,2.5413e+10,1.5148e+11,1.873878e+12,8.65936e+11,6.89142e+11,1.76794e+11,4.35592e+11,1.98373e+11,1.26082e+11,5.4441e+10,5.6696e+10,3.23505e+11,6.9272e+10,1.694305e+12,3.12e+08,1.05833e+11,2.9e+07,1.05804e+11,-1.071e+09,9.052e+10,-1.7788e+10,1.77806e+11,1.767e+09,1.79573e+11,1.873878e+12,9.56e+08,9.56e+08,7.37e+08,8.3981e+10,1.8834e+10,1.427e+09,1.9792e+10,6.5e+07,8.8346e+10,-7.41e+08,2.6e+08,-1.001e+09,-8.877e+09,5.0962e+10,-5.9839e+10,-4.8182e+10,-2.4127e+10,-2.4055e+10,-5.78e+10,-3.8e+07,-4.5492e+10,-1.1195e+10,-2.5239e+10,-9.058e+09,-1.4075e+10,5.017e+09,4.76837158203125e-07,0,1.7532e+10,-2e+06,-2.8e+10,2.546e+09,2.53e+09,-2.779e+09,-2.49e+08,1.924e+09,7.59097e+11,8.5309e+10,0.07349,0.05919,0.00532,0.00051,89.23536,9.43519,0.40509,0.32791,0.31835,5.54023,60.88153,29.26151,0.01303,0.00053,0.04553,0.03975,379.6237,615.3294
"9","2012_Q2",24.5604761904762,"Down",1.9406e+10,1.1947e+10,1.7537e+10,-5.59e+09,7.459e+09,1.931e+09,1.925e+09,3.138e+09,-1.305e+09,1.77e+09,-3.019e+09,1.6387e+10,-1.2319e+10,-1.2319e+10,4.068e+09,4.068e+09,4.068e+09,-1.006e+09,3.062e+09,-5e+06,-5e+06,3.057e+09,-1.26e+08,2.931e+09,2.931e+09,2.6505e+10,4.73006e+11,2.89057e+11,1.83949e+11,6.04373e+11,3.0705e+11,2.97323e+11,3.9443e+10,6.19002e+11,-2.902e+10,6.48022e+11,6.413e+09,2.581e+10,1.49871e+11,1.944423e+12,9.06012e+11,7.23016e+11,1.82996e+11,4.74541e+11,2.26008e+11,1.35956e+11,5.5611e+10,5.6966e+10,3.11079e+11,6.9068e+10,1.7607e+12,3.12e+08,1.05816e+11,2.9e+07,1.05787e+11,-8.83e+08,9.331e+10,-1.6735e+10,1.8182e+11,1.903e+09,1.83723e+11,1.944423e+12,2.931e+09,2.931e+09,7.38e+08,-1.1438e+10,-5.442e+09,3.861e+09,-9.857e+09,4e+06,-4.974e+09,-6.81e+08,1.63e+08,-8.44e+08,-2.758e+09,6.0171e+10,-6.2929e+10,-4.8143e+10,-6.77e+09,-4.1373e+10,-5.1582e+10,-3.4e+07,1.4112e+10,1.92e+09,2.7635e+10,-1.5443e+10,-2.3168e+10,7.725e+09,-4e+06,-4e+06,4.0076e+10,-1.87e+08,5.3963e+10,-2.593e+09,-2.593e+09,3.97e+08,-2.196e+09,4.806e+09,7.8562e+11,-6.307e+09,0.20963,0.15104,0.01595,0.00151,-2.15183,9.58345,0.40404,1.00164,0.9723,6.63181,62.02857,-2.15536,0.01162,0.00152,-0.00324,0.0116,157.95152,186.60644
"10","2012_Q3",24.0377777777778,"Down",1.8102e+10,1.1112e+10,1.6443e+10,-5.331e+09,6.99e+09,1.64e+09,2.73e+08,2.981e+09,-1.28e+08,2.224e+09,-2.577e+09,1.5525e+10,-1.1854e+10,-1.1854e+10,3.671e+09,3.671e+09,3.671e+09,-7.09e+08,2.962e+09,2.4e+07,2.4e+07,2.986e+09,-4e+07,2.946e+09,2.946e+09,3.3927e+10,4.27718e+11,2.72664e+11,1.55054e+11,6.16172e+11,3.10246e+11,3.05926e+11,3.534e+10,6.27357e+11,-2.7611e+10,6.54968e+11,6.156e+09,2.5483e+10,1.44298e+11,1.916451e+12,9.14308e+11,7.34239e+11,1.80069e+11,4.615e+11,2.14851e+11,1.28818e+11,5.8698e+10,5.9133e+10,2.88334e+11,6.647e+10,1.730612e+12,3.12e+08,1.05991e+11,2.9e+07,1.05962e+11,-8.59e+08,9.6216e+10,-1.7749e+10,1.83911e+11,1.928e+09,1.85839e+11,1.916451e+12,2.946e+09,2.946e+09,7.74e+08,-1.6844e+10,-1.0334e+10,-1.891e+09,-4.619e+09,-2.4e+07,-1.0556e+10,-7.78e+08,1.52e+08,-9.3e+08,-2.876e+09,6.0649e+10,-6.3525e+10,4.4429e+10,-859000000.000002,4.5288e+10,4.0775e+10,-3.7e+07,-3.0376e+10,2.837e+09,-1.1157e+10,-2.2056e+10,-3.3256e+10,1.12e+10,0,0,8296000000.00001,-4e+06,-2.2121e+10,8.098e+09,8.098e+09,-6.76e+08,7.422e+09,4.445e+09,7.49834e+11,-1.2468e+10,0.2028,0.16274,0.01585,0.00154,-4.23218000000001,9.31243,0.39126,1.00663,0.97711,6.18533,62.73457,-4.26023,0.01264,0.00156,-0.00651,0.01256,161.05894,195.01689
