"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",20.4698412698413,"Up",272640000,-172517000,100123000,-70738000,-65303000,-5435000,29385000,-8819000,-281000,20566000,17789000,-4529000,13260000,11854000,11854000,11854000,-473138190.491159,-473138190.491159,454347647.108778,454347647.108778,858111706.830631,-1186813457.36295,-32720704.2500223,-347492293.914696,150230930.929544,6190423634.73337,3117811349.4243,2910871105.78258,161741179.526488,6340654565.66291,5993162271.74822,188908609.455936,195193565.228485,-6284955.77254866,-1146638306.99811,-1146638306.99811,-926710232.140325,4666273807.39162,2069329319.32026,31301605.1467375,31301605.1467375,691955005.991096,1346072708.18243,6735603126.71188,5808892894.57155,-213809394.391961,13121552.6061868,-226930946.998148,291917944.318138,102200646.312534,184269377.176665,184269377.176665,5993162271.74822,11854000,11854000,12187000,3392000,1943000,256000,1193000,-20654000,-8032000,-4400000,12439000,-20661000,6779000,-2903000,275000,275000,-3178000,-2903000,-2702000,-512000,22382000,487000,487000,-2727000,1149000,1149000,1288000,2437000,41572000,0,22544000,0.36724,0.10778,0.04348,-2.09015968454516,-0.988548124879046,1.90181,4.95726583852578,8.19346442895289,2.05003862092187,0.17551,0.16016,4.0366,2.56667342470943,0.33378,0.04,-1.33190014070894,0.384651484331632,0.22794,147.65997330892,219.204473623814
"2","2010_Q3",19.968125,"Down",267438000,-171075000,96363000,-69609000,-64258000,-5351000,26754000,-7564000,234000,19190000,9915000.00000001,-2020000,7894999.99999999,7157000,7157000,7157000,-178945095.245579,-178945095.245579,291972823.554389,291972823.554389,443716353.415316,-458986228.681473,-9031352.12501115,97757853.0426521,128491965.464772,3252870317.36668,1735406674.71215,1440756552.89129,76707089.7632439,3381362282.83146,3479120135.87411,184523304.727968,161025282.614242,23498022.1137257,-418774653.499054,-418774653.499054,-220956616.070163,2195874403.69581,1030028659.66013,29363802.5733687,29363802.5733687,360003002.995548,640661854.091213,3225903063.35594,3004946447.28578,-191152697.195981,13337276.3030934,-204489973.499074,663593972.159069,-247676.843732789,474173688.588333,474173688.588333,3479120135.87411,7157000,7157000,14828000,2246000,1955000,271000,20000.0000000019,-13126000,-3931000,-959000,-350000,-7886000,11105000,-3190000,408000,408000,-3598000,2326000,-9.31322574615479e-10,-10616000,-10616000,518000,518000,-10098000,3333000,3333000,-1445000,1888000,41582000,0,27286000,0.36032,0.10004,0.02676,-0.950154842272581,-0.448984062439523,3.81249,2.92285791926289,4.24939721447645,1.00261431046093,0.10588,0.09663,3.95642,6.97750671235471,0.40366,-6.93889390390723e-18,-0.604030070354468,0.239440742165816,0,66.3299066544598,98.017366811907
"3","2010_Q4",23.83296875,"Up",310068000,-193882000,116186000,-74736000,-69451000,-5285000,41450000,-8094000,-315000,33356000,31999000,-3706000,28293000,21835000,21835000,21835000,-20994031.7485265,-20994031.7485265,209976607.851463,209976607.851463,224202784.471772,-64989076.2271577,5152549.29166295,348196284.347551,114970655.154924,1663664105.78889,989083891.570716,644544850.963764,30035363.2544146,1778634760.94382,2126831045.29137,189074768.242656,139638094.204747,49436674.0379086,-31226551.1663512,-31226551.1663512,161541461.309946,869900801.231936,447460886.553377,28460600.8577896,28460600.8577896,179711667.665183,239288618.030404,1317361687.78531,1478903149.09526,-173982565.731994,13498092.1010311,-187480657.833025,873612990.71969,-52362558.9479109,647927896.196111,647927896.196111,2126831045.29137,21835000,21835000,12064000,3011000,2146000,155000,710000,14780000,-16592000,1460000,12591000,17321000,51690000,-6047000,390000,390000,-6437000,-33295000,0,-11584000,-11584000,687000,687000,-10897000,7498000,7498000,-927000,6571000,53514000,0,65953000,0.37471,0.13368,0.07042,-0.305734947424194,-0.144094687479841,3.02052,1.85165597308763,2.07820240482548,0.440638103486978,0.32281,0.29353,4.58402,9.58542890411824,0.97504,0,-0.192876690118156,0.130596914055272,0,22.75865888482,32.9981589373023
"4","2011_Q1",27.3390322580645,"Up",310362000,-195782000,114580000,-74800000,-68854000,-5946000,39780000,-8093000,-349000,31687000,29499000,-8591000,20908000,-16815000,-16815000,-16815000,40222000,40222000,185693000,185693000,146154000,88081000,12578000,460150000,108382000,1053171000,704889000,336978000,11304000,1161553000,1621703000,201166000,130051000,71115000,112256000,112256000,313422000,367380000,201180000,28072000,28072000,110230000,62878000,568560000,881982000,-161547000,13610000,-175157000,968373000,-67105000,739721000,739721000,1621703000,-16815000,-16815000,12796000,35793000,2355000,-3558000,36996000,19738000,14048000,-4065000,8047000,1708000,51512000,-6590000,163000,163000,-6753000,-23208000,0,-14495000,-14495000,1623000,1623000,-12872000,15432000,15432000,2509000,17941000,52576000,367380000,74315000,0.36918,0.12817,-0.05418,-0.02273,-0.01037,-4.41957,1.46815,1.19232,0.22654,-0.24831,-0.22611,4.58322,10.92371,1.09743,0,-0.01285,0.0568,6.93889390390723e-18,6.22257,8.22418
"5","2011_Q2",25.3157142857143,"Down",318412000,-196559000,121853000,-80281000,-74192000,-6089000,41572000,-8e+06,-448000,33572000,33572000,-6911000,26661000,25890000,25890000,25890000,44210000,44210000,196456000,196456000,156153000,93127000,15992000,489946000,107441000,1051757000,708868000,332798000,10091000,1159198000,1649144000,219400000,131283000,88117000,107923000,107923000,327323000,367339000,170740000,27678000,27678000,110707000,32355000,538079000,865402000,-153094000,13679000,-166773000,994272000,-57436000,783742000,783742000,1649144000,25890000,25890000,12301000,2942000,2414000,-674000,1202000,-34647000,-10760000,-8710000,285000,-15462000,6486000,-4018000,59000,59000,-4077000,-4344000,-2716000,-20000,14000,3553000,3553000,817000,2959000,2959000,1029000,3988000,53873000,367339000,22119000,0.38269,0.13056,0.08131,0.03303,0.0157,0.85435,1.49683,1.10419,0.22275,0.38074,0.34577,4.68253,11.52562,0.32528,0.03994,0.02164,0.01673,0.10491,5.99798,7.77276
"6","2011_Q3",21.28515625,"Down",330698000,-205671000,125027000,-87981000,-81095000,-6886000,37046000,-8735000,-497000,28311000,28311000,-6169000,22142000,7929000.00000001,7929000.00000001,7929000.00000001,40400000,40400000,219987000,219987000,196329000,52184000,19265000,508900000,108665000,1238947000,802588000,422023000,14336000,1347612000,1856512000,248424000,145677000,102747000,63705000,63705000,313284000,507192000,217643000,27735000,27735000,131541000,58367000,724835000,1038119000,-147351000,13715000,-161066000,1002201000,-36457000,818393000,818393000,1856512000,7929000.00000001,7929000.00000001,12883000,16091000,2399000,-716000,14408000,-23093000,2191000,-16882000,-6589000,-1813000,13810000,-4007000,207000,207000,-4214000,-158751000,-4.65661287307739e-10,141155000,141155000,3260000,3260000,139218000,-5723000,-5723000,1913000,-3810000,49929000,508347000,28998000,0.37807,0.11202,0.02398,0.00969,0.00427,3.65721,1.6244,1.26848,0.27382,0.11614,0.10503,4.84397,11.98759,0.42475,0,0.00513,0.01878,0,9.37225,12.63151
"7","2011_Q4",21.5101587301587,"Up",392777000,-238739000,154038000,-96037000,-89166000,-6871000,58001000,-8181000,-331000,49820000,49820000,-11460000,38360000,36358000,36358000,36358000,68299000,68299000,233620000,233620000,213265000,58155000,25144000,573339000,110769000,1245107000,812095000,419395000,13617000,1355876000,1929215000,286841000,172252000,114589000,75852000,75852000,363943000,465966000,221443000,27723000,27723000,131881000,61839000,687409000,1051352000,-143566000,13724000,-157290000,1038558000,-17129000,877863000,877863000,1929215000,36358000,36358000,12959000,4897000,3280000,-908000,2525000,20588000,-19183000,-13941000,24704000,29008000,74802000,-6459000,93000,93000,-6552000,-7973000,0,-41155000,-41155000,472000,472000,-40683000,26146000,26146000,1753000,27899000,70960000,467216000,96549000,0.39218,0.14767,0.09257,0.04142,0.01885,2.65551,1.57535,1.19763,0.24218,0.53191,0.48112,5.74622,12.84289,1.41249,0,0.02321,0.06163,0,5.62172,6.87776
"8","2012_Q1",26.4433870967742,"Up",117423000,-53539000,63884000,-27616000,-25939000,-1677000,36268000,-9950000,-1471000,26318000,26318000,-3293000,23025000,41382000,41382000,41382000,44221000,44221000,223760000,223760000,223235000,57637000,22807000,548853000,128649000,1385715000,888466000,479406000,17843000,1514364000,2063217000,261065000,170084000,90981000,66770000,66770000,330525000,522727000,290952000,18864000,18864000,172259000,99829000,813679000,1144204000,-140500000,13731000,-154231000,1077192000,-17679000,919013000,919013000,2063217000,41382000,41382000,14853000,7861000,2665000,8778000,-3582000,12372000,25188000,9624000,-11242000,-11198000,76468000,-6833000,1420000,1420000,-8253000,-159892000,0,58189999.9999999,58190000,949999.999999999,950000,58790000,-24634000,-24634000,556000,-24078000,51121000,525417000,59953000,0.54405,0.30887,0.35242,0.04503,0.02006,1.44877,1.66055,1.24504,0.25466,0.60507,0.54972,1.71691,13.43743,0.87661,0,0.02385,0.03455,0,9.41288,13.26778
"9","2012_Q2",26.1096825396825,"Down",392799000,-240191000,152608000,-95327000,-88109000,-7218000,57281000,-8879000,-657000,48402000,48402000,-11228000,37174000,37174000,37174000,37174000,48119000,48119000,227131000,227131000,219392000,54897000,22711000,549539000,118582000,1349433000,871856000,464438000,13139000,1468015000,2017554000,226350000,163286000,63064000,67666000,67666000,298052000,525997000,278212000,18706000,18706000,164401000,95105000,804209000,1102261000,-128598000,13830000,-142428000,1114366000,-50065000,915293000,915293000,2017554000,37174000,37174000,13540000,3148000,3543000,-950000,555000,-33387000,-9597000,-2595000,-2886000,-18309000,20475000,323000,5918000,5918000,-5595000,33000,-2748000,4809000,4809000,-17628000,2782000,-15567000,4941000,4941000,-1043000,3898000,70821000,530033000,48985000,0.38851,0.14583,0.09464,0.04061,0.01843,1.31772,1.84377,1.20427,0.26271,0.54331,0.49472,5.74091,13.37737,0.71594,0.04016,0.02316,0.02842,0.07392,6.80468,8.41316
"10","2012_Q3",27.7771428571429,"Up",378024000,-236732000,141292000,-91836000,-84763000,-7073000,49456000,-7650000,171000.000000001,41806000,41806000,-9631000,32175000,32175000,32175000,32175000,58445000,58445000,239074000,239074000,219605000,56273000,23799000,573397000,118458000,1360032000,883823000,463541000,12668000,1478490000,2051887000,227096000,159340000,67756000,67485000,67485000,299581000,520072000,275597000,18674000,18674000,166753000,90170000,795669000,1095250000,-123191000,13855000,-137046000,1146541000,-46303000,956637000,956637000,2051887000,32175000,32175000,13070000,2211000,3419000,-1304000,96000,-15930000,-7510000,1535000,-5242000,-4713000,31526000,-3e+06,1857000,1857000,-4857000,-21617000,4.65661287307739e-10,-4976000,-4976000,2725000,2725000,-2251000,7658000,7658000,2668000,10326000,62526000,525072000,53227000,0.37376,0.13083,0.08511,0.03363,0.01568,1.6543,1.914,1.1449,0.2559,0.47272,0.4284,5.55395,14.05496,0.78201,0,0.01831,0.03029,0,7.46293,9.43519
