"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"1","2010_Q2",16.8766666666667,"Up",36139000,-10359000,25780000,-24478000,-18924000,-12718000,-6206000,-5047000,-507000,1302000,-3000,114000,-117000,1299000,1299000,-1070000,229000,229000,229000,229000,22944652.9154381,3400416.13548439,8978413.62087787,217248352.758573,252571835.430373,16222199.026629,-511008793.059609,-888732.413390587,24917757.6417788,-33277503.0987159,-291714460.727951,-291714460.727951,6294888.2161933,-285419572.511758,-14586162.3674973,0,182642788.054609,0.71336,0.03603,0.00634,-485.814926790689,0.00748,0.00728,1.17984,5.7874246649032
"2","2010_Q3",19.045,"Up",41962000,-12374000,29588000,-27805000,-21059000,-12892000,-8167000,-6088000,-658000,1783000,28000,40000,-12000,1811000,1811000,-986000,825000,825000,825000,825000,3485884.30514603,2419805.3784948,6809471.20695929,61024117.586191,73739278.4767911,4440733.00887635,-206308931.01987,-501244.137796862,12627419.2139263,-4271167.69957197,-136840820.24265,-136840820.24265,2251962.7387311,-134588857.503919,-6094054.12249909,-9.31322574615479e-10,48653262.6848697,0.70511,0.04249,0.01966,-140.10279893023,0.02664,0.026,1.35511,1.54040488830107
"3","2010_Q4",22.44109375,"Up",45701000,-13747000,31954000,-35157000,-26523000,-16319000,-10204000,-7254000,-1380000,-3203000,-116000,-38000,-78000,-3319000,-3319000,1182000,-2137000,-2137000,-2137000,-2137000,-2137000,2289000,5908000,-1879000,4181000,-730000,-52822000,-524000,4640000,3107000,-45534000,-45534000,441000,-45093000,-914000,0,-4705000,0.6992,-0.07009,-0.04676,2.20168,-0.06844,-0.06844,1.46369,-0.15069
"4","2011_Q1",26.1908064516129,"Up",51197000,-15473000,35724000,-37065000,-27088000,-17712000,-9376000,-7988000,-1989000,-1341000,-203000,-63000,-140000,-1544000,-1544000,1051000,-493000,-493000,-493000,-493000,-493000,2647000,5770000,-7386000,537999.999999996,-1765000,-1765000,-783000,140000,-1299000,-2526000,-2526000,29000,-2497000,1306000,12618000,-8896000,0.69778,-0.02619,-0.00963,18.04462,-0.01567,-0.01652,1.62733,-0.28277
"5","2011_Q2",27.5536507936508,"Up",52952000,-17139000,35813000,-38380000,-28487000,-18169000,-10318000,-7899000,-1994000,-2567000,61000,-89000,150000,-2506000,-2506000,2172000,-334000,-334000,-334000,-334000,-334000,3101000,6369000,5985000,15121000,-1578000,-1578000,-1163000,-1489237.99129608,-6345000,7198000,7198000,146000,7344000,534000,0,2769000,0.67633,-0.04848,-0.00631,-8.29042,-0.01055,-0.01055,1.67268,0.08747
"6","2011_Q3",19.2234375,"Down",58094000,-19301000,38793000,-44961000,-33694000,-19717000,-13977000,-8833000,-2434000,-6168000,-22000,-124000,102000,-6190000,-6190000,-2039000,-8229000,-8229000,-8229000,-8229000,-8229000,3290000,7201000,2309000,4571000,-2644000,-3478000,-1490000,-68999.9999999991,-2187000,-1094000,-1094000,-41000,-1135000,-2878000,13092000,-1174000,0.66776,-0.10617,-0.14165,0.142670000000001,-0.25851,-0.25851,1.82501,-0.03688
"7","2011_Q4",19.6447619047619,"Up",58759000,-19560000,39199000,-44575000,-32898000,-20330000,-12568000,-9219000,-2458000,-5376000,-485000,-143000,-342000,-5861000,-5650000,1712000,-3938000,-3938000,-3938000,-3938000,-3938000,3417000,5661000,-6073000,-933000,-1677000,-5530000,-1226000,2591000,337000,-6126000,-6126000,-417000,-6543000,-1959000,13055000,-11421000,0.66711,-0.09149,-0.06702,2.9002,-0.1212,-0.1212,1.80836,-0.35149
"8","2012_Q1",22.3377419354839,"Up",62587000,-19103000,43484000,-42238000,-31724000,-20073000,-11651000,-8099000,-2415000,1246000,-489000,-169000,-320000,757000,-4418000,1129000,-3289000,-3289000,-3289000,-3289000,-3289000,3544000,11361000,-3625000,7991000,-1336000,-1811000,-1511000,177000,-1517000,4663000,4663000,6000.00000000006,4669000,4790000,12981000,-1300000,0.69478,0.01991,-0.05255,0.39526,-0.09913,-0.09913,1.88643,-0.0391799999999999
"9","2012_Q2",18.5642857142857,"Down",62275000,-20401000,41874000,-40807000,-30451000,-21345000,-9106000,-8036000,-2320000,1067000,-461000,-198000,-263000,606000,606000,-1077000,-471000,-471000,-471000,-471000,-471000,3420000,8631000,-246000,11334000,-607000,-607000,-1618000,-1211974.84836033,-6962000,3765000,3765000,575000,4340000,4487000,12339000,4711000,0.6724,0.01713,-0.00756,-10.00212,-0.01432,-0.01432,1.89348,0.14324
"10","2012_Q3",15.0825396825397,"Down",60291000,-20371000,39920000,-42529000,-31960000,-22235000,-9725000,-8267000,-2302000,-2609000,-473000,-169000,-304000,-3082000,-6431000,-156000,-6587000,-6587000,-6587000,-6587000,-6587000,3502000,20057000,-4049000,12923000,-2420000,-2420000,-1671000,-752191.81286402,-2281000,8222000,8222000,-337000,7885000,893000,12345000,-5420000,0.66212,-0.04327,-0.10925,0.822830000000002,-0.19846,-0.19846,1.81654,-0.1633
