"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",2667.49890625,"Up",-4083000,-2612000,-1471000,-4e+06,-25000,0,-25000,-4025000,-3952000,143000,-3809000,-3809000,-3809000,-182000,-3991000,74017921.3921108,74017921.3921108,-2536588.79553863,-1981664.58395117,72052981.1665893,355988.569437684,359410.84189977,72412392.0084891,7472753.04101579,1532574.37013358,5940178.67088221,7051241.44315271,5984997.57252702,302444691.635986,-236060106.748969,41810.0951612065,66427394.4359621,66427394.4359621,72412392.0084891,-3809000,111000,526000,646000,-2526000,1427000,-1099000,-1099000,38000,-1061000,-3889000,0,0.315221903564539,0.165722232927719,11.1682461993234,-0.395962123607479,0,-180.9279,-181.08216,2011.06250848887,0.248548315466196,36.3970493303475,34.5205593980827
"2","2011_Q1",2311.64080645161,"Down",-2176000,-730000,-1446000,-2302000,5000,10000,-5000,-2297000,-2192000,151000,-2041000,-3172000,-3172000,-182000,-3354000,29495000,29495000,1382000,1382000,31051000,408000,408000,31459000,5855000,1723000,4132000,6535000,6535000,266713000,-241821000,31000,24924000,24924000,31459000,-3172000,106000,250000,-926000,-3742000,14114000,10378000,10378000,635000,11013000,-2196000,0,-0.13457,-0.10661,4.75149,0.2622,0,-122.6213,-1042.33868,911.17788,-0.13457,13.43124,12.81277
"3","2011_Q2",2308.14523809524,"Down",-4886000,-1806000,-3080000,-4800000,-57000,11000,-68000,-4857000,-4779000,191000,-4588000,-4588000,-4588000,-182000,-4770000,16182359.5359631,16182359.5359631,2343196.26517954,2236471.52798372,18609006.2778036,350587.143520772,349446.38603341,18958452.663837,5381832.3196614,1476475.20995547,3905357.10970593,6204169.5189491,6410084.14249099,258813019.454671,-246297214.41701,31563.3016129312,12548368.521346,12548368.521346,18958452.663837,-4588000,86000,173000,437000,-3892000,-260000,-4152000,-4152000,7000,-4145000,-4714000,0,-0.269341467854846,-0.189921577642573,2.9436237668922,0.444234874535826,0,-172.08562,-172.08562,545.785848003711,-0.250403605155399,5.12515855655083,4.98023853397244
"4","2011_Q3",1439.655,"Down",-3893000,-2034000,-1859000,-3797000,-5999.99999999999,13000,-19000,-3803000,-3678000,126000,-3552000,-3552000,-3552000,-182000,-3734000,20614000,20614000,1688000,1688000,22449000,246000,246000,22695000,5563000,1104000,4459000,6040000,6040000,266576000,-249961000,39000,16655000,16655000,22695000,-3552000,86000,1e+05,-1198000,-4564000,-181000,-4745000,-4745000,9000,-4736000,-3711000,0,-0.2242,-0.16453,3.71672,0.36265,0,-134.67917,-134.679,600.68206,-0.21327,5.55484,5.42902
"5","2011_Q4",949.920634920635,"Down",-3362000,-1296000,-2066000,-3544000,37000,9000,28000,-3507000,-3067000,126000,-2941000,-3445000,-3445000,-182000,-3627000,27675000,27675000,941000,941000,28781000,165000,165000,28946000,5898000,1101000,4797000,5935000,5935000,276367000,-253406000,49000,23011000,23011000,28946000,-3445000,78000,-268000,1373000,-2262000,9338000,7070000,7070000,-9000,7061000,-3466000,0,-0.15762,-0.1253,4.84937,0.25792,0,-113.49113,-870.89175,719.99749,-0.15762,7.98471,7.80897
"6","2012_Q1",1026.90903225806,"Up",-3607000,-1406000,-2201000,-3607000,-3000,12000,-15000,-3610000,-3644000,122000,-3522000,-3658000,-3658000,-182000,-3840000,24449000,24449000,1382000,1069000,25831000,167000,167000,25998000,5900000,1717000,4183000,5900000,6498000,276506000,-257064000,57000,19500000,19500000,25998000,-3658000,-9000,269000,139000,-3259000,9000,-3245000,-3245000,19000,-3226000,-3616000,0,-0.19692,-0.1477,4.37814,0.33323,0,-118.83263,-832.35287,603.41601,-0.19106,6.76134,6.77821
"7","2012_Q2",874.036666666667,"Down",-3115000,-1768000,-1347000,-3115000,167000,6000,114000,-2948000,-2962000,168000,-2794000,-2955000,-2955000,-182000,-3137000,23640000,23640000,1423000,1423000,25172000,166000,166000,25338000,5620000,1116000,4504000,6773000,6802000,278489000,-260019000,65000,18536000,18536000,25338000,-2955000,15000,102000,-933000,-3771000,2945000,-811000,-811000,2000,-809000,-3100000,0,-0.16924,-0.12381,3.71652,0.36696,0,-96.27671,-673.73485,568.85203,-0.16897,7.62581,7.58909
"8","2012_Q3",888.72126984127,"Up",-3838000,-2121000,-1717000,-3812000,152000,6000,117000,-3660000,-3506000,127000,-3379000,-3577000,-3577000,-182000,-3759000,19964000,19964000,1639000,1639000,21653000,149000,149000,21802000,5718000,1544000,4174000,6725000,6746000,278573000,-263596000,78000,15056000,15056000,21802000,-3577000,15000,-60000,-83000,-3705000,-25000,-3693000,-3693000,17000,-3676000,-3797000,0,-0.24967,-0.17242,3.21978,0.44806,0,-107.08407,-107.08407,428.87753,-0.24932,5.25784,5.23715
"9","2012_Q4",1361.03403225806,"Up",-3560000,-2028000,-1532000,-3522000,12000,5000,6000,-3510000,-3572000,419000,-3153000,-1890000,-1890000,-182000,-2072000,17837000,17837000,2116000,1235000,19953000,140000,573000,20526000,5769000,1642000,4127000,6839000,7297000,278663000,-265486000,51000,13229000,13229000,20526000,-1890000,15000,-1054000,821000,-2108000,14000,-2096000,-2096000,-31000,-2127000,-3507000,0,-0.15663,-0.10095,2.91753,0.55159,0,-59.01805,-59.01805,376.78124,-0.15138,5.08611,5.06445
"10","2013_Q1",1294.81883333333,"Down",-5082000,-2663000,-1996000,-5077000,60000.0000000001,5000,55000,-5017000,-5067000,637000,-4430000,-4764000,-4764000,-182000,-4946000,16412000,16412000,2460000,1599000,18872000,129000,482000,19354000,7860000,2259000,5601000,8980000,9335000,280220000,-270250000,48000,10019000,10019000,19354000,-4764000,15000,566000,1724000,-2459000,1041000,-1418000,-1418000,-6999.99999999997,-1425000,-5062000,0,-0.49366,-0.25555,2.10156,0.93173,0,-139.92666,-78.16782,283.41797,-0.47677,3.2422,3.23262
