"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",9.6734375,"Up",134817000,-98298000,36519000,-20971000,-20971000,15548000,-362000,-214000,-148000,15186000,15186000,-5543000,9643000,9643000,9643000,9643000,-27220985.0715648,-27220985.0715648,130111277.815949,130111277.815949,88153535.3512183,29228356.4877899,10678404.2467354,220272184.583392,132598257.62218,255096493.593144,-122498235.970963,261557162.706126,121370591.997605,131630838.873131,8555731.76869812,394155420.328306,614427604.911698,50885359.3602467,39554028.1950268,1505259.11950384,-222573325.160897,44074940.3265464,27202102.172308,5767483.62683466,538227270.467118,315653945.306221,198146704.248553,-78839567.0500932,184765339.067714,-5298816.66069646,298773659.605477,298773659.605477,614427604.911698,9643000,2622000,357000,-9487000,3135000,-5672000,-7909000,-4017000,6006000,1232000,1232000,1315000,18170000,0,8554000,0.27088,0.11533,0.07153,0.0246595445341692,0.0146411943009689,0.88707,15.4060377674145,0.936934664438824,0.329581214979082,0.37293,0.37221,5.21384,11.6572696025378,0.33081,0.15535,0.0233839152592076,-0.32293565980916,0.41657,23.9766730264894,35.8954959166868
"2","2011_Q1",8.84951612903226,"Down",131407000,-95316000,36091000,-21184000,-21184000,14907000,-313000,-262000,-51000,14594000,14595000,-4776000,9819000,9819000,9819000,9819000,12305000,12305000,58359000,58359000,100363000,11371000,5335000,182398000,93661000,252484000,-158823000,197669000,76312000,117341000,4016000,291330000,473728000,22388000,18868000,585000,47098000,28947000,25379000,1520000,78947000,126045000,196440000,-74945000,234636000,-8448000,347683000,347683000,473728000,9819000,2490000,5295000,-15480000,2124000,-4838000,-4838000,-4017000,-3987000,-6701000,-6701000,-6003000,17397000,50586000,1855000,0.27465,0.11344,0.07472,0.02824,0.02073,0.18892,3.87273,0.36253,0.10678,0.37977,0.37929,5.08243,13.44735,0.0717500000000001,0.15537,0.03239,0.00434,0.4091,2.20044,2.56799
"3","2011_Q4",7.86174603174603,"Down",121846000,-91663000,30183000,-19094000,-19094000,11089000,-87000,-405000,318000,11002000,11010000,-4118000,6892000,6892000,6892000,6892000,16761000,16761000,47224000,47224000,121554000,12040000,6004000,197579000,91320000,254795000,-163475000,195632000,74519000,117341000,3772000,286952000,484531000,23207000,21845000,359000,94047000,28193000,24122000,793000,28193000,122240000,196257000,-73802000,250571000,-10735000,362291000,362291000,484531000,6892000,2927000,-109000,4510000,14220000,-1110000,-7096000,-4035000,-4035000,3089000,3089000,2454000,14016000,5e+07,21534000,0.24771,0.09101,0.05656,0.01902,0.01422,3.12449,2.10085,0.33741,0.10319,0.26547,0.2653,4.69334,13.95494,0.82946,0.15542,0.02481,0.04889,0.58546,2.3715,2.99747
"4","2012_Q1",8.92387096774194,"Up",121526000,-94991000,26535000,-20564000,-20564000,5971000,-734000,-398000,-336000,5237000,5241000,-1911000,3330000,3330000,3330000,3330000,10410000,10410000,58790000,58790000,132572000,17438000,8091000,219210000,99516000,256835000,-157319000,213236000,86661000,121634000,4941000,312752000,531962000,29654000,27924000,547000,50241000,31846000,23029000,1323000,121846000,172087000,196524000,-73726000,249862000,-12785000,359875000,359875000,531962000,3330000,2981000,1171000,-9873000,-2391000,221000,-39749000,-4039000,35586000,-6554000,-6554000,-6351000,8952000,9e+07,1211000,0.21835,0.04913,0.0274,0.00925,0.00626,0.36366,4.36317,0.47819,0.16919,0.12811,0.12805,4.67534,13.84509,0.0465900000000001,0.15539,0.0153,0.00251,1.21291,8.89075,13.32943
"5","2012_Q2",8.5215873015873,"Down",142528000,-114279000,28249000,-22026000,-22026000,6223000,-119000,-469000,350000,6104000,6108000,-2229000,3879000,3879000,3879000,3879000,14967000,14967000,58681000,58681000,117372000,15130000,7354000,206150000,94826000,254384000,-159558000,211905000,85862000,121175000,4868000,306731000,512881000,21327000,19605000,893000,39538000,30941000,21898000,1010000,115941000,155479000,196298000,-73185000,249181000,-14892000,357402000,357402000,512881000,3879000,3404000,638000,6845000,14766000,-126000,-126000,-4560000,-9561000,5079000,5079000,4557000,9627000,8.5e+07,18575000,0.1982,0.04366,0.02722,0.01085,0.00756,4.78861,5.21397,0.43503,0.16573,0.1494,0.14928,5.48958,13.76562,0.71543,0.17563,0.01783,0.03924,1.17556,7.27464,11.2539
"6","2012_Q3",8.71380952380952,"Up",138344000,-104395000,33949000,-21331000,-21331000,12618000,-667000,-402000,-265000,11951000,11956000,-4364000,7592000,7592000,7592000,7592000,13205000,13205000,63591000,63591000,108247000,14695000,6206000,199738000,94241000,256296000,-162055000,211558000,85066000,121731000,4761000,305799000,505537000,23614000,21679000,1153000,41525000,31930000,22664000,694000,101930000,143455000,196541000,-73022000,252198000,-13635000,362082000,362082000,505537000,7592000,3304000,414000,3284000,14594000,-722000,3015000,-4575000,-19550000,-1941000,-1941000,-1762000,15922000,7e+07,22848000,0.2454,0.09121,0.05488,0.02097,0.01502,3.00948,4.81007,0.39619,0.13847,0.29194,0.29174,5.3199,13.92355,0.8786,0.17593,0.02622,0.04924,0.60261,3.56708,4.50111
"7","2012_Q4",9.0141935483871,"Up",128996000,-98385000,30611000,-20591000,-20591000,10020000,-517000,-335000,-182000,9503000,9500000,-3330000,6170000,6170000,6170000,6170000,9234000,9234000,57996000,57996000,109481000,16850000,7135000,193561000,93147000,257622000,-164475000,210799000,84275000,121809000,4715000,303946000,497507000,22357000,20873000,453000,40085000,32972000,22897000,964000,92972000,133057000,196913000,-73004000,253792000,-13251000,364450000,364450000,497507000,6170000,3293000,420000,1392000,11275000,-859000,-859000,-4576000,-14567000,-4151000,-4151000,-3971000,13313000,6e+07,17176000,0.2373,0.07768,0.04783,0.01693,0.0124,2.78379,4.82876,0.36509,0.1206,0.2367,0.23651,4.94869,13.98144,0.65892,0.17555,0.02349,0.03755,0.74165,3.81327,5.06647
"8","2013_Q1",9.27566666666667,"Up",123638000,-92295000,31343000,-19809000,-19809000,11534000,-472000,-322000,-150000,11062000,11054000,-3980000,7074000,7074000,7074000,7074000,6232000,6232000,60071000,60071000,109698000,17415000,7425000,193416000,91913000,258783000,-166870000,209963000,84151000,121809000,4003000,301876000,495292000,23459000,22256000,582000,43039000,33537000,23184000,1012000,91037000,134076000,197320000,-72914000,251713000,-14903000,361216000,361216000,495292000,7074000,3234000,2078000,-3064000,9322000,-835000,-835000,-9153000,-11537000,-3050000,-3050000,-3002000,14768000,57500000,14849000,0.25351,0.09329,0.05722,0.01958,0.01428,2.0991,4.49397,0.37118,0.11609,0.27096,0.27084,4.73578,13.83587,0.56877,0.35059,0.03588,0.03283,1.29389,3.47156,4.44495
"9","2013_Q2",9.52703125,"Up",138466000,-102671000,35795000,-22205000,-22205000,13590000,-94000,-251000,157000,13496000,13503000,-4997000,8506000,8506000,8506000,8506000,14396000,14396000,63784000,63784000,97975000,14124000,6819000,190279000,90043000,257855000,-167812000,209095000,82749000,121809000,4537000,299138000,489417000,23457000,20966000,798000,39984000,34157000,23276000,1020000,79157000,119141000,196733000,-71923000,260219000,-14753000,370276000,370276000,489417000,8506000,3182000,1533000,8330000,21551000,-662000,-662000,0,-12501000,8388000,8388000,8164000,16772000,4.5e+07,29437000,0.25851,0.09815,0.06143,0.02297,0.01738,3.46073,4.75888,0.32176,0.09195,0.32668,0.32645,5.31783,14.22056,1.13054,0,0.01893,0.0655,0,1.82471,2.25195
"10","2013_Q3",11.02375,"Up",135288000,-98629000,36659000,-21083000,-21083000,15576000,-269000,-216000,-52999.9999999999,15307000,15555000,-5754000,9801000,9801000,9801000,9801000,17681000,17681000,59080000,59080000,100576000,13945000,6743000,191282000,87784000,257697000,-169913000,208213000,82561000,121809000,3843000,295997000,487279000,24967000,22495000,1203000,43457000,33985000,22609000,995000,68985000,112442000,196959000,-71723000,265433000,-15832000,374837000,374837000,487279000,9801000,3160000,1271000,4321000,18553000,-542000,-541999.999999996,-4587000,-14542000,3469000,3469000,3285000,18736000,3.5e+07,28269000,0.27097,0.11513,0.07245,0.02615,0.02011,2.8843,4.40164,0.29998,0.07183,0.37525,0.37493,5.17981,14.3515,1.08234,0.17562,0.03242,0.06369,0.46801,0.92437,1.1119
