"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q1",18.2990163934426,"Up",67768000,-12682000,55086000,-44566000,-34571000,-9995000,10520000,-5907000,-5704000,-203000,4613000,4613000,769000,5382000,5382000,2248000,2248000,116049000,116049000,72907000,72907000,10091000,10013000,78000,199047000,3018000,304368000,81185000,219377000,3542000,307386000,506433000,26555000,2231000,22636000,73671000,73671000,100226000,9481000,9454000,27000,77810000,178036000,353617000,-25220000,328397000,328397000,506433000,5382000,2650000,8870000,-832000,16070000,-592000,-592000,172173000,172177000,0,80783000,96261000,96261000,96261000,13170000,68329000,10977000,0.81286,0.15524,0.03317,0.00685,0.00444,4.88301,1.98598,0.54214,0.13492,0.03406,0.03406,1.02678,4.97566,0.16632,0.00553,0.02702,-3.62339,-4.53612
"2","2018_Q2",24.35265625,"Up",48941000,-12770000,36171000,-39878000,-30116000,-9762000,-3707000,-1325000,-1178000,-147000,-5032000,-5032000,2730000,-2302000,-2302000,-2302000,-2302000,130859000,130859000,55997000,55997000,9220000,9094000,126000,196076000,3126000,301726000,78979000,219377000,3106000,304852000,500928000,15802000,1872000,12012000,75883000,75883000,91685000,13240000,13175000,65000,81561000,173246000,358867000,-31185000,327682000,327682000,500928000,-2302000,2628000,6918000,8078000,15322000,-526000,-526000,62000.0000000298,61999.9999999404,5186623.04259803,62000,14858000,14858000,14858000,-1079000,68321000,3743000,0.73907,-0.07574,-0.04704,-0.00703,-0.0046,-1.62598,2.13858,0.5287,0.13639,-0.02686,-0.02686,0.57095,3.82275,0.04367,-0.00563000000000001,0.00915,57.95922,16.87025
"3","2018_Q3",29.1177777777778,"Up",55333000,-13376000,41957000,-44377000,-34262000,-10115000,-2420000,-3369000,-2800000,-569000,-5789000,-5789000,-3523000,-9312000,-9312000,-9312000,-9312000,81809000,81809000,55196000,55196000,9904000,9784000,120000,146909000,3595000,299742000,76773000,219377000,3328000,303337000,450246000,18423000,2894000,14106000,81322000,81322000,99745000,13868000,13817000,51000,23508000,123253000,363827000,-36834000,326993000,326993000,450246000,-9312000,2650000,4016000,13931000,11285000,-871000,-871000,830000,831000,6368297.3901307,-59470000,-49056000,-49056000,-49056000,230000,9640000,16813000,0.75826,-0.04374,-0.16829,-0.02848,-0.02068,-1.80552,1.47285,0.37693,0.02141,-0.10797,-0.10797,0.64157,3.7914,0.19494,-0.02657,0.04797,-313.77826,29.8219
"4","2018_Q4",25.6514285714286,"Down",66419000,-14014000,52405000,-47895000,-36421000,-11474000,4510000,-590000.000000001,-202000,-388000,3920000,3920000,-618000.000000002,3302000,3302000,3302000,3302000,83315000,83315000,71316000,71316000,11864000,11743000,121000,166495000,10103000,297444000,74567000,219377000,3236000,307547000,474042000,23758000,3036000,18623000,86679000,86679000,120106000,18380000,13976000,4404000,18380000,138486000,369088000,-33532000,335556000,335556000,474042000,3302000,2699000,5223000,-7473000,3751000,-2608000,-2608000,364000.000000002,364000.000000002,4278823.04259803,364000,1507000.00000001,1507000.00000001,1507000.00000001,7209000,9669000,-2254000,0.78901,0.0679,0.04971,0.00984000000000001,0.00697,-0.68262,1.38623,0.41271,0.0204,0.03803,0.03654,0.76497,3.86473,-0.02596,0.00908,-0.0062,-10.21584,-16.32949
"5","2019_Q1",28.4718032786885,"Up",78227000,-14510000,63717000,-51187000,-39384000,-11803000,12530000,-869000,-527000,-342000,11661000,11661000,321000,11982000,11982000,11953000,11953000,70964000,70964000,101469000,101469000,28122000,21850000,6272000,200555000,19268000,314611000,74860000,219377000,20374000,333879000,534434000,28510000,4636000,21731000,95919000,95919000,124429000,32312000,18382000,9788000,32312000,156741000,377482000,211000,377693000,377693000,534434000,11982000,2759000,13689000,-21248000,7182000,-6851000,-6851000,3904000,3903000,-348000,-6531000,-6200000,-6200000,-6200000,15289000,0,-13131000,0.81451,0.16017,0.1528,0.03165,0.02237,-1.09855,1.6118,0.415,0,0.13709,0.12236,0.89719,4.33179,-0.1506,0.02915,-0.03203,-4.64151,-5.66353
"6","2019_Q2",22.6580952380952,"Down",60583000,-14869000,45714000,-52397000,-39625000,-12772000,-6683000,-406000,11000,-417000,-7089000,-7089000,-1301000,-8390000,-8390000,-8390000,-8390000,86223000,86223000,71156000,71156000,28980000,22691000,6289000,186359000,21452000,346637000,72529000,219377000,54731000,368089000,554448000,25313000,3395000,18655000,92630000,92630000,117943000,61354000,17516000,39696000,61354000,179297000,383330000,-8179000,375151000,375151000,554448000,-8390000,3303000,6812000,15503000,17228000,-2295000,-2295000,1172000,1172000,-829000,343000.000000015,15276000,15276000,15276000,-3380000,3.72529029846191e-09,11129000,0.75457,-0.11031,-0.13849,-0.02236,-0.01513,-1.32646,1.58008,0.47793,0,-0.09502,-0.09502,0.68614,4.24884,0.12604,-0.01922,0.0255,25.50976,12.90184
"7","2019_Q3",21.22578125,"Down",63054000,-15709000,47345000,-57424000,-44026000,-13398000,-10079000,-45000,261000,-306000,-10124000,-10124000,927000,-9197000,-9197000,-9197000,-9197000,93049000,93049000,70613000,70613000,29592000,23289000,6303000,193254000,21524000,343878000,70198000,219377000,54303000,365402000,558656000,25803000,3444000,21768000,95496000,95496000,121299000,62883000,19928000,38813000,62883000,184182000,391850000,-17376000,374474000,374474000,558656000,-9197000,3587000,7607000,2604000,4601000,-1311000,-1311000,3550000,3550000,0,3550000,6840000,6840000,6840000,-6492000,0,-6126000,0.75086,-0.15985,-0.14586,-0.02456,-0.01646,0.66609,1.5932,0.49184,0,-0.1036,-0.1036,0.7103,4.21843,-0.06901,-0.02103,-0.01401,14.33287,9.23197
"8","2019_Q4",21.869375,"Up",75879000,-16930000,58949000,-57614000,-43466000,-14148000,1335000,-285000,9999.99999999988,-295000,1050000,1050000,2618000,3668000,3668000,3668000,3668000,464332000,464332000,73671000,73671000,34714000,25932000,6317000,572717000,21616000,340954000,67867000,219377000,53710000,362570000,935287000,31569000,2632000,28937000,103317000,103317000,134886000,74483000,20521000,37889000,379260000,514146000,434849000,-13708000,421141000,421141000,935287000,3668000,3672000,7594000,2891000,17825000,-1469000,-1469000,764000,764000,-45823000,354941000,371297000,371297000,371297000,5007000,304777000,3810999.99999999,0.77688,0.01759,0.04834,0.00871,0.00392,1.03899,4.24593,1.22084,0.32586,0.04114,0.04114,0.85113,4.72391,0.04275,0.00458,0.00476,-31.86639,-119.51685
"9","2020_Q1",22.6974193548387,"Up",88999000,-17967000,71032000,-65038000,-49236000,-15802000,5994000,-2919000,-2855000,-64000,3075000,3075000,2344000,5419000,5419000,5419000,5419000,443795000,443795000,106428000,106428000,34195000,16965000,17230000,584418000,21300000,384360000,81651000,241051000,61658000,405660000,990078000,45432000,3224000,40214000,127132000,127132000,172564000,74336000,24901000,40535000,383387000,555951000,442416000,-8289000,434127000,434127000,990078000,5419000,4430000,4905000,-4317000,10437000,-1438000,-33831000,3216000,3216000,-351000,2865000,-20529000,-20529000,-20529000,10424000,309051000,2325000,0.79812,0.06735,0.06089,0.01248,0.00547,0.42905,3.38667,1.28062,0.31215,0.06061,0.06061,0.99539,4.85541,0.026,0.00663,0.00284,-12.92632,-22.47981
"10","2020_Q2",20.627619047619,"Down",75442000,-18562000,56880000,-62182000,-46374000,-15808000,-5302000,-3584000,-3260000,-324000,-8886000,-8886000,469000,-8417000,-8417000,-8417000,-8417000,461191000,461191000,74658000,74658000,32567000,26246000,6321000,568416000,19998000,380120000,78404000,241121000,60595000,400118000,968534000,29257000,2508000,25629000,120782000,120782000,150039000,72414000,24198000,39429000,385791000,535830000,449769000,-17065000,432704000,432704000,968534000,-8417000,4586000,13629000,6661000,16459000,-229000,-229000,1317000,1317000,-155000,1162000,17392000,17392000,17392000,-716000,313377000,5247000,0.75396,-0.07028,-0.11157,-0.01945,-0.00869,-0.62338,3.78846,1.23833,0.32356,-0.09367,-0.09367,0.83953,4.81521,0.05839,-0.01028,0.00641,206.44413,27.87891
