"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",14.2877777777778,"Up",31267000,-20060000,11207000,-6588000,-6588000,4619000,23000,-93000,116000,4642000,4642000,-1717000,2925000,2925000,2925000,2925000,39132350.0368267,39132350.0368267,-20100841.2594519,-20100841.2594519,8133834.03523925,-47943963.6685306,-23780174.4234446,-20778620.8559164,43748575.4086794,97246265.5496994,48304197.0555154,39659744.722483,9124758.91139586,140994840.958379,120216220.102462,-158512369.727375,-25735793.3108446,39956004.9817482,-153281553.702941,30592351.8571068,10711998.166988,3865581.68759871,8754032.90575339,128729487.101664,-24552066.6012765,8513360.38095223,96246352.6110836,38951604.1248417,143711317.116878,144768286.703739,120216220.102462,2925000,1103000,266000,-4138000,156000,-202000,-64000,1212000,-1858000,-490000,-490000,-490000,5722000,0,3099000,0.35843,0.14773,0.09355,-0.306298343487008,-0.220307771936859,1.05949,22.7847646098496,-0.566604260788676,0.69800341309615,0.33633,0.33413,3.59526,16.7085732751632,0.35634,0.818278222498565,0.901265620646417,6.67076103563713,3.98307350636387
"2","2011_Q3",11.11984375,"Down",26261000,-17441000,8820000,-6594000,-6594000,2226000,-79000,-87000,8000.00000000001,2147000,2147000,-727000,1420000,1420000,1420000,1420000,27538675.0184134,27538675.0184134,4317079.37027407,4317079.37027407,15249917.0176196,-19336981.8342653,-10019587.2117223,27768689.5720418,35415787.7043397,68836132.7748497,31853598.5277577,28477872.3612415,8261879.45569793,104251920.479189,132020610.051231,-59896184.8636873,-7878896.65542232,23081002.4908741,-55080776.8514704,19307175.9285534,8690999.08349399,2558290.84379936,4427516.45287669,70406243.5508322,15325466.6993617,9887180.19047611,90669676.3055418,15609802.0624208,116166658.558439,116695143.351869,132020610.051231,1420000,1269000,398000,-2491000,595999.999999999,-1146000,-57000,-1203000,-3969000,-4576000,-4576000,-4576000,3495000,-9.31322574615479e-10,584999.999999998,0.33586,0.08476,0.05407,-0.0924091717435042,-0.0668638859684295,0.41197,11.6873373049248,0.0263528696056619,0.376801706548075,0.16296,0.16225,3.01381,13.4155766375816,0.0671399999999999,0.374509111249282,0.428617810323209,3.24894051781856,2.43679175318193
"3","2011_Q4",11.1615873015873,"Up",32626000,-21231000,11395000,-7279000,-7279000,4116000,74000,26000,48000,4190000,4190000,-1224000,2966000,2966000,2966000,2966000,19696225.0061378,19696225.0061378,15945026.456758,15945026.456758,19094972.3392065,-3496660.61142176,-2095529.0705741,51239563.1906806,30491262.5681132,51037044.2582832,21447866.1759192,21442957.4537472,7844293.15189931,81528306.8263965,132767870.017077,-6105728.28789577,2470034.44819256,12453334.1636247,-1567258.95049014,12304391.9761845,7407999.694498,1858763.61459979,1827505.48429223,34456081.1836107,32888822.2331206,10876060.063492,86531558.7685139,2295267.35414028,99702886.1861463,99879047.7839565,132767870.017077,2966000,1225000,576000,399000,5166000,-1731000,-110000,-1841000,-840000,2485000,2485000,2485000,5341000,0,5233000,0.34926,0.12616,0.09091,0.0114136094188319,0.00780537134385683,1.76433,5.50850576830828,0.313024289868554,0.186167235516025,0.33962,0.33786,3.7358,11.4471855458605,0.5992,0.131029703749761,0.158525936774403,0.889326839272854,0.754757251060644
"4","2012_Q1",13.1977419354839,"Up",32886000,-21585000,11301000,-6319000,-6319000,4982000,212000,-42000,254000,5194000,5194000,-1574000,3620000,3620000,3620000,3620000,14982000,14982000,19103000,19103000,20841000,3065000,1502000,57991000,28594000,42324000,16185000,18060000,7747000,70918000,128909000,15524000,7276000,6861000,19924000,8838000,6713000,1597000,528000,17105000,37029000,11573000,83973000,-3666000,91880000,91880000,128909000,3620000,1471000,582000,-2288000,3385000,-1406000,-934000,-2340000,-1062000,-17000.0000000009,-17000.0000000009,-17000.0000000009,6453000,12667000,4333000,0.34364,0.15149,0.11008,0.0394,0.02808,1.19696,2.91061,0.40301,0.09826,0.41408,0.41276,3.76176,10.50996,0.49564,0.03193,0.03821,-0.35875,-0.46467
"5","2012_Q2",11.3246031746032,"Down",32130000,-21999000,10131000,-6992000,-6992000,3139000,441000,-36000,477000,3580000,3580000,-1253000,2327000,2327000,2327000,2327000,12773000,12773000,18111000,18111000,21660000,3836000,2283000,56380000,29343000,41172000,15163000,17834000,7845000,70515000,126895000,17658000,8504000,5092000,22058000,8162000,6456000,1603000,103000,14579000,36637000,12071000,83135000,-4948000,90258000,90258000,126895000,2327000,1247000,493000,-2816000,1251000,-1197000,-152000,-1349000,-1850000,-1948000,-1948000,-1948000,4386000,10817000,1626000,0.31531,0.0977,0.07242,0.02578,0.01834,0.69875,2.55599,0.40591,0.08524,0.26582,0.26561,3.67031,10.31046,0.18574,0.0213,0.01489,-0.44596,-0.62313
"6","2012_Q3",14.2493650793651,"Up",29421000,-21022000,8399000,-6513000,-6513000,1886000,-44000,-36000,-8000,1842000,1842000,-645000,1197000,1197000,1197000,1197000,12383000,12383000,16481000,16481000,21985000,2439000,1880000,53288000,30246000,41032000,14742000,17992000,7968000,71278000,124566000,13482000,7842000,5367000,17882000,7970000,6199000,1668000,103000,14213000,32095000,12538000,84332000,-4399000,92471000,92471000,124566000,1197000,1283000,450000,525000,3455000,-478000,-128000,-606000.000000001,-3338000,-489000,-489000,-489000,3169000,10643000,3861000,0.28548,0.0641,0.04069,0.01294,0.00961,3.22556,2.97998,0.34708,0.08544,0.13667,0.13616,3.3593,10.55838,0.44085,0.03927,0.03476,-0.54907,-0.92259
"7","2012_Q4",15.8529032258065,"Up",35138000,-22210000,12928000,-7603000,-7603000,5325000,-297000,-31000,-266000,5028000,5028000,-1655000,3373000,3373000,3373000,3373000,13189000,13189000,18533000,18533000,22988000,2362000,1803000,57072000,30922000,40379000,14020000,18039000,7991000,71301000,128373000,15661000,7255000,6474000,20061000,7516000,5792000,1622000,102000,12233000,32294000,13067000,87705000,-4693000,96079000,96079000,128373000,3373000,1256000,1012000,-1388000,4253000,-1772000,-53000,-1825000,-1527000,901000,901000,901000,6581000,9117000,5076000,0.36792,0.15155,0.09599,0.03511,0.02627,1.50489,2.84492,0.33612,0.07102,0.38478,0.38337,4.00839,10.96028,0.57905,0.02993,0.04504,-0.61875,-0.76469
"8","2013_Q1",17.0578333333333,"Up",52230000,-36018000,16212000,-12270000,-9064000,3942000,-396000,-295000,-101000,3546000,3546000,-1179000,2367000,2367000,2441000,2441000,15180000,15180000,31621000,31621000,32323000,4018000,1810000,83142000,49279000,82411000,36363000,37785000,8263000,131690000,214832000,24675000,11559000,11224000,30275000,20512000,7702000,1775000,92000,84912000,115187000,13009000,90146000,-5030000,98125000,99645000,214832000,2367000,2102000,1419000,-901000,4987000,-751000,-342000,-63310000,60223000,1900000,1900000,1900000,6044000,7e+07,5571000,0.3104,0.07547,0.04674,0.0245,0.01136,2.28226,2.74623,1.15597,0.32584,0.27844,0.27749,5.95767,11.19273,0.63546,0.01284,0.0293,9.07015,13.90665
"9","2013_Q2",17.870625,"Up",53400000,-37271000,16129000,-10539000,-10539000,5590000,-293000,-362000,69000,5297000,5297000,-1820000,3477000,3477000,3540000,3540000,15373000,15373000,30974000,30974000,36628000,5272000,2451000,88247000,48522000,82393000,35350000,38806000,8237000,130915000,219162000,28191000,15333000,7772000,33791000,21994000,7507000,1810000,80000,84994000,118785000,13428000,90060000,-4568000,98920000,100377000,219162000,3477000,2725000,1176000,-5262000,2116000,-533000,-63000,-596000,-1400000,120000,120000,120000,8315000,68600000,4340000,0.30204,0.10468,0.06629,0.03527,0.01615,1.22599,2.61155,1.18339,0.31301,0.39994,0.39651,6.033,11.17574,0.49032,0.01854,0.02273,6.40132,9.52182
"10","2013_Q3",25.2175,"Up",48372000,-33468000,14904000,-10917000,-10917000,3987000,-99000,-314000,215000,3888000,3888000,-1395000,2493000,2493000,2644000,2644000,12152000,12152000,28214000,28214000,36824000,5195000,2456000,82385000,47669000,80877000,33817000,38704000,8356000,128546000,210931000,19216000,10763000,8442000,24816000,22565000,8012000,1875000,78000,84165000,108981000,13856000,92704000,-5916000,100644000,101950000,210931000,2493000,2627000,1145000,-3020000,3245000,-926000,-208000,-1050000,-5018999.99999999,-2824000,-2824000,-2824000,6614000,67200000,4063000,0.30811,0.08242,0.05466,0.02593,0.01253,1.53669,3.31983,1.06897,0.31859,0.2986,0.29532,5.4628,11.36604,0.45885,0.0327,0.02119,8.32295,13.80687
