"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",20.4998412698413,"Up",138297000,-63940000,74357000,-41883000,-41883000,32474000,161000,161000,32635000,32635000,-13047000,19588000,19588000,19588000,19588000,395918411.170685,395918411.170685,-104613.173164509,-104613.173164509,-10011742.9232527,10564846.6884102,10564846.6329738,396366901.762678,-22424970.1503171,36344695.6835778,19180234.6742401,12128455.2001492,5036005.80918849,13919725.5332606,410286627.295938,50566875.4610619,-3042097.24841276,56481535.5163035,-2872562.80682883,42184683.555823,42184683.555823,92751559.016885,-18773398.9892762,15473332.8602093,-18773398.9892762,73978160.0276087,169803803.480319,168132231.6469,-1739970.24575851,336196064.88146,336308467.26833,410286627.295938,19588000,5388000,3638000,-16042000,12572000,-5878000,-6157000,1749000,3233000,4982000,11397000,11397000,2670000,14067000,37862000,0,28989000,0.53766,0.23481,0.14164,0.33386718111531,0.268406590071765,1.47994,5.08996754679371,0.166245019416889,0,0.13873,0.13682,0.97945,2.38290710205098,0.20531,0.325148969886506,0.70009993295018,-1.33071327334125,-1.29513063803452
"2","2010_Q3",19.70828125,"Down",152208000,-71910000,80298000,-46055000,-46055000,34243000,2093000,2093000,36336000,36336000,-14629000,21707000,21707000,21792000,21792000,178172000,178172000,7851000,7851000,66520000,6507000,6507000,259050000,64609000,40037000,24735000,11715000,3587000,104646000,363696000,37198000,7275000,2419000,27504000,9515000,9515000,46713000,23669000,18385000,23669000,70382000,169133000,109189000,11032000,289354000,293314000,363696000,21707000,6602000,6808000,-13137000,21980000,-5693000,-17896000,589000,567000,1156000,5240000,5240000,-708000,4532000.00000001,40845000,0,36644000,0.52755,0.22498,0.14317,0.0743,0.05992,1.68153,5.54557,0.23995,0,0.15386,0.15175,1.07466,2.04297,0.25872,0.06875,0.1156,-4.36215,-5.20317
"3","2010_Q4",26.7209375,"Up",175800000,-78968000,96832000,-54456000,-54456000,42376000,91000,91000,42467000,42467000,-16531000,25936000,25936000,25701000,25701000,224775000,224775000,9121000,9121000,73023000,4798000,4798000,311717000,67457000,39798000,26488000,9817000,3493000,107255000,418972000,55103000,9275000,5518000,40310000,9173000,9173000,64276000,28023000,19102000,28023000,92299000,172742000,134890000,14517000,322149000,326673000,418972000,25936000,6426000,7339000,13664000,53365000,-10380000,-10380000,1649000,158000,1807000,44792000,44792000,1811000,46603000,48802000,0,68617000,0.55081,0.24105,0.14619,0.07868,0.06134,2.66982,4.84966,0.28254,0,0.18114,0.17857,1.23904,2.27051,0.48361,0.07246,0.19345,-4.60586,-5.3043
"4","2011_Q1",37.8261290322581,"Up",245399000,-101939000,143460000,-72162000,-72162000,71298000,541000,541000,71839000,71839000,-16873000,54966000,54966000,54766000,54766000,316286000,316286000,9116000,9116000,57469000,6408000,6408000,389279000,70954000,39069000,27112000,7894000,4063000,110023000,499302000,67196000,6659000,18399000,42138000,18168000,18168000,85364000,19645000,19645000,19645000,105009000,180404000,189656000,20329000,390389000,394293000,499302000,54966000,6198000,-8567000,39481000,92078000,-8406000,-8406000,1849000,3905000,5754000,89426000,89426000,2085000,91511000,77496000,0,125444000,0.5846,0.29054,0.22317,0.1389,0.10969,2.29055,4.56022,0.26632,0,0.38523,0.37838,1.72617,2.74605,0.88239,0.1323,0.30305,-4.08132,-4.43611
"5","2011_Q2",47.6787301587302,"Up",186780000,-77053000,109727000,-58040000,-58040000,51687000,904000,904000,52591000,52591000,-19075000,33516000,33516000,33372000,33372000,260871000,260871000,12149000,12149000,64423000,12545000,12545000,349988000,144917000,41555000,28769000,8189000,4597000,186472000,536460000,43216000,3409000,0,39807000,15774000,15774000,58990000,21609000,21609000,21609000,80599000,191291000,223028000,37494000,451813000,455861000,536460000,33516000,6041000,236000,-34138000,5655000,-74831000,-74831000,5963000,2195000,8158000,-61018000,-61018000,5603000,-55415000,57728000,0,-32166000,0.58747,0.27673,0.17867,0.07321,0.06221,-0.96386,5.93301,0.17681,0,0.23376,0.23029,1.30835,3.16484,-0.22532,0.06989,-0.06737,-4.51897,-5.04713
"6","2011_Q3",56.5453125,"Up",212323000,-90257000,122066000,-62583000,-62583000,59483000,597000,597000,60080000,60080000,-21462000,38618000,38618000,38379000,38379000,264728000,264728000,9720000,9720000,88884000,20640000,20640000,383972000,151120000,51369000,28434000,18379000,4556000,202489000,586461000,50073000,4445000,0,45628000,14885000,14885000,64958000,21826000,21826000,21826000,86784000,197566000,261407000,36416000,495389000,499677000,586461000,38618000,7520000,-10048000,-22216000,13874000,-12493000,-12493000,1741000,2196000,3937000,5318000,5318000,-1461000,3857000,67003000,0,53756000,0.57491,0.28015,0.18076,0.07681,0.06544,1.40066,5.91108,0.17368,0,0.26808,0.26413,1.4831,3.46034,0.37549,0.07359,0.10308,-3.95099,-4.45048
"7","2011_Q4",50.2622222222222,"Down",230216000,-101703000,128513000,-68792000,-68792000,59721000,619000,619000,60340000,60340000,-21398000,38942000,38942000,38794000,38794000,276946000,276946000,10814000,10814000,129169000,10887000,10887000,427816000,153119000,55135000,32351000,18350000,4434000,208254000,636070000,69685000,6040000,-4.65661287307739e-10,63645000,12829000,12829000,82514000,24466000,24466000,24466000,106980000,202623000,300201000,21831000,524655000,529090000,636070000,38942000,7327000,1488000,-13766000,33991000,-13366000,-19020000,1157000,1222000,2379000,17350000,17350000,-5132000,12218000,67048000,0,61314000,0.55823,0.25941,0.16851,0.07332,0.06099,1.5805,5.18477,0.2022,0,0.27059,0.26667,1.60579,3.65955,0.42767,0.07008,0.11076,-4.13056,-4.63733
"8","2012_Q1",65.9220967741935,"Up",371520000,-162475000,209045000,-92978000,-92978000,116067000,380000,380000,116447000,116447000,-42559000,73888000,73888000,73518000,73518000,409437000,409437000,5202000,5202000,104097000,8357000,8357000,527093000,162941000,44600000,31872000,8587000,4141000,207541000,734634000,80666000,14536000,8720000,57410000,22773000,22773000,103439000,25014000,25014000,25014000,128453000,206108000,373719000,21549000,601376000,606181000,734634000,73888000,9371000,10446000,48158000,141863000,-15967000,-7735000,753000,137000,890000,135018000,135018000,-2527000,132491000,125438000,0,200188000,0.56267,0.31241,0.19788,0.12128,0.10007,2.72298,5.09569,0.21191,0,0.51233,0.50555,2.58906,4.19089,1.39508,0.11647,0.31716,-3.26406,-3.52759
"9","2012_Q2",70.4365079365079,"Up",285698000,-128434000,157264000,-84199000,-84199000,73065000,910000,910000,73975000,73975000,-27001000,46974000,46974000,46643000,46643000,424330000,424330000,4848000,4848000,107679000,21248000,21248000,558105000,168374000,44140000,31521000,8504000,4115000,212514000,770619000,53132000,4229000,8805000,40098000,17702000,17702000,70834000,26383000,26383000,26383000,97217000,218810000,420362000,29094000,668266000,673402000,770619000,46974000,9798000,-285000,-40535000,15952000,-12696000,-12696000,4574000,4237000,8811000,12067000,12067000,2826000,14893000,82863000,0,56633000,0.55046,0.25574,0.16326,0.06926,0.06053,1.21418,7.87906,0.14437,0,0.32464,0.32027,1.98846,4.65114,0.39417,0.06665,0.08093,-5.12086,-5.80757
"10","2012_Q3",63.7457142857143,"Down",282635000,-126880000,155755000,-85567000,-85567000,70188000,1166000,1166000,71354000,71354000,-13652000,57702000,57702000,57222000,57222000,444286000,444286000,6639000,6639000,125378000,27222000,27222000,603525000,181122000,44491000,30893000,8503000,5095000,225613000,829138000,57272000,6953000,5437000,44882000,17704000,17704000,74976000,27817000,27817000,27817000,102793000,224618000,477584000,18527000,720729000,726345000,829138000,57702000,9681000,3567000,-23382000,47568000,-26350000,-26350000,774999.999999999,884000,1659000,22877000,22877000,-2921000,19956000,79869000,0,43789000,0.55108,0.24833,0.20246,0.07878,0.06901,0.76525,8.04958,0.14152,0,0.39745,0.39258,1.96312,5.00604,0.30415,0.07587,0.05806,-5.56268,-6.32994
