"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",14.0185714285714,"Up",26332000,-11922000,14410000,-20677000,-20677000,-6267000,-783000,-783000,-7050000,-7050000,-7050000,-7050000,-7050000,-7137000,5699000,5699000,632000,632000,3195000,2871000,9526000,5662000,14891000,14891000,20553000,30079000,11304000,9264000,15155000,15155000,26459000,1561000,1561000,3135000,29594000,9250000,-106899000,485000,485000,30079000,-7050000,1283000,1885000,6356000,2474000,-1116000,-1116000,-1116000,951000,262000,262000,-4738000,-1313000,-1313000,-1313000,-4984000,1574000,0.54724,-0.238,-0.27104,-14.71546,-0.23728,0.36003,61.01856,0.05233,-0.92704,-0.92704,3.42031,-12.68381,-1.97155,0.82765,0.65821
"2","2014_Q3",15.898125,"Up",24744000,-12818000,11926000,-22418000,-22418000,-10492000,-103000,-103000,-10595000,-10595000,-10595000,-10595000,-10595000,-10597000,104762000,104762000,655000,655000,2773000,2773000,108190000,5741000,13929000,13929000,19670000,127860000,6112000,4085000,25722000,25722000,31834000,642000,642000,2208000,34042000,211312000,-117494000,93818000,93818000,127860000,-10595000,1363000,2049000,6351000.00000001,-831999.999999996,-604000,-604000,-604000,-1168000,101063000,101063000,101063000,99063000,99063000,99063000,-9129000,1566000,0.48198,-0.42402,-0.42827,-0.11295,-0.08288,3.39857,0.362850000000002,0.01225,-0.26961,-0.26961,0.62954,2.38693,-0.11036,11.3042,9.83568
"3","2014_Q4",17.79109375,"Up",28407000,-12324000,16083000,-23274000,-23274000,-7191000,-146000,-146000,-7337000,-7337000,-7337000,-7337000,-7337000,-7337000,80558000,80558000,10038000,10038000,3246000,3246000,93842000,5841000,14429000,14429000,20270000,114112000,7075000,4677000,16820000,16820000,23895000,649000,649000,1290000,25185000,213758000,-124831000,88927000,88927000,114112000,-7337000,1594000,2247000,-18269000,-21765000,-815000,-815000,-815000,-2638000,199000,199000,199000,-24204000,-24204000,-24204000,-5597000,641000,0.56616,-0.25314,-0.25828,-0.08251,-0.0643,3.92727,0.28321,0.00562,-0.1822,-0.1822,0.70541,2.20827,-0.08133,14.27854,11.11348
"4","2015_Q1",19.0929508196721,"Up",30756000,-12415000,18341000,-22269000,-22269000,-3928000,-89000,-89000,-4017000,-4017000,-4017000,-4017000,-4017000,-3839000,86929000,86929000,350000,350000,2709000,2709000,89988000,6755000,16296000,16296000,23051000,113039000,11381000,2293000,12387000,12387000,23768000,1260000,1260000,1260000,25028000,216859000,-128848000,88011000,88011000,113039000,-4017000,1332000,-7413000,9082000,-1016000,1036000,1036000,1036000,6327000,1060000.00000001,1060000.00000001,1060000,6371000.00000001,6371000.00000001,6370999.99999999,-2596000,0,0.59634,-0.12771,-0.12482,-0.0436199999999997,-0.03396,3.7861,0.284369999999999,0,-0.09357,-0.09357,0.74965,2.1452,-0.043,33.48575,22.1306
"5","2015_Q2",27.6750793650794,"Up",34612000,-13684000,20928000,-26298000,-26298000,-5370000,-98000,-98000,-5468000,-5468000,-5468000,-5468000,-5468000,-5468000,83077000,83077000,4305000,4305000,5870000,5212000,93252000,6936000,16861000,16861000,23797000,117049000,9893000,7078000,20558000,20558000,30451000,576000,576000,1217000,31668000,219697000,-134316000,85381000,85381000,117049000,-5468000,1713000,-1222000,420000,-4557000,-85000,-85000,-85000,-85000,1226000,1226000,790000,-3852000,-3852000,-3852000,-3657000,641000,0.60465,-0.15515,-0.15798,-0.06404,-0.04672,3.06236,0.3709,0.00548,-0.13344,-0.13344,0.84463,2.08354,-0.06314,22.54197,15.35121
"6","2015_Q3",34.29640625,"Up",35238000,-14370000,20868000,-30397000,-30397000,-9529000,-101000,-101000,-9630000,-9630000,-9630000,-9630000,-9630000,-9630000,88224000,88224000,4393000,4393000,4032000,3215000,96649000,7353000,19101000,19101000,26454000,123103000,5923000,2846000,35307000,35307000,41230000,612000,612000,1254000,42484000,224565000,-143946000,80619000,80619000,123103000,-9630000,1677000,1188000,11415000,4650000,-504000,-504000,-504000,-504000,1001000,1001000,1001000,5147000.00000001,5147000.00000001,5147000,-7852000,642000,0.5922,-0.27042,-0.27328,-0.11945,-0.07823,2.34414,0.52697,0.00522,-0.23282,-0.23282,0.85193,1.94909,-0.11762,11.1541,9.1911
"7","2015_Q4",24.97296875,"Down",37092000,-14927000,22165000,-30044000,-30044000,-7879000,-356000,-106000,-8235000,-8235000,-8235000,-8235000,-8235000,-8235000,175324000,175324000,12688000,12688000,6354000,5191000,194366000,7791000,26406000,26406000,34197000,228563000,7842000,4330000,24804000,24804000,32646000,594000,594000,1001000,33647000,347097000,-152181000,194916000,194916000,228563000,-8235000,1898000,388000,-25874000,-31823000,-385000,-385000,-385000,-635000,119558000,119558000,119558000,87100000,87100000,87100000,-5981000,407000,0.59757,-0.21242,-0.22202,-0.04225,-0.03603,5.95375,0.17262,0.00178,-0.19774,-0.19774,0.89065,4.68032,-0.04203,29.24544,22.20041
"8","2016_Q1",21.1193442622951,"Down",43252000,-16277000,26975000,-30295000,-30295000,-3320000,-80000.0000000001,-80000,-3400000,-3400000,-3400000,-3400000,-3400000,-3400000,183729000,183729000,975000,975000,8203000,6695000,192907000,3621000,34513000,34513000,38134000,231041000,17949000,4544000,14648000,14648000,32597000,2655000,2655000,2655000,35252000,351370000,-155581000,195789000,195789000,231041000,-3400000,1932000,13279000,10652000,22463000,-12640000,-12640000,-282000,-14721000,662999.99999997,662999.99999997,663000,8404999.99999999,8404999.99999999,8405000,-1388000,0,0.62367,-0.07676,-0.07861,-0.01737,-0.01472,5.91794,0.18005,0,-0.07441,-0.07441,0.94655,4.28476,-0.01713,132.3696,55.34006
"9","2016_Q2",27.23296875,"Up",47444000,-16787000,30657000,-34103000,-34103000,-3446000,66000,66000,-3380000,-3380000,-3380000,-3380000,-3380000,-3380000,186710000,186710000,1262000,1262000,9301000,8097000,197273000,3604000,35841000,35841000,39445000,236718000,13297000,6350000,24219000,24219000,37516000,2579000,2579000,2579000,40095000,355584000,-158961000,196623000,196623000,236718000,-3380000,2149000,-10000,3965000,2724000,-345000,-345000,-345000,-413000,1021000,1021000,670000,2981000,2981000,2981000,-1297000,0,0.64617,-0.07263,-0.07124,-0.01719,-0.01428,5.25837,0.20392,0,-0.07355,-0.07355,1.03244,4.27878,-0.01697,143.95528,54.18166
"10","2016_Q3",34.7940625,"Up",49110000,-19102000,30008000,-38427000,-38427000,-8419000,82000,82000,-8337000,-8337000,-8337000,-8337000,-8337000,-8337000,188251000,188251000,5242000,5242000,8288000,7163000,201781000,3994000,40061000,40061000,44055000,245836000,15575000,5588000,34503000,34503000,50078000,2543000,2543000,2543000,52621000,360513000,-167298000,193215000,193215000,245836000,-8337000,2377000,93000,7213000,1346000,-684000,-684000,-684000,-758000.000000002,1135000,1135000,952999.999999996,1541000,1541000,1541000,-6042000,1.45519152283669e-11,0.61104,-0.17143,-0.16976,-0.04315,-0.03391,4.02933,0.27234,2.71050543121376e-20,-0.17931,-0.17931,1.05625,4.15566,-0.04259,31.15707,22.36026
