"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",65.728253968254,"Up",2780000,-1110579,1669421,-1951254,-82658,-1414949,-281833,227,227,-1342521.72979613,34702.6173982647,-281606,-6947360.45594327,-281606,-281606,-281606,-281606,-281606,-318299461.971301,-318299462.191169,13306660.7743762,5640255.02215529,-336819855.100167,-738535.635616124,358069620.381674,357330999.33396,20511144.2337927,-75036547.4501664,-75096126.5048239,304174787.874548,9249595.2083633,-13538365.8476112,-1086119.15613974,25886096.5834449,11261809.9331031,11261502.5750859,20511097.7834492,-281606,455064,680627,946282,1800367,-29973840.9069321,1800367,1800367,1800367,173231,0,0.60051,-0.10138,-0.1013,-0.551236914448701,-0.141021603983904,-25.7074161518284,3.02900923098086,1.32700297255758,-0.41039,-0.41039,4.0513,120.600924619471,0.0442326478633748,2010.52036374227,53.5199283788589
"2","2014_Q3",97.8334375,"Up",3824500,-1753833,2070667,-2385401,-129527,-1317195,-314734,-2523,247,-20,-2770,-317256.999999998,-4624953.31864776,-317257.000000001,-317256.999999998,-317256.999999998,-317256.999999998,-1588749,-136507695.48565,-136507695.595585,7524823.38718809,2935880.01107764,-142774190.050084,-309154.317808062,182990811.690837,182681614.66698,39907424.6168964,-31405985.2250832,-31435774.7524119,148484313.437274,18888409.6041817,13187204.0761944,-3847754.57806987,11679568.2917225,21019147.9665515,21018994.287543,39907403.8917246,-317257,940095,554356,-577975,599219,-5900078,1087407,1087407,1087407,625361,0,0.54142,-0.0822900000000006,-0.41541,-0.31912345722435,-0.107865801991952,-11.1412530759142,1.73951961549043,0.745896486278788,-2.31482,-2.31482,5.57233,77.9844923097354,-0.0271086760683126,833.148606871136,20.8118991894295
"3","2014_Q4",118.6771875,"Up",13455472,-5584542,7870930,-3666572,-168215,-2018045,4204358,-18669,138,0,-19063,4185689,-2144488,2041201,3522605,3522605,3522605,3522605,-36146502.1618834,-36146502.1985282,4074740.46239603,1284531.00369255,-35943978.3500279,-60571.439269354,89059020.5636124,88998434.8889934,53054456.5389654,-7101354.7416944,-7111284.58413732,60357593.145758,28299345.8680606,29074886.0253981,-7756053.85935662,3436224.09724082,24755155.6555172,24755104.429181,53054450.2972415,3522605,1481836,1702169,-5873159,833451,-1913125,-941452,-941452,-941452,5686194,0,0.58496,0.31246,0.2618,-0.215557819074783,-0.088648600663984,-3.04071435863807,1.32534653849681,0.450382162092929,4.8334,4.8334,18.46238,49.9798441032451,-0.0691962253561042,218.827285623712,3.91248972980982
"4","2015_Q1",113.493770491803,"Down",1344497,-3338491,-1993994,-5676037,-165075,-2855320,-7670031,-573912,-543261,-543263,-30395,-8243943,6250,-8237693,-4805865,-4805865,-4805865,-4805865,5082569,5082569,2384587,438391,7684153,53828,53047333,53101161,60785314,3293746,3293746,21945746,36532695,36978548,-12337665,-388357,24252619,24252619,60785314,-6077357,2651285,1997409,2650731,1222068,-6355552,-472484,-472484,-474015,-5018746,21963065,-1.48308,-5.70476,-3.57447,-0.19816,-0.07906,0.35014,1.50634,0.36132,-6.59417,-6.59417,1.8448,33.27712,-0.08675,-3.36349,-2.20084
"5","2015_Q2",78.7111111111111,"Down",4093869,-4328165,-234296,-6065174,-219481,-3247232,-6299470,-970941,-931539,-931541,-39402,-7270411,1360775.30084515,-7270411,-4781571,-4781571,-4781571,-4781571,9477969,9477969,1882538,149643,12123577,80659,51728835,51809494,63933071,5195719,5195719,15399891,42638748,39752058,-17119236,-1338596,21294324,21294324,63933072,-4781571,2600330,-447294,1483480,-1145055,-7968397,4386548,4386548,4395400,-3699140,25545605,-0.05723,-1.53876,-1.16798,-0.22455,-0.07479,0.78725,2.00235,0.39957,-5.51634,-5.51634,4.72296,24.56646,-0.08449,-4.34361000000001,-2.55063
"6","2015_Q3",40.64421875,"Down",1368986,-3860210,-2491224,-5309035,-284976,-1995059,-7800259,-1567744,-1577082,-1577082,46841,-9368003,1537803,-7830200,-4502696,-4502696,-4502696,-4502696,1487242,1487242,1914677,124436,4105980,70738,61411228,61481966,65587946,5289861,5289861,23619549,47748442,40480029,-21621932,-1018691,17839504,17839504,65587946,-4502696,3030889,-3117475,142289,-4446993,-4202896,-7985420,-7985420,-7990727,-4769370,33002301,-1.81976,-5.69784,-3.28907,-0.2524,-0.06865,0.17384,2.67656,0.50318,-5.14339,-5.14339,1.56378,20.3778,-0.07585,-6.6078,-4.04026
"7","2015_Q4",27.399375,"Down",6407996,-4002040,2405956,-5491363,-177494,-2429600,-3085407,-1091924,-1078480,-1078615,6646,-4177331,-56953,-4234284,-3750469,-3750469,-3750469,-3750469,3408839,3408839,1909179,114953,7644735,70680,58867598,58938278,66583013,8992574,8992574,28755839,50912068,42016329,-25372401,-973063,15670945,15670945,66583013,-3750469,2886179,768425,2766408,2670543,-1852,1921098,1921098,1921597,-199228,39484239,0.37546,-0.48149,-0.58528,-0.23933,-0.05633,0.26585,3.24882,0.59301,-4.16461,-4.16461,7.11558,17.40128,-0.06555,-181.07595,-11.69227
"8","2016_Q1",31.6868852459016,"Up",7106943,-4413377,2693566,-5395453,-461918,-2620101,-2701887,-505467,-657813,-658744,156621,-3207354,-2554058,-5761412,-3905123,-3905123,-3905123,-3905123,2555151,2555151,2086909,338598,4778902,61297,42387394,42448691,47227593,6534825,6534825,16951648,34551851,43219000,-29277524,-1265812,12675742,12675742,47227593,-3905123,2315344,1923268,-373222,-39733,-654153,-833012.000000002,-833012.000000002,-853688,-386543,22607061,0.379,-0.38018,-0.54948,-0.30808,-0.08269,0.28191,2.72582,0.47868,-4.29415,-4.29415,7.81494,13.93842,-0.09605,-51.87498,-7.42145
"9","2016_Q2",35.26,"Up",2059676,-2639976,-580300,-3962524,-217010,-1719615,-4542824,-1001100,-1005919,-1006850,-2158.99999999997,-5543924,-374537,-5918461,-3893413,-3893413,-3893413,-3893413,1420390,1420390,1589793,146336,3163295,52793,42406524,42459317,45622612,8832010,8832010,20314271,36035398,43776458,-33170937,-1018385,9587214,9587214,45622612,-3893413,2027551,-480219,2459250,113169,-2097,-1137368,-1137368,-1134761,-2515273,21873089,-0.28174,-2.2056,-1.8903,-0.4061,-0.08534,0.15572,3.75869,0.47944,-4.16209,-4.16209,2.20181,10.24873,-0.10612,-8.13139999999999,-4.5022
"10","2016_Q3",46.31234375,"Up",34349762,-15467764,18881998,-4156886,-211503,-1983972,14725112,-942049,-843475,-844406,-29373,13783063,-534523,13248540,7902557,7902557,7906279,7906279,7158779,7158779,2560814,177745,9847930,46977,37040540,37087517,46935447,6142186,6142186,14935992,28948083,44424222,-25264658,-1168556,17991086,17987364,46935447,7906279,1962469,6536253,-3393403,13011598,-4107973,5741141,5741141,5738389,16687581,17821604,0.5497,0.428679999999993,0.230170000000001,0.43955,0.16845,0.65934,1.60936,0.3797,8.45188,8.45188,36.72019,19.23254,0.19381,0.63897,0.72413
