"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",7.30114754098361,"Up",2055396,-606690,1448706,-2385221,-2316805,-393208,-1923597,-68416,-936515,-5676,-5676,-942191,-942191,-1625010,-2567201,-2567201,-2567201,-2567201,20828524,20828524,704905,704905,1646643,375925,874904,23180072,1134452,4157504,153000,636104,3159600,5291956,28472028,1889349,710362,2288237,330737,4177586,8667089,8667089,8667089,12844675,21431172,-791638,-5012181,15627353,15627353,28472028,-2567201,68416,1750127,425595,-323063,-120982,-1543604,20289525,18422858,18422858,18422858,-868099,0,1061524,0.70483,-0.45564,-1.24901,-0.16428,-0.09017,-0.41349,5.54868,0.82194,0,-0.34938,-0.34938,0.27973,2.1268,0.14447,-0.10567,0.04369,23.99326,22.24046
"2","2015_Q2",9.76571428571429,"Up",2507898,-545261,1962637,-3877860,-3755264,-967024,-2788240,-122596,-1915223,11500,11500,-1903723,-1903723,2.3283064365387e-10,-1903723,-1903723,-1903723,-1903723,17110872,17110872,775669,775669,1419099,80325.9999999999,942959,19305640,1587544,5633374,1084583,1821040,2518951,7220918,26526558,2203081,2203081,2446295,438189,4764376,7766265,7766265,7906265,12670641,21563459,-791638,-6915904,13855917,13855917,26526558,-1903723,122596,-163968,602034,-1343061,-2521,-2370792,9542228.11728792,-3713853,-3713853,-3713853,-1792627,255000,-1193114,0.78258,-0.76368,-0.75909,-0.13739,-0.07177,0.626730000000001,4.05208,0.91446,0.00961,-0.19702,-0.19702,0.25955,1.43399,-0.12348,-0.08702,-0.05454,9.40289,8.801
"3","2015_Q3",8.61203125,"Down",3426747,-791818,2634929,-4480988,-4202486,-413900,-3788586,-278502,-1846059,-9811,-9811,-1855870,-1855870,0,-1855870,-1855870,-1855870,-1855870,12607933,12607933,458914,458914,1287631,97195,897706,14354478,2691042,6990607,2021136,2747668,2013003,9681649,24036127,2326901,2326901,2509388,428601,5315689,6423179,6423179,6563179,11878868,21720671,-791638,-8771774,12157259,12157259,24036127,-1855870,278502,-137564,514425,-1200507,-471287,-3277432,-25000,-4502939,-4502939,-4502939,-1567557,619400,-1524419,0.76893,-0.53872,-0.54158,-0.15266,-0.07721,0.8214,2.7004,0.9771,0.02577,-0.18999,-0.18999,0.35081,1.24457,-0.15606,-0.09666,-0.0794,7.64791,6.49412
"4","2015_Q4",6.23640625,"Down",4138015,-745482,3392533,-5443434,-5022043,-500578,-4521465,-421391,-2050901,16111,16111,-2034790,-1650576,-6148,-1656724,-1656724,-1656724,-1656724,9548037,9548037,605876,605876,1399961,151794,798364,11553874,3602217,7329091,2317484,2948363,2002244,10931308,22485182,2833565,2833565,2584557,309522,5884972,5575597,5575597,5743097,11628069,22077249,-791638,-10428498,10857113,10857113,22485182,-1656724,421391,-79460,-150321,-1465114,-975817,-1507864,-85000,-3057978,-3057978,-3057978,-1629510,634350,-2749500,0.81985,-0.49562,-0.40037,-0.15259,-0.07368,1.6596,1.96328,1.07101,0.02821,-0.16828,-0.16828,0.42032,1.10281,-0.27928,-0.09707,-0.1611,5.47016,4.34623
"5","2016_Q1",4.16213114754098,"Down",3762771,-737352,3025419,-6529678,-6083212,-962111,-5121101,-446466,-3504259,4319,4319,-3499940,-3623007,242003,-3381004,-3381004,-3381004,-3381004,16808673,16808673,743239,743239,1489054,366033,1052040,19040966,7138746,7182616,2542269,2466937,2173410,14321362,33362328,3865875,1868904,3169657,590234,7487382,5065640,5065640,5195640,12683022,35280446,-791638,-13809502,20679306,20679306,33362328,-3381004,446466,-188254,334995,-2787797,-2604821,-2856995,12915629,7270837,7270837,7270837,-3057793,581850,-5569622,0.80404,-0.9313,-0.89854,-0.1635,-0.10134,1.64733,2.54307,0.61332,0.01744,-0.3104,-0.3104,0.34545,1.89852,-0.51134,-0.12842,-0.21156,5.30671,4.6306
"6","2016_Q2",3.1146875,"Down",4265036,-739963,3525073,-7006283,-6430739,-738683,-5692056,-575544,-3481210,473,473,-3480737,-3480737,-44397,-3525134,-3525134,-3525134,-3525134,10378206,10378206,1645429,1645429,1620920,445030,1136930,13644555,7968588,7058476,2607342,2466937,1984197,15027064,28671619,2516272,951866,3194207,480073,6171829,5147391,5147391,5147391,11319220,35478673,-791638,-17334636,17352399,17352399,28671619,-3525134,575544,94374,-2904512,-5759728,-287942,-545684,-119942,-6425354,-6425354,-6425354,-2905666,461350,-6053723,0.8265,-0.81622,-0.82652,-0.20315,-0.12295,1.7173,2.21078,0.65231,0.01609,-0.28049,-0.28049,0.33936,1.38069,-0.48168,-0.15353,-0.26365,3.41294,2.84868
"7","2016_Q3",2.37453125,"Down",4974041,-727739,4246302,-7433063,-6795948,-1174178,-5621770,-637115,-3186761,-1150,-1150,-3187911,-3187911,-73470,-3261381,-3261381,-3261381,-3261381,6137090,6137090,1807783,1807783,1588984,359695,1190475,9533857,8171315,7551518,2727232,2945263,1879023,15722833,25256690,1780833,645781,3049914,450018,5381147,5160808,5160808,5160808,10541955,36102390,-791638,-20596017,14714735,14714735,25256690,-3261381,637115,194464,134292,-2295510,-1053460,-1920265,-32958.0000000019,-4248733,-4248733,-4248733,-2549646,550400,-3395344,0.85369,-0.64068,-0.65568,-0.22164,-0.12913,1.04108,1.77171,0.71642,0.02179,-0.25735,-0.25735,0.39249,1.16111,-0.26792,-0.15967,-0.16623,2.19116,1.75309
"8","2016_Q4",2.44666666666667,"Up",5503591,-718762,4784829,-7403321,-6707742,-1271623,-5436119,-695579,-2618492,5877,5877,-2612615,-2612615,-14277,-2626892,-2626892,-2626892,-2626892,3390248,3390248,1862250,1862250,2164402,891938,1233650,7416900,7526728,7181948,2572778,2805331,1803839,14708676,22125576,1490577,669829,3524730,405863,5346807,4518076,4518076,4518076,9864883,36358631,-875029,-23222909,12260693,12260693,22125576,-2626892,695579,202127,-559293,-2288479,-156472,-142430,-301356,-2732265,-2732265,-2732265,-1922913,331500,-2624401,0.8694,-0.47578,-0.47731,-0.21425,-0.11873,0.99905,1.38716,0.80459,0.01498,-0.20634,-0.20634,0.43231,0.96309,-0.20615,-0.15353,-0.15338,1.59068,1.16813
"9","2017_Q1",3.72887096774194,"Up",5780972,-753145,5027827,-7228970,-6571072,-1234696,-5336376,-657898,-2201143,-6667,-6667,-2207810,-5728180,-32285,-5760465,-5760465,-5760465,-5760465,3009864,3009864,1021733,1021733,1665059,499525,1123520,5696656,4724706,6633499,2338922,2750338,1544239,11358205,17054861,2105364,1050418,3427020,349590,5863884,4265564,4144864,4265564,10129448,36411905,-503118,-28983374,6925413,6925413,17054861,-5760465,657898,3911564,687408,-503595,-69853,-87443,214404,-376634,-376634,-376634,-1543245,331500,-893405,0.86972,-0.38076,-0.99645,-0.83179,-0.33776,0.15509,0.97148,1.46265,0.01944,-0.44951,-0.44951,0.45111,0.54041,-0.06972,-0.49993,-0.07754,1.73554,1.21681
"10","2017_Q2",3.84714285714286,"Up",5507147,-693716,4813431,-6100771,-5522784,-958706,-4564078,-577987,-1287340,-19465,-19465,-1306805,-1724776,-40609,-1765385,-1765385,-1765385,-1765385,2676607,2676607,1189132,1189132,1926816,893520,1030242,5792555,4360900,6319683,2164066,2750338,1405279,10680583,16473138,1647813,558637,3164930,298050,4980743,5002704,4845784,6002704,10983447,36623247,-503118,-30630438,5489691,5489691,16473138,-1765385,577987,650270,-741432,-1278560,-39325,-29317,952777,-355100,-355100,-355100,-709353,1168000,-1449501,0.87403,-0.23376,-0.32056,-0.32158,-0.10717,0.82107,1.16299,2.00074,0.0709,-0.13536,-0.13536,0.42224,0.4209,-0.11114,-0.1514,-0.12431,2.12674,1.17188
