"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",5660.01396825397,"Down",2904846,-1255575,1649271,-4353527,-3256705,-1874610,-1382095,-1096822,-2704256,6999,-2697257,-2697257,-2697257,-2697257,-2697257,-2697257,15101995,15101995,1253575,1253575,2008386,647925,584999,19011881,660252,623453,430953,1283705,20295586,2101224,230270,1870954,2494003,2648796,138948332,-121301542,17646790,17646790,20295586,-2697257,114849,145075,584378,-1852955,-25626,-25626,-1884814,-1884814,-1884814,-2589407,19493,0.56777,-0.93095,-0.92854,-0.15285,-0.1329,7.62304,0.1501,0.00096,-1349.47825,-1349.47825,1453.33815,8828.95448,75.9942897704957,-0.15135,5.82469,5.57732
"2","2011_Q3",4602.603125,"Down",2571840,-1110073,1461767,-3904504,-2780995,-1479519,-1301476,-1123509,-2442737,6019,-2436718,-2436718,-2436718,-2436718,-2436718,-2436718,13622445,13622445,1056932,1056932,1739724,469702,415370,16888803,625729,245110,245110,870839,17759642,1897201,174870,1722331,2229574,2341109,139156793,-123738260,15418533,15418533,17759642,-2436718,94169,385427,347960,-1609162,-59646,118854,-1479550,-1479550,-1479550,-2348568,19493,0.56837,-0.9498,-0.94746,-0.15804,-0.13721,7.5749,0.15184,0.0011,-1214.55048,-1214.55048,1281.90029,7685.16779,40.3965738622975,-0.15671,5.79202,5.56873
"3","2011_Q4",3126.13492063492,"Down",2560226,-1156119,1404107,-3839885,-3010329,-1810653,-1199676,-829556,-2435778,4936,-2430842,-2430842,-2430842,-2430842,-2430842,-2430842,11714782,11714782,993043,993043,2002789,631628,587989,15342242,565764,241248,241248,807012,16149254,2674616,460913,2213703,2939702,3028522,139289834,-126169102,13120732,13120732,16149254,-2430842,90736,133041,333372,-1873693,-30771,-30771,-1907663,-1907663,-1907663,-2345042,20006,0.54843,-0.95139,-0.94946,-0.18527,-0.15052,5.21898,0.23082,0.00124,-1208.95186,-1208.95186,1273.29954,6525.44813,18.1982869311487,-0.18374,4.98702,4.80125
"4","2012_Q1",1940.06370967742,"Down",2359863,-1200302,1159561,-3579817,-2752178,-1523809,-1228369,-827639,-2420256,3968,-2416288,-2416288,-2416288,-2416288,-2416288,-2416288,10290446,10290446,909718,909718,1763700,531442,493421,13495306,483530,241947,241947,725477,14220783,2780487,629215,2151272,3012916,3132262,139673911,-128585390,11088521,11088521,14220783,-2416288,77178,365997,530525,-1442588,5056,5056.00000000001,-1424336,-1424336,-1424336,-2343078,20321,0.49137,-1.02559,-1.02391,-0.21791,-0.16991,4.47915,0.28248,0.00143,-1203.23033,-1203.23033,1175.13257,5521.7113,6.39942897704957,-0.2152,4.38318,4.2434
"5","2012_Q2",1342.74412698413,"Down",2081542,-1134944,946598,-3703231,-2725165,-1534101,-1191064,-978066,-2756633,4298,-2752335,-2752335,-2752335,-2752335,-2752335,-2752335,15212627,15212627,870389,870389,1216645,354295,328572,17653956,437130,239739,239739,676869,18330825,2185289,399769,1785520,2348996,2460873,147207677,-131337725,15869952,15869952,18330825,-2752335,70808,79218,16513,-2585796,-24408,-24408,4922181,4922181,4922181,-2685825,20640,0.45476,-1.32432,-1.32226,-0.17343,-0.15015,7.51553,0.15506,0.00113,-636.27459,-636.27459,481.20316,3668.75663,2,-0.17199,5.65636,5.51107
"6","2012_Q3",1238.68333333333,"Down",2205831,-983350,1222481,-3998636,-2977910,-1595642,-1382268,-1020726,-2776155,4027,-2772128,-2772128,-2772128,-2772128,-2772128,-2772128,13324824,13324824,518674,518674,1077150,377023,355148,15297671,375856,8920,8920,384776,15682447,2217701,464942,1752759,2419659,2572232,147220068,-134109853,13110215,13110215,15682447,-2772128,65758,78368.0000000001,586201,-2041801,-4484,225016,-1887803,-1887803,-1887803,-2710397,20964,0.5542,-1.25855,-1.25673,-0.21145,-0.17677,6.32224,0.1962,0.00134,-423.13985,-423.13985,336.69982,2001.15377,2,-0.20869,4.90845,4.79219
"7","2012_Q4",999.852258064516,"Down",1764764,-793990,970774,-3584515,-2604154,-1457079,-1147075,-980361,-2613741,3487,-2610254,-2610254,-2610254,-2610254,-2610254,-2610254,10925643,10925643,611435,611435,787828,546283,532492,12871189,312191,16448,16448,328639,13199828,2359888,405376,1954512,2528342,2613183,147306752,-136720107,10586645,10586645,13199828,-2610254,119126,86683,65842,-2338603,-55460,-55460,-2399181,-2399181,-2399181,-2494615,21293,0.55009,-1.48107,-1.4791,-0.24656,-0.19775,5.09076,0.24684,0.00161,-397.52281,-397.52281,268.76079,1612.26947,3,-0.24411,4.37116,4.17193
"8","2013_Q1",858.981,"Down",1523152,-676522,846630,-2722128,-2155491,-1140660,-1014831,-566637,-1875498,2662,-1872836,-1872836,-1872836,-1872836,-1872836,-1872836,8699478,8699478,566451,566451,834526,472611,472611,10573066,293897,10484,10484,304381,10877447,1853492,257361,1596131,2005606,2077025,147393365,-138592943,8800422,8800422,10877447,-1872836,41405,75099,-453035,-2209367,-23113,-23113,-2226165,-2226165,-2226165,-1834093,17929,0.55584,-1.23133,-1.22958,-0.21281,-0.17218,5.27176,0.23601,0.00165,-286.33544,-286.33544,232.87271,1345.48498,2,-0.21067,4.73343,4.62893
"9","2013_Q2",662.59109375,"Down",1401454,-569784,831670,-3086854,-2013435,-779841,-1233594,-1073419,-2255184,1769,-2253415,-2253415,-2253415,-2253415,-2253415,-2253415,6886191,6886191,532820,532820,794665,414305,406125,8627981,258805,4416,4416,263221,8891202,1802438,225870,1576568,1939779,1995744,147741816,-140846358,6895458,6895458,8891202,-2253415,41156,63155,347162,-1801942,-6064,-6064,-1813287,-1813287,-1813287,-2214028,12648,0.59343,-1.60917,-1.60791,-0.3268,-0.25344,4.44792,0.28943,0.00142,-338.2641,-338.2641,210.37473,1035.08936,2,-0.32358,3.10454,3.04789
"10","2013_Q3",552.3746875,"Down",1160472,-501161,659311,-2786225,-1872378,-880218,-992160,-913847,-2126914,1394,-2125520,-1345830,-1345830,-1345830,-1345830,-1345830,9586435,9586435,562063,562063,753944,312550,305615,11214992,230566,3098,3098,233664,11448656,1986446,208498,1777948,2111659,5008093,148632747,-142192188,6440563,6440563,11448656,-1345830,38143,-746738,193206,-1861219,-9904,-9904,2700244,2700244,2700244,-2088771,7283,0.56814,-1.8328,-1.15973,-0.20896,-0.11755,5.31099,0.77759,0.00064,-187.28084,-187.28084,161.48709,896.24494,2,-0.14403,4.58602,4.50378
