"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q2",18.5271428571429,"Up",94383000,-60175000,34208000,-20424000,-17627000,-2211000,13784000,556000,476000,80000,14340000,14340000,-2241000,12099000,12099000,12099000,12099000,112736000,112736000,54235000,54235000,56134000,10157000,223105000,14305000,1111000,8459000,1791000,2944000,51505000,274610000,17361000,4060000,13301000,29748000,23064000,47109000,1494000,1211000,1494000,48603000,157274000,-15972000,86607000,-1902000,226007000,226007000,274610000,12099000,2211000,-11081000,-7974000,-4745000,-3324000,-3324000,-3324000,-395000,-3719000,31149000,31199000,160000,31309000,22845000,22845000,1095000,23940000,15995000,0,6938000,0.36244,0.14604,0.12819,0.05353,0.04406,0.57344,4.73593,0.21505,0,0.40067,0.3563,3.12558,7.48442,0.22976,0.05318,0.0305,-7.0482,-8.17876
"2","2012_Q3",17.0180952380952,"Down",103800000,-63803000,39997000,-23167000,-20711000,-2423000,16830000,-934000,460000,-1394000,15896000,15896000,-2575000,13321000,13321000,13321000,13321000,104930000,104930000,68186000,68186000,51656000,10323000,224772000,23003000,6227000,12436000,1866000,2474000,63222000,287994000,14641000,4345000,10296000,29260000,23421000,43901000,1487000,1218000,1487000,45388000,158710000,-11666000,99928000,-4366000,242606000,242606000,287994000,13321000,2423000,119000,-9489000,6374000,-3086000,-3086000,-3086000,-2743000,-12819000,1413000,1413000,-1625000,-212000,-6657000,-6657000,-1149000,-7805999.99999999,19253000,0,9253000,0.38533,0.16214,0.12833,0.05491,0.04625,0.69462,5.11997,0.18709,0,0.30429,0.27937,2.37111,5.54186,0.21137,0.05457,0.03791,-5.45006,-6.2347
"3","2012_Q4",19.3437096774194,"Up",110078000,-69099000,40979000,-24243000,-21153000,-3040000,16736000,-149000,486000,-635000,16587000,16587000,-2522000,14065000,14065000,14065000,14065000,105885000,105885000,67867000,67867000,63920000,13270000,237672000,22100000,6014000,11305000,3529000,1252000,75048000,312720000,16043000,2558000,13485000,30029000,24939000,46072000,1497000,1228000,1497000,47569000,164486000,-11666000,113993000,-1662000,265151000,265151000,312720000,14065000,3040000,4079000,-10073000,11111000,-3907000,-3907000,-3907000,-10918000,-14825000,2236000,2247000,1334000,3570000,-144000,-144000,1099000,955000,19776000,0,8318000,0.37227,0.15204,0.12777,0.05305,0.04498,0.5914,5.15871,0.1794,0,0.32712,0.30217,2.56019,6.16688,0.19346,0.05275,0.03119,-5.35422,-6.32678
"4","2013_Q1",21.3525,"Up",125538000,-77284000,48254000,-29598000,-26377000,-3208000,18656000,384000,519000,-135000,19040000,19040000,-4041000,14999000,14999000,14999000,14999000,118112000,118112000,78906000,78906000,53937000,11835000,250955000,46724000,16834000,22698000,6093000,1099000,99859000,350814000,25909000,6095000,19814000,33443000,26583000,59352000,5182000,1228000,5182000,64534000,167006000,-8697000,128992000,-1021000,286280000,286280000,350814000,14999000,3208000,1890000,15662000,35759000,-3059000,-3059000,-3059000,756000,-28264000,2517000,2456000,1663000,4180000,11675000,11675000,552000,12227000,21864000,4.44089209850063e-16,38508000,0.38438,0.14861,0.11948,0.05239,0.04275,2.56737,4.22825,0.22542,8.27180612553028e-25,0.34252,0.31847,2.86682,6.53757,0.87938,0.05146,0.13212,-5.40212,-6.33105
"5","2013_Q2",23.6328125,"Up",124198000,-77937000,46261000,-30725000,-27083000,-3617000,15536000,131000,630000,-499000,15667000,15667000,-2987000,12680000,12680000,12680000,12680000,102806000,102806000,75665000,75665000,79158000,15738000,257629000,45852000,16030000,22575000,6160000,1087000,99117000,356746000,17364000,9728000,7636000,31003000,25411000,48367000,4920000,1228000,4920000,53287000,173848000,-8697000,141672000,-3364000,303459000,303459000,356746000,12680000,3617000,-10032000,-18003000,-11738000,-2887000,-2887000,-2887000,-3587000,-6474000,2510000,2510000,1529000,4039000,-14173000,-14173000,-1133000,-15306000,19153000,0,1250000,0.37248,0.12509,0.1021,0.04178,0.03554,0.09858,5.32654,0.1756,0,0.28296,0.26613,2.77153,6.77182,0.02789,0.04112,0.00405,-5.36762,-6.61728
"6","2013_Q3",30.78484375,"Up",133184000,-83547000,49637000,-32102000,-28541000,-3854000,17535000,-99999.9999999999,769000,-869000,17435000,17435000,-3317000,14118000,14118000,14118000,14118000,107475000,107475000,82817000,82817000,86585000,17167000,276877000,42240000,15115000,22304000,3530000,1291000,97640000,374517000,15393000,8376000,7017000,31947000,27363000,47340000,1944000,1228000,1944000,49284000,182549000,-8697000,155790000,-4409000,325233000,325233000,374517000,14118000,3854000,2985000,-12999000,7958000,-6111000,-6111000,-6111000,-1381000,-7512000,2843000,2843000,1721000,4564000,5010000,5010000,-341000,4669000,21389000,0,5596000,0.37269,0.13166,0.106,0.04341,0.0377,0.39637,5.84869,0.15153,-1.32348898008484e-23,0.31035,0.29425,2.92776,7.14955,0.12302,0.04315,0.0171,-5.02478,-6.12917
"7","2013_Q4",35.7565625,"Up",140150000,-88539000,51611000,-31381000,-27893000,-3906000,20230000,126000,846000,-720000,20356000,20356000,-3919000,16437000,16437000,16437000,16437000,122979000,122979000,87611000,87611000,99062000,22234000,309652000,95812000,14539000,22411000,3585000,55277000,95812000,405464000,17061000,8195000,8866000,35054000,31894000,52115000,1737000,1228000,1737000,53852000,189503000,-8684000,172227000,-1434000,351612000,351612000,405464000,16437000,3906000,3955000,-8723000,15575000,-1930000,-1930000,-1930000,-2959000,-4889000,2430000,2430000,1674000,4104000,14790000,14790000,714000,15504000,24136000,0,17402000,0.36826,0.14435,0.11728,0.04675,0.04054,1.05871,5.94171,0.15316,0,0.35598,0.33728,3.03526,7.61493,0.37688,0.04652,0.04925,-5.09525,-6.07904
"8","2014_Q1",38.0093442622951,"Up",157585000,-97627000,59958000,-36766000,-32980000,-3743000,23192000,120000,832000,-712000,23312000,23312000,-4553000,18759000,18759000,18759000,18759000,169207000,169207000,95431000,95431000,70731000,14355000,335369000,44193000,13734000,22268000,4557000,3634000.00000001,97508000,432877000,23010000,2835000,20175000,31654000,26836000,54664000,2112000,1228000,2112000,56776000,195631000,-8684000,190986000,-1832000,376101000,376101000,432877000,18759000,3743000,12117000,11811000,46430000,-2432000,-2432000,-2432000,-513000,-2945000,1517000,1517000,1277000,2794000,46279000,46279000,-51000.0000000002,46228000,26935000,0,40867000,0.38048,0.14717,0.11904,0.04988,0.04334,2.17853,6.1351,0.15096,-2.11758236813575e-22,0.40307,0.38228,3.38601,8.08124,0.8781,0.0496,0.10805,-6.28205,-7.29592
"9","2014_Q2",37.811746031746,"Down",160384000,-102454000,57930000,-36073000,-32359000,-3689000,21857000,-265000,976000,-1241000,21592000,21592000,-4228000,17364000,17364000,17364000,17364000,174066000,174066000,89932000,89932000,92500000,15111000,356498000,102139000,12957000,26392000,4705000,58085000,102139000,458637000,27126000,11812000,15314000,33329000,27718000,60455000,1902000,1228000,1902000,62357000,202002000,-8663000,208350000,-5409000,396280000,396280000,458637000,17364000,3689000,-4936000,71000,16188000,-2157000,-2157000,-2157000,-7100000,-11676000,2139000,2139000,995000,3134000,7646000,7646000,-2787000,4859000,25546000,0,27688000,0.3612,0.13628,0.10827,0.04382,0.03786,1.59456,5.89692,0.15736,0,0.37105,0.35288,3.42723,8.46806,0.59166,0.04361,0.06954,-6.81383,-7.96386
"10","2014_Q3",39.6459375,"Up",174695000,-110102000,64593000,-46117000,-38671000,-5451000,18476000,-75000,1164000,-1239000,18401000,18401000,-3587000,14814000,14814000,14814000,14814000,175075000,175075000,108179000,108179000,95803000,16200000,379057000,104384000,49381000,42547000,9382000,3074000,158907000,537964000,35780000,12500000,23280000,41863000,36056000,77643000,33674000,33120000,33674000,111317000,212498000,-6500000,223164000,-2515000,426647000,426647000,537964000,14814000,5451000,13002000,-16428000,16839000,-2288000,-2288000,-2288000,4832000,-21535000,3274000,3274000,1166000,4440000,-256000,-256000,1265000,1009000,23927000,-1.81898940354586e-12,8798000,0.36975,0.10576,0.0848,0.03472,0.02754,0.5939,4.88205,0.26091,3.3881317890172e-21,0.31473,0.2989,3.71147,9.06429,0.18692,0.03218,0.01911,-7.31705,-9.47581
