"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",29.7757142857143,"Up",178525000,-129803000,48722000,-27658000,-27658000,21064000,-7140000,-6708000,-432000,13924000,19230000,-7654000,11643000,11641000,11641000,-3e+05,11341000,1147389333.58587,1209952770.45169,-184712747.012812,-184712747.012812,-178565984.894963,263897798.966684,33465421.7826691,185546785.834679,1048008400.64478,1095858115.62841,850980819.745654,-113681269.267561,1294082121.80761,2342090522.45239,817982240.918007,167136348.76986,650845892.148147,-280429678.492428,569096253.817522,779291732.588247,156118209.232992,131297198.106468,24821011.1265242,935409941.821239,1504506195.63876,186223014.281697,-26269692.8363483,552345634.856821,837584326.813628,837584326.813628,2342090522.45239,11641000,8679000,741000,-755000,20306000,-45308000,50417000,5109000,-6395000,3e+05,-6317000,19098000,19033000,19033000,29743000,0,-8666000,0.27291,0.11799,0.06353,0.376976577647109,0.11292060280009,-0.76413,1.64869990388149,1.86722010627975,0.0209417060305132,0.38717,0.36903,6.09461,23.771123739258,-0.29585,0.124479227483647,-0.350041342288012,9186.70020922196,-2875.86801200345
"2","2014_Q3",29.75703125,"Down",201662000,-152793000,48869000,-24498000,-24498000,24371000,-6199000,-5671000,-528000,18172000,18169000,-7047000,11134000,11113000,11113000,0,11113000,604673666.792936,634705385.225844,-32316373.506406,-32316373.506406,-48509992.4474817,168663899.483342,25448710.8913346,99368392.9173397,692511200.32239,777726557.814205,438565409.872827,-43765634.6337807,952413560.903805,1644924761.22619,425322120.459004,106927174.38493,318394946.074074,-117141839.246214,323952126.908761,599564366.294123,118305104.616496,97742599.0532339,20562505.5632621,717869470.910619,1041821597.81938,178438007.140848,-27321846.4181741,387844317.428411,603103163.406814,603103163.406814,1644924761.22619,11113000,8683000,9106000,6662000,35564000,-47466000,96986000,-14980000,-7010000,-3e+05,-6881000,13703000,13676000,13676000,33054000,0,-703000,0.24233,0.12085,0.05511,0.139453288823555,0.0401553014000448,-0.0632600000000052,2.42292495194075,1.73728505313988,0.248410853015257,0.37917,0.36129,6.88066,18.156461869629,-0.0239900000000002,0.0436896137418234,-0.239920671144006,3817.74653961098,-1261.43569100173
"3","2014_Q4",25.60125,"Down",171046000,-146660000,24386000,-25208000,-25208000,-822000,-5295000,-5079000,-216000,-6117000,-6187000,2415000,-3772000,-3777000,-3777000,0,-3777000,315081888.930979,319092461.741948,52890208.831198,52890208.831198,25195669.1841728,106516966.494447,18888236.9637782,52765797.6391132,499684733.440797,634136852.604735,190692469.957609,-730544.877926912,770203186.967935,1269887920.40873,213925706.819668,82308724.7949767,131616982.024691,-21914279.748738,197268708.969587,491591455.431374,102847034.872165,84358533.0177446,18488501.8544207,594438490.30354,791707199.273127,174282002.380283,-28023282.1393914,308541105.80947,478180721.135605,478180721.135605,1269887920.40873,-3777000,9059000,-991000,-3262000,1029000,-71166000,70090000,-1076000,-6684000,-4985522.77409599,-6542000,-6589000,-6635000,-6635000,8237000,0,-68606000,0.14257,-0.00481,-0.02208,0.0287510962745182,0.00740843380001493,18.16415,2.73352498398025,1.65332501771329,0.367223617671752,-0.12858,-0.12267,5.82282,15.430233956543,-2.33551,0.0077232045806078,-0.145580223714669,997.048689870327,-374.533980333909
"4","2015_Q1",27.3477049180328,"Up",-55345000,-1167000,-56512000,38373000,38373000,-18139000,-3728000,-4141000,413000,-21867000,-21953000,8035000,-13918000,657000,657000,1.45519152283669e-11,657000,201311000,186811000,88074000,88074000,56586000,72911000,13752000,34568000,418882000,619205000,67485000,21516000,711690000,1130572000,132622000,81456000,51166000,22635000,155257000,440205000,101062000,83128000,17934000,541267000,696524000,173234000,-28374000,286188000,434048000,434048000,1130572000,-13890000,6513000,-6574000,-4288000,-18239000,-52976000,79508000,1532000,7619000,-7406150.07357942,8044000,-8663000,15616000,15616000,-11626000,462840000,-76925000,1.02109,0.32774,-0.01187,0.00151,0.00058,-117.08524,2.69799,1.60472,0.40939,0.0223400000000001,0.0252499999999999,-1.88157,14.65435,-2.61522,0.00066,-0.07708,-22.49518,-14.41805
"5","2015_Q2",32.7214285714286,"Up",198798000,-158037000,40761000,-26615000,-26615000,14146000,-3286000,-3398000,112000,10860000,10860000,-4181000,6679000,6649000,6649000,-3e+05,6349000,186058000,161558000,90402000,90402000,59696000,63300000,10008000,33604000,399456000,687047000,29066000,29066000,741113000,1140569000,130240000,92544000,37696000,33888000,164128000,430237000,104268000,86034000,18234000,534505000,698633000,174773000,-28374000,292537000,441936000,441936000,1140569000,6649000,9001000,2381000,-5428000,12603000,-66837000,44889000,-31948000,-6447000,128999.999999996,-5876000,-25221000,-25253000,-25253000,23147000,464125000,-44937000,0.20504,0.07116,0.03194,0.01437,0.00557,-7.07781,2.43381,1.58085,0.40692,0.21539,0.21191,6.74414,14.89072,-1.52447,0.00658,-0.04448,12.0130899999999,19.65693
"6","2015_Q3",22.20359375,"Down",60305000,-67651000,-7346000,869000,869000,-6477000,-1769000,-2228000,459000,-8246000,-8246000,2930000,-5316000,417000.000000002,417000.000000002,5.82076609134674e-11,417000,157708000,132708000,85343000,85343000,54054000,63011000,6305000,37736000,360116000,787465000,30598000,30598000,818063000,1178179000,155512000,106317000,49195000,28900000,184412000,446091000,103823000,85391000,18432000,549914000,734326000,176273000,-28374000,292954000,443853000,443853000,1178179000,-5286000,7710000,662000,13031000,16117000,-90144000,25514000,-65130000,10428000,-158000,11166000,-37847000,-27092000,-27092000,1233000,474991000,-78810000,-0.12181,-0.1074,0.00691000000000001,0.00094,0.00035,-188.99281,1.95278,1.65444,0.40316,0.0141000000000001,0.0142,2.0392,14.90737,-2.66495,0.00041,-0.07706,257.32603,-48.9861
"7","2015_Q4",8.25625,"Down",88567000,-100365000,-11798000,-11602000,-11602000,-23400000,17000,-872000,889000,-23383000,-63053000,26632000,-36421000,-33763000,-33763000,0,-33763000,38958000,23958000,90064000,90064000,53695000,67498000,2611000,35793000,250215000,874575000,32204000,32204000,906779000,1156994000,157267000,110950000,46317000,25053000,182320000,472599000,91045000,73182000,17863000,563644000,745964000,177213000,-28374000,259191000,411030000,411030000,1156994000,-36421000,9772000,18661000,-1513000,-9501000,-143054000,722000,-132332000,22243000,237999.999999993,22628000,-119205000,-108767000,-108767000,-13628000,497652000,-184827000,-0.13321,-0.26421,-0.38121,-0.08214,-0.02918,5.47425,1.37239,1.81487,0.43012,-1.1391,-1.15001,2.98809,13.76621,-6.23574,-0.03377,-0.18488,-33.6582,-19.60231
"8","2016_Q1",5.79704918032787,"Down",90025000,-91594000,-1569000,-12465000,-12465000,-14034000,-675000,-873000,198000,-14709000,-18227000,7139000,-11088000,-8068000.00000001,-8068000.00000001,-2973000,-11041000,127195000,127195000,49601000,49601000,24457000,131444000,10563000,36300000,332697000,978709000,50421000,16640000,1029130000,1361827000,127807000,87999000,39808000,31587000,191920000,497954000,73101000,52179000,20922000,571055000,762975000,194962000,-24532000,248150000,598852000,598852000,1361827000,-11088000,10977000,-2930000,-20958000,-23999000,-138822000,2553000,-121269000,37663000,177420000,236101000,90833000,103311000,103311000,-3057000,529541000,-169976000,-0.01743,-0.15589,-0.12264,-0.01844,-0.00811,15.39498,1.73352,1.27406,0.38885,-0.3723,-0.3723,3.03562,14.11442,-5.73155,-0.00919,-0.14147,-131.61465,-28.66937
"9","2016_Q2",9.97078125,"Up",98972000,-105136000,-6164000,-10894000,-10894000,-17058000,-3557000,-1350000,-2207000,-20615000,-20615000,4850000,-15765000,-14941000,-14941000,-9668000,-24609000,39529000,39529000,87496000,87496000,48639000,55618000,7959000,37117000,231282000,1087954000,24060000,24060000,1112014000,1343296000,148902000,106853000,42049000,23235000,172137000,511678000,74469000,50715000,23754000,586147000,758284000,193092000,-21561000,223616000,585012000,585012000,1343296000,-15765000,10590000,-3171000,20003000,11657000,-104137000,-37000,-104174000,5118000,-1212000,3906000,-88611000,-87861000,-87861000,-6468000,534913000,-95452000,-0.06228,-0.17235,-0.24865,-0.04207,-0.01832,3.87874,1.34359,1.29619,0.39821,-0.82778,-0.82778,3.32916,13.29172,-3.21076,-0.0206,-0.07992,-76.58998,-29.04115
"10","2016_Q3",8.50234375,"Down",109982000,-107853000,2129000,-10874000,-10874000,-8745000,-2614000,-6446000,3832000,-11359000,-11359000,3671000,-7688000,15091000,15091000,-9945000,5146000,22836000,22836000,43410000,43410000,18790000,167513000,4470000,35470000,252549000,1093609000,15756000,15756000,1109365000,1361914000,108590000,72987000,35603000,49746000,205625000,513505000,40904000,31681000,9223000,554409000,760034000,195280000,-21972000,228837000,601880000,601880000,1361914000,-7688000,14028000,-4187000,10434000,12587000,-65920000,1017000,-64825000,28118000,-116000,28373000,-23865000,-16498000,-16498000,5283000,563251000,-53874000,0.01936,-0.07951,0.04679,0.00855,0.00378,-10.4691,1.2282,1.26277,0.41357,0.15976,0.15976,3.41449,12.48494,-1.67257,0.00427,-0.04467,102.2932,-61.79703
