"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",18.0936507936508,"Up",5970452,-3094657,-1564461,-1530196,1828734,42733,42733,1871467,-24382,1847085,-683436,1163649,1163649,1163649,1163649,230904917.290217,230904917.290217,65335779.1905719,65335779.1905719,22479997.6529798,37745755.7782212,-15265758.1247899,318720694.133768,2125775036.42022,2105847585.71377,19927450.706448,2116246685.68427,2434967379.81804,195091216.061686,195091216.061686,195811481.708124,96286309.3395897,64334142.7493382,740600283.933167,936411765.641291,1453398632.59047,45156981.5862704,1498555614.17674,1498555614.17674,2434967379.81804,1163689,1530196,1367286,3464304,7525475,-22103993,-22103993,-22103993,-22103993,-39219,-14617737,-14617737,-14617737,3358930,0,-14597323,0.3063,0.1949,0.901368939512355,0.748530411524174,-12.54444,20.7410406724046,3.65758737623934,1.64194305711881,0.04901,0.04668,0.25144,70.2139692242604,-0.61474,0.799296337339964,-9.67873389379059,8.90233663012994,2055.85109374193
"2","2014_Q3",17.086875,"Down",11204238,-5112623,-1634807,-3477816,4496685,19616,19616,4516301,-37312,4478989,-1657211,2821778,2821778,2821778,2821778,108393307.145108,108393307.145108,30401421.595286,30401421.595286,10750507.8264899,16041029.3891106,-5290521.56239494,149545236.566884,988786390.210109,986252124.356885,2534265.85322402,984766593.842133,1134311830.40902,101399901.530843,101399901.530843,101760034.354062,46283439.6697948,29621337.8746691,311640426.966583,413400461.320645,700035055.795237,20876313.2931352,720911369.088372,720911369.088372,1134311830.40902,2821738,3477816,2334624,-3126877,5507301,-26433646,-26433646,-26433646,-26433646,28728851,7802506,7802506,7802506,7974501,0,-19928811,0.40134,0.25185,0.419304469756178,0.348805205762087,-7.0625,8.9113753362023,1.65856368811967,0.644316528559404,0.11883,0.11321,0.47185,32.9152946121302,-0.83927,0.373243168669982,-4.17761694689529,-0.352896684935027,892.386836870964
"3","2014_Q4",12.51890625,"Down",10929771,-6310999,-1816131,-4494868,2766752,16224,16224,2782976,-42548,2740428,-1013959,1726469,1726469,1726469,1726469,39051187.7150361,39051187.7150361,11313778.531762,11313778.531762,4791460.94216329,4485171.7963702,306289.145868354,55156427.1889614,380146951.40337,388513656.452295,-8366705.04892533,379055145.614044,434211572.803006,44756945.8436143,44756945.8436143,44891676.1180206,19304919.5565983,10957020.2915564,87157248.6555278,132048924.773548,294616428.931746,7546219.09771174,302162648.029457,302162648.029457,434211572.803006,1726469,4494868,1774323,960051,8955711,-25438572,-25438572,-25438572,-25475859,51644,-16468504,-16468504,-16468504,7261620,0,-16202942,0.25314,0.15796,0.143118156585393,0.119525068587362,-9.38502,2.88944844540077,0.583871229373223,0.145942176186468,0.07271,0.06926,0.46029,12.9909115373767,-0.68236,0.128551056223327,-1.24313898229843,-3.23568889497834,251.504392290321
"4","2015_Q1",9.50786885245902,"Down",9984982,-5852750,-1787630,-2304914,3633077,7391,7391,3640468,-50731,3589737,-881133,2708604,2708604,2708604,2708604,8622235,8622235,3616676,3616676,2844387,160600,2683787,15083298,152558162,167246209,-14688047,152558162,167641460,16241022,16241022,16263051,8835879,3896489,8835879,25098930,140558057,1984473,142542530,142542530,167641460,2708604,2304914,1518740,5188004,11720262,-32190572,-32190572,-32190572,-32153285,-11589.9999999963,-20444613,-20444613,-20444613,5937991,-5.82076609134674e-11,-20183444,0.36385,0.27127,0.019,0.01616,-7.4516,0.92746,0.17608,0,0.10444,0.10444,0.385,5.4961,-0.77823,0.01789,-0.13333,-1.45205,-2.37326
"5","2015_Q2",11.7711111111111,"Up",6045701,-5660316,-1728987,-3654298,-1482410,780,780,-1481630,-66979,-1548609,572985,-975624,-975624,-975624,-975624,2850125,2850125,2853940,2853940,3150816,149731,3001085,8854881,158721464,177063809,-18342345,158721464,167576345,6930803,6930803,6930803,8361448,3995043,18361448,25292251,141275245,1008849,142284094,142284094,167576345,-975624,3654298,148682,-8875941,-6048585,-9786025,-9786025,-9786025,-9786025,10062500,-5772110,-5772110,-5772110,2171888,1e+07,-17063063,-0.2452,-0.16137,-0.00686,-0.00581999999999999,17.48938,1.27761,0.17776,0.05967,-0.03762,-0.03762,0.23311,5.48614,-0.65791,-0.00607,-0.10622,3.29201,-4.82314000000001
"6","2015_Q3",9.55578125,"Down",8976790,-4971732,-2043730,-3205033,1099086,-79003,-79003,1020083,-79400.0000000001,940683,-406516,534167,534167,534167,534167,5767566,5767566,4020660,4020660,3803254,1175483,2627771,13591480,237736205,259283583,-21547378,237736205,251327685,6999288,6999288,6999288,11037906,6264985,51937906,58937194,190847475,1543016,192390491,192390491,251327685,534167,3205033,1142402,-1750673,3130929,-80029232,-80029232,-80029232,-80029232,79815744,2917441,2917441,2917441,4304119,40900000,-77069270,0.12244,0.05951,0.00278,0.00213,-144.27935,1.94184,0.30634,0.16274,0.0206,0.0206,0.34612,7.41812,-2.97161,0.00219,-0.31543,8.16251,31.96514
"7","2015_Q4",9.5053125,"Down",8629007,-6670991,-2002638,-4668353,-1369627,-348906,-348906,-1718533,-103887,-1822420,684152,-1138268,-1138268,-1138268,-1138268,3118234,3118234,2660662,2660662,3043231,320273,2722958,8822127,242303827,268519558,-26215731,243048206,251870333,7525150,7525150,7525150,10350383,6261614,51250383,58775533,192690052,404748,193094800,193094800,251870333,-1138268,4668353,70703,1901504,5502292,-9156607,-9156607,-9156607,-9343233,1191609,-2649332,-2649332,-2649332,3298726,40900000,-4640529,-0.15872,-0.13191,-0.00589,-0.00452,4.07683,1.17235,0.30439,0.16239,-0.03742,-0.03742,0.28365,6.34732,-0.15254,-0.00466,-0.01899,11.45344,-27.58544
"8","2016_Q1",4.9655737704918,"Down",7362394,-7336220,-2220040,-3648107,-1830796,-315021,-315021,-2145817,-9480321,-11626138,4153092,-7473046,-7473046,-7473046,-7473046,4431350,4431350,2507858,2507858,1775283,146118,1629165,8714491,241266527,271130365,-29863838,242151754,250866245,11023269,11023269,11333167,7401950,7401950,53301950,64635117,193299426,-7068298,186231128,186231128,250866245,-7473046,3648107,5931803,4706052,6812916,-10691226,-10691226,-10691226,-10504600,5004800,1313116,1313116,1313116,1817311,45900000,-8320955.00000001,-0.24867,-1.01503,-0.04013,-0.02979,1.11346,0.76894,0.34707,0.18297,-0.2457,-0.2457,0.24206,6.12284,-0.273569999999999,-0.0312,-0.03474,22.81869,-22.65061
"9","2016_Q2",7.48296875,"Up",30850248,-21015011,-8027077,-11483314,-32563,-592511,-592511,-625074,-57000198,-57625272,19987585,-37637687,-37637687,-37637687,-37637687,3811166,3811166,2373119,2373119,1029704,170686,859018,7213989,220400719,253659184,-33258465,230045137,237259126,7246986,7246986,7246986,7549231,7549231,58449231,65696217,193906251,-22343342,171562909,171562909,237259126,-15275044,3394627,13134732,-2995341,-1741026,-3901658,-3901658,-3901658,-3901658,5022500,-620184,-620184,-620184,3362064,50900000,-23522520,-0.00106,-1.22001,-0.21938,-0.15864,0.62497,0.99545,0.38293,0.21453,-1.23831,-1.23831,1.015,5.64456,-0.77391,-0.16363,-0.10227,14.00593,-1446.08402
"10","2016_Q3",9.35734375,"Up",-17653251,10900724,3886618,5509486,-2218576,167518,167518,-2051058,9901770,7850712.00000001,-1429569,6421143.00000001,6421143.00000001,6421143.00000001,6421143.00000001,8328712,8328712,2919015,2919015,1222578,422180,800398,12470305,196936634,232774300,-35837666,216100339,228570644,3554577,3554577,3554577,7722019,7722019,7722019,11276596,255578890,-38284842,217294048,217294048,228570644,-15941500,2579201,16497648,-4363508,-1228159,-4519292,-4519292,-4519292,-4519292,10264997,4517546,4517546,4517546,360625,0,-7092606,0.12568,-0.36374,0.02955,0.02809,-1.10457,3.50824,0.0519,0,0.21126,0.21126,-0.58081,7.14916,-0.23335,0.02854,-0.03152,-23.09522,3.75408
"11","2016_Q4",11.5736507936508,"Up",7822543,-4450732,-1882579,-2568153,653554,-89447,-89447,564107,-9774755,-9210648,3266511,-5944137,-5944137,-5944137,-5944137,2249007,2249007,2965320,2965320,941836,330600,611236,6156163,198814805,237220624,-38405819,221177350,227333513,7435554,7435554,7435554,8002787,8002787,8002787,15438341,256124151,-44228979,211895172,211895172,227333513,-5944137,2568153,7063831,4176612,7864459,-13933838,-13933838,-13933838,-13933838,-10326,-6079705,-6079705,-6079705,3221707,0,-9802030,0.08355,-0.75987,-0.02805,-0.02615,1.64902,0.827940000000001,0.07286,0,-0.16067,-0.16067,0.21144,5.72737,-0.26494,-0.02703,-0.04458,-0.698080000000001,-3.44119999999991
"12","2017_Q1",12.1516129032258,"Up",9830708,-4945372,-2004039,-2941333,1565022,-78071,-78071,1486951,-127015,1359936,-1836942,-477006,-477006,-477006,-477006,71086381,71086381,3453238,3453238,681296,226835,454461,75220915,211918551,253265703,-41347152,232376484,307597399,9099391,9099391,9099391,7957035,7957035,7957035,17056426,335246958,-44705985,290540973,290540973,307597399,-477006,2941333,2583455,1271341,6319123,-15985057,-15985057,-15985057,-15985057,78503308,68837374,68837374,68837374,4506355,1.86264514923096e-09,-8370419,0.1592,-0.0485200000000002,-0.00164,-0.00155,17.54783,8.26659,0.05871,0,-0.0108799999999999,-0.01088,0.22418,6.62553,-0.19088,-0.0016,-0.02804,-15.7747,-45.42197
"13","2017_Q2",12.4557142857143,"Up",12243793,-6315130,-2841111,-3474019,2640028,116679,116679,2756707,-137176,2619531,-1340250,1279281,1279281,1279281,1279281,55418128,55418128,4756301,4756301,404158,132813,271345,60578587,239926192,284747363,-44821171,260572667,321151254,18561210,18561210,18561210,8329654,8329654,8329654,26890864,336090631,-41830241,294260390,294260390,321151254,1279281,3474019,2468636,3794636,11016572,-26537288,-26537288,-26537288,-26537288,-147537,-15668253,-15668253,-15668253,6114047,0,-15288355,0.21562,0.10448,0.00435,0.00398,-11.95074,3.26372,0.09138,0,0.02605,0.02538,0.24929,5.99129,-0.31128,0.00423,-0.05052,-9.06407,-20.99149
"14","2017_Q3",12.885873015873,"Up",14503309,-7502575,-2366149,-5136426,2795185,47311,47311,2842496,-173573,2668923,-758160,1910763,1910763,1910763,1910763,12136378,12136378,8010885,8010885,1265244,419796,845448,21412507,288698994,338656591,-49957597,308519639,329932146,24523864,24523864,24523864,8434710,8434710,8434710,32958574,336893050,-39919478,296973572,296973572,329932146,1910763,5136426,1743815,-1685928,7105076,-50377163,-50377163,-50377163,-50377163,-9663,-43281750,-43281750,-43281750,7931611,0,-43373320,0.19273,0.13175,0.00643,0.00579,-22.69948,0.87313,0.11098,0,0.0389,0.0379,0.29529,6.04653,-0.8831,0.00626,-0.14202,-1.53013,-4.34189
"15","2017_Q4",13.43,"Up",16643930,-7192175,-2369131,-4823044,4402055,85553,85553,4487608,-44146,4443462,-1369702,3073760,3073760,3073760,3073760,40876153,40876153,7634987,7634987,1204358,327112,877246,49715498,321949147,376729788,-54780641,340398247,390113745,21225911,21225911,21225911,8619194,8619194,8619194,29845105,397114358,-36845718,360268640,360268640,390113745,3073760,4823044,2373563,-89419,10180948,-40702766,-40702766,-40702766,-40702766,59261593,28739775,28739775,28739775,9225099,0,-30197384,0.26448,0.18468,0.00853,0.00788,-9.82425,2.34221,0.08284,-1.0842021724855e-19,0.06094,0.05938,0.32997,7.14232,-0.59866,0.00833,-0.08186,-4.43097,-9.2857
"16","2018_Q1",14.5431147540984,"Up",23308668,-10023787,-2939496,-7084291,6697841,41540,41540,6739381,-4301257,2438124,-6948059,-4509935,-4509935,-4509935,-4509935,15006581,15006581,12833883,12833883,1283460,229438,1054022,29123924,373611020,435475952,-61864932,384978562,414102486,44475163,44475163,48443449,9055697,9055697,9055697,57499146,397958993,-41355653,356603340,356603340,414102486,-4509935,7084291,12051490,-122237.999999998,14503608,-40295743,-40295743,-40295743,-40295743,-77436.9999999925,-25869572,-25869572,-25869572,13782132,0,-19687790,0.28735,-0.19349,-0.01265,-0.01089,4.36543,0.60119,0.16124,0,-0.0832,-0.08061,0.42999,6.57844,-0.36319,-0.01233,-0.05384,-1.08884,-2.24051
"17","2018_Q2",14.52984375,"Down",29891391,-11587359,-3085980,-8501379,11096240,-35530,-35530,11060710,-2426847,8633863,-2968229,5665634,5665634,5665634,5665634,47036101,47036101,13447211,13447211,767363,131027,636336,61250675,414618830,484963466,-70344636,422950472,484201147,24822069,24822069,29581056,9447852,9447852,9447852,39028908,480862258,-35690019,445172239,445172239,484201147,5665634,8501379,5001249,-32832426,-13664164,-36128382,-36143120,-36143120,-36128382,81822066,32029520,32029520,32029520,19597619,0,-46394960,0.37122,0.18954,0.01273,0.0117,-8.18884,2.0706,0.08767,0,0.10043,0.09777,0.52984,7.89093,-0.82238,0.01246,-0.10205,-2.40009,-4.23892
"18","2018_Q3",11.9866666666667,"Down",29924883,-12295346,-3151231,-9144115,9562229,82991,82991,9645220,-3666369,5978851,-1259045,4719806,4719806,4719806,4719806,13431146,13431146,11344504,11344504,1769415,437733,1331682,26545065,469338065,548534760,-79196695,476908406,503453471,36887834,36887834,42746094,9815977,9815977,9815977,52562071,481861613,-30970213,450891400,450891400,503453471,4719806,9144115,3525336,29552720,46941977,-80543939,-80634737,-80634737,-80543939,-2993.0000000298,-33604955,-33604955,-33604955,18706344,2.3283064365387e-10,-31025830,0.31954,0.15772,0.01047,0.00937,-6.57354,0.62099,0.11657,0,0.08366,0.08145,0.53044,7.99231,-0.54995,0.01024,-0.06734,-0.718,-1.4046
"19","2018_Q4",7.10269841269841,"Down",32687179,-14135679,-3205116,-10930563,9782463,-35033,-35033,9747430,-3456856,6290574,-596946,5693628,5693628,5693628,5693628,3770844,3770844,11575024,11575024,2256991,379158,1877833,17602859,509148831,599276089,-90127258,516051549,533654408,42485518,42485518,48910427,10155215,10155215,27155215,76065642,482865351,-25276585,457588766,457588766,533654408,5693628,10930563,2338817,-236475,18726533,-45382784,-45382784,-45382784,-45382784,16995949,-9660302,-9660302,-9660302,20713026,1.7e+07,-24309287,0.29928,0.17419,0.01244,0.01067,-4.26956,0.3599,0.16623,0.03186,0.09636,0.09401,0.55323,7.74468,-0.41143,0.01175,-0.05015,0.63869,1.35233
"20","2019_Q1",5.94524590163934,"Down",27561908,-13874188,-3425359,-10448829,4298775,-342471,-342471,3956304,-12414111,-8457807,1378499,-7079308,-7079308,-7079308,-7079308,3363726,3363726,12643478,12643478,837053,258909,578144,16844257,542010862,642586949,-100576087,550221402,567065659,51910432,51910432,51910432,13055797,13055797,52555797,104466229,494955323,-32355893,462599430,462599430,567065659,-7079308,10448829,7261735,7721718.99999999,18352975,-41366209,-41366209,-41366209,-41366209,22606116,-407117.999999996,-407117.999999996,-407117.999999996,14747604,39500000,-20275385,0.15597,-0.25685,-0.0153,-0.01248,2.86403,0.32449,0.22582,0.06966,-0.1163,-0.11475,0.45279,7.59956,-0.33308,-0.01374,-0.03936,2.45031,8.40618
"21","2019_Q2",4.44746031746032,"Down",41798315,-19855246,-6798017,-12929054,10451430,-760781,-760781,9690649,-556630,9134019,-4864759,4269260,4269260,4269260,4269260,2606769,2606769,27941378,27941378,5984632,3013688,2970944,36532779,878568574,992073715,-113505141,888663861,925196640,63862098,63862098,92976746,273196556,273196556,357696556,450673302,495789788,-21266450,474523338,474523338,925196640,4269260,12929054,6255854,-13624253,9829915,-55586872,-55586872,-55586872,-55586872,4.5e+07,-756957,-756957,-756957,23380484,84500000,-40965882,0.25004,0.10214,0.00899999999999999,0.00461,-9.59555,0.39292,0.94974,0.09133,0.06752,0.06671,0.66105,7.50475,-0.64789,0.00513,-0.04922,3.50263,7.8356
"22","2019_Q3",2.14453125,"Down",51334225,-23982342,-4743127,-14615270,17865649,-4258648,-4258648,13607001,1300996,14907997,-3565400,11342597,11342597,11342597,11342597,10578982,10578982,21777491,21777491,6254675,3479218,1585912,38611148,911853991,1039974402,-128120411,922655726,961266874,67258467,67258467,67756609,16536909,16536909,377446543,445203152,524954918,-8891196,516063722,516063722,961266874,11342597,14615270,3073138,-3449177,25581828,-293585539,-293585539,-293585539,-293585539,275975924,7972213,7972213,7972213,32480919,361113681,-260988397,0.34803,0.22096,0.02198,0.0118,-23.00958,0.56985,0.86269,0.37566,0.16834,0.16751,0.76186,7.65895,-3.87335,0.01269,-0.29203,10.79202,19.6206
"23","2019_Q4",1.96203125,"Down",50339105,-20282436,-3745928,-14115170,14578617,-4556500,-4556500,10022117,1641161,11663278,-2805278,8858000,8858000,8858000,8858000,7599089,7599089,18291698,18291698,7920539,3340178,2194295,33811326,919461752,1061697333,-142235581,928980328,962791654,51813690,51813690,52255303,16703186,16703186,383791437,436046740,525747754,997160.000000002,526744914,526744914,962791654,8858000,14115170,1956953,2246346,27176469,-36093752,-36093752,-36093752,-36093752,5937390,-2979893,-2979893,-2979893,28693787,367360749,-2348341,0.28961,0.17597,0.01682,0.0092,-0.26511,0.64704,0.82781,0.38156,0.13058,0.13123,0.74205,7.76472,-0.03462,0.00973,-0.00257999999999997,12.53796,24.67735
"24","2020_Q1",1.77483870967742,"Down",52231186,-67628617,-4579634,-14544775,21058494,-4276116,-4276116,16782378,-9203466.99999999,7578911,-2552217,5026694,5026694,5026694,5026694,10004622,10004622,22909195,22909195,5794724,3982255,1812469,38708541,929216155,1086290199,-157074044,934297607,973006148,54635602,54635602,59092554,23479535,17478359,390403661,449496215,526369275,-2859342,523509933,523509933,973006148,5026694,14544775,10519429,13937111,44028009,238287506,229740432,229740432,-37774088,-3848387.99999997,2405533,2405533,2405533,35603269,367205096,290380103,0.40318,0.0962400000000001,0.0096,0.00517,57.76761,0.65505,0.85862,0.37739,0.0741,0.07411,0.76993,7.717,4.28046,0.0055,0.31763,10.0328,16.9623
