"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q2",10.8711111111111,"Up",10091000,-2689000,7402000,-9581000,-1647000,-4900000,-3034000,-2179000,-7e+05,-7e+05,-2879000,-8001000,-8001000,-8001000,5116000,-2885000,-2885000,11922000,11922000,8565000,3228000,22900000,1148000,21752000,43387000,627608000,109137000,105856000,736745000,780132000,5979000,5979000,35841000,35841000,142718000,142718000,391027000,-2885000,388142000,249272000,637414000,780132000,-8001000,4900000,4312000,-2582000,-1371000,-20193000,-13953000,-262798000,-10575000,-4191000,-19515000,-19515000,-19515000,2721000,100898000,0.73352,-0.21593,-0.2859,-0.00453,-0.0037,0.30401,0.2239,0.12933,-0.21949,-0.21949,0.76771,29.52935,-0.00391,32.69974,-40.83341
"2","2015_Q3",10.86328125,"Down",19256000,-5313000,13943000,-11657000,-2239000,-9151000,-267000,2286000,-1321000,-1321000,965000,964999.999999998,964999.999999998,964999.999999998,-377000,588000,588000,3409000,3409000,8903000,2764000,2636000,1107000,1529000,14948000,657957000,110322000,107254000,768279000,783227000,4967000,4967000,41015000,41015000,148768000,148768000,389504000,-2297000,387207000,247252000,634459000,783227000,965000,9151000,-719000,-1013000,8384000,-14264000,-14208000,1913000,-224999.999999998,-2689000,-8513000,-8513000,-8513000,11437000,102786000,0.72409,0.11872,0.0305400000000001,0.00093,0.000749999999999999,0.10048,0.23448,0.13123,0.0243,0.0243,0.79562,15.99866,0.00673,8.68908,43.472
"3","2015_Q4",12.04921875,"Up",19857000,-5818000,14039000,-11880000,-2301000,-9344000,-235000,2159000,-1341000,-1341000,818000,818000,818000,818000,-320000,498000,498000,4466000,4466000,8488000,2856000,4679000,2869000,1810000,17633000,668034000,107513000,104657000,775547000,793180000,6982000,6982000,39690000,39690000,165595000,165595000,383864000,-1799000,382065000,245520000,627585000,793180000,818000,9344000,-595000,2191000,11758000,-18224000,-18505000,16159000,0,7804000,1057000,1057000,1057000,11503000,118923000,0.70701,0.10873,0.02508,0.00079,0.00063,0.10648,0.26386,0.14993,0.02058,0.02058,0.82048,15.78663,0.01186,9.95019,53.0139
"4","2016_Q1",12.2708196721311,"Up",22174000,-6503000,15671000,-13214000,-2705000,-9492000,-1017000,2457000,-1610000,-1610000,847000,847000,847000,847000,-332000,515000,515000,8176000,8176000,9267000,2920000,3245000,1509000,1736000,20688000,772007000,119352000,116585000,891359000,912047000,9346000,9346000,44605000,44605000,292153000,292153000,378957000,-1694000,377263000,242631000,619894000,912047000,847000,9492000,-677000,1517000,11179000,-117960000,-117886000,119299000,-126000,110417000,3710000,3710000,3710000,11949000,238202000,0.70673,0.11081,0.02323,0.00083,0.00056,0.07081,0.4713,0.26117,0.02131,0.02131,0.91736,15.60775,0.0108,19.25065,93.62068
"5","2016_Q2",13.30921875,"Up",23971000,-6701000,17270000,-14232000,-3036000,-10863000,-333000,3038000,-1929000,-1929000,1109000,1109000,1109000,1109000,-434000,675000,675000,4380000,4380000,10461000,3832000,4244000,2723000,1521000,19085000,797880000,117709000,115198000,915589000,934674000,10211000,10211000,44081000,44081000,321729000,321729000,374053000,-1019000,373034000,239911000,612945000,934674000,1109000,10863000,-839000,-1258000,9875000,-34426000,-34211000,29297000,-1588198.95113779,20540000,-3796000,-3796000,-3796000,13901000,267437000,0.72045,0.12674,0.02816,0.0011,0.00072,0.05932,0.52489,0.28613,0.02796,0.02622,0.99293,15.45185,0.01071,18.9236,86.58887
"6","2016_Q3",14.2328125,"Up",24921000,-7417000,17504000,-14472000,-3052000,-11074000,-346000,3032000,-1995000,-1995000,1037000,1037000,1037000,1037000,-338000,699000,699000,3704000,3704000,10629000,3709000,81311000,1958000,79353000,95644000,808177000,114024000,111728000,922201000,1017845000,9949000,9949000,42119000,42119000,332524000,332524000,534561000,-320000,534241000,151080000,685321000,1017845000,1037000,11074000,-776000,-168000,11167000,-95636000,-95672000,13039000,-3909000,83829000,-675999.999999999,-675999.999999999,-675999.999999999,14106000,280456000,0.70238,0.12166,0.02805,0.00102,0.00069,0.28763,0.48521,0.27554,0.02543,0.02383,0.90674,19.4382,0.01133,19.61945,91.27704
"7","2016_Q4",13.9625396825397,"Down",26975000,-7841000,19134000,-15963000,-3066000,-12237000,-660000,3171000,-2043000,-2043000,1128000,1128000,1128000,1128000,-233000,895000,895000,4358000,4358000,11600000,4136000,4527000,1845000,2682000,20485000,880962000,119107000,116100000,1000069000,1020554000,13516000,13516000,41894000,41894000,343629000,343629000,534928000,575000,535503000,141422000,676925000,1020554000,1128000,12237000,-955000,2774000,15184000,-11150000,-11025000,7783000,-1044000,-3505000,654000,654000,654000,15408000,288219000,0.70932,0.11755,0.03318,0.00132,0.00088,0.05961,0.50763,0.28241,0.02555,0.02413,0.76996,15.2851,0.01154,18.42296,89.51782
"8","2017_Q1",14.7604838709677,"Up",28751000,-9015000,19736000,-15303000,-3135000,-11709000,-459000,4433000,-2210000,-2210000,2223000,2223000,2223000,2223000,-529000,1694000,1694000,4845000,4845000,14367000,5823000,4818000,1422000,3396000,24030000,901422000,121445000,114873000,1022867000,1046897000,13784000,13784000,41840000,41840000,348597000,348597000,554739000,2679000,560456000,137844000,698300000,1046897000,2223000,11709000,-1077000,-1704000,11151000,-29069000,-29373000,4774000,-194999.999999998,18619000,397000,397000,397000,16142000,292973000,0.68645,0.15419,0.05892,0.00243,0.00162,0.06893,0.49921,0.27985,0.04716,0.04539,0.80039,15.60245,0.01286,17.84958,64.99617
"9","2017_Q2",15.2950793650794,"Up",29887000,-9084000,20803000,-16845000,-3444000,-12869000,-532000,3958000,-2417000,-2417000,1541000,1541000,1541000,1541000,-304000,1237000,1237000,5241000,5241000,13653000,5740000,14082000,3327000,10755000,32976000,928855000,116740000,111195000,1045595000,1078571000,12622000,12622000,40629000,40629000,291472000,390569000,547932000,2805000,553871000,134131000,688002000,1078571000,1541000,12869000,-1325000,-2360000,10725000,-44171000,-44171000,45268000,-18000,34201000,755000,755000,755000,16827000,337318000,0.69606,0.13243,0.04139,0.0018,0.00115,0.11314,0.56769,0.31275,0.03353,0.0316,0.81013,15.01347,0.01198,19.73477,83.9002
"10","2017_Q3",15.2104761904762,"Down",30603000,-8816000,21787000,-16870000,-3142000,-13272000,-456000,4917000,-3714000,-3714000,1203000,1203000,1203000,1203000,-221000,982000,982000,6105000,6105000,15030000,6746000,7679000,3120000,4559000,28814000,1117039000,131763000,127127000,1248802000,1277616000,14473000,14473000,38175000,38175000,499076000,598208000,558825000,3632000,565118000,114290000,679408000,1277616000,1203000,13272000,-1500000,844000,13819000,-210133000,-210133000,36592000,171769000,198732000,2418000,2418000,2418000,18189000,545560000,0.71192,0.16067,0.03209,0.00145,0.00077,0.05773,0.88048,0.42701,0.02625,0.0246,0.81801,15.10548,0.0102,29.65831,109.71222
