"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2015_Q2",16.3953968253968,"Down",89966000,-65063000,-6966000,-28306000,-29791000,24903000,-16642000,-16642000,-16642000,8261000,-5806000,2455000,-60000,2466000,2466000,-93000,2373000,2373000,3557000,3557000,8176000,8176000,6744000,6744000,18477000,2368661000,3163040000,-794379000,166620000,166620000,2535281000,2553758000,687176000,75266000,14912000,596998000,12383000,12383000,699559000,732885000,38620000,38620000,771505000,1471064000,1874525000,-693239000,1041268000,41426000,1082694000,2553758000,2466000,30999000,6233000,-11744000,-11744000,27954000,17000,2090000,2098000,-11786000,-19980000,-4215000,-35981000,-5929000,-5929000,-5943000,55902000,732885000,44235000,0.2768,0.02638,0.00219,0.00093,18.64096,0.02641,1.35871,0.28698,0.02151,0.02144,0.81557,9.43947,0.40101,0.10684,0.00764,0.02386,4.96671,13.04655,29.28675
"2","2015_Q3",16.60265625,"Up",90489000,-62031000,-6160000,-28044000,-27827000,28458000,-16363000,-16363000,-16363000,12095000,2558000,14653000,-81000,14568000,14568000,-556000,14012000,14012000,5127000,5127000,5938000,5938000,398000,398000,11463000,2393078000,3201037000,-807959000,167717000,167717000,2560795000,2572258000,679080000,70134000,14970000,593976000,12142000,12142000,691222000,755908000,38302000,38302000,794210000,1485432000,1875990000,-690720000,1045252000,41574000,1086826000,2572258000,14568000,29665000,-2771000,5286000,5286000,46748000,-40437000,-10009000,-50450000,-14674000,19984000,-38000.0000000019,5272000,1569999.99999997,1569999.99999997,1569999.99999999,58123000,755908000,23053000,0.31449,0.15485,0.01289,0.00545,1.64523,0.01658,1.36676,0.29387,0.12698,0.1266,0.82003,9.47232,0.20891,0.13298,0.01525,0.01226,1.04725,12.91711,26.38207
"3","2015_Q4",18.31859375,"Up",92159000,-62533000,-5900000,-28589000,-28044000,29626000,-16674000,-16674000,-16674000,12952000,1505000,14457000,14000,14465000,14465000,-548000,13917000,13917000,66939000,66939000,5935000,5935000,7460000,7460000,80334000,2448098000,3268420000,-820322000,178248000,178248000,2626346000,2706680000,695647000,89639000,15096000,590912000,12045000,12045000,707692000,879932000,39322000,39322000,919254000,1626946000,1877409000,-698998000,1038393000,41341000,1079734000,2706680000,14465000,8928000,19809000,2786000,2786000,45988000,-85165000,-2360000,-87712000,-14676000,120942000,-2730000,103536000,61812000,61812000,61812000,38554000,879932000,-43839000,0.32147,0.15101,0.01289,0.00514,-3.15003,0.11352,1.5068,0.3251,0.12611,0.12555,0.83511,9.40948,-0.39725,0.13299,0.0143,-0.02193,1.05454,21.08712,27.44188
"4","2016_Q1",17.61,"Down",93209000,-64177000,-6336000,-28875000,-28966000,29032000,-17745000,-17745000,-17745000,11287000,33915000,45202000,9999.99999999999,45206000,45206000,-1706000,43500000,43500000,3987000,3987000,5612000,5612000,25515000,25515000,35114000,2502638000,3293968000,-791330000,172056000,172056000,2674694000,2709808000,669752000,93699000,14812000,561241000,11841000,11841000,681593000,872927000,40153000,40153000,913080000,1594673000,1757526000,-684426000,1073100000,42035000,1115135000,2709808000,45206000,23363000,-27533000,423000,422999.999999999,41459000,-38592000,-22618000,-61010000,-14675000,-28450000,-276000,-43401000,-62952000,-62952000,-62952000,52395000,872927000,14216000,0.31147,0.46669,0.03901,0.01605,0.3268,0.05152,1.43003,0.32214,0.39404,0.39218,0.84433,9.72064,0.12878,0.13293,0.02868,0.00701,0.33736,16.58441,29.93042
"5","2016_Q2",20.6334375,"Up",93467000,-67169000,-7674000,-31128000,-28367000,26298000,-16259000,-16259000,-16259000,10039000,6314000,16353000,-58000,16295000,16295000,-607000,15688000,15688000,3180000,3180000,5720000,5720000,6642000,6642000,15542000,2543231000,3345397000,-802166000,173646000,173646000,2716877000,2732419000,607515000,79952000,22112000,505451000,11462000,11462000,618977000,974476000,41029000,41029000,1015505000,1634482000,1758790000,-702075000,1056715000,41222000,1097937000,2732419000,16295000,25829000,1991000,-17306000,-17306000,26809000,-67918000,19477000,-48441000,-14705000,40996000,-5466000,20825000,-807000,-807000,-807000,52127000,974476000,-33039000,0.28136,0.16785,0.01429,0.00574,-2.106,0.02511,1.48868,0.35663,0.1416,0.14135,0.84362,9.53774,-0.2982,0.13272,0.01438,-0.01563,0.93734,18.63326,36.93422
"6","2016_Q3",24.19140625,"Up",93015000,-62033000,-6433000,-28725000,-26875000,30982000,-14589000,-14589000,-14589000,16393000,35838000,52231000,-123000,52108000,52108000,-1879000,50229000,50229000,4376000,4376000,4028000,4028000,11892000,11892000,20296000,2538446000,3328319000,-789873000,169456000,169456000,2707902000,2728198000,619873000,93751000,23284000,502838000,11111000,11111000,630984000,809195000,40032000,40032000,849227000,1480211000,1882409000,-679040000,1203369000,44618000,1247987000,2728198000,52108000,23255000,-28979000,931000,930999.999999996,47315000,26368000,-7020000,19348000,-21953000,-168311000,-139000,-65467000,1196000,1196000,1196000.00000001,54237000,809195000,81659000,0.33309,0.54001,0.04025,0.01841,1.62573,0.03217,1.18608,0.2966,0.4323,0.43094,0.80054,10.35682,0.7028,0.18894,0.03442,0.03894,0.43706,14.83893,25.97699
"7","2016_Q4",22.7461904761905,"Down",93562000,-62337000,-5983000,-28815000,-27539000,31225000,-14407000,-14407000,-14407000,16818000,15901000,32719000,-51000,32668000,32668000,-1149000,31519000,31519000,8074000,8074000,3989000,3989000,13350000,13350000,25413000,2568716000,3364039000,-795323000,173434000,173434000,2742150000,2767563000,626264000,102731000,23357000,500176000,10748000,10748000,637012000,824916000,42794000,42794000,867710000,1504722000,1884485000,-666099000,1218386000,44455000,1262841000,2767563000,32668000,23233000,-9137000,6325000,6325000,53089000,-37635000,-1363000,-38998000,-23020000,12639000,-12000,-10393000,3698000,3698000,3698000,54458000,824916000,23199000,0.33374,0.33688,0.02496,0.01139,0.73603,0.03989,1.19154,0.29807,0.27057,0.26966,0.80318,10.45924,0.19915,0.19762,0.0256,0.01089,0.73035,14.99949,26.15987
"8","2017_Q1",23.0048387096774,"Up",97976000,-64770000,-6613000,-28614000,-29543000,33206000,-14175000,-14175000,-14175000,19031000,6439000,25470000,-857000,24613000,24613000,-817000,23796000,23796000,9859000,9859000,4757000,4757000,13956000,13956000,28572000,2588422000,3384914000,-796492000,176269000,176269000,2764691000,2793263000,603802000,84412000,23434000,495956000,10400000,10400000,614202000,851136000,43300000,43300000,894436000,1508638000,1887943000,-646502000,1241441000,43184000,1284625000,2793263000,24613000,23197000,108000.000000004,-1242000,-1242000,46676000,-44858000,-9446000,-54304000,-23018000,21582000,-554000,-1990000,-9618000,-9618000,-9618000,56403000,851136000,11160000,0.33892,0.24288,0.01852,0.00852,0.46899,0.04652,1.17438,0.30471,0.204,0.20329,0.83994,10.64272,0.09567,0.19733,0.02148,0.00512000000000001,0.96731,14.91547,25.33509
"9","2017_Q2",24.7207936507937,"Up",97383000,-65013000,-8033000,-28494000,-28486000,32370000,-14369000,-14369000,-14369000,18001000,5578000,23579000,-88000,23491000,23491000,-782000,22709000,22709000,18998000,18998000,4355000,4355000,11974000,11974000,35327000,2589077000,3396002000,-806925000,180654000,180654000,2769731000,2805058000,549859000,66440000,25977000,457442000,10057000,10057000,559916000,913855000,45757000,45757000,959612000,1519528000,1889405000,-647031000,1242374000,43156000,1285530000,2805058000,23491000,23200000,2609000,-9212000,-9212000,40088000,-30068000,-1700000,-31768000,-23017000,22151000,-2414000,-3280000,5040000,5040000,5040000,55570000,913855000,16378000,0.3324,0.23319,0.01767,0.0081,0.72121,0.06309,1.18202,0.32579,0.19436,0.19366,0.83349,10.6334,0.14018,0.197,0.02037,0.00729,1.01356,16.10324,27.64464
"10","2017_Q3",26.3874603174603,"Up",97579000,-62722000,-6785000,-29040000,-26897000,34857000,-14915000,-14915000,-14915000,19942000,20080000,40022000,-1169000,38853000,38853000,-1291000,37562000,37562000,11607000,11607000,3730000,3730000,12212000,12212000,27549000,2651995000,3458472000,-806477000,184419000,184419000,2836414000,2863963000,547734000,66003000,26715000,455016000,10883000,10883000,558617000,885525000,46544000,46544000,932069000,1490686000,1964328000,-636167000,1328161000,45116000,1373277000,2863963000,38853000,23551000,-13201000,4609000,4609000,53812000,-81776000,583000,-81193000,-25476000,-28029000,-3269000,18106000,-9275000,-9275000,-9275000,58408000,885525000,-17590000,0.35722,0.38494,0.02735,0.01312,-0.46829,0.04932,1.0855,0.3092,0.32021,0.31891,0.83185,11.32248,-0.14995,0.21718,0.02734,-0.00763,0.67824,14.9623,25.07152
