"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","prepaid_expense","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",26.9244444444444,"Up",148453000,-56390000,92063000,-80281000,-10714000,-48817000,11782000,1439000,1399000,13221000,-207058790.37879,13221000,13192000,13576000,-821000,12755000,-627000,12128000,-217568965.727793,-217568965.727793,397281118.42333,397281118.42333,87949889.4992312,87949889.4992312,267662042.194768,-5893512726.34316,-8242600733.75023,2349088007.40707,5453804550.24261,-460213328.533074,1230504483.28762,4683513395.48807,-439708176.100548,-172046133.90578,721247175.404788,721247173.829202,721247175.404788,-1057205102.83646,29252600.2502398,1623308302.23245,-439171705.767459,1213389196.71524,-328230227.784551,885158968.930685,-172046133.90578,13576000,48165000,6337000,-36694000,31384000,-65021000,-65021000,20769000,-44252000,-38225000,57064000,1220000,1313000,-4031000,16028000,3160000,3160000,3160000,59947000,0,0.62015,0.07937,0.0817,0.109161334892376,0.0473210688652078,0.471344555076566,0.0629272709361801,0.0619784863926561,0.13481,0.13037,1.6501,14.0924680255066,0.42488,0.0970137324280305,3.1518,22.9437286994544,3281.96078142782
"2","2014_Q3",28.2021875,"Up",152722000,-55275000,97447000,-80615000,-8733000,-51242000,16832000,1636000,1410000,18468000,5377000,23845000,24512000,24512000,-1180000,23332000,-627000,22705000,-89964982.8638965,-89964982.8638965,216098059.211665,216098059.211665,45805944.7496156,45805944.7496156,171939021.097384,-818037863.17158,-1457217866.87511,639180003.703534,2928384775.12131,-201630164.266537,571629241.643811,2558385697.74403,2110346911.94973,2282285933.04711,471686087.702394,471686086.914601,471686087.702394,951507448.581768,29151300.1251199,2077458651.11623,-718020352.883729,1388589598.35762,-57811113.8922755,1330778484.46534,2282285933.04711,24512000,50443000,-3065999.99999999,11261000,83150000,-79603000,-88578000,-9257000,-88860000,-38380000,45173000,10091000,10091000,-5819000,11065000,5355000,5355000,5355000,67275000,0,0.63807,0.11021,0.14867,0.0556906674461882,0.0236905344326039,0.415197277538283,0.86732863546809,0.321284243196328,0.25156,0.24332,1.6921,15.4522790127533,0.42523,0.0527118662140152,1.69038,36.8630743497272,1826.78866071391
"3","2014_Q4",28.9384375,"Up",152629000,-57383000,95246000,-77594000,-7526000,-49106000,17652000,487000,1054000,18139000,35912000,54051000,54299000,54299000,-1964000,52335000,-627000,51708000,-19723994.2879655,-19723994.2879655,105492353.070555,105492353.070555,23633648.2498719,23633648.2498719,109402007.032461,2019613378.94281,2404681377.7083,-385067998.765489,1418962258.37377,-48343388.0888456,205282747.214604,1262022899.24801,3438575637.31658,3547977644.34904,314737362.567465,314737362.304867,314737362.567465,1969904149.52726,29090433.37504,2339793217.03874,-880527450.961243,1488356199.45254,89717295.3692415,1578073494.82178,3547977644.34904,54299000,48287000,-32172000,-1273000,69141000,-28779000,-171791000,2707000,-26072000,-38432000,-46702000,37812000,37812000,-2846000,-50168000,-7099000,-7099000,-7099000,65939000,0,0.62404,0.11565,0.33878,0.0271268891487294,0.0113501781442013,0.363175759179428,1.2591162118227,0.461351414398776,0.57026,0.55167,1.68325,16.1355996709178,0.42384,0.0285806220713384,0.74325,40.4726747832424,894.396143571303
"4","2015_Q1",31.7480327868852,"Up",102067000,-36787000,65280000,-59741000,-8334000,-31472000,5539000,-581000,-1124000,4958000,-915000,4043000,4984000,23585000,2499000,26084000,-626000,25458000,8832000,8832000,48557000,48557000,14595000,14595000,71984000,3248045000,4141562000,-893517000,679094000,25636000,50685000,602773000,3927139000,3999123000,231482000,231482000,231482000,2317984000,29060000,2464275000,-960353000,1532982000,148157000,1681139000,3999123000,23585000,49128000,837000.000000007,9675000,83225000,-165449000,-185904000,-3545000,-168994000,-43427000,57508000,68500000,68500000,429000.000000001,83010000,-2759000,-2759000,-2759000,54667000,2071389000,0.63958,0.05427,0.24942,0.01514,0.00637,0.31097,1.37882,0.51796,0.27649,0.26762,1.10852,16.33366,0.47165,0.01828,1.70583,37.72947,372.36992
"5","2015_Q2",29.9309523809524,"Down",145236000,-52514000,92722000,-78552000,-11243000,-46867000,14170000,582000,582000,14752000,357000,15109000,16920000,20835000,-892000,19943000,-627000,19316000,11381000,11381000,28385000,28385000,11852000,11852000,51618000,3495861000,4551889000,-1056028000,462337000,46297000,27056000,388984000,3958198000,4009816000,203001000,203001000,203001000,2315746000,29050000,2504867000,-991157000,1542760000,151310000,1694070000,4009816000,20835000,50308000,4245000,-42282000,33106000,-47671000,-53321000,536000,-47135000,-39563000,17780000,44937000,44937000,-6576000,16578000,2549000,2549000,2549000,64478000,2112745000,0.63842,0.09757,0.133,0.0114,0.00482,0.25427,1.36697,0.52689,0.2072,0.20063,1.55796,16.23769,0.4244,0.01547,2.0482,32.5904,148.29668
"6","2015_Q3",28.2790625,"Down",148543000,-52370000,96173000,-77450000,-8665000,-47928000,18723000,358000,520000,19081000,1364000,20445000,22221000,26891000,-1110000,25781000,-626000,25155000,4939000,4939000,27027000,27027000,15703000,15703000,47669000,3513419000,4580364000,-1066945000,478554000,43601000,43979000,390974000,3991973000,4039642000,214131000,214131000,214131000,2347121000,29050000,2525227000,-995998000,1558279000,134242000,1692521000,4039642000,26891000,51240000,1962000,9096000,89189000,-79932000,-80352000,10249000,-69683000,-39963000,15171000,2741000.00000001,2741000,-3897000,-25948000,-6442000,-6442000,-6442000,69963000,2132990000,0.64744,0.12604,0.16934,0.01486,0.00623,0.22262,1.38676,0.52801,0.26744,0.25919,1.57924,16.25802,0.42487,0.01702,1.58867,30.41681,113.65972
"7","2015_Q4",30.2875,"Up",150766000,-54430000,96336000,-80437000,-8990000,-50963000,15899000,379000,379000,16278000,10294000,26572000,27352000,31617000,-1242000,30375000,-626000,29749000,5184000,5184000,27576000,27576000,19310000,19310000,52070000,3929323000,5025452000,-1096129000,481302000,43537000,20674000,417091000,4410625000,4462695000,245953000,245953000,245953000,2732108000,29050000,2579318000,-1008536000,1599832000,130755000,1730587000,4462695000,31617000,54652000,-7792000,8638000,87115000,-469001000,-485712000,21724000,-447277000,-40203000,353251000,50807000,50807000,-3448000,360407000,245000,245000,245000,70551000,2486155000,0.63898,0.10545,0.19732,0.01719,0.00667,0.21171,1.57872,0.5571,0.31412,0.30457,1.59194,16.58588,0.4245,0.01659,1.35141,35.16564,156.04573
"8","2016_Q1",31.3047540983607,"Up",160126000,-56627000,103499000,-85366000,-8744000,-56160000,18133000,488000,488000,18621000,-304000,18317000,19028000,21917000,1980000,23897000,-627000,23270000,5036000,5036000,29077000,29077000,16769000,16769000,50882000,3762223000,4769327000,-1007104000,672526000,26649000,20676000,625201000,4434749000,4485631000,233988000,233988000,233988000,2739920000,29050000,2598242000,-1025985000,1601307000,144404000,1745711000,4485631000,21917000,59757000,2213000.00000001,-4332000,79555000,-93330000,-97296999.9999999,3268000,-90061999.9999999,-44872000,20955999.9999999,32856000,32856000,1313000,10253000.0000001,-254000.000000001,-254000.000000001,-254000.000000001,77890000,2491813000,0.64636,0.11324,0.14532,0.01333,0.00519,0.21746,1.56952,0.55551,0.24334,0.23597,1.67447,16.44139,0.46923,0.01603,1.92832,31.92678,137.14096
"9","2016_Q2",34.8771875,"Up",164859000,-57580000,107279000,-84346000,-11137000,-53494000,22933000,517000,517000,23450000,3407000,26857000,28142000,446735000,-13319000,433416000,-626000,432790000,3345000,3345000,25912000,25912000,258444000,258444000,287701000,3776974000,4810101000,-1033127000,449349000,39681000,19225000,390443000,4226323000,4514024000,212106000,212106000,212106000,2313043000,29030000,2652254000,-636903000,2044381000,156600000,2200981000,4514024000,446735000,53494000,-413036000,-38958000,48235000,588210000,-73180000,-254375000,333835000,-40881000,-391535000,54915000,54915000,-6260000,-383761000,-1691000,-1691000,-1691000,76427000,2100937000,0.65073,0.13911,2.62521,0.19664,0.09588,1.3564,1.05091,0.46542,4.49078,4.35591,1.71063,20.91199,0.4242,0.11011,0.09446,27.44569,91.4661
"10","2016_Q3",38.86546875,"Up",166860000,-57515000,109345000,-82318000,-8327000,-55317000,27027000,534000,534000,27561000,5050000,32611000,33528000,33528000,-1253000,32275000.0000001,-627000,31647999.9999999,2444000,2444000,26671000,26671000,265193000,265193000,294308000,3818287000,4881297000,-1063010000,451767000,40008000,19786000,391973000,4270054000,4564362000,241979000,241979000,241979000,2324186000,28935000,2693755000,-651611000,2071079000,169097000,2240176000,4564362000,33528000,55317000,-5185000,5910000,89570000,-71564000.0000001,-85177000,-8456000,-80020000,-41391000,-19203000,55243000,55243000,-5100000,-10451000,-901000,-901000,-901000,82344000,2082207000,0.65531,0.16197,0.18967,0.01413,0.00693,1.21625,1.0375,0.45619,0.32411,0.314509999999999,1.70881,20.91354,0.42388,0.0169,1.30786,25.25701,76.95131
