"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2011_Q1",7.91935483870968,"Down",1204098.88829404,-1440794,-694399,-157047,-1785066,-48316,5497,-1833382,-1622453,-1622453,-2314216,-2004106,-2004106,6847162,6847162,1225749,353930,8131775,141269,3894498,2046836,34735,4222767,12354542,1367724,681563,686161,2408522,2408522,4276246,0,0,0,4276246,119788569,-110742867,9045702,8078296,12354542,-1248902,-636152,-1885054,294063.720603566,0,93901,93901,93901,-1791153,-2136283,-2136283,5e+05,127.768603799681,-247.809083361727,-0.24809,-0.16222,1.90162,0.52935,0.04047,-0.28147,-0.28147,0.167610666235538,1.27045,-0.23363,3.5557
"2","2011_Q2",5.78253968253968,"Down",296139,-3324016,-631561,-2261855,-3335767,64073,15247,-3271694,-2806424,-2806424,-1231430,-1437682,-1437682,1432322.58888331,319211.030550003,1441343.60748992,522254.570134247,2895700.8828584,4812510.68794491,6274401.02730278,2711063.10072886,1801375.7267395,11274568.8591283,14170269.7419867,2030026.84347103,555921.305876359,1474105.53759467,1643411.11080282,1572191.50225649,4016489.39542552,-211371.116874973,-211371.116871082,1117150.13011865,5133639.52554418,118566400.20505,-108445713.568677,9329956.91193749,9036630.21644253,14170269.7419867,-2950372,2071070,-879302,68430.573534522,-2207692.82020239,43279,43279,43279,-836022.999999999,-1380358,-1380358,0,-11.26419,-4.85475,-0.0800022931201818,-0.0414387480077333,0.552814779471103,0.481295171947334,0.0908518747822179,-0.20025,-0.17983,0.04125,0.851162596221256,-0.0691272537982043,2.40830994779036
"3","2011_Q3",4.9046875,"Down",5.82076609134674e-11,-1386017,-807147,-140656,-1811618,-39790,35036,-1851408,-1087336,-1087336,2699383,2905237,2905237,2080170.18888332,664131.730550002,1467428.10748992,411217.770134247,3551973.7828584,3397400.48794491,6658688.42730278,2412699.20072886,2511675.1267395,10243746.0591283,13795719.8419867,1690485.34347103,497045.505876359,1193439.83759467,1170959.51080282,1119948.30225649,3012585.29542552,-164810.116874973,-164810.116871082,1037691.13011865,4050276.42554418,119126478.90505,-108887278.068677,9777970.91193749,9745443.41644253,13795719.8419867,-1399017,-2747696,-4146713,-5880,-1116582,1719157,1719157,1719157,-3544138,-677205,-677205,0,-100.511895779809,87.1105425170364,-0.0845062931201818,-0.0585937480077332,1.5293647794711,0.361909171947334,0.0773698747822179,0.40467,0.3634,0,1.04085359622126,-0.0760722537982043,2.41285194779036
"4","2011_Q4",4.93238095238095,"Up",0,-1415942,-637145,-365619,-1770165,-49835,20532,-1820000,-1944672,-1944672,-2013414,-1819917,-1819917,5494016,4316308,1554540,204642,7048556,29921,6024357,1791662,2516134,6241278,13289834,1201253,501278,699974.999999999,958451,958451,2159704,-1.74622982740402e-10,-1.74622982740402e-10,560878,2720582,121721004,-111095229,10625775,10569252,13289834,-1430882,463848,-967034,-3793.99999999999,536817,13884.9999999991,13884.9999999991,13884.9999999995,-416332,-473291,-473291,560878,-149.878897039745,72.0051506893819,-0.17219,-0.13694,3.26367,0.25741,0.0422,-0.25338,-0.24006,0,1.47937,-0.16351,2.78682
"5","2012_Q1",5.38903225806452,"Up",-3.63797880709171e-12,-2592064,-1719527,-509630,-2912716,198902,265715,-2713814,-2946576,-2946576,-2946938,-2776523,-2776523,8141974,7507389,1719200,110818,9861174,25437,5814952,1731211,2433993,6027389,15888563,1636969,576809,1060160,944980,944980,2581949,135660,135660,742446,3324395,127562858,-113871752,12791106,12564168,15888563,-2150598,487654,-1662944,0,404380,4450000,4450000,4450000,3191436,3191081,3191081,606786,-169.269577279809,-6.25256898296357,-0.22099,-0.17475,3.81928,0.26459,0.03819,-0.38653,-0.3582,0,1.78068,-0.20866,2.587
"6","2012_Q2",4.80460317460317,"Down",23958,-2742304,-1266908,-769074,-4039039,-98652.0000000001,7875.00000000006,-4137691,-2686579,-2686579,-2686799,-2485505,-2485505,6844954,6773126,2328954,301334,9173908,6927240,6774196,2749593,2481383,13888436,23062344,3738544,714057,3024487,1111925,1010883,5060024,106345,106345,2253410,7313434,136423898,-116357257,16169142,15748910,23062344,-2199396,-505960,-2705356,-69424,539620,1471833,1471833,1431893,-733843,-734263,-734263,2356620,-168.58832,-103.74426,-0.15782,-0.10777,1.81302,0.46438,0.10218,-0.24558,-0.24558,0.00237,1.59757,-0.13648,1.11124
"7","2012_Q3",3.1084126984127,"Down",31250,-2882944,-930916,-1358691,-4868758,-59246,5015,-4928004,-5583632,-5583632,-5584114,-5335232,-5335232,3673792,3595112,5121109,456603,8817561,6745214,4331201,2675478,176764,11263415,20080976,4344379,801104,3543275,1819540,1749748,6375521,0,0,2138769,8514290,136593289,-121692489,12235800,11566686,20080976,-4691851,534765,-4157086,-201288,-201288,1232500,1232500,1180842,-3177532,-3178014,-3178014,2350371,-155.80026,-170.72742,-0.46126,-0.26569,1.38303,0.7361,0.11704,-0.50045,-0.50045,0.00293,1.14773,-0.38336,0.27182
"8","2012_Q4",2.29467741935484,"Down",47917,-5195939,-3137367,-1219237,-6802936,-1475912,14436,-8278848,-8239738,-8239738,-8239061,-7991510,-7991510,2391606,2282641,3511428,432379,5903034,5365789,5032204,4685063,347141,10584993,16488027,3068185,994372,2073813,2534035,2462160,5815416,93731,93731,2224008,8039424,140049267,-129683999,9365268,8448603,16488027,-7855273,3965425,-3889848,-97050,-76052,2705059,2705059,2652752,-1313148,-1312471,-1312471,2343473,-141.97333,-166.77818,-0.9459,-0.48469,1.01507,0.95157,0.14213,-0.71129,-0.71129,0.00426,0.83357,-0.73412,0.00707999999999998
"9","2013_Q1",2.0975,"Down",43750,-3999978,-1104132,-2044461,-5378478,-213153,8640,-5591631,-5600694,-5600694,-5600749,-5313681,-5313681,3483788,3377288,3074173,618130,6567336,4895652,5064830,4784569,280261,9960482,16527818,2735980,877986,1857994,2277107,2239607,5327888,269142,269142,2391021,7718909,146026322,-134997680,10012642,8808909,16527818,-2625299,-1962501,-4587800,178364,178364,5556839,5556839,5504138,1094702,1094647,1094647,2436680,-122.93664,-121.45557,-0.60322,-0.3215,1.23263,0.87626,0.14743,-0.42503,-0.42503,0.0035,0.80089,-0.46147,0.19468
"10","2013_Q2",2.044375,"Down",159016,-3339614,-917676,-1576666,-4810021,-33456,30101.0000000001,-4843477,-4780709,-4780709,-4780727,-4614159,-4614159,2987040,2931032,2961677,460922,6063983,4426683,4740465,4710454,30011,9167148,15231131,2719926,809524,1910402,2206304,2096929,6077978,270931,270931,1548674,7626652,150086619,-139611839,8974780,7604479,15231131,-4383673,546087.000000001,-3837586,111979,111979,3332467,3332467,3279369,-446238,-446256,-446256,2429491,-30.24866,-29.01695,-0.60677,-0.30294,0.9977,1.00292,0.15951,-0.32693,-0.32693,0.01127,0.63589,-0.44776,0.11591
