"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",1.54265625,"Down",38474000,-21856000,16618000,-19843000,-19144000,-699000,-3225000,338000,-5000,343000,-2887000,-2887000,489000,-2398000,-1908000,-1908000,-4306000,-4306000,-4306000,-9241111.82520486,-9241141.78152062,28702412.1509056,28702412.1509056,14038318.615004,14331260.6605144,8669359.5493638,47830879.6012191,701359.188343664,23222707.5436189,19291037.8600291,1018464.30257647,23924070.3234473,71754949.9246664,34238359.881738,25240179.6383002,8998180.24343776,33253.7556926985,33253.7556926985,34271613.6329652,5277446.31399605,3806602.46318065,10410100.6578563,44681714.2908215,5391245.62254324,15371192.7559418,6310797.25535986,27073235.6338449,27073235.6338449,71754949.9246664,-4306000,1661000,182000,1614000,-849000,-73000,6885000,0,-82000,4918000,10954000,10954000,-956000,9998000,-1564000,0,-512000,0.43193,-0.08382,-0.11192,0.391023418926227,0.177031437158741,0.1189,1.40452742129753,1.64903869271004,0.0715383366290808,-0.14006,-0.14006,1.25143,0.880666455718297,-0.01665,0.266769049914086,-0.387840881046043,-151.605064736305,16.6994045150614
"2","2011_Q1",2.60322580645161,"Up",53690000,-29996000,23694000,-21340000,-20725000,-615000,2354000,49000,-131000,180000,2403000,2403000,-458000,1945000,-1984000,-1984000,-39000,-39000,-39000,14296000,14296000,19633000,19633000,10347000,7027000,5331000,51303000,3795000,23269000,18774000,1272000,27064000,78367000,31580000,24535000,7045000,3539000,3539000,35119000,6912000,4744000,12449000,47568000,5051000,18295000,7453000,30799000,30799000,78367000,-39000,1456000,-3262000,541000,-1304000,-33000,446000,-2.27373675443232e-13,29000,29000,-829000,-829000,640000,-189000,3810000,5537000,4776000,0.44131,0.04384,-0.000729999999999995,-0.00127,-5e-04,-122.46154,1.46083,1.54447,0.07065,-0.00126999999999999,-0.00126999999999999,1.74636,1.00179,0.15535,-9e-04,0.11043,-2.29895,-3.7209
"3","2011_Q2",2.53666666666667,"Down",48301000,-26214000,22087000,-20310000,-19557000,-753000,1777000,-89000,-118000,29000,1688000,1688000,-567000,1121000,485000,485000,1606000,1606000,1606000,19380953.941735,19380963.9271735,12123612.6163648,12123612.6163648,10537893.7949987,4827079.77982854,3875713.4835454,46869540.132927,4851046.93721878,22630430.8187937,18257987.3799903,1178845.23247451,27481476.5588509,74351016.6917779,26432630.0394207,20217940.1205666,6214689.91885408,4056415.4147691,4056415.4147691,30489045.4556783,7444851.22866798,4970632.51227312,13242549.7807146,43731595.2363928,4999168.12581892,18022935.7480194,7597317.58154671,30619421.455385,30619421.455385,74351016.6917779,1606000,1080000,60000,-3000,2743000,-403000,90000,0,-36000,-36000,2797000,2797000,-527000,2270000,2857000,0,3018000,0.45728,0.03679,0.03325,-0.139891139642076,-0.0619379790529137,1.8792,1.54828502623416,1.41967210242999,0.0786297211236398,0.05224,0.05221,1.57107,0.995873681427234,0.09817,-0.0959780166380286,0.129998627015348,32.0968040787683,-4.35387400502047
"4","2011_Q3",1.74890625,"Down",34724000,-20181000,14543000,-17220000,-16496000,-724000,-2677000,-52000,-105000,53000,-2729000,-2729000,533000,-2196000,-1072000,-1072000,-3268000,-3268000,-3268000,15052000,15052000,7878000,7878000,12518000,5448000,3645000,40896000,4711000,21663000,17743000,920000,26374000,67270000,22202000,16041000,6161000,2950000,2950000,25152000,7372000,4830000,13145000,38297000,5118000,16633000,7222000,28973000,28973000,67270000,-3268000,1001000,-241000,1304000,-1204000,-1481000,-617000,4000,0,4000,-1817000,-1817000,303000,-1514000,-1676000,5773000,-2386000,0.41882,-0.07709,-0.09411,-0.11279,-0.04858,0.730109999999999,1.62595,1.32182,0.08582,-0.10629,-0.10635,1.12938,0.94233,-0.0776,-0.0775900000000001,-0.0566499999999999,5.53640000000001,3.46619
"5","2011_Q4",1.71412698412698,"Down",37402000,-21605000,15797000,-16510000,-15651000,-859000,-713000,-176000,-111000,-65000,-889000,-889000,1170000,281000,-373000,-373000,-92000,-92000,-92000,11518000,11518000,11520000,11520000,13492000,6329000,4059000,42859000,4290000,20781000,17229000,715000,25071000,67930000,24419000,17799000,6620000,1764000,1764000,26183000,7216000,4720000,13104000,39287000,5276000,16542000,6825000,28643000,28643000,67930000,-92000,955000,-176000,-3777000,-3090000,-214000,-178000,0,0,0,-3268000,-3268000,-266000,-3534000,242000,5888000,-4919000,0.42236,-0.01906,-0.00246,-0.00321,-0.00135,53.46739,1.6369,1.37161,0.08668,-0.00299,-0.00299,1.2164,0.93154,-0.15998,-0.0022,-0.11783,-23.26446,7.89621
"6","2012_Q1",2.46322580645161,"Up",59985000,-33953000,26032000,-20820000,-19933000,-887000,5212000,-95000,-67000,-28000,5117000,5117000,-1822000,3295000,-121000,-121000,3174000,3174000,3174000,17427000,17427000,23780000,23780000,11601000,5279000,4433000,58087000,4405000,20321000,16716000,732000,24726000,82813000,35781000,28563000,7218000,1803000,1803000,37584000,7464000,4966000,13276000,50860000,5360000,19715000,6878000,31953000,31953000,82813000,3174000,779000,591000,1605000,6149000,-408000,-147000,-999.999999999996,1000,0,6002000,6002000,-93000,5909000,5991000,5812000,9010000,0.43398,0.08689,0.05291,0.09933,0.03833,2.83869,1.54552,1.59171,0.07018,0.10323,0.10283,1.95099,1.03926,0.29305,0.07018,0.19921,-1.93874,-2.22851
"7","2012_Q2",2.84095238095238,"Up",51262000,-27357000,23905000,-21076000,-20076000,-1e+06,2829000,82000,84000,-2000,2911000,2911000,-264000,2647000,-125000,-125000,2522000,2522000,2522000,20397000,20397000,11901000,11901000,13450000,4537000,3460000,50285000,4724000,19749000,16204000,606000,24473000,74758000,30205000,23461000,6744000,1658000,1658000,31863000,7881000,5021000,8095000,39958000,5506000,22237000,7057000,34800000,34800000,74758000,2522000,777000,532000,4322000,8153000,-489000,-380000,89000,6026.83376485542,-4911000,2862000,2862000,108000,2970000,3606000,214000,7703000,0.46633,0.05519,0.0492,0.07247,0.03374,3.05432,1.57816,1.14822,0.00286,0.08202,0.08178,1.66717,1.13178,0.25052,0.05879,0.17958,-5.59706,-7.13432
"8","2012_Q3",2.79079365079365,"Down",39583000,-22415000,17168000,-17767000,-16848000,-919000,-599000,-80000,3999.99999999997,-84000,-679000,-679000,193000,-486000,322000,322000,-164000,-164000,-164000,16131000,16131000,10627000,10627000,12591000,4002000,3057000,43351000,5460000,19189000,15691000,639000,24649000,6.8e+07,23415000,16926000,6489000,1939000,1939000,25354000,7816000,4967000,8030000,33384000,5742000,22071000,6803000,34616000,34616000,6.8e+07,-164000,751000,-39000,-4157000,-3609000,-621000,-513000,1.45519152283669e-11,8439.92400192203,-9.31322574615479e-10,-4122000,-4122000,-144000,-4266000,152000,214000,-4819000,0.43372,-0.01513,-0.00414,-0.00473999999999999,-0.00241,29.38415,1.70983,0.96441,0.00315000000000001,-0.00529,-0.00527,1.27654,1.11636,-0.15541,-0.00385,-0.113,-104.71711,26.57262
"9","2012_Q4",3.16725806451613,"Up",38052000,-19511000,18541000,-17843000,-16805000,-1038000,698000,-107000,-6000,-101000,591000,591000,625000,1216000,-265000,-265000,951000,951000,951000,15209000,15209000,11735000,11735000,16900000,5313000,4482000,49157000,5811000,18868000,15178000,711000,24679000,73836000,28227000,21117000,7110000,1848000,1848000,30075000,7766000,4948000,7980000,38055000,5901000,23023000,6857000,35781000,35781000,73836000,951000,878000,205000,-2311000,-277000,-632000,-539000,0,6883.05223802761,0,-816000,-816000,-106000,-922000,1576000,214000,-1992000,0.48725,0.01834,0.02499,0.02658,0.01288,-2.09464,1.63448,1.06355,0.0029,0.03076,0.03062,1.23066,1.15721,-0.06442,0.02173,-0.04552,-9.51459,-21.48281
"10","2013_Q1",5.76283333333333,"Up",65029000,-33606000,31423000,-23763000,-22557000,-1206000,7660000,-67000,-8000,-59000,7593000,7593000,-328000,7265000,6309000,6309000,13574000,13574000,13574000,23207000,23207000,21767000,21767000,18787000,6126000,5750000,69887000,6138000,18286000,14666000,441000,24424000,94311000,40924000,32753000,8171000,2278000,2278000,43202000,7569000,4810000,7783000,50985000,6103000,36598000,625000,43326000,43326000,94311000,13574000,863000,-5734000,-157000,8546000,-694000,-594000,24000,-3.63797880709171e-12,23999.9999999998,7976000,7976000,22000,7998000,8523000,214000,8e+06,0.48322,0.11779,0.20874,0.3133,0.14393,0.589360000000005,1.61768,1.17678,0.00227,0.44175,0.43977,2.11628,1.40998,0.26035,0.26559,0.15653,-2.69776,-3.00170000000001
