"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",38.5859677419355,"Up",200511000,-133578000,66933000,-42144000,-26392000,-15752000,24789000,218000,-20000,238000,25007000,25007000,-8550000,16457000,16457000,16457000,16457000,90146000,74665000,69875000,69875000,50630000,9880000,6067000,220531000,110092000,414403000,-304311000,26300000,127071000,70070000,1717000,263463000,483994000,70837000,52338000,1986000,16513000,244000,244000,71081000,31719000,30401000,1318000,32338000,103419000,380575000,38453000,342122000,380575000,380575000,483994000,16457000,6351000,4947000,-6976000,20779000,-12056000,13406000,1338000,-1987000,252000,2126000,-1806000,20311000,20311000,61000,20372000,31140000,619000,20658000,0.33381,0.12363,0.08208,0.04324,0.034,1.25527,3.10253,0.27174,0.00128,0.8865,0.88019,10.80107,20.5007,1.1128,0.10704,0.04467,0.05003,0.12074,-2.87498,-3.61156
"2","2011_Q2",41.9584126984127,"Up",155632000,-109531000,46101000,-35128000,-22310000,-12818000,10973000,2e+05,-36000,236000,11173000,11173000,-4079000,7094000,7094000,7094000,7094000,81466964.492309,70933366.6881154,73189464.7627577,73189464.7627577,66743442.566855,3883219.53803912,463811.797689805,225283091.359961,115538686.612305,425289621.817876,-309750935.205571,25027230.3348934,127367387.386873,70163168.5053762,1944818.11475392,267933304.334071,493216395.694031,84034508.2522477,61794174.3828182,2265006.25462467,19976591.2679455,214838.485691662,214838.485691662,84249346.7379394,24788592.2764635,23366920.7434554,1421671.5330081,25107411.3291398,109356758.067079,383859637.626952,37912698.9315044,345946938.695448,383859637.626952,383859637.626952,493216395.694031,7094000,6246000,1309000,681000,15330000,-5059000,5015000,-44000,-1986000,1415000,1415000,-631000,14655000,14655000,23000,14678000,17219000,0,16920000,0.29622,0.07051,0.04558,0.0612795092541198,0.0472064837991237,2.38511,2.67566010546626,0.284857184757914,0.000689151662531367,0.38185,0.37932,8.37722,20.6836684606709,0.91075,0.1069,0.0622052939415593,0.0545898461884891,0.27995,-4.70106181579069,-8.20450714204428
"3","2011_Q3",42.2953125,"Up",162731000,-113709000,49022000,-35068000,-22167000,-12901000,13954000,171000,-36000,207000,14125000,14125000,-5466000,8659000,8659000,8659000,8659000,90367464.492309,73455166.6881154,78552564.7627577,78552564.7627577,69997942.566855,3813419.53803912,281911.797689807,242731391.359961,119428286.612305,433548921.817876,-314120635.205571,25537230.3348934,126670287.386873,70163168.5053762,2105018.11475392,271635804.334071,514367195.694031,87526808.2522477,64192974.3828182,2281206.25462467,21053891.2679455,223838.485691662,223838.485691662,87750646.7379394,27909792.2764635,26573020.7434554,1336771.53300811,28214811.3291398,115965458.067079,398401737.626952,39458098.9315044,358943638.695448,398401737.626952,398401737.626952,514367195.694031,8659000,6116000,1431000,-2588000,13618000,-5397000,217000,-5180000,-2178000,685000,685000,-1553000,6885000,6885000,208000,7093000,20070000,0,17551000,0.30125,0.08575,0.05321,0.0642845092541198,0.0495044837991237,2.02691,2.75064410546626,0.290944184757914,0.000616151662531367,0.46459,0.46142,8.73114,21.3992294606709,0.94168,0.11686,0.0647352939415594,0.0643188461884892,0.25153,-4.27246581579069,-6.98990314204428
"4","2011_Q4",43.4146031746032,"Up",206328000,-138787000,67541000,-40480000,-24817000,-15663000,27061000,217000,-34000,251000,27278000,33858000,-10532000,23326000,23326000,23326000,23326000,105171000,79643000,81846000,81846000,66561000,6572000,2696000.00000001,260150000,122375000,440425000,-318050000,29998000,125423000,70070000,2213000,277796000,537946000,84257000,61872000,2193000,20192000,252000,252000,84509000,35700000,34538000,1162000,36129000,120638000,417308000,42150000,375158000,417308000,417308000,537946000,23326000,6287000,-4673000,-2608000,22332000,-9310000,-18978000,-37678000,-2183000,769000,769000,-1476000,-16822000,-16822000,29000,-16793000,33348000,429000,31962000,0.32735,0.13116,0.11305,0.0559,0.04336,1.37023,3.07837,0.28909,8e-04,1.24731,1.23877,11.03299,22.31474,1.70911,0.11673,0.05626,0.07049,0.09359,-3.14088,-3.87059
"5","2012_Q1",44.1785483870968,"Up",219380000,-152270000,67110000,-42515000,-25911000,-16604000,24595000,315000,-32000,347000,24910000,24910000,-8926000,15984000,15984000,15984000,15984000,112985000,87479000,7.5e+07,7.5e+07,63461000,8404000,4196000,259850000,124650000,446856000,-322206000,4.2e+07,124316000,70070000,2241000,290966000,550816000,75570000,55918000,2200000,17452000,278000,278000,75848000,42057000,41050000,1007000,42580000,118428000,432388000,45017000,387371000,432388000,432388000,550816000,15984000,6397000,7619000,-824000,29176000,-8964000,-11979000,-21003000,-2193000,2508000,2508000,253000,8426000,8426000,-590000,7836000,30992000,523000,30130000,0.30591,0.11211,0.07286,0.03697,0.02902,1.88501,3.42593,0.27389,0.00095,0.85153,0.8476,11.68718,23.03489,1.60514,0.11683,0.03827,0.06344,0.1372,-3.62874,-4.57256
"6","2012_Q2",47.0912698412698,"Up",172686000,-126280000,46406000,-37943000,-23725000,-14218000,8463000,316000,-39000,355000,8779000,8779000,-3294000,5485000,5485000,5485000,5485000,102741000,94091000,55872000,55872000,66435000,6539000,2299000,231587000,127039000,454239000,-327200000,6.3e+07,123669000,70070000,2226000,313708000,545295000,65208000,49294000,2440000,13474000,284000,284000,65492000,41958000,40993000,965000,42406000,107898000,437397000,47136000,390261000,437397000,437397000,545295000,5485000,6357000,811000,7404000,20057000,-8767000,-4144000,-12911000,-2200000,1825000,1825000,-444000,6702000,6702000,-90000,6612000,14820000,448000,16751000,0.26873,0.04901,0.03176,0.01254,0.01006,3.05397,3.53611,0.24668,0.00082,0.29166,0.29061,9.18249,23.25837,0.89073,0.11698,0.01602,0.03491,0.40109,-6.90236,-12.08708
"7","2012_Q3",49.6450793650794,"Up",189554000,-135567000,53987000,-37714000,-23623000,-14091000,16273000,376000,-4000,380000,16649000,16649000,-6226000,10423000,10423000,10423000,10423000,94122000,91668000,73165000,73165000,68610000,7556000,3924000,243453000,132959000,465106000,-332147000,67479000,123097000,70070000,2768000,323535000,566988000,76411000,59527000,2452000,14432000,287000,287000,76698000,42009000,41064000,945000,42384000,119082000,447906000,48743000,399163000,447906000,447906000,566988000,10423000,6355000,1151000,-8854000,9075000,-11900000,1717000,-10183000,-2440000,646000,646000,-1864000,-2972000,-2972000,549000,-2423000,22628000,375000,8100000,0.28481,0.08585,0.05499,0.02327,0.01838,0.77713,3.17418,0.26586,0.00066,0.55271,0.55061,10.05165,23.75151,0.42953,0.12939,0.02624,0.01652,0.2341,-4.14296,-5.76089
"8","2012_Q4",51.9709677419355,"Up",226335000,-153828000,72507000,-42616000,-26765000,-15851000,29891000,408000,11000,397000,30299000,30299000,-11627000,18672000,18672000,18672000,18672000,124935000,109481000,84016000,84016000,72783000,6890000,3226000,288624000,135615000,471284000,-335669000,39479000,129741000,76899000,3256000,304835000,593459000,87228000,65455000,2457000,19316000,291000,291000,87519000,41952000,41024000,928000,42253000,129772000,463687000,49189000,414498000,463687000,463687000,593459000,18672000,6620000,1445000,-4340000,22397000,-8765000,1.5e+07,-1665000,-2452000,97000.0000000002,97000,-2426000,18306000,18306000,-493000,17813000,36511000,301000,35033000,0.32035,0.13207,0.0825,0.04027,0.03146,1.87623,3.29784,0.27987,0.00051,0.98867,0.98549,11.98427,24.55189,1.85497,0.12983,0.04175,0.06924,0.13132,-3.4136,-4.16962
"9","2013_Q1",59.975,"Up",242221000,-164936000,77285000,-46945000,-28397000,-18548000,30340000,219000,-41000,260000,30559000,30559000,-11021000,19538000,19538000,19538000,19538000,155412000,154198000,76414000,76414000,69761000,6481000,2220000,308068000,141544000,483873000,-342329000,24998000,128434000,76899000,3071000,294976000,603044000,81165000,52755000,2446000,25002000,340000,340000,81505000,45705000,44874000,831000,46052000,127557000,475487000,43011000,432476000,475487000,475487000,603044000,19538000,6843000,4613000,5952000,36946000,-12330000,28721000,16391000,-2457000,-6507000,1660000,-9066000,44271000,44271000,446000,44717000,37183000,347000,41826000,0.31907,0.12526,0.08066,0.04109,0.0324,2.14075,3.77974,0.26827,0.00058,1.03562,1.03283,12.83902,25.20338,2.217,0.13023,0.04217,0.0802,0.12575,-4.17032,-5.11091
"10","2013_Q2",66.10828125,"Up",191408000,-137273000,54135000,-39074000,-23735000,-15339000,15061000,751000,-25000,776000,15812000,15812000,-5586000,10226000,10226000,10226000,10226000,81192000,80216000,66640000,66640000,76855000,7021000,2702000,231708000,141950000,489684000,-347734000,105027000,127553000,76899000,3309000,374530000,606238000,77719000,49528000,2668294.6828854,22531000,318000,318000,78037000,45730000,44954000,776000,46011000,124048000,482190000,42596000,439594000,482190000,482190000,606238000,10226000,6790000,1682000,-1473000,17225000,-7220000,-79762000,-86982000,-3004000,-1063000,1700000,-4155000,-73912000,-73912000,-70000,-73982000,21851000,281000,18744000,0.28283,0.07869,0.05343,0.02121,0.01687,1.83297,2.96921,0.25726,0.00046,0.54373,0.54192,10.17749,25.63886,0.99665,0.15973,0.02505,0.03549,0.29376,-3.70285,-5.37222
