"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","accrued_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",10.7060317460317,"Down",108743000,-64798000,43945000,-55964000,-55964000,-43163000,-12801000,-12019000,2507000,-328000,2835000,-9512000,-9512000,-361000,-9873000,-9873000,-9873000,-9873000,290791423.291103,32090326.1326302,62658121.53358,-118893093.108303,52728595.0693506,43125555.7539979,287285046.785731,98221380.6036671,59950308.2858325,-96185838.5064542,155169940.253199,158171688.8895,445456735.67523,374536535.072223,246697181.209144,127839353.86308,-237788138.26781,-238445915.247741,-74911988.3572038,213835226.146335,1216910.67419853,245232772.321475,-34177880.2490893,214333151.45885,139421163.101647,2.71459516661753e-09,-85737220.3531362,206251433.701333,185521359.225387,306035572.573584,306035572.573584,445456735.67523,-9873000,7461000,8408000,7303000,13299000,-5531000,-5531000,-6085000,-7918000,-150000,-150000,-150000,-4558000,0,-2425000,0.40412,-0.11053,-0.09079,-1.02564144834556,-0.499119448836276,0.24562,5.58652145772278,-0.509503201197568,-0.844259219445798,-0.66412,-0.66412,7.31473,24.2640877316242,-0.16312,-0.627065284430148,2.75843775327164,-206.001426117651,26.0941947796102
"2","2011_Q3",6.7334375,"Down",119227000,-74211000,45016000,-55559000,-55559000,-43624000,-11935000,-10543000,1720000,-443000,2163000,-8823000,-8823000,-89000,-8912000,-8912000,-8912000,-8912000,150430211.645552,18525163.0663151,50104060.76679,-9719546.55415148,25908297.5346753,20389277.8769989,216723023.392865,113116190.301834,39460654.1429162,-40581919.2532271,79056970.1265993,152576844.44475,369299867.837615,197785267.536112,131617590.604572,66167676.9315398,-105950569.133905,-106529457.623871,21981505.8213981,131001113.073167,2654955.33709927,136088886.160738,-9431940.12454468,131250075.729425,153231581.550823,1.35729758330877e-09,-6878610.1765681,166947716.850667,55999179.6126935,216068286.286792,216068286.286792,369299867.837615,-8912000,7955000,11139000,-2209000,7973000,-4375000,-4375000,-2124000,-3978000,-380000,-380000,-380000,-2588000,0,-9083000,0.37757,-0.08843,-0.07475,-0.613005724172782,-0.293014724418138,1.01919,3.37754572886139,0.411188399401216,-0.294854609722899,-0.5915,-0.5915,7.9133,16.0404088658121,-0.60285,-0.369357642215074,1.05717387663582,-91.9256980588253,13.8070623898051
"3","2011_Q4",6.44777777777778,"Down",116732000,-74871000,41861000,-56324000,-56324000,-43311000,-13013000,-14463000,1323000,-497000,1820000,-13140000,-13140000,-56000,-13196000,-13196000,-13196000,-13196000,68694070.5485172,10297054.3554384,44534686.9222633,52400484.4819495,10519099.1782251,7861759.29233298,176148341.130955,117148730.100611,27035218.0476387,-7182639.7510757,33217323.3755331,144183948.14825,320332289.279205,100137089.178704,68507863.5348573,31629225.6438466,-29832856.3779683,-30343152.5412903,76288501.940466,82198037.6910558,3386651.77903309,74011962.0535792,3008353.29181844,82281025.2431417,158569527.183608,4.52432527769589e-10,35900129.941144,142635238.950222,-16772606.7957688,161762762.095597,161762762.095597,320332289.279205,-13196000,8211000,7348000,4211000,6574000,-4214000,-4214000,-1324000,-2294000,66000,66000,66000,-6252000,0,-6199000,0.35861,-0.1239,-0.11305,-0.327511908057594,-0.153381574806046,0.46976,2.12937857628713,0.936559466467072,0.00228179675903369,-0.87584,-0.87584,7.7477,11.2210729552707,-0.41144,-0.194475880738358,0.186004625545273,-27.8305593529418,5.2595507966017
"4","2012_Q1",10.5267741935484,"Up",119243000,-92578000,26665000,-52202000,-52202000,-40572000,-11630000,-25537000,-612000,-519000,-93000,-26149000,-33954000,13902000,-20052000,-20052000,-20052000,-20052000,30495000,6081000,43501000,79449000,3655000,2747000,157100000,114340000,20610000,9329000,10273000,134950000,292050000,59380000,42422000,16958000,5003000,4527000,99044000,59591000,3639000,47044000,7066000,59591000,158635000,0,52656000,129118000,-48359000,133415000,133415000,292050000,-20052000,8131000,6172000,11840000,6091000,-3275000,-3275000,-420000,-420000,2396000,2396000,2396000,-17406000,34661000,-22743000,0.22362,-0.21416,-0.16816,-0.1503,-0.06866,1.1342,1.58616,1.18903,0.11868,-1.33089,-1.33089,7.91436,8.85498,-1.50949,-0.08808,-0.0999,-0.23934,-0.16314
"5","2012_Q2",8.04031746031746,"Down",121197000,-81512000,39685000,-44315000,-44315000,-35681000,-8634000,-4630000,-2608000,-560000,-2048000,-7238000,-7238000,-346000,-7584000,-7584000,-7584000,-7584000,20745000,4552000,44554000,83408000,2410000,2249000,151117000,108711000,18121000,14270000,2846000,126832000,277949000,53302000,38414000,14888000,12995000,12495000,101283000,55345000,3639000,43227000,6664000,55345000,156628000,0,53446000,122200000,-54325000,121321000,121321000,277949000,-7584000,7923000,10158000,-10530000,-33000,-2712000,-2712000,1216000,1216000,-1529000,-1529000,-1529000,3293000,34986000,-9603000,0.32744,-0.0382,-0.06258,-0.06251,-0.02729,1.26622,1.49203,1.29102,0.12587,-0.49953,-0.49953,7.98286,7.99103,-0.63252,-0.03583,-0.04537,4.32463,-3.07581
"6","2012_Q3",8.61126984126984,"Up",131770000,-87229000,44541000,-45842000,-45842000,-36771000,-9071000,-1301000,-2749000,-485000,-2264000,-4050000,-4050000,-59999.9999999963,-4110000,-4110000,-4110000,-4110000,23002000,4121000,44765000,78185000,3366000,3196000,149318000,104798000,17710000,13902000,2803000,122508000,271826000,57061000,39818000,17243000,10683000,10183000,95389000,58540000,3624000,46847000,6254000,58540000,153929000,0,49333000,118089000,-49525000,117897000,117897000,271826000,-4110000,7898000,-2614000,8558000,9732000,-1869000,-1869000,-8294000,-8294000,-431000,-431000,-431000,6597000,27645000,13346000,0.33802,-0.00987,-0.03119,-0.03486,-0.01512,-3.2472,1.56536,1.30562,0.1017,-0.26955,-0.26955,8.64187,7.73204,0.87527,-0.02014,0.0654,0.7038,-3.56879
"7","2012_Q4",11.0062903225806,"Up",121527000,-78380000,43147000,-47254000,-47254000,-37909000,-9345000,-4107000,-1971000,-435000,-1536000,-6078000,-6078000,577000,-5501000,-5501000,-5501000,-5501000,22178000,3463000,41685000,75762000,3617000,2792000,143242000,106622000,17313000,13542000,2766000,123935000,267177000,48445000,31688000,16757000,12505000,12005000,92397000,61341000,3821000,45946000,9759000,61341000,153738000,0,50374000,112589000,-49524000,113439000,113439000,267177000,-5501000,8010000,852000,-2048000,1313000,-3840000,-3840000,1869000,1869000,-658000,-658000,-658000,3903000,31447000,-2562000,0.35504,-0.03379,-0.04527,-0.04849,-0.02059,0.46573,1.55029,1.35525,0.1177,-0.34561,-0.34561,7.63504,7.12691,-0.16096,-0.02667,-0.01242,2.37484,-2.25688
"8","2013_Q1",13.6193333333333,"Up",124207000,-85188000,39019000,-40942000,-40942000,-38848000,-2094000,-1923000,-2317000,-443000,-1874000,-4240000,-9557000,176000,-9381000,-9381000,-9381000,-9381000,23642000,3906000,40736000,65981000,5819000,3445000,136178000,108137000,13601000,7615000,5125000,121738000,257916000,46396000,27266000,19130000,6741000,5296000,86737000,87627000,4131000,70717000,12130000,87627000,174364000,0,51143000,102542000,-70133000,83552000,83552000,257916000,-9381000,8282000,3278000,4942000,7121000,-6040000,-6040000,-638000.000000002,-638000,443000,443000,443000,6359000,33600000,5085000,0.31414,-0.01548,-0.07553,-0.11228,-0.03637,-0.54205,1.57001,2.08689,0.13027,-0.60049,-0.60049,7.95064,5.34827,0.3255,-0.04581,0.02483,1.56597,-5.17837
"9","2013_Q2",14.9559375,"Up",119153000,-74532000,44621000,-46040000,-46040000,-37271000,-8769000,-1419000,4839000,-365000,5204000,3420000,3420000,-441000,2979000,2979000,2979000,2979000,23136000,2545000,43139000,69924000,3479000,3091000,139678000,103315000,11264000,7272000,3138000,114579000,254257000,48905000,29201000,19704000,11628000,10148000,89212000,92615000,4131000,76509000,11368000,92615000,181827000,1.65436122510606e-24,51967000,103329000,-82866000,72430000,72430000,254257000,2979000,8340000,-2579000,-5088000,3652000,214000,214000,-5227000,-5227000,-1361000,-1361000,-1361000,6921000,28679000,2488000,0.37448,-0.01191,0.025,0.04113,0.01172,0.83518,1.56569,2.51038,0.1128,0.19231,0.19231,7.69207,4.67581,0.16062,0.01538,0.01284,0.8009,-3.90627
"10","2013_Q3",14.599375,"Down",135705000,-85352000,50353000,-49806000,-49806000,-40765000,-9041000,547000,-7736000,-364000,-7372000,-7189000,-7189000,32000,-7157000,-7157000,-7157000,-7157000,25788000,5218000,43752000,68385000,3218000,2740000,141143000,98159000,10835000,6929000,3052000,108994000,250137000,49966000,31594000,18372000,13170000,11691000,81737000,92182000,4022000,76936000,10617000,102182000,183919000,0,48248000,96035000,-78065000,66218000,66218000,250137000,-7157000,8300000,4600000,710000.000000002,6453000,-2699000,-2699000,-1081000,-1081000,2673000,2673000,2673000,8847000,28601000,6826000,0.37105,0.00403,-0.05274,-0.10808,-0.02861,-0.95375,1.72679,2.77748,0.11434,-0.46027,-0.46027,8.72721,4.25849,0.43898,-0.03827,0.0365,0.31796,5.1426
