"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",59.91171875,"Up",111661000,-16133000,95528000,-12180000,-12180000,83348000,-12038000,-12038000,71310000,-6114000,65196000,-23149000,42047000,42047000,42047000,42047000,-8362006.40765832,-8362006.40765832,1091415508.61463,1091415508.61463,58989639.6531473,17939336.8453648,41050302.8077824,1142043141.86012,12691966.8083934,23329310.8477084,23329310.8477084,36021277.6561017,1178064419.51622,16304363.1683586,14978331.486287,179410022.40539,236665201.659879,125919707.579118,125919707.579118,362584909.238998,541994931.644387,26417088.6652743,609798861.216704,-168277.823478208,636069487.871832,636069487.871832,1178064419.51622,42047000,2561000,1518000,2365000,48491000,772000,2067000,-41343000,-33131000,184751000,-199163000,-200351000,-947000,-15359000,1000,1000,0,85909000,0,112195000,0.85552,0.74644,0.37656,0.108206257927067,0.0527580864702765,2.66832,4.17546745004543,0.229714423795806,0.245806443891136,1.50007,1.47959,3.98362,22.0368702496136,4.00268,0.0617787116680899,0.121746199746565,3.63590859028713,3.83421987815489
"2","2011_Q1",64.8782258064516,"Up",115398000,-15007000,100391000,-11814000,-11814000,88577000,-11790000,-11790000,76787000,-7576000,69211000,-22238000,46973000,47003000,47003000,47003000,3792000,3792000,1218013000,1218013000,79343000,12002000,67341000,1301148000,16311000,26056000,26056000,42367000,1343515000,75297000,75297000,211997000,548967000,108077000,108077000,657044000,869041000,31258000,443326000,-110000,474474000,474474000,1343515000,47003000,2298000,7450000,-6707000,50044000,-2346000,-5000,-43680000,-54101000,4290000,1586999.99999994,46999.9999999404,410000,6287000,2230000,2230000,2233000,90875000,548967000,104060000,0.86995,0.76758,0.40731,0.09906,0.03499,2.2139,6.13758,1.83159,0.40861,1.72008,1.65975,4.22301,17.36346,3.80809,0.04154,0.09196,5.99917,6.15481
"3","2011_Q2",77.4826984126984,"Up",123512000,-16071000,107441000,-12042000,-12042000,95399000,-12623000,-12623000,82776000,-15515000,67261000,-24070000,43191000,43191000,43191000,43191000,7194668.80255277,7194668.80255277,1333313247.12846,1333313247.12846,86544703.4489509,6776054.38487839,79768649.0640725,1427052619.37996,17194094.3972022,29048563.0507639,29048563.0507639,46242657.4479661,1473295276.82793,96784128.9438805,97302472.8379043,224598909.198203,722447349.446707,104063847.473627,104063847.473627,826511196.920334,1051110106.11854,34620637.1115752,387629712.927765,-61240.7255072639,422185170.709389,422185170.709389,1473295276.82793,43191000,2488000,26093000,14299000,86071000,-1582000,2000,-143391000,-159805000,197514000,-124760000,-126675000,1773000,74527000,793000,793000,793000,97887000,0,134674000,0.86988,0.77239,0.34969,0.098702914024311,0.0284206378432412,3.1181,6.74939918331819,2.5048885254014,0.487008685369621,1.58816,1.57121,4.54162,16.0744949167955,4.95205,0.0336820961106367,0.0846554334178116,7.19180046990429,7.34547754061504
"4","2011_Q3",72.3775,"Down",129965000,-15402000,114563000,-12281000,-12281000,102282000,-14950000,-14950000,87332000,-16699000,70633000,-25789000,44844000,44844000,44844000,44844000,5690000,5690000,1438086000,1438086000,89558000,2724000,86834000,1533334000,16827000,31494000,31494000,48321000,1581655000,96247000,96247000,223447000,807499000,108798000,108798000,916297000,1139744000,36845000,405089000,-23000,441911000,441911000,1581655000,44844000,2325000,14704000,-7985000,53888000,-987000,75000,-94526000,-100164000,46271000,557999.99999997,2.98023223876953e-08,552000,47381000,1105000,1105000,1105000,104607000,807499000,121424000,0.88149,0.787,0.34505,0.10148,0.02835,2.7077,6.86218,2.57913,0.51054,1.72687,1.71796,5.00473,17.01725,4.67583,0.03302,0.0894,7.66497,7.8392
"5","2011_Q4",76.2207936507937,"Up",133739000,-15929000,117810000,-11631000,-11631000,106179000,-14600000,-14600000,91579000,-12913000,78666000,-28706000,49960000,49960000,49960000,49960000,3634000,3634000,1525403000,1525403000,92519000,499000,92020000,1621556000,16776000,32320000,32320000,49096000,1670652000,91520000,91072000,190920000,869557000,116905000,116905000,986462000,1177382000,38219000,455049000,2000,493270000,493270000,1670652000,49960000,2609000,7895000,1934000,62398000,-1e+06,-79000,-91867000,-98062000,32598000,308000,0,702000,33608000,-2056000,-2056000,-2056000,108788000,869557000,138428000,0.88089,0.79393,0.37356,0.10128,0.0299,2.77078,8.49338,2.38689,0.52049,1.91955,1.9122,5.13847,18.95224,5.31863,0.03376,0.09355,7.95973,8.15531
"6","2012_Q1",91.8296774193548,"Up",137984000,-15598000,122386000,-13246000,-13246000,109140000,-15027000,-15027000,94113000,-14273000,79840000,-29835000,50005000,50005000,50005000,50005000,4700000,4700000,1598600000,1598600000,1.06e+08,5e+05,105500000,1709300000,18500000,30800000,30800000,49300000,1758600000,97300000,95800000,141200000,9.54e+08,123400000,123400000,1077400000,1218600000,39100000,500900000,8884.37731870499,5.4e+08,5.4e+08,1758600000,50005000,2578000,18208000,2552000,73343000,-2731000,1999.99999999977,-79816000,-95969000,27317000,-4006000,-4125000,373000,23684000,1058000,1058000,1058000,111718000,9.54e+08,141374000,0.88696,0.79096,0.3624,0.0926,0.02843,2.8272,12.10552,2.25667,0.54248,1.92201,1.87394,5.30361,20.75566,5.43391,0.03092,0.08741,8.49729,8.698
"7","2012_Q2",88.69,"Down",142400000,-19400000,1.23e+08,-15200000,-15200000,107800000,-15200000,-15200000,92600000,-13800000,78800000,-28500000,50300000,50300000,50300000,50300000,4691000,4691000,1737796000,1737796000,161294000,406000,160888000,1903781000,21168000,30084000,30084000,51252000,1955033000,120348000,107325000,293948000,959131000,129388000,129388000,1088519000,1382467000,41016000,531540000,10000,572566000,572566000,1955033000,50300000,2800000,23400000,12600000,89100000,-3900000,-4157978.01595418,-144400000,-203700000,133100000,-19800000,-2e+07,1300000,114600000,0,0,0,110600000,959131000,147800000,0.86376,0.75702,0.35323,0.08785,0.02573,2.93837,6.47659,2.41451,0.4906,1.92295,1.91373,5.44391,21.88903,5.65035,0.03028,0.08898,8.62966,8.8538
"8","2012_Q3",95.1392063492063,"Up",151800000,-20400000,131400000,-14800000,-14800000,116600000,-15600000,-15600000,1.01e+08,-11800000,89200000,-32600000,56600000,56600000,56600000,56600000,5150000,5150000,1815889000,1815889000,129791000,524000,129267000,1950830000,21984000,30113000,30113000,52097000,2002927000,196076000,190175000,209176000,1118946000,134448000,134448000,1253394000,1462570000,45192000,495148000,17000,540357000,540357000,2002927000,56600000,3e+06,1e+07,-7100000,62500000,-2100000,-1e+05,-80900000,-51400000,-2600000,-8400000,-8500000,3e+05,-10700000,4e+05,4e+05,4e+05,119600000,1118946000,1.43e+08,0.86561,0.76812,0.37286,0.10475,0.02826,2.5265,9.32626,2.70667,0.55866,2.19139,2.18683,5.87727,20.9211,5.53656,0.03155,0.07972,9.31268,9.55228
"9","2012_Q4",88.6954838709677,"Down",155700000,-21700000,1.34e+08,-1.5e+07,-1.5e+07,1.19e+08,-16300000,-16300000,102700000,-18900000,83800000,-30900000,52900000,52900000,52900000,52900000,5725000,5725000,1876718000,1876718000,167706000,0,167706000,2050149000,21863000,31310000,31310000,53173000,2103322000,108122000,98131000,223922000,1146261000,135334000,135334000,1281595000,1505517000,49701000,548104000,3.63797880709171e-12,597805000,597805000,2103322000,52900000,3e+06,7200000,3800000,66900000,-1100000,9e+05,-70600000,-110100000,127800000,-84300000,-84500000,3e+05,43800000,6e+05,6e+05,6e+05,1.22e+08,1146261000,155600000,0.86063,0.76429,0.33976,0.08849,0.02515,2.9414,9.15564,2.51841,0.54498,2.12441,2.12007,6.25276,24.00727,6.24875,0.02815,0.08279,9.34866,9.58434
"10","2013_Q1",111.086833333333,"Up",159300000,-20700000,138600000,-16700000,-16700000,121900000,-16300000,-16300000,105600000,-14300000,91300000,-31400000,59900000,59900000,59900000,59900000,9e+06,9e+06,1933500000,1933500000,139600000,1100000,138500000,2082100000,22200000,28900000,28900000,51100000,2133200000,112100000,105800000,155600000,1207300000,148400000,148400000,1355700000,1511300000,53600000,568400000,-1e+05,621900000,621900000,2133200000,59900000,3400000,30600000,-3800000,90100000,-1700000,-46300000,-6.3e+07,-35700000,-11800000,-39400000,-39500000,1e+05,-51100000,3300000,3300000,3300000,125300000,1207300000,151200000,0.87006,0.76522,0.37602,0.09632,0.02808,2.52421,13.38111,2.43013,0.56596,2.42004,2.36967,6.43594,25.12563,6.10869,0.03029,0.07646,9.56345,9.83019
