"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",1.88578125,"Down",6657700,-3772948,2884752,-2817302,-2817302,-1736029,-1081273,67450,-57500,-57500,9950,9950,9950,9950,9950,-93008,189651513.049177,189651513.049177,12441901.8634232,12441901.8634232,2932490.75665079,23929855.8886335,23929521.6581712,228955761.557884,139042.227125896,142142.191444971,229097903.749329,56996293.4642384,58564467.843344,14573169.103718,14573169.103718,71569453.5231626,-22614332.1119068,48955121.4112558,281191699.781846,-101053464.16966,180142782.338074,180142782.338074,229097903.749329,4532834.92204674,5233.92769884639,-2799152.73244853,8331742.91835841,10070659.0356555,-62789.302954875,-62793.5057402358,-3944197.33078155,-3944197.33078155,-3944264.02264187,6063601.50727336,6063601.50727336,-35992.2251014386,6063670.74870738,4604193.26922887,0,0.4333,0.01013,-0.01397,-1.95366478590333,-1.60084996122744,-78.5841240102929,1.95858688548161,-2.0010963876753,-0.00296,-0.00296,0.21188,4.01395576333042,-1.93356623371612,-1083.27001735636,-1136.88332383876
"2","2016_Q2",2.38140625,"Up",3678606,-2158742,1519864,-2663546,-2663546,-1788268,-875278,-1143682,-56875,-56875,-1200557,-1200557,-1200557,-1200557,-1200557,-1287209,81477883.5245884,81477883.5245884,8222415.93171161,8222415.93171161,2519271.37832539,10853986.4443168,10853819.3290856,103073557.278942,83665.6135629478,85215.5957224857,103158772.874665,25664323.2321192,26156930.421672,6770671.551859,6770671.551859,32434990.2615813,-7057166.0559534,25377824.2056279,150659955.390923,-72881283.08483,77780948.6690368,77780948.6690368,103158772.874665,-1200557,3394,254715,55221,-887227,-6408,-6408,0,0,0,-893635,-893635,-21595.3350608631,-893635,-1140288,-2.3283064365387e-10,0.41316,-0.3109,-0.34992,-0.791682392951664,-0.65287998061372,-32.2556120051464,1.7348534427408,-0.616503193837651,-0.03354,-0.03354,0.09585,1.72991288166521,-0.790888116858062,-552.460113678179,-580.104261919382
"3","2016_Q3",2.12125,"Down",6171791,-3407612,2764179,-4164770,-4164770,-3185048,-979722,-1400591,-56875,-56875,-1457466,-1457466,-1457466,-1457466,-1457466,-1544120,25929285.1748628,25929285.1748628,5211519.64390387,5211519.64390387,2226423.4594418,3716479.48143892,3716423.77636187,37083707.7596474,51353.2045209826,51869.8652408286,37135577.6248882,8609115.74403973,8525177.14055734,2406841.51728633,2406841.51728633,11015955.7538604,1314277.98134887,12330233.7352093,82887403.7969743,-58082822.6949433,24805343.8896789,24805343.8896789,37135577.6248882,-1457466,3974,800393,-1233561,-1886660,-5922,-5922,5300,5300,5300,-1887282,-1887282,-10797.6675304316,-1887282,-1396617,0,0.44787,-0.22693,-0.25019,-0.203010797650555,-0.168006660204573,-5.97718733504881,1.38088781424693,0.0907356020541164,-0.04006,-0.04006,0.16013,0.56124096055507,-0.204789372286021,-221.143637892726,-232.814423973127
"4","2016_Q4",2.29634920634921,"Up",6657700,-3772948,2884752,-2817302,-2817302,-1736029,-1081273,67449.9999999998,-57500,-57500,9950,9950,9950,9950,9950,-93008,7765707,7765707,3402272,3402272,2106329,937534,937534,14211842,36508,36508,14248350,2025392,1710504,536536,536536,2561928,4500000,7061928,60031316,-52844900,7186422,7186422,14248350,9950,4978,306290,112291,433509,-15205,-15205,0,0,0,418304,418304,-3599.22251014386,418304,72428,4500000,0.4333,0.01013,-0.01397,-0.01294,-0.00653,5.54732,0.98268,0.31583,-0.00241,-0.00241,0.17218,0.18585,-0.00796,-45.08901,-48.41671
"5","2017_Q1",3.54209677419355,"Up",6252890,-3691851,2561039,-2929176,-2929176,-1966418,-962758,-368137,-57500,-57500,-425637,-419542,-419542,-419542,-419542,-509432,11747138,11747138,2787732,2787732,2211370,937349,937349,17683589,33533,33533,17717122,2107873,1754207,214612,214612,2322485,4500000,6822485,64248963,-53354332,10894637,10894637,17717122,-419542,4605,211552,180351,-23034.0000000002,4465,4465,4e+06,4e+06,4e+06,3981431,3981431,0,3981431,-363532,4500000,0.40958,-0.05887,-0.08147,-0.04676,-0.02875,7.61408,0.62622,0.25399,-0.01317,-0.01317,0.16165,0.28165,-0.03309,19.93535,19.68598
"6","2017_Q2",3.9415873015873,"Up",6000429,-3617623,2382806,-4216050,-4216050,-2153087,-2062963,-1833244,-48056,-48056,-1881300,-1881300,-1881300,-1881300,-1881300,-1971545,20904487,20904487,3273941,3273941,2577620,1805983,1805983,28562031,35631,35631,28597662,3972720,3579920,394588,394588,4367308,3500000,7867308,76056225,-55325877,20730354,20730354,28597662,-1881300,4234,782314,233485,-861267,-6332,-6332,10024948,10024948,10024948,9157349,9157349,0,9157349,-1829010,3500000,0.39711,-0.30552,-0.32857,-0.0951,-0.06894,6.53996,0.37951,0.12239,-0.04718,-0.04718,0.14361,0.49613,-0.08137,9.5158,9.49382
"7","2017_Q3",4.6815873015873,"Up",10236898,-5670277,4566621,-4057370,-4057370,-2417812,-1639558,509251,-38478,-38478,470773,470773,470773,470773,470773,379525,19997743,19997743,4853958,4853958,3257461,1963635,1963635,30072797,37205,37205,30110002,3814654,3228939,131321,131321,3945975,3500000,7445975,77610373,-54946352,22664027,22664027,30110002,470773,4440,580415,-2930091,-1874463,-6014,-6014,973732.999999998,973732.999999998,973733,-906744,-906744,0,-906744,513691,3500000,0.44609,0.04975,0.03707,0.01675,0.0126,7.62113,0.32854,0.11624,0.00849,0.00849,0.22909,0.5072,0.01451,-32.11608,-32.39609
"8","2017_Q4",5.26444444444444,"Up",10785796,-6110898,4674898,-6261481,-6261481,-4702308,-1559173,-1586583,-35661,-35661,-1622244,-1622244,-1622244,-1622244,-1622244,-1714494,19418583,19418583,7071888,7071888,4316596,3068290,3068290,33875357,49958,49958,33925315,8886727,8410985,52988,52988,8939715,3500000,12439715,78146440,-56660846,21485600,21485600,33925315,-1622244,5618,600726,519770,-496130,-18370,-18370,-64660,-64660,-64660,-579160,-579160,1.81898940354586e-12,-579160,-1580965,3500000,0.43343,-0.1471,-0.15896,-0.0798,-0.05054,3.78931,0.57898,0.10317,-0.03768,-0.03768,0.23704,0.47218,-0.06862,10.0689,10.03325
"9","2018_Q1",5.29852459016393,"Up",9140941,-5334589,3806352,-8975743,-8975743,-7338162,-1637581,-5169391,-38421,-38421,-5207812,-5207812,-5207812,-5207812,-5207812,-5300064,14186624,14186624,6375658,6375658,5305505,1180444,1180444,27048231,62642,62642,27110873,6445707,6311824,17921,17921,6463628,3500000,9963628,79147526,-61960910,17147245,17147245,27110873,-5207812,6133,605587,-590173,-5186265,-18818,-18818,12502,12502,12501.9999999998,-5192581,-5192581,-39378,-5231959,-5163258,3500000,0.41641,-0.56552,-0.57982,-0.30909,-0.1955,4.18468,0.58106,0.1291,-0.11596,-0.11596,0.2,0.37517,-0.2567,2.06974,2.06729000000001
"10","2018_Q2",4.88265625,"Down",12059976,-7296295,4763681,-7601926,-7601926,-5599271,-2002655,-2838245,-38259,-38259,-2876504,-2876504,-2876504,-2876504,-2876504,-2959195,9987713,9987713,9073880,9073880,6668742,3158057,3158057,28888392,66406,66406,28954798,10385387,10219925,21980,21980,10407367,3500000,13907367,80060415,-64920105,15047431,15047431,28954798,-2876504,7953,770862,-2178024,-4275713,-11717,-11717,142023,142023,142023,-4145407,-4145407,-53504,-4198911,-2830292,3500000,0.395,-0.23534,-0.24537,-0.19666,-0.1022,2.77576,0.92424,0.12088,-0.06237,-0.06237,0.25416,0.31712,-0.15955,2.29224,2.28582
