"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",122400,"Down",-607146,-90428,-516718,-607146,-93070,-93643,-700216,-700216,-700216,-700216,-700216,-700216,-16470779.3114708,-16470779.3114708,2896685.15780458,1034798.80498011,-13574094.1536662,3890969.76782952,-2550535.74652801,-15569.479269002,1340434.02130151,-12233660.1323647,604422.252696826,644167.433243769,1887725.63871082,116493.483704972,116493.483704972,8594662.24434687,10482387.8830577,5.68616475476107e-06,-246671.035490233,-22469376.9799306,-22716048.0154224,-22716048.0154224,-12233660.1323647,-700216,144240,109504,-177066,-623538,445980.448307148,426810.52696855,-661641,-661641,-661641,-462906,0,-8.26134616092524,0.191969250453933,-34.7755523235444,87.7969407274339,2.0142999846646,-543.98847,-543.98847,-19775.6010575455,0.137592315969051,-6.93495018401157,-25.2635505194147
"2","2011_Q1",93774.1935483871,"Down",-509828,-142455,-367373,-509828,-99087,-98661,-608915,-461840,-461840,-461840,-461840,-461840,673739,673739,606042,51042,1279781,3510489,11872,11872,3522361,4802142,392881,392881,904817,115311,115311,3763563,4668380,0,24178766,-24045004,133762,133762,4802142,-461840,144197,22154,182406,-113083,-1652,-1652,285772,285772,285772,-365631,3855139,-3.4527,-0.09617,1.41441,34.90064,0.8028,-358.79733,-358.79733,103.91791,-0.11253,-8.70112,-6.24014
"3","2011_Q2",37774.6031746032,"Down",-603130,-131726,-471404,-603130,-156167,-156167,-759297,-965252,-965252,-965252,-965252,-965252,5351924.02049026,5351924.02049026,-68855.1359348603,-159809.684993372,5283068.8845554,3325744.91072349,1288710.91550933,24856.659756334,4614455.82623283,9897524.71078824,370668.332434391,324858.188918744,498043.953763059,116182.672098343,116182.672098343,1356115.33521771,1854159.28898077,-2.84308237738054e-06,33807647.0951634,-25764281.6733565,8043365.42180747,8043365.42180747,9897524.71078824,-877228.557508418,146603.146221264,202299.900801935,82958.4761890648,-445367.034296155,-180896.424153574,-171311.463484275,-2407469.73350036,-2407469.73350036,-2407469.73350036,-780483.492382737,0,-1.09223877969159,-0.252291416817978,11.6408232745148,8.61594225752202,0.2219650051118,-749.8914,-749.8914,6697.64586001518,-0.261296605323017,-6.94985290799422,1.1605168398049
"4","2011_Q3",28125,"Down",-1758666,-796714,-961952,-1758666,-270379,-270379,-2029045,-2595211,-2595211,-2595211,-2595211,-2595211,3313398,3313398,165815,53115,3479213,3249334,1702684,27222,4952018,8431231,447333,365793,449492,118443,118443,573671.000000001,1023163,-2.84308237738054e-06,35013535,-27605467,7408068,7408068,8431231,-1510896.43322751,149001.501204843,412524.958403041,-148669.080274327,-1098039.05389396,-180479.024153574,-170894.063484275,-4582145.56692914,-4582145.56692914,-4582145.56692914,-1364768.83088716,457387,-0.35032,-0.30781,7.74031999999999,0.13810999999999,0.0542500000000001,-2016.1848,-2016.1848,5755.22919,-0.32506,-3.29654190799422,1.62396
"5","2011_Q4",14000,"Down",-1911143,-899070,-1012073,-1911143,-1469,-1469,-1912612,-1909039,-1909039,-1909039,-1909039,-1909039,1590755,1590755,517933,303633,2108688,3183603,1702684,27222,4886287,6994975,519620,441653,521817,121394,121394,576059,1097876,0,35411605,-29514506,5897099,5897099,6994975,-1909039,148848,400506,-171707,-1531392,-89126.0000000002,-89126,-1722643,-1722643,-1722643,-1762295,456862,-0.32373,-0.27292,4.04105,0.18617,0.06531,-1423.26685,-1423.26685,4396.5291,-0.29482,0.643420000000001,0.59331
"6","2012_Q1",10967.7419354839,"Down",-2018574,-864923,-1153651,-2018574,-2008.00000000003,-2008.00000000003,-2020582,-1965920,-1965920,-1965920,-1965920,-1965920,5505960,5505960,309967,254967,5815927,3044565,1702684,27222,4747249,10563176,501346,478041,503581,124381,124381,578472,1082053,0,40961549,-31480426,9481123,9481123,10563176,-1965920,145254,197142,88041,-1535483,-6216,-6216,3915205,3915205,3915205,-1873320,456326,-0.20735,-0.18611,11.54914,0.11413,0.0432,-1641.06961,-1641.06961,7914.45372,-0.19538,2.69555,2.50158
"7","2012_Q2",26933.3333333333,"Up",-2325985,-997671,-1328314,-2325985,-2072,-2072,-2328057,-2356903,-2356903,-2356903,-2356903,-2356903,3787576,3787576,238300,183300,4025876,2919943,1702684,27222,4622627,8648503,504026,471629,506301,127368,127368,580875,1087176,1.6940658945086e-21,41398656,-33837329,7561327,7561327,8648503,-2356903,139771,446199,68242,-1702691,-15149,-15149,-1718384,-1718384,-1718384,-2186214,455782,-0.3117,-0.27252,7.95155,0.14378,0.0527,-1277.10059,-1277.10059,4097.14578,-0.28939,1.524,1.43242
"8","2012_Q3",21006.3492063492,"Down",-2211504,-896881,-1314623,-2211504,-2073,-2073,-2213577,-2230811,-2230811,-2230811,-2230811,-2230811,7146400,7146400,193990,138990,7340390,2807628,1702684,27222,4510312,11850702,633402,607872,635717,130355,130355,583268,1218985,0,46699857,-36068140,10631717,10631717,11850702,-2230811,126306,423356,183540,-1497609,-13991,-13991,3358824,3358824,3358824,-2085198,455228,-0.20983,-0.18824,11.54663,0.11466,0.03841,-1155.90296,-1155.90296,5508.86346,-0.19887,3.20889,3.02562
"9","2012_Q4",17800,"Down",-2054019,-800951,-1253068,-2054019,-2095,-2095,-2056114,-2052212,-2052212,-2052212,-2052212,-2595571,5597764,5597764,390979,335979,5988743,2697624,1702684,27222,4400308,10389051,734436,712808,736792,133209,133209,585518,1322310,2.71050543121376e-20,47187093,-38120352,9066741,9066741,10389051,-2052212,118006,332534,-89199,-1690871,-8002,-8002.00000000006,-1548636,-1548636,-1548636,-1936013,454665,-0.28627,-0.24984,8.12813,0.14584,0.04376,-1199.25155,-1199.25155,4189.17577,-0.26884,2.65654,2.50392
"10","2013_Q1",12210,"Down",-2163277,-936596,-1226681,-2163277,-2095,-2095,-2165372,-2157048,-2157048,-2157048,-2157048,-2157048,4677545,4677545,452932,327393,5130477,2645003,3702684,2027222,6347687,11478164,730294,716990,732691,135404,135404,587098,1319789,0,50435775,-40277400,10158375,10158375,11478164,-2157048,113170,335062,14963,-1693853,-60549,-2060549,-920219,-920219,-920219,-2050107,454091,-0.21234,-0.18793,7.00224,0.12992,0.03956,-944.22602,-944.22602,4446.72629,-0.2007,2.06011,1.95234
