"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",11.33140625,"Down",128748000,-71346000,-3161000,-64444000,-3741000,57402000,-48797000,-48797000,8605000,-73000,8532000,-231000,8301000,8301000,8301000,-325000,7976000,6152053000,154615000,3507000,3507000,6155560000,-3557112000,47192000,12458000,-2217416488.14603,34734000,-3509920000,2645640000,99623000,33047000,66576000,816872595.845934,6633000,191123430.159127,106256000,3508685000,0,0,3508685000,3614941000,150000,-969451000,-969301000,-969301000,2645640000,8301000,64444000,-481000,21167000,93431000,-397000,-1035426000,-114931521.723394,1.127e+09,-30408000,1096592000,154597000,154597000,154597000,121846000,3508685000,142847000,0.44585,0.06195,-0.00823,0.00301,17.9096,57.93141,-3.72943,1.32621,0.05323,0.05323,0.85931,-6.46947,0.95341,0.691738785190159,0.00314,0.05625,484.144319409745,-21.69434,-46.0501
"2","2015_Q4",10.515625,"Down",173634000,-96648000,-4229000,-87271000,-5148000,76986000,-66511000,-66511000,10475000,-804000,9671000,-268000,9403000,9403000,9403000,-430000,8973000,6236677000,209998000,1651000,1651000,6238328000,-3637594000,22045000,11494000,-974976744.073017,10551000,-3615549000,2622779000,187815000,97411000,90404000,277182865.281978,20245000,102024143.386376,208060000,3506905000,-7.45058059692383e-09,-3.72529029846191e-09,3506905000,3714965000,616000.000000004,-1092802000,-1092186000,-1092186000,2622779000,15369097.8378146,77397646.2807664,633045.297706176,87918254.5459062,181318043.962193,2418764.0180365,38183201.8236504,-97154507.2411314,105396432.31594,-4985763.80718763,-30946171.4141901,188555074.371654,188555072.441502,188816938.701126,150928645.713464,3506905000,241704177.020899,0.44338,0.05168,-0.00822,0.00342,81.4538211712284,29.98331,-3.4014,1.3371,0.05989,0.05989,1.15884,-7.28931,1.60879284093111,0.629416261730053,0.00371999999999998,0.109789484882623,165.583326469915,-48.5525561266619,-35.45803
"3","2016_Q2",14.34484375,"Up",174675000,-96236000,-5189000,-86340000,-4707000,78439000,-66049000,-66049000,12390000,-3910000,8480000,-444000,8036000,8036000,8036000,-355000,7681000,6292762000,165340000,832000,832000,6293594000,-3806298000,30619000,11190000,-226598248.024339,19429000,-3775679000,2517915000,152557000,8596000,90621000,53340000,150627000,99260000,303184000,3503642000,0,0,3503642000,3806826000,3422000,-1292333000,-1288911000,-1288911000,2517915000,8036000.00000001,86340000,146999.999999999,27177999.9999999,121701000,-77000,-1313000,-90314000,-6044000,-1266000.00000001,-97624000,22764000,22764000.0000001,22842000,164779000,3503642000,192324000,0.44906,0.04397,-0.00596,0.00305,25.03893,20.75833,-2.95352,1.39149,0.05123,0.05121,1.16514,-8.59744,1.28286,0.60242,0.04425,0.08684,11.7581,-16.92643,-35.55782
"4","2016_Q3",18.1396875,"Up",188573000,-110535000,-8239000,-92385000,-9911000,78038000,-68036000,-68036000,10002000,-11210000,-1208000,-327000,-1535000,-1535000,-1535000,-1336000,-2871000,48813000,48813000,8458000,8458000,57270999.999999,2569402000,225002000,47920000,146590000,30492000,2794404000,2851675000,139798000,20206000,93208000,26384000,220349000,148346000,360147000,3739166000,79063000,79063000,3818229000,4178376000,81896000,-1408597000,-1326701000,-1326701000,2851675000,-1535000,92385000,375000,-29115000,62110000,-3682000,-324272000,-90380000,185120000,-3787000,145789000,-116373000,-116373000,-116527000,170423000,3739166000,137953000,0.41383,-0.01522,0.00216,-0.00101,-48.05051,0.159020000000002,-3.14945,1.31122,-0.01902,-0.01897,1.24954,-8.79111,0.91412,0.59888,0.03512,0.05537,-31.48032,21.65408,47.28918
"5","2016_Q4",16.218253968254,"Down",200240000,-122618000,-10191000,-96723000,-15704000,77622000,-70522000,-70522000,7100000,-9315000,-2215000,-128000,-2343000,-2343000,-2343000,-1801000,-4144000,40762000,40762000,15846000,15846000,56608000,2694141000,466785000,162941000,263459000,40385000,3160926000,3217534000,189923000,37925000,94470000,57528000,314037000,213889000,503960000,3901926000,178407000,178407000,4080333000,4584293000,140481000,-1507240000,-1366759000,-1366759000,3217534000,-2343000,96723000,2244000,20116000,116740000,-6896000,-183157000,-92998000,152110000,-15999.9999999991,58471000,-7946000,-7946000,-8051000,174345000,3901926000,187693000,0.38764,-0.0207,0.00303,-0.00129,-45.29271,0.11233,-3.35413,1.21271,-0.02693,-0.02694,1.30109,-8.88071,1.21956,0.60427,0.03274,0.06917,-22.4416,22.14669,49.74317
"6","2017_Q1",16.4198387096774,"Up",206920000,-131651000,-11783000,-100522000,-19346000,75269000,-70787000,-70787000,4482000,-9234000,-4752000,382000,-4370000,-4370000,-4370000,-1793000,-6163000,171754000,171754000,15281000,15281000,187035000,2670037000,461680000,160584000,262334000,38762000,3131717000,3318752000,163396000,40977000,94607000,27812000,295900000,261404000,459296000,4082749000,179152000,179152000,4261901000,4721197000,141107000,-1543552000,-1402445000,-1402445000,3318752000,-4370000,100522000,-461000,-20254000,75437000,-24245000,-26489000,-94138000,194113000,-17847000,82130000,131078000,131078000,130992000,175791000,4082749000,130910000,0.36376,-0.02978,0.00439,-0.00186,-21.24128,0.40722,-3.3664,1.23021,-0.03972,-0.03983,1.33361,-9.03882,0.84372,0.60672,0.03077,0.04578,-15.2747,22.24798,51.96024
"7","2017_Q2",16.3330158730159,"Down",211473000,-137464000,-13978000,-101361000,-22125000,74009000,-84704000,-73365000,-10695000,-9684000,-20379000,379000,-2e+07,-2e+07,-2e+07,-1788000,-21788000,68726000,68726000,17236000,17236000,85962000,2672349000,522366000,214061000,262086000,46219000,3194715000,3280677000,216548000,56023000,94810000,65715000,342463000,293879000,559011000,4057860000,172015000,172015000,4229875000,4788886000,141519000,-1649728000,-1508209000,-1508209000,3280677000,-2e+07,101361000,13300000,33541000,128202000,-14931000,-86496000,-94133000,-5942000.00000006,-44899000,-145028000,-103322000,-103322000,-103028000,175370000,4057860000,193601000,0.34997,-0.10303,0.01445,-0.00664,-8.88567,0.15378,-3.17521,1.2369,-0.1404,-0.1404,1.36272,-9.71884,1.24756,0.60659,0.02658,0.07113,-4.32041,22.74696,53.90066
"8","2017_Q3",13.6301587301587,"Down",213013000,-138063000,-13503000,-102599000,-21961000,74950000,-77318000,-75086000,-2368000,-14017000,-16385000,-75000,-16460000,-16460000,-16460000,-1782000,-18242000,934096000,934096000,12737000,12737000,946833000,2689500000,524828000,211155000,262086000,51587000,3214328000,4161161000,202968000,68222000,106709000,28037000,430343000,371707000,633311000,4494015000,174874000,174874000,4668889000,5302200000,641827000,-1782866000,-1141039000,-1141039000,4161161000,-16460000,102599000,6093000,-24032000,68200000,-31303000,-36769000,-94214000,430057000,-997000,833877000,865308000,865308000,865370000,177549000,4494015000,122289000,0.35186,-0.08564,0.01599,-0.00438,-6.70371,1.49505,-4.64682,1.07999,-0.10747,-0.10747,1.25497,-6.72243,0.72047,0.55506,0.02153,0.03466,-5.16467,20.05035,47.49725
"9","2017_Q4",11.0793650793651,"Down",245210000,-165684000,-22068000,-113444000,-30172000,79526000,-74851000,-78784000,4675000,-8512000,-3837000,8672000,4835000,4835000,4728000,-1789000,2939000,49923000,49923000,32715000,32715000,82638000,3037469000,1172103000,438019000,672368000,61716000,4209572000,4292210000,260118000,80725000,109188000,70205000,561908000,466321000,822026000,4418939000,186902000,186902000,4605841000,5427867000,642998000,-1882277000,-1239279000,-1135657000,4292210000,4835000,113444000,-9918000,32991000,141352000,-64867000,-833927000,-105925000,-81273000,-4388000,-191639000,-884214000,-884214000,-884173000,192970000,4418939000,152422000,0.32432,0.01199,-0.00259,0.00068,51.86186,0.10053,-4.7795,1.02953,0.0168,0.01674,1.40158,-7.08354,0.87122,0.60545,0.03137,0.04392,36.04117,22.64091,54.93821
"10","2018_Q1",11.1659016393443,"Up",246336000,-167215000,-22496000,-116801000,-27918000,79121000,-80405000,-78759000,-1284000,-5792000,-7076000,29873000,22797000,22797000,22293000,-1754000,20539000,59764999.9999999,59765000,43652000,43652000,103417000,3053889000,1172776000,429357000,673729000,69690000,4226665000,4330082000,215875000,77634000,109557000,28684000,593031000,537553000,808906000,4539026000,189292000,189292000,4728318000,5537224000,644345000,-1952894000,-1308549000,-1207142000,4330082000,22797000,116801000,-23359000,-48733000,67506000,-54927000,-62216000,-105938000,113841000,-3148000,4757000,10047000,10047000,9842000,195922000,4539026000,62389000,0.32119,0.08338,-0.01701,0.00474,3.03759,0.12785,-4.58705,1.04825,0.11743,0.11703,1.40844,-7.4817,0.35671,0.60571,0.03592,0.01772,5.15789,22.86247,56.6128
