"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_tax_liabilities_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.2669841269841,"Up",935133000,-759375000,175758000,-96136000,-96136000,79622000,-8437000,-8437000,71185000,-3947000,67238000,-19911000,1226000,48553000,48553000,19000,48572000,48572000,91187308.9038513,91187308.9038513,174807531.025288,174807531.025288,243652585.403128,140063126.175471,100040796.995824,22717948.4400739,649710551.507737,782059789.718996,955510897.72907,697303172.943904,45584155.1285075,182257552.577774,1737570687.44807,2387281238.9558,501892388.269038,501892388.269038,-190645518.064445,-15392053.7612332,-15392053.7612303,295854816.443359,445485770.279888,502846457.025157,482267500.442311,13363354.6652174,7215601.91762798,948332227.305045,1244187043.7484,450850088.887412,1191134666.95825,-508500294.077223,1133484461.76844,9609733.43896299,1143094195.2074,2387281238.9558,48553000,40413000,2206000,-17386000,73786000,-28300000,634152363.413609,-28300000,-27070000,-13937000,2981000,-38026000,7460000,7460000,-4477000,2983000,120035000,0,94260000,0.18795,0.08515,0.05194,-0.0223999950104813,-0.00982729604618789,1.94062,1.66862232139027,1.11706975012162,0.129972612561505,0.48013,0.47693,9.24364,10.9779359213309,0.93175,0.26758,0.000800784751342064,-0.105104067346353,0.55732,1.86038658071054,3.09928470183881
"2","2010_Q3",21.82296875,"Up",1010116000,-817592000,192524000,-99639000,-99639000,92885000,-8558000,-8558000,84327000,-2511000,81816000,-25851000,2991000,58956000,58956000,-3000.00000000003,58953000,58953000,167378000,167378000,509512000,509512000,320766000,100235000,47238000,27071000,1097891000,896330000,1133548000,799353000,61966000,162889000,2029878000,3127769000,715051000,715051000,113814000,5938000,5938000,834803000,468060000,406207000,317913000,27675000,60619000,874267000,1709070000,451148000,1299740000,-345719000,1405169000,13530000,1418699000,3127769000,58956000,40867000,-6838000,-51399000,41586000,-27979000,-10214000,-38193000,-28169000,-1858000,9615000,-20412000,-17019000,-17019000,-3831000,-20850000,133752000,581874000,80225000,0.1906,0.09195,0.05836,0.04155,0.01885,1.36083,1.31515,1.20467,0.18603,0.58071,0.5752,9.95002,13.84144,0.79025,0.27748,0.0362,0.03333,0.47782,3.09899,4.46246
"3","2010_Q4",22.77671875,"Up",1051725000,-852141000,199584000,-102533000,-102533000,97051000,-8444000,-8444000,88607000,-12166000,76441000,-21091000,3871000,59221000,59221000,-202000,59019000,59019000,168700000,168700000,546532000,546532000,353225000,110474000,53989000,30642000,1178931000,937397000,1186556000,835163000,55646000,162420000,2123953000,3302884000,768956000,768956000,112372000,7431000,7431000,888759000,513592000,399930000,311004000,29684000,59242000,913522000,1802281000,455879000,1330261000,-300757000,1485383000,15220000,1500603000,3302884000,59221000,43128000,29972000,12893000,145214000,-36765000,-124046000,-169211000,-28193000,40319000,7164000,19290000,-4707000,-4707000,6029000,1322000,140179000,625964000,137398000,0.18977,0.09228,0.05612,0.03933,0.01787,2.32803,1.32649,1.20104,0.18952,0.58035,0.57474,10.34185,14.60611,1.35107,0.27723,0.03452,0.05438,0.47769,3.262,4.71158
"4","2011_Q1",24.4340322580645,"Up",1127147000,-927481000,199666000,-107048000,-107048000,92618000,-9667000,-9667000,82951000,-53992000,28959000,2368000,3417000,34744000,34744000,-235000,34509000,34509000,158249000,158249000,508144000,508144000,369427000,121696000,66782000,31917000,1157516000,944136000,1179362000,839748000,42100000,167114000,2123498000,3281014000,756721000,756721000,16949000,6979000,6979000,780649000,603941000,388731000,323040000,24583000,41108000,992672000,1773321000,448503000,1336155000,-292867000,1491791000,15902000,1507693000,3281014000,34744000,45257000,69435000,-34886000,114550000,-44380000,-3575000,-48005000,-28324000,11893000,-61003000,-77434000,-10889000,-10889000,437999.999999999,-10451000,137875000,620890000,56241000,0.17714,0.08217,0.03062,0.02289,0.01052,1.62975,1.48276,1.17618,0.18924,0.33827,0.33455,11.04873,14.62311,0.5513,0.27764,0.02496,0.02234,0.82077,3.35551,4.99515
"5","2011_Q2",23.987619047619,"Down",1117323000,-923114000,194209000,-102298000,-102298000,91911000,-8737000,-8737000,83174000,-2317000,80857000,-25184000,1964000,57637000,57637000,-246000,57391000,57391000,185175000,185175000,591636000,591636000,393688000,94057000,41249000,29935000,1264556000,953774000,1178906000,848856000,36280000,165231000,2132680000,3397236000,764178000,764178000,21148000,18246000,18246000,803572000,745188000,296345000,237250000,18038000,41057000,1041533000,1845105000,418252000,1365162000,-247755000,1535659000,16472000,1552131000,3397236000,57637000,44341000,4504000,-120328000,-13846000,-36486000,-25557331.8573218,-36486000,-28076000,135789000,-35993000,71720000,21388000,21388000,5538000,26926000,136252000,766336000,4622000,0.17382,0.08226,0.05136,0.03698,0.01689,0.08054,1.57367,1.18876,0.22558,0.56649,0.55853,11.02875,15.15802,0.04562,0.27713,0.03269,0.00176999999999999,0.48921,4.26534,6.32308
"6","2011_Q3",21.81625,"Down",1127865000,-936775000,191090000,-99273000,-99273000,91817000,-8174000,-8174000,83643000,-9577999.99999999,74065000,-23775000,3416000,53706000,53706000,-298000,53408000,53408000,133983000,133983000,608802000,608802000,394189000,108427000,55317000,30237000,1245401000,953221000,1194967000,857115000,40703000,171664000,2148188000,3393589000,762120000,762120000,19374000,5098000,5098000,786592000,716807000,287755000,227056000,20342000,40357000,1004562000,1791154000,425003000,1389315000,-226130000,1588188000,14247000,1602435000,3393589000,53706000,43338000,2038999.99999999,-53162000,45921000,-33980000,-10395000,-44375000,-28909000,-27110000,846000,-55173000,-53627000,-53627000,2435000,-51192000,135155000,736181000,71788000,0.16943,0.08141,0.04735,0.03333,0.01574,1.34414,1.58329,1.11777,0.21693,0.52933,0.52367,11.17827,15.74053,0.71149,0.28652,0.03134,0.02733,0.54129,4.45561,6.55868
"7","2011_Q4",22.0225396825397,"Up",1124171000,-937431000,186740000,-89924000,-89924000,96816000,-8334000,-8334000,88482000,-12048000,76434000,-2344000,3083000,77173000,77173000,30000,77203000,77203000,146289000,146289000,590585000,590585000,392857000,115643000,60339000,32431000,1245374000,923937000,1180864000,833594000,55299000,172963000,2104801000,3350175000,765798000,765798000,17966000,6277000,6277000,790041000,717226000,295430000,232635000,23805000,38990000,1012656000,1802697000,427034000,1437226000,-330236000,1534024000,13454000,1547478000,3350175000,77173000,43932000,-251000,-21021000,99833000,-44224000,-523000,-44747000,-28970000,-927000,379000,-29518000,25568000,25568000,-13262000,12306000,140748000,735192000,77847000,0.16611,0.08612,0.06868,0.04989,0.02304,1.00834,1.57634,1.16493,0.21945,0.76535,0.75795,11.14442,15.20748,0.77173,0.28719,0.04118,0.0302,0.37524,4.18409,6.0827
"8","2012_Q1",23.365,"Up",1129573000,-944829000,184744000,-105982000,-105982000,78762000,-12829000,-12829000,65933000,-12883000,53050000,-27120000,3598000,29528000,29528000,-13000,29515000,29515000,175523000,175523000,606785000,606785000,395322000,134080000,63896000,43378000,1311710000,1013622000,1667467000,1104776000,87256000,170835000,2681089000,3992799000,784535000,784535000,53666000,5551000,5551000,843752000,1232966000,490673000,420048000,16154000,54471000,1723639000,2567391000,434659000,1437435000,-460299000,1411795000,13613000,1425408000,3992799000,29528000,48260000,32833000,2746000,113367000,-47561000,-555990000,-603551000,-29003000,544580000,4879000,520456000,30272000,30272000,-1038000,29234000,127022000,1286632000,109327000,0.16355,0.06973,0.02613,0.02071,0.00739,3.70412,1.55462,1.80116,0.32224,0.29164,0.2891,11.16146,13.95013,1.08027,0.28658,0.01827,0.03414,0.98265,8.74737,14.10717
"9","2012_Q2",22.6838095238095,"Down",1212370000,-995509000,216861000,-122806000,-122806000,94055000,-15421000,-15421000,78634000,-15212000,63422000,-21897000,1387000,42912000,42912000,156000,43068000,43068000,176100000,176100000,664429000,664429000,411422000,98430000,42410000,31837000,1350381000,1027625000,1654419000,1110504000,76915000,169821000,2682044000,4032425000,829962000,829962000,39843000,14860000,14860000,884665000,1212054000,456106000,382496000,16165000,57445000,1668160000,2552825000,442033000,1450968000,-427195000,1465806000,13794000,1479600000,4032425000,42912000,51230000,10490000,-7156000,97476000,-43174000,-503000,-43677000,-29165000,-32242000,2912000,-58495000,-4696000,-4696000,5273000,577000,145285000,1251897000,116852000,0.17887,0.07758,0.03552,0.02911,0.01068,2.7132,1.52643,1.72535,0.31046,0.4245,0.41977,11.94983,14.44784,1.15176,0.28747,0.02266,0.03666,0.67718,7.40474,11.43796
"10","2012_Q3",21.9596825396825,"Down",1202359000,-985817000,216542000,-118554000,-118554000,97988000,-15248000,-15248000,82740000,-9396000,73344000,-25905000,3912000,51351000,51351000,-28000,51323000,51323000,196005000,196005000,647203000,647203000,407425000,112996000,54872000,34143000,1363629000,1017705000,1643582000,1105037000,77615000,171305000,2661287000,4024916000,788667000,788667000,42453000,5372000,5372000,836492000,1276498000,446331000,374654000,14989000,56688000,1722829000,2559321000,446873000,1471727000,-466450000,1452150000,13445000,1465595000,4024916000,51351000,49903000,-4557000,-53801000,42896000,-54864000,0,-54864000,-30178000,66704000,1500000,38025999.9999999,26058000,26058000,-6153000,19905000,147891000,1318951000,65131000,0.1801,0.0815,0.04269,0.03502,0.01275,1.26904,1.63018,1.74627,0.3277,0.50371,0.50059,11.80068,14.25227,0.63923,0.29619,0.02523,0.02016,0.588,7.59307,11.46004
