"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q4",21.3184375,"Up",79537134,-57115324,22421810,-11725577,-9722106,-2003471,10696233,950065,1032229,-82164,11646298,-176637,11469661,-3946000,7523661,7523661,7523661,7523661,101529833.983131,101529833.983131,-44632001.8515308,-44632001.8515308,86817406.8274137,35403324.9969703,35403324.9969705,179118563.955985,149286431.600768,12020073.3684241,139200308.443626,7271315.69544131,131928992.744515,300506813.412818,479625377.368803,26849428.0768024,14814209.0684211,12035219.0083814,56953125.2391364,56953125.2391364,83802553.3126669,190213086.031728,-7313383.82867654,197526469.860405,190213086.033901,274015639.346567,130553840.650837,108531401.154295,-33475503.7837096,205609738.021422,205609738.022236,479625377.368803,11866240,-7565528,-7558750,-7558750,-14672,-7353739,-1844428,2668073,2668073,564820,3232893,0,0.2819,0.13448,0.09459,-0.289525017815023,-0.110919934621836,2.16258024007215,1.33096671150415,-3.90387225679198e-12,0.73424,0.73086,7.76212,20.0667582514724,-0.129572518232103,-91.2314188616682
"2","2011_Q1",20.5729032258065,"Down",82165048,-60787661,21377387,-13782391,-11813597,-1968794,7594996,-978038,-64015,-914023,6616958,-20176462,-13559504,3907000,-9652503.99999999,-9652503.99999999,-9652504,-9652504,70021000,70021000,46734000,46734000,68822000,31656000,31656000,217233000,145591000,14160000,149979000,20148000,129831000,309730000,526963000,31827000,20137000,11690000,57893000,57893000,89720000,240466000,44114000,196352000,240466000,330186000,131379000,124872000,-59474000,196777000,196777000,526963000,15946485,-7420989,-7324233,-7324233,-16029,-6547429,-387620,9011436,9011436,-72922.9999999998,8938513,0,0.26018,0.09244,-0.11748,-0.04905,-0.01832,2.42123,1.67797,0,-0.93931,-0.935370000000001,7.99571,19.14893,-0.01786,-9.21936
"3","2011_Q2",19.4090476190476,"Down",89068041,-63394143,25673898,-13545379,-10881611,-2663768,12128519,-508874,-54225,-454649,11619645,-70068,11549577,-3873000,7676577,7676577,7676577,7676577,65916413.5056229,65916413.5056229,71809879.2838436,71809879.2838436,66849635.8908621,29692575.5010099,29692575.5010098,234268504.181338,145221291.799744,14464959.877192,148811123.352125,22494842.2681862,126316281.085162,308497375.02906,542765879.210399,34059810.6410659,21839876.1438596,12219934.4972062,59352463.9202878,59352463.9202878,93412274.5624444,246330003.156091,54248449.2762255,192081553.879865,246330003.155366,339742277.717811,132013942.616388,133989972.281902,-62980313.4054301,203023601.492859,203023601.492588,542765879.210399,4349701,-2301908,-2301908,-2301908,-10538,-1827947,-1854928,666826,666826,283992,950818,0,0.28825,0.13617,0.08619,0.0425900059383411,0.0169383115406119,2.50784908664262,1.67644692949862,1.30129075226399e-12,0.74493,0.74048,8.64306,19.7080989161759,0.0247025060773677,9.69287045388941
"4","2011_Q3",17.91796875,"Down",94971201,-67590005,27381196,-13863503,-11239514,-2623989,13517693,139867,1734,138133,13657560,-168813,13488747,-4366000,9122747,9122747,9122747,9122747,75361747,75361747,60060068,60060068,72672795,29143565,29143565,237238175,146819530,13916934,141802771,19749823,122052948,302539235,539777410,34080912,21211853,12869059,60716770,60716770,94797682,231482673,45451680,186030993,231482673,326280355,132521151,137955616,-56979712,213497055,213497055,539777410,10083519,-4079223,-4079223,-4079223,-19751,-4098974,-1643113,4341432,4341432,48659,4390091,2.71050543121376e-20,0.28831,0.14233,0.09606,0.04273,0.0169,2.50257,1.52827,0,0.88417,0.87672,9.20454,20.69199,0.02468,-5.57505
"5","2011_Q4",16.5498412698413,"Down",74263346,-58059322,16204024,-12369035,-9885364,-2483671,3834989,-393590,-59228,-334362,3441399,-160344,3281055,-525000,2756055,2756055,2756055,2756055,80903849,80903849,46675210,46675210,75719606,29668417,29668417,232967082,148934661,13753710,136297532,18439127,117858405,298985903,531952985,32757408,20070257,12687151,60601326,60601326,93358734,225315341,45615027,179700314,225315341,318674075,132967497,138853063,-58541650,213278910,213278910,531952985,13020694,-5351270,-5351270,-5351270,-19230,-5370500,-1858608,5791586,5791586,-249484,5542102,0,0.2182,0.05164,0.03711,0.01292,0.00518,2.4954,1.49417,0,0.26691,0.26487,7.19205,20.65504,0.01052,-21.09624
"6","2012_Q1",17.281935483871,"Up",86513412,-66986530,19526882,-12262083,-9880511,-2381572,7264799,-984403,-57281,-927122,6280396,-374775,5905621,-4152000,1753621,1753621,1753621,1753621,69888000,69888000,59211000,59211000,68544000,30888000,30888000,228531000,150240000,14872000,137989000,23638000,114351000,303101000,531632000,30511000,19528000,10983000,58648000,58648000,89159000,249601000,75257000,174344000,249601000,338760000,133414000,138748000,-79290000,192872000,192872000,531632000,-5166914,-4047599,-4047599,-4047599,-31481,-4074579,-1858351,-11099844,-11099844,83833,-11016011,4.33680868994202e-19,0.22571,0.08397,0.02027,0.00909,0.0033,2.56318,1.7564,-8.07793566946316e-28,0.16981,0.16871,8.37722,18.67607,0.00816,-9.62009
"7","2012_Q2",14.2366666666667,"Down",73605000,-56236000,17369000,-13252000,-10427000,-2825000,4117000,-277000,-40000,-237000,3840000,-465000,3375000,-1375000,2e+06,2e+06,2e+06,2e+06,77722736,77722736,46545205,46545205,75062770,31366182,31366182,230696893,150913500,14551220,134802183,23549151,111253032,300266903,530963796,26722709,16538615,10184094,61528411,61528411,88251120,245815126,76158681,169656445,245815126,334066246,133854109,138888110,-75844669,196897550,196897550,530963796,11859000,-2733000,-2733000,-2733000,-26000,-2759000,-1767000,7333000,7333000,502000,7835000,0,0.23598,0.05593,0.02717,0.01016,0.00377,2.6141,1.69665,0,0.19363,0.19244,7.12605,19.0626,0.00871,-18.87849
"8","2012_Q3",14.6673015873016,"Up",69956000,-54302000,15654000,-12727000,-9973000,-2754000,2927000,-268000,-42000,-226000,2659000,-381000,2278000,-770000,1508000,1508000,1508000,1508000,75083983,75083983,49758231,49758231,77594612,28807166,28807166,231243992,150607833,14126061,132741989,21312596,111429393,297475883,528719875,31482118,20831856,10650262,56196960,56196960,87679078,244309468,76622974,167686494,244309468,331988546,134269921,138536567,-76075159,196731329,196731329,528719875,2351000,-2972000,-2972000,-2972000,25000,-2947000,-1860000,-2456000,-2456000,-183000,-2639000,-6.93889390390723e-18,0.22377,0.04184,0.02156,0.00767,0.00285,2.63739,1.68752,-2.58493941422821e-26,0.14586,0.14519,6.76622,19.02808,0.00764,-25.6522
"9","2012_Q4",15.3883870967742,"Up",72190000,-56066000,16124000,-12376000,-9677000,-2699000,3748000,-218000,-48000,-170000,3530000,-503000,3027000,-1498000,1529000,1529000,1529000,1529000,71841862,71841862,50450650,50450650,78640938,27313328,27313328,228246778,150368288,13466782,130438355,22660628,107777727,294273425,522520203,28256402,16772178,11484224,56860038,56860038,85116440,237927683,77683710,160243973,237927683,323044123,134516245,138201456,-73241621,199476080,199476080,522520203,268000,-2059000,-2059000,-2059000,-45000,-1731000,-1862000,-3325000,-3325000,83000,-3242000,0,0.22336,0.05192,0.02118,0.00767,0.00293,2.68158,1.61946,0,0.14783,0.14723,6.9796,19.28609,0.00775,-19.16805
"10","2013_Q1",16.2058333333333,"Up",77154000,-59302000,17852000,-12836000,-10453000,-2383000,5016000,-362000,-53000,-309000,4654000,239000,4893000,-1575000,3318000,3318000,3318000,3318000,78889000,78889000,54394000,54394000,70669000,33630000,33630000,237582000,150297000,13319000,131981000,25800000,106181000,295597000,533179000,25140000,15839000,9301000,61284000,61284000,86424000,254662000,96100000,158562000,254662000,341086000,134810000,139658000,-82375000,192093000,192093000,533179000,10966000,-1904000,-1904000,-1904000,-30000,-1932000,-1814000,7220000,7220000,-173000,7047000,-5.55111512312578e-17,0.23138,0.06501,0.043,0.01727,0.00622,2.74903,1.77563,4.13590306276514e-25,0.32086,0.31916,7.46098,18.57586,0.01159,-15.72747
"11","2013_Q2",15.66109375,"Down",69624000,-55090000,14534000,-12829000,-9858000,-2971000,1705000,-644000,-41000,-603000,1061000,-615000,446000,-320000,126000,126000,126000,126000,82165000,82165000,49215000,49215000,70616000,33317000,33317000,235313000,149991000,12764000,122730000,26143000,96587000,285485000,520798000,24443000,16322000,8121000,61894000,61894000,86337000,245310000,95704000,149606000,245310000,331647000,135056000,137922000,-83827000,189151000,189151000,520798000,10092000,-4556000,-4562000,-4562000,-23000,-4579000,-1862000,3651000,3651000,-375000,3276000,0,0.20875,0.02449,0.00181,0.00067,0.00024,2.72552,1.75335,0,0.01218,0.01212,6.72956,18.28252,0.00458,-48.19062
