"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","prepaid_expense","investments_in_affiliates","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",35.4775,"Down",54063000,-2815000,51248000,-67798000,-5782000,-32935000,-29081000,-16550000,-12038000,-14758000,2720000,-28588000,-2814000,-31402000,-451000,-31853000,-31853000,13552000,-18301000,-18301000,51508000,51508000,4585000,4585000,100294000,100294000,156387000,1646439000,1036751000,597531000,10086000,429134000,2683190000,2839577000,93668000,93668000,93668000,1141089000,1141089000,1234757000,924682000,-18301000,906381000,698439000,1604820000,2839577000,-31853000,32935000,615000,5835000,7532000,-3896000,-3896000,-2653019000,-2731745000,-39845995.5213324,-29517000,2775721000,51508000,51508000,51508000,16385000,1141089000,18775000,0.94793,-0.30612,-0.33851,-0.0114,-0.00644,-1.0259,1.66959,0.76941,0.40185,-0.58313,-0.58313,1.72263,28.88035,0.59823,1.26533361865064,-0.00666,0.00684,-1.73524651581668,66.49869,-65.83571
"2","2016_Q2",46.77015625,"Up",63004000,-7118000,55886000,-55490000,-4439000,-39509000,-11542000,396000,-13584000,-15670000,2086000,-13188000,-1371000,-14559000,-155000,-14714000,-14714000,6379000,-8335000,-8335000,56425000,56425000,14557000,14557000,89183000,89183000,160165000,1631017000,1000996000,555359000,20350000,425287000,2632013000,2792178000,106744000,106744000,106744000,1143756000,1143756000,1250500000,925107000,-54388000,870719000,670959000,1541678000,2792178000,-14714000,39509000,147000,189000,25131000,-7033000,-7033000,-1335891533.86974,-7032999.99999952,-15738000,-12094000,-27832000,-9734000,-9734000,-9734000,39905000,1143756000,33216000,0.88702,0.00629000000000002,-0.13229,-0.00541,-0.00299,-3.98512,1.50046,0.81113,0.40963,-0.26552,-0.26552,2.00707,27.73785,1.05814,0.50135,0.00276,0.01237,-1.88818,27.24799,2745.78535
"3","2016_Q3",45.29796875,"Down",61867000,-5553000,56314000,-53549000,-4413000,-37324000,-11667000,2765000,-14665000,-15577000,912000,-11900000,-480000,-12380000,-185000,-12565000,-12565000,5448000,-7117000,-7117000,63650000,63650000,17148000,17148000,87040000,87040000,167838000,1643271000,963906000,533537000,8512000,421857000,2607177000,2775015000,114492000,114492000,114492000,1145096000,1145096000,1259588000,925374000,-69414000,855960000,659467000,1515427000,2775015000,-12565000,37324000,1556000,18873000,45188000,-26190000,-26190000,-541832911.826319,-26190000,-7872000,-6044000,-13916000,5082000,5082000,5082000,40089000,1145096000,32957000,0.91024,0.04469,-0.11504,-0.0047,-0.00256,-4.63074,1.46594,0.83118,0.41264,-0.22672,-0.22672,1.97085,27.26769,1.04989,0.25077,0.00028,0.01239,-1.10608,26.97613,391.11971
"4","2016_Q4",43.8430158730159,"Down",57607000,-4505000,53102000,-56873000,-4252000,-44532000,-7965000,-3771000,-14357000,-15854000,1497000,-18128000,-19047000,-37175000,-72000,-37247000,-37247000,16145000,-21102000,-21102000,90029000,90029000,13477000,13477000,81790000,81790000,185296000,1637437000,937705000,505564000,12466000,419675000,2575142000,2760438000,130283000,130283000,130283000,1165675000,1165675000,1295958000,925628000,-98425000,827203000,637277000,1464480000,2760438000,-37247000,44532000,632000,21902000,29819000,-14013000,-14013000,-142362583.86974,-14013000,-7872000,-6044000,5323000.00000003,21129000,21129000,21129000,40761000,1165675000,48722000,0.9218,-0.06546,-0.36631,-0.01441,-0.00764,-2.30888,1.42226,0.88493,0.42228,-0.67076,-0.67076,1.83112,26.2938,1.5487,0.25022,-0.00503,0.01852,-0.37305,26.3891,-285.24158
"5","2017_Q1",41.1804838709677,"Down",66196000,-4334000,61862000,-72699000,-4365000,-55754000,-12580000,-10837000,-16073000,-16224000,151000,-26910000,520000,-26390000,-93000,-26483000,-26483000,11479000,-15004000,-15004000,52026000,52026000,23172000,23172000,87616000,87616000,162814000,1644952000,904471000,464399000,15052000,425020000,2549423000,2712237000,121055000,121055000,121055000,1166871000,1166871000,1287926000,925895000,-121338000,804557000,619754000,1424311000,2712237000,-26483000,55754000,-9803000,-22391000,-2923000,-18957000,-18957000,-9e+06,-15193000,-7872000,-6952000,-14061000,-32177000,-32177000,-32177000,44917000,1166871000,3662000,0.93453,-0.16371,-0.22666,-0.01053,-0.00553,-0.24407,1.34496,0.90424,0.43022,-0.4775,-0.4775,2.10668,25.60489,0.11654,0.25053,-0.00275,0.00141,-0.52466,24.82011,-102.87395
"6","2017_Q2",39.4592063492063,"Down",65398000,-4742000,60656000,-77398000,-6274000,-58663000,-12422000,-16742000,-15512000,-16514000,1002000,-32254000,-471000,-32725000,-119000,-32844000,-32844000,13006000,-19838000,-19838000,26542000,26542000,24287000,24287000,113875000,113875000,164704000,1652768000,863573000,420253000,14977000,428343000,2516341000,2681045000,129139000,129139000,129139000,1174018000,1174018000,1303157000,993367000,-149668000,843699000,534189000,1377888000,2681045000,-32844000,58663000,-287999.999999998,8771000,34302000,-22848000,-22848000,-5943000,-25168000,-8447000,-6923000,-8359000.00000001,774999.999999993,774999.999999993,774999.999999993,41921000,1174018000,27963000,0.92749,-0.256,-0.30334,-0.0144,-0.0074,-1.40957,1.2754,0.94576,0.4379,-0.592,-0.592,1.9516,25.17753,0.83447,0.25207,-0.00446,0.01096,-0.4258,27.37234,-68.53876
"7","2017_Q3",44.4612698412698,"Up",57893000,-4932000,52961000,-67626000,-5093000,-50571000,-11950000,-14665000,-19931000,-18389000,-1542000,-34596000,-124000,-34720000,-147000,-34867000,-34867000,13648000,-21219000,-21219000,9873000,9873000,26385000,26385000,172563000,172563000,208821000,1723302000,833959000,388586000,13359000,432014000,2557261000,2766082000,103285000,103285000,103285000,1333356000,1333356000,1436641000,996026000,-179397000,816629000,512812000,1329441000,2766082000,-34867000,50571000,2190000,-30496000,-12602000,-83227000,-83227000,-9104000,-88439000,-8466000,-6461000,143060000,42019000,42019000,42019000,35906000,1333356000,-77670000,0.91481,-0.25331,-0.36652,-0.01596,-0.00767,3.6604,2.02179,1.08064,0.48204,-0.62841,-0.62841,1.71454,24.18495,-2.30024,0.25073,-0.00479,-0.02917,-0.39898,36.85966,-90.24773
"8","2017_Q4",40.2092063492063,"Down",64048000,-4311000,59737000,-77734000,-5272000,-61059000,-11335000,-17997000,-21383000,-17697000,-3686000,-39380000,56656000,17276000,0,17276000,17276000,-6762000,10514000,10514000,104153000,104153000,28166000,28166000,202513000,202513000,334832000,1708557000,685839000,327229000,20284000,338326000,2394396000,2729228000,111482000,111482000,111482000,1284624000,1284624000,1396106000,996400000,-177394000,819006000,514116000,1333122000,2729228000,17276000,61059000,-49125000,-4676000,24534000,-57995000,-57995000,-20991000,164491000,-8466000,-5695000,-64795000,124230000,124230000,124230000,43062000,1284624000,-19609000,0.93269,-0.28099,0.16416,0.00788999999999999,0.00385,-1.86504,3.00346,1.04725,0.47069,0.31126,0.31126,1.89609,24.24601,-0.580509999999999,0.25063,0.00725,-0.00748999999999999,0.80521,27.41329,-65.59265
"9","2018_Q1",37.567868852459,"Down",53678000,-5715000,47963000,-113126000,-11263000,-91878000,-9946000,-65163000,-20197000,-16635000,-3562000,-85360000,14987000,-70373000,-5000,-70378000,-70378000,27167000,-43211000,-43456000,241569000,241569000,30787000,30787000,175665000,175665000,448021000,1714560000,613236000,310098000,20148000,282990000,2327796000,2775817000,109433000,109433000,109433000,1345524000,1345524000,1454957000,1116428000,-229760000,886696000,434164000,1320860000,2775817000,-70378000,91878000,-434000,-7691000,13375000,-79035000,-79035000,-1955000,-13695000,-8869000,-10243000,110888000,110568000,110568000,110568000,26715000,1345524000,-60006000,0.89353,-1.21396,-0.80957,-0.0329,-0.01566,1.38084,4.09402,1.10152,0.48473,-1.27209,-1.27209,1.57132,25.95556,-1.75656,0.25962,-0.01297,-0.0225,-0.20409,41.32341,-16.94144
"10","2018_Q2",38.123125,"Up",53777000,-7241000,46536000,-53906000,-7797000,-34667000,-11381000,-7369999.99999999,-18321000,-15739000,-2582000,-25691000,41996000,16305000,-104000,16201000,16201000,-5873000,10328000,9099999.99999999,135091000,135091000,32021000,32021000,177419000,177419000,344531000,1705710000,645774000,291613000,23839000,330322000,2351484000,2696015000,99063000,99063000,99063000,1274383000,1274383000,1373446000,1117210000,-229652000,887586000,434983000,1322569000,2696015000,16201000,34667000,-39512000,-3697000,7659000,-85983000,-85983000,-1616000,-25054000,-8877000,-5418000,-87329000,-104724000,-104724000,-104724000,27297000,1274383000,-62279000,0.86535,-0.13705,0.16922,0.00688,0.00338,-6.84385,3.4779,1.03847,0.47269,0.25696,0.25633,1.51852,25.06235,-1.7586,0.25066,0.00692,-0.02398,0.97549,41.73689,-154.58507
